sedan2door_-20_40_-20_0_20_240_20_400 gt:['-20', '40', '-20', '0', '20'] pred:[20.       46.746803 20.       14.743726 17.789633]
hybrid_0_20_-40_20_40_80_40_450 gt:['0', '20', '-40', '20', '40'] pred:[ 2.1430836 20.294458  16.909939  20.        40.       ]
sedan2door_-20_40_-40_0_0_320_20_450 gt:['-20', '40', '-40', '0', '0'] pred:[17.76722   40.        19.548647   0.         1.9372883]
sedan2door_0_20_-40_0_40_80_40_400 gt:['0', '20', '-40', '0', '40'] pred:[ 3.047649 23.588099 14.796877  0.       40.      ]
hatchback_-40_20_-40_40_0_280_20_450 gt:['-40', '20', '-40', '40', '0'] pred:[27.205349 20.       45.959885 40.        3.325429]
hatchback_-40_20_-40_40_0_80_40_400 gt:['-40', '20', '-40', '40', '0'] pred:[39.29399  24.103315 40.461876 40.        0.      ]
hybrid_0_40_-20_0_40_40_40_400 gt:['0', '40', '-20', '0', '40'] pred:[ 2.060444 40.       11.556781  0.       45.149933]
sedan4door_-20_20_0_40_20_320_80_450 gt:['-20', '20', '0', '40', '20'] pred:[16.048765 20.904678  5.560621 42.246593 24.42053 ]
suv_0_0_0_20_0_360_80_450 gt:['0', '0', '0', '20', '0'] pred:[ 3.296853   2.0370343  4.2025256 21.325975   1.5513322]
hatchback_-40_40_-20_40_20_160_60_450 gt:['-40', '40', '-20', '40', '20'] pred:[42.37988  39.14816  20.       34.75529  22.235281]
suv_0_0_0_0_0_80_80_450 gt:['0', '0', '0', '0', '0'] pred:[0.7803941 1.0733681 4.675696  3.1848829 0.       ]
sedan4door_0_0_-20_20_0_240_60_450 gt:['0', '0', '-20', '20', '0'] pred:[ 3.9474056  1.5604539 21.619534  13.0297575  1.9662365]
sedan2door_-20_20_-40_20_40_120_20_450 gt:['-20', '20', '-40', '20', '40'] pred:[20.       20.450884 40.       16.557205 40.      ]
hatchback_0_40_-20_20_20_320_40_450 gt:['0', '40', '-20', '20', '20'] pred:[ 3.5940485 40.        16.106379  20.        23.281271 ]
hatchback_-20_20_-40_0_20_200_60_400 gt:['-20', '20', '-40', '0', '20'] pred:[20.747093 24.092001 40.        3.574282 23.070568]
hatchback_0_0_-40_40_0_160_40_450 gt:['0', '0', '-40', '40', '0'] pred:[ 0.         5.3080945 40.        40.257626   3.2095895]
hatchback_0_40_-20_20_0_360_40_400 gt:['0', '40', '-20', '20', '0'] pred:[ 2.378838 40.       17.077868 20.        2.537437]
hybrid_0_40_-40_40_40_360_20_450 gt:['0', '40', '-40', '40', '40'] pred:[ 0.75485307 40.         15.949105   40.         40.        ]
suv_-40_0_-20_0_40_360_40_400 gt:['-40', '0', '-20', '0', '40'] pred:[40.78881   0.       19.447123  0.       41.184967]
hatchback_-20_0_-20_20_0_160_60_400 gt:['-20', '0', '-20', '20', '0'] pred:[16.69702    3.9748826 20.        17.98647    1.2146323]
hybrid_-40_20_-20_0_0_120_60_450 gt:['-40', '20', '-20', '0', '0'] pred:[41.55242   19.358543  20.        16.178204   3.1004064]
hybrid_-40_20_-20_20_0_40_80_450 gt:['-40', '20', '-20', '20', '0'] pred:[39.801903 22.979212  8.348028 13.194515  2.785074]
hatchback_-20_40_-40_0_0_200_40_400 gt:['-20', '40', '-40', '0', '0'] pred:[20.        44.683575  40.         3.7679615  2.0038373]
hatchback_-20_40_0_0_0_120_20_400 gt:['-20', '40', '0', '0', '0'] pred:[20.        44.86859    0.         2.6739357  0.       ]
hatchback_-20_40_0_20_40_200_20_400 gt:['-20', '40', '0', '20', '40'] pred:[20.      46.13717  0.      18.31606 41.43854]
sedan4door_-40_40_-40_0_20_320_80_450 gt:['-40', '40', '-40', '0', '20'] pred:[42.688896  44.514767  44.783066   3.3946338 27.817482 ]
sedan2door_-20_0_-40_40_20_360_60_450 gt:['-20', '0', '-40', '40', '20'] pred:[17.197289   3.0911243 24.292475  40.        24.96236  ]
hatchback_0_20_0_20_0_80_40_450 gt:['0', '20', '0', '20', '0'] pred:[ 2.1485405 15.021795   6.6909842 20.         0.       ]
hybrid_0_20_-20_0_0_320_40_400 gt:['0', '20', '-20', '0', '0'] pred:[ 1.9267132 20.        20.10341    0.         1.632777 ]
hybrid_-20_40_-40_20_40_280_40_450 gt:['-20', '40', '-40', '20', '40'] pred:[20.13407  44.70054  17.285215 15.803308 43.095375]
sedan4door_0_0_0_40_20_160_60_400 gt:['0', '0', '0', '40', '20'] pred:[ 1.0424931  4.0459275  0.        43.32801   25.764883 ]
sedan4door_-40_20_-20_20_40_40_20_450 gt:['-40', '20', '-20', '20', '40'] pred:[44.085346 20.       16.064909 20.       40.      ]
hybrid_0_20_-20_40_20_40_40_400 gt:['0', '20', '-20', '40', '20'] pred:[ 2.3592486 20.        17.229376  40.        21.240599 ]
hatchback_0_40_-40_20_40_40_60_400 gt:['0', '40', '-40', '20', '40'] pred:[ 6.212725 43.718857 40.701366 20.       38.548557]
suv_-20_40_-20_0_0_320_60_400 gt:['-20', '40', '-20', '0', '0'] pred:[17.1365    47.073193  16.319576   1.9220037  1.6368083]
suv_-20_0_-20_20_40_160_40_450 gt:['-20', '0', '-20', '20', '40'] pred:[20.         2.3395243 20.        18.925121  42.37558  ]
suv_0_0_-40_20_40_320_80_400 gt:['0', '0', '-40', '20', '40'] pred:[ 3.2731133  3.0154164 44.60155   23.187353  42.899464 ]
hatchback_0_0_0_0_20_200_40_450 gt:['0', '0', '0', '0', '20'] pred:[ 0.         3.5273159  0.         4.8874197 19.921032 ]
hybrid_0_20_-40_20_20_120_80_400 gt:['0', '20', '-40', '20', '20'] pred:[ 3.5931432 23.431217  18.404358  20.716686  18.022058 ]
sedan2door_0_20_-20_0_0_280_40_450 gt:['0', '20', '-20', '0', '0'] pred:[ 2.6210463 23.5567    14.737476  32.312073   2.5182238]
hybrid_0_20_-40_0_40_120_80_450 gt:['0', '20', '-40', '0', '40'] pred:[ 3.1543474 19.063417  15.528382  24.54546   40.307526 ]
sedan2door_-20_40_-40_40_40_320_40_400 gt:['-20', '40', '-40', '40', '40'] pred:[14.891917 40.        9.253979 40.       40.58461 ]
suv_0_20_-20_40_0_240_60_450 gt:['0', '20', '-20', '40', '0'] pred:[ 2.8511283 13.3378725 16.77462   41.731236   1.3338361]
sedan4door_-40_40_0_0_20_0_80_450 gt:['-40', '40', '0', '0', '20'] pred:[40.49134   42.417965   5.728707   3.6144323 22.04014  ]
hybrid_-20_40_0_40_0_360_80_450 gt:['-20', '40', '0', '40', '0'] pred:[21.98331   42.6184    19.931879  13.124433   2.6454182]
hatchback_-40_40_0_20_0_360_80_450 gt:['-40', '40', '0', '20', '0'] pred:[39.675785 43.233852  5.822951 19.075174  2.45535 ]
sedan2door_0_0_-40_40_0_200_60_450 gt:['0', '0', '-40', '40', '0'] pred:[ 2.9573972  2.0807211 40.         8.935694   1.2514457]
hatchback_-20_40_0_20_40_200_20_450 gt:['-20', '40', '0', '20', '40'] pred:[20.       44.259014  0.       25.898739 46.12185 ]
hybrid_0_40_-20_40_0_120_20_400 gt:['0', '40', '-20', '40', '0'] pred:[ 0.       45.762615 20.       22.422903  0.      ]
sedan4door_-20_0_-40_40_20_120_80_400 gt:['-20', '0', '-40', '40', '20'] pred:[16.730602  3.715907 38.22875  36.468815 22.022081]
suv_0_40_-20_40_0_360_20_450 gt:['0', '40', '-20', '40', '0'] pred:[ 1.9234796 40.        21.306713  40.         0.       ]
hatchback_-20_20_-40_0_20_320_80_400 gt:['-20', '20', '-40', '0', '20'] pred:[14.493917  20.072882  42.777775   1.9829665 21.351467 ]
sedan2door_-20_40_-40_40_40_160_40_450 gt:['-20', '40', '-40', '40', '40'] pred:[20.       46.82503  40.       12.598314 40.641853]
sedan2door_-40_0_-40_0_40_360_60_400 gt:['-40', '0', '-40', '0', '40'] pred:[42.447937   3.1046543 19.846937   0.        41.15417  ]
hybrid_-20_20_-40_0_0_120_60_450 gt:['-20', '20', '-40', '0', '0'] pred:[15.598569 19.928265 40.       28.43891   1.765039]
sedan4door_-20_0_0_20_40_200_80_400 gt:['-20', '0', '0', '20', '40'] pred:[18.852873   3.3835642  3.7571785 18.838049  42.896152 ]
hatchback_-40_40_-20_40_40_0_80_450 gt:['-40', '40', '-20', '40', '40'] pred:[39.534847 38.518566 19.063982 37.78348  40.321144]
hatchback_-40_40_-40_40_20_200_20_400 gt:['-40', '40', '-40', '40', '20'] pred:[40.       44.08742  40.       45.085354 15.990463]
sedan4door_-40_40_-40_40_0_200_60_400 gt:['-40', '40', '-40', '40', '0'] pred:[40.85056   41.836178  40.        37.523315   1.9796593]
hybrid_0_20_-40_40_20_160_80_400 gt:['0', '20', '-40', '40', '20'] pred:[ 2.6233273 18.412954  25.860706  15.574363  19.889359 ]
sedan2door_-20_20_-40_0_40_120_40_400 gt:['-20', '20', '-40', '0', '40'] pred:[20.       22.815182 40.       27.522854 40.      ]
sedan4door_-40_0_0_20_0_280_40_450 gt:['-40', '0', '0', '20', '0'] pred:[44.046696   3.52125    4.292645  25.448584   1.3842808]
hatchback_-20_40_-40_0_20_80_40_400 gt:['-20', '40', '-40', '0', '20'] pred:[20.78174  41.997395 45.87812   0.       20.      ]
sedan2door_-40_40_0_20_20_280_80_400 gt:['-40', '40', '0', '20', '20'] pred:[42.567585 40.544792 16.997091 20.061739 22.841696]
sedan2door_0_20_-40_40_40_160_20_400 gt:['0', '20', '-40', '40', '40'] pred:[ 0.       26.846903 40.       24.552517 40.      ]
sedan4door_0_20_-20_0_0_160_40_400 gt:['0', '20', '-20', '0', '0'] pred:[ 0.        18.290482  20.         5.313031   2.6960437]
hatchback_0_0_0_40_0_40_60_450 gt:['0', '0', '0', '40', '0'] pred:[ 1.8132197  2.4520397  6.8910055 40.         2.1851437]
sedan4door_-40_40_-20_20_20_320_40_400 gt:['-40', '40', '-20', '20', '20'] pred:[37.685513 40.       18.946371 20.       22.854628]
hybrid_-40_0_0_40_20_40_80_400 gt:['-40', '0', '0', '40', '20'] pred:[42.778687  3.12261  19.761435 14.635486 19.535788]
hatchback_-40_0_0_40_40_200_80_400 gt:['-40', '0', '0', '40', '40'] pred:[36.836617   5.0553784  4.751916  37.686794  39.185257 ]
sedan4door_0_0_0_40_20_280_40_450 gt:['0', '0', '0', '40', '20'] pred:[ 2.3804405  3.644851   5.6048193 43.36724   14.146606 ]
sedan2door_0_20_-20_0_0_240_60_450 gt:['0', '20', '-20', '0', '0'] pred:[ 1.7499831 19.429565  11.102376  13.245332   1.3066877]
sedan4door_0_40_0_0_0_80_60_450 gt:['0', '40', '0', '0', '0'] pred:[ 2.4025097 45.669254   7.725187   4.975931   1.9008026]
sedan4door_-40_20_-40_40_40_0_60_400 gt:['-40', '20', '-40', '40', '40'] pred:[40.66714  21.010147 38.58096  40.       40.253624]
sedan4door_-20_20_-20_0_20_120_80_400 gt:['-20', '20', '-20', '0', '20'] pred:[19.209845  21.571709  21.32791    3.5836117 18.484703 ]
sedan2door_0_0_-40_20_20_40_40_400 gt:['0', '0', '-40', '20', '20'] pred:[ 2.3212912  0.        22.143206  20.        22.048674 ]
sedan2door_-20_0_0_0_40_40_40_450 gt:['-20', '0', '0', '0', '40'] pred:[22.191063  0.       21.675095  0.       43.320564]
suv_0_40_-40_40_0_0_20_400 gt:['0', '40', '-40', '40', '0'] pred:[ 2.5588775 40.        45.64345   40.         0.       ]
hybrid_-40_40_-40_40_0_200_80_450 gt:['-40', '40', '-40', '40', '0'] pred:[38.56625  43.215054 15.405599 17.183449  4.071654]
hybrid_-40_20_-40_20_40_0_80_450 gt:['-40', '20', '-40', '20', '40'] pred:[41.3165   23.411032 14.330236 23.181194 41.433365]
hybrid_0_20_-40_40_40_320_20_450 gt:['0', '20', '-40', '40', '40'] pred:[ 4.565306 20.       19.038237 40.       41.49149 ]
hatchback_0_40_-40_40_20_160_40_400 gt:['0', '40', '-40', '40', '20'] pred:[ 0.       41.28814  40.       44.32855  24.445995]
hybrid_-20_40_-20_40_20_80_40_450 gt:['-20', '40', '-20', '40', '20'] pred:[18.57616  41.104244 13.920265 40.       20.      ]
suv_-20_20_-20_40_0_240_20_450 gt:['-20', '20', '-20', '40', '0'] pred:[20.        15.559502  20.        41.73291    1.4914943]
hybrid_0_0_0_0_20_360_80_450 gt:['0', '0', '0', '0', '20'] pred:[ 2.51907   3.303388 28.333765 18.980082 17.83899 ]
sedan2door_-40_0_0_20_0_280_60_450 gt:['-40', '0', '0', '20', '0'] pred:[40.383415  3.423113 18.034925 26.963629  3.287565]
suv_-40_20_0_0_20_80_80_400 gt:['-40', '20', '0', '0', '20'] pred:[39.666855  21.087326   5.4761553  1.7780659 20.       ]
sedan4door_0_40_-40_20_40_360_20_450 gt:['0', '40', '-40', '20', '40'] pred:[ 3.830758 40.       41.698116 20.       40.      ]
hybrid_-40_20_-20_0_40_280_60_450 gt:['-40', '20', '-20', '0', '40'] pred:[39.13062  20.745785 34.011288 25.671078 40.24992 ]
hybrid_-20_40_0_0_20_240_60_450 gt:['-20', '40', '0', '0', '20'] pred:[18.09374  44.985767 33.98995  18.301964 23.868368]
hatchback_-20_20_-20_0_20_40_80_450 gt:['-20', '20', '-20', '0', '20'] pred:[18.198862  25.787418  16.870075   5.3833528 23.02311  ]
hybrid_-20_20_0_0_0_80_60_450 gt:['-20', '20', '0', '0', '0'] pred:[19.370468  23.241503  15.3806305 23.042236   2.5881584]
suv_-20_0_0_20_20_280_80_450 gt:['-20', '0', '0', '20', '20'] pred:[16.819227   4.6007004  5.9510818 21.420574  21.143192 ]
suv_-40_40_-20_40_0_80_40_400 gt:['-40', '40', '-20', '40', '0'] pred:[43.67089  43.71923  22.968353 40.        0.      ]
hatchback_0_20_-20_40_40_80_20_400 gt:['0', '20', '-20', '40', '40'] pred:[ 2.438645 20.       16.596888 40.       40.      ]
hatchback_-20_0_-40_20_20_360_80_400 gt:['-20', '0', '-40', '20', '20'] pred:[16.739073   3.6828134 43.827637  21.387306  19.876396 ]
sedan2door_-40_0_-20_40_20_160_60_450 gt:['-40', '0', '-20', '40', '20'] pred:[45.724495   6.0473886 20.        14.655181  20.668686 ]
sedan4door_0_20_0_20_20_360_20_400 gt:['0', '20', '0', '20', '20'] pred:[ 1.8115747 20.         2.320712  20.        20.       ]
suv_-20_20_0_0_40_320_20_450 gt:['-20', '20', '0', '0', '40'] pred:[23.925713  20.         4.0092697  0.        42.510162 ]
hatchback_-40_0_-40_40_20_120_20_450 gt:['-40', '0', '-40', '40', '20'] pred:[40.        4.287461 40.       42.521244 20.      ]
suv_0_40_-40_0_40_40_60_450 gt:['0', '40', '-40', '0', '40'] pred:[ 4.9148936 45.1479    41.14528    0.        40.875256 ]
hybrid_-40_20_0_40_20_40_40_450 gt:['-40', '20', '0', '40', '20'] pred:[44.361946 20.       17.558563 40.       22.701265]
suv_-20_20_-20_40_40_0_80_450 gt:['-20', '20', '-20', '40', '40'] pred:[19.80972  19.304613 17.849106 39.082    41.16388 ]
sedan2door_-40_20_0_0_20_240_60_450 gt:['-40', '20', '0', '0', '20'] pred:[40.069138 23.284334 23.063684 18.857674 18.336521]
sedan2door_0_0_0_20_0_360_80_450 gt:['0', '0', '0', '20', '0'] pred:[ 2.3199413  2.250984  29.199108  15.408742   2.295643 ]
sedan2door_-20_0_-40_0_20_40_60_400 gt:['-20', '0', '-40', '0', '20'] pred:[24.9501     2.8586562 21.553432   0.        17.278494 ]
suv_0_40_-20_40_20_280_40_400 gt:['0', '40', '-20', '40', '20'] pred:[ 5.202737 41.82918  22.057327 35.74946  18.958744]
hatchback_-40_40_0_40_0_360_60_400 gt:['-40', '40', '0', '40', '0'] pred:[42.67569   42.844933   5.4369836 40.         2.4519017]
hybrid_-40_40_-40_0_40_0_40_400 gt:['-40', '40', '-40', '0', '40'] pred:[41.52071  40.       17.71087   0.       38.469673]
sedan2door_-20_40_-20_40_20_80_80_450 gt:['-20', '40', '-20', '40', '20'] pred:[19.110615 44.32296  25.831099 22.498566 20.      ]
suv_-40_20_-40_0_0_200_20_400 gt:['-40', '20', '-40', '0', '0'] pred:[40.        23.685822  40.         2.4291708  1.5047873]
suv_-40_0_-20_0_20_280_40_400 gt:['-40', '0', '-20', '0', '20'] pred:[44.829605   7.9115815 21.070919   6.274366  19.055027 ]
sedan2door_-20_40_0_40_0_360_60_400 gt:['-20', '40', '0', '40', '0'] pred:[20.666433  43.507385  16.524963  40.         1.7055334]
sedan2door_0_40_0_0_0_0_80_450 gt:['0', '40', '0', '0', '0'] pred:[ 3.7717881 43.705307  20.187193  17.323734   2.0862625]
suv_0_40_0_20_0_0_80_450 gt:['0', '40', '0', '20', '0'] pred:[ 2.7627735 43.33322    4.02887   20.501186   2.2479687]
sedan2door_-20_20_0_40_0_200_40_450 gt:['-20', '20', '0', '40', '0'] pred:[20.        21.466583   0.        25.337612   2.6330876]
sedan2door_-20_40_0_0_40_160_60_400 gt:['-20', '40', '0', '0', '40'] pred:[18.88756  43.773933  0.       19.32347  40.5607  ]
sedan4door_-20_0_-40_40_0_200_40_400 gt:['-20', '0', '-40', '40', '0'] pred:[20.         2.6901548 40.        42.17612    2.3455758]
hatchback_-20_40_-40_0_40_160_80_400 gt:['-20', '40', '-40', '0', '40'] pred:[18.966097  44.807247  43.997726   3.6525848 39.922565 ]
hatchback_0_40_-40_0_0_40_60_450 gt:['0', '40', '-40', '0', '0'] pred:[ 4.353185 49.23137  43.566032  0.        1.749817]
