Hatchback_-20_20_0_0_20_80_20_400 gt:['-20', '20', '0', '0', '20'] pred:[15.958702  20.        12.422634   0.         1.3404418]
Hatchback_0_0_0_20_0_160_20_400 gt:['0', '0', '0', '20', '0'] pred:[ 0.        15.184974   0.9701159  0.9561955 31.020796 ]
Sedan4Door_0_0_-20_20_0_0_20_400 gt:['0', '0', '-20', '20', '0'] pred:[11.413271   0.         1.5006529 20.         3.5957398]
Sedan4Door_0_0_-20_0_20_80_20_400 gt:['0', '0', '-20', '0', '20'] pred:[17.79883    0.        15.954956   0.         0.5351489]
Suv_0_0_0_20_0_160_20_400 gt:['0', '0', '0', '20', '0'] pred:[ 1.8823161 11.799891   9.834714  20.214104  18.18774  ]
Hybrid_0_20_-20_0_0_240_20_450 gt:['0', '20', '-20', '0', '0'] pred:[0.         8.91579    0.41091964 0.         2.79696   ]
Hatchback_-20_20_-20_20_20_320_20_450 gt:['-20', '20', '-20', '20', '20'] pred:[22.553886  20.        13.561944  20.         5.7852383]
Hybrid_0_0_-20_20_20_80_60_400 gt:['0', '0', '-20', '20', '20'] pred:[27.817856    3.924031   14.557002   20.          0.03586869]
Sedan2Door_-20_20_0_20_20_320_60_450 gt:['-20', '20', '0', '20', '20'] pred:[18.85672  12.201624  2.22554  20.       51.725464]
Hybrid_-20_20_-20_0_0_0_60_400 gt:['-20', '20', '-20', '0', '0'] pred:[17.092089   9.986165  20.         0.         1.6776017]
Sedan4Door_-20_20_0_0_20_80_60_450 gt:['-20', '20', '0', '0', '20'] pred:[10.52133     8.343737   24.543846    6.26318     0.07552434]
Hybrid_-20_0_0_0_20_80_20_450 gt:['-20', '0', '0', '0', '20'] pred:[44.30351  0.       0.       0.      20.     ]
Sedan2Door_-20_20_-20_20_0_240_20_450 gt:['-20', '20', '-20', '20', '0'] pred:[19.07067   17.188799   3.0360558 20.        10.746561 ]
Sedan4Door_0_0_0_0_20_320_20_450 gt:['0', '0', '0', '0', '20'] pred:[2.870548  0.        0.5411066 0.        1.2219477]
Hatchback_-20_20_-20_0_20_80_20_450 gt:['-20', '20', '-20', '0', '20'] pred:[3.0765348e+01 2.0000000e+01 1.0932718e+01 0.0000000e+00 7.2129876e-03]
Sedan2Door_-20_0_0_0_0_160_60_400 gt:['-20', '0', '0', '0', '0'] pred:[23.488016   4.1840796  0.         0.         5.2408633]
Hybrid_-20_20_0_0_0_160_20_450 gt:['-20', '20', '0', '0', '0'] pred:[2.0000000e+01 2.5673466e+01 0.0000000e+00 0.0000000e+00 6.3032187e-03]
Sedan4Door_-20_0_0_20_0_0_20_450 gt:['-20', '0', '0', '20', '0'] pred:[26.10514   0.        3.543611 20.        4.890577]
Hatchback_-20_0_-20_0_20_240_60_450 gt:['-20', '0', '-20', '0', '20'] pred:[12.826972    1.9354882   3.3700767   0.22104053  3.4833047 ]
Hatchback_0_20_-20_20_0_0_20_400 gt:['0', '20', '-20', '20', '0'] pred:[ 7.060131  20.         7.3360677 20.         0.       ]
Suv_0_20_-20_0_20_80_20_450 gt:['0', '20', '-20', '0', '20'] pred:[21.759497  20.         3.2037635  0.         1.62695  ]
Suv_-20_0_0_0_20_0_20_400 gt:['-20', '0', '0', '0', '20'] pred:[23.895908   0.         1.9860564  0.         1.0335408]
Sedan2Door_-20_20_-20_0_20_160_60_400 gt:['-20', '20', '-20', '0', '20'] pred:[ 4.761382   9.8996935 11.412625   0.         0.0477997]
Sedan2Door_-20_20_-20_20_20_320_20_400 gt:['-20', '20', '-20', '20', '20'] pred:[15.420676  20.         0.9404849 20.        19.113895 ]
Sedan2Door_-20_0_-20_20_0_160_60_450 gt:['-20', '0', '-20', '20', '0'] pred:[27.201168   3.620196  20.        20.         4.1036615]
Hatchback_0_0_0_0_20_0_60_400 gt:['0', '0', '0', '0', '20'] pred:[4.6907835 5.189467  4.15522   6.910968  6.6582165]
Sedan4Door_-20_20_0_20_20_0_20_400 gt:['-20', '20', '0', '20', '20'] pred:[20.834053   20.          4.047037   20.          0.20666005]
Sedan2Door_-20_20_-20_0_0_320_60_400 gt:['-20', '20', '-20', '0', '0'] pred:[ 5.199252 32.588966 38.342686  0.       13.75351 ]
Hybrid_-20_20_-20_20_0_240_60_450 gt:['-20', '20', '-20', '20', '0'] pred:[24.106937   6.701191   5.086089   3.4214604  6.683478 ]
Sedan2Door_0_20_0_20_20_80_20_450 gt:['0', '20', '0', '20', '20'] pred:[13.304381 20.       31.26342  20.       20.      ]
Sedan2Door_-20_20_0_20_20_0_60_450 gt:['-20', '20', '0', '20', '20'] pred:[ 5.323987 13.566254 17.299734 20.        3.24478 ]
Sedan2Door_0_0_-20_0_0_240_60_450 gt:['0', '0', '-20', '0', '0'] pred:[21.123348  12.608459   7.769487   0.         1.1332431]
Hybrid_-20_20_0_20_0_0_60_450 gt:['-20', '20', '0', '20', '0'] pred:[11.913717    8.501109   21.242622   20.          0.06088116]
Sedan2Door_0_0_0_0_20_80_60_450 gt:['0', '0', '0', '0', '20'] pred:[24.44633    7.962548   1.8077204  3.4963257  3.8931742]
Suv_0_0_-20_0_0_80_20_400 gt:['0', '0', '-20', '0', '0'] pred:[ 9.59738   0.       24.846022  0.        0.      ]
Sedan4Door_-20_0_-20_20_20_80_60_400 gt:['-20', '0', '-20', '20', '20'] pred:[19.735106    2.6999059   5.4426084   5.6082582   0.15926649]
Hatchback_-20_0_0_20_20_320_60_450 gt:['-20', '0', '0', '20', '20'] pred:[24.027159 11.08816   2.39644  12.520737 49.870712]
Hybrid_-20_0_-20_0_0_320_20_450 gt:['-20', '0', '-20', '0', '0'] pred:[42.175022   0.        20.         0.         0.8220292]
Sedan2Door_-20_0_0_0_20_0_20_450 gt:['-20', '0', '0', '0', '20'] pred:[15.93257    0.         5.2862573  0.         6.6827745]
Hybrid_0_20_-20_0_0_0_20_400 gt:['0', '20', '-20', '0', '0'] pred:[23.0763 20.     20.      0.      0.    ]
Suv_-20_0_-20_20_0_240_20_450 gt:['-20', '0', '-20', '20', '0'] pred:[ 5.8527393  9.699175   1.6265918 23.92397   15.866259 ]
Hybrid_-20_20_0_20_20_240_20_400 gt:['-20', '20', '0', '20', '20'] pred:[16.70829  21.42088   0.       20.        4.045879]
Sedan4Door_-20_0_0_20_20_240_60_450 gt:['-20', '0', '0', '20', '20'] pred:[33.298286 20.006138  7.89991  14.218716 32.28015 ]
Sedan2Door_0_20_-20_20_20_160_60_450 gt:['0', '20', '-20', '20', '20'] pred:[14.734357    4.4477673   2.1376755  26.542152    0.22375457]
Sedan2Door_-20_20_-20_20_0_80_20_400 gt:['-20', '20', '-20', '20', '0'] pred:[17.759874 28.19389  12.503185 20.        0.      ]
Sedan2Door_0_20_-20_20_0_80_60_400 gt:['0', '20', '-20', '20', '0'] pred:[19.257843  15.10984   20.        20.         1.9182768]
Sedan2Door_0_20_0_20_0_320_60_400 gt:['0', '20', '0', '20', '0'] pred:[ 3.689096 11.975923 11.712863 20.       11.032295]
Hybrid_0_0_0_0_20_80_60_400 gt:['0', '0', '0', '0', '20'] pred:[ 8.258135    5.637255    4.216656   10.04324     0.22739756]
Suv_-20_20_-20_0_0_80_60_400 gt:['-20', '20', '-20', '0', '0'] pred:[ 8.327762    9.215111   25.110832    0.          0.18800622]
Suv_-20_20_-20_0_20_160_20_400 gt:['-20', '20', '-20', '0', '20'] pred:[ 6.2570143  6.7306347  9.209147   7.050124  20.       ]
Sedan2Door_-20_20_-20_0_20_320_20_400 gt:['-20', '20', '-20', '0', '20'] pred:[10.498425 20.       20.        0.        4.131376]
Sedan4Door_0_0_0_0_20_240_20_400 gt:['0', '0', '0', '0', '20'] pred:[21.221767   4.0809593  5.085628  11.117178  11.283005 ]
Hybrid_-20_0_-20_0_20_320_60_450 gt:['-20', '0', '-20', '0', '20'] pred:[17.861835 15.888709 20.        0.       23.175396]
Sedan4Door_0_0_0_20_0_160_60_400 gt:['0', '0', '0', '20', '0'] pred:[ 3.4669507  3.3083997 12.193576  10.163535  26.591532 ]
Suv_-20_20_-20_20_0_80_60_450 gt:['-20', '20', '-20', '20', '0'] pred:[20.602556   5.5313873 21.730877   9.610376   0.0736111]
Sedan2Door_-20_0_0_20_0_320_60_450 gt:['-20', '0', '0', '20', '0'] pred:[ 8.4730425 12.055986   4.7941856 20.        13.508742 ]
Suv_-20_0_0_20_20_0_60_400 gt:['-20', '0', '0', '20', '20'] pred:[12.89622     0.         26.571863   20.          0.87446266]
Hatchback_-20_0_0_0_0_80_60_450 gt:['-20', '0', '0', '0', '0'] pred:[1.5365916e+01 4.9084964e+00 2.4135239e+00 8.5663214e+00 1.9386077e-04]
Sedan4Door_0_20_0_0_20_320_60_400 gt:['0', '20', '0', '0', '20'] pred:[ 6.0231843 26.254892   6.4240746  0.         8.543247 ]
Suv_-20_0_-20_20_0_0_20_450 gt:['-20', '0', '-20', '20', '0'] pred:[40.425484   0.         1.8155584 20.         0.       ]
Sedan2Door_-20_20_-20_20_20_160_60_450 gt:['-20', '20', '-20', '20', '20'] pred:[11.79371    6.8970294 10.529189  20.         8.177948 ]
Hatchback_-20_20_0_20_20_240_20_450 gt:['-20', '20', '0', '20', '20'] pred:[18.127602   7.543248   2.2826788 10.19419   12.462681 ]
Suv_0_20_0_0_20_320_60_450 gt:['0', '20', '0', '0', '20'] pred:[10.497143   6.7520404  2.734121   6.5453496  0.7876331]
Sedan2Door_0_0_-20_0_20_240_60_400 gt:['0', '0', '-20', '0', '20'] pred:[28.395275 12.403376 17.822472  0.        8.942771]
Hybrid_0_0_-20_20_0_0_60_400 gt:['0', '0', '-20', '20', '0'] pred:[14.252314   0.        11.700913  20.         0.8928509]
Sedan4Door_-20_0_-20_20_20_240_60_400 gt:['-20', '0', '-20', '20', '20'] pred:[10.091532   8.360663   5.341329   2.6486092 15.374984 ]
