hybrid_-17_23_-36_35_15_50_70_420 gt:['-17', '23', '-36', '35', '15'] pred:[18.111662 20.86531  15.695008 15.619887 23.892725]
suv_-17_23_-36_48_15_50_70_420 gt:['-17', '23', '-36', '48', '15'] pred:[10.265329  25.28148   30.540916  10.476351   7.0833025]
sedan2door_-50_15_-36_48_28_140_30_420 gt:['-50', '15', '-36', '48', '28'] pred:[50.        19.058813  36.         8.0289345 28.       ]
sedan4door_-17_15_-36_35_28_230_30_420 gt:['-17', '15', '-36', '35', '28'] pred:[17.       15.542185 36.       14.324874 25.207241]
hatchback_-17_15_-36_48_46_20_30_420 gt:['-17', '15', '-36', '48', '46'] pred:[39.42733 15.      33.8188  48.       2.61487]
suv_-17_45_-4_10_15_20_70_420 gt:['-17', '45', '-4', '10', '15'] pred:[24.370865  33.156082   5.855536   1.2869452  9.882585 ]
sedan4door_-17_15_-36_10_46_140_30_420 gt:['-17', '15', '-36', '10', '46'] pred:[17.        9.322232 36.       19.746994 46.      ]
sedan4door_-30_45_-22_48_28_230_70_420 gt:['-30', '45', '-22', '48', '28'] pred:[43.489254 23.224936 14.014805 24.152966  8.706946]
hatchback_-17_45_-36_10_28_230_30_420 gt:['-17', '45', '-36', '10', '28'] pred:[17.       38.192566 36.        8.909804 29.276533]
hatchback_-17_23_-36_10_15_50_70_420 gt:['-17', '23', '-36', '10', '15'] pred:[21.595188  9.115022 24.459911 13.784339 24.641926]
sedan2door_-30_45_-22_35_46_140_70_420 gt:['-30', '45', '-22', '35', '46'] pred:[18.8913    24.023869   6.6563797 21.454967  31.946    ]
suv_-50_23_-22_48_15_20_30_420 gt:['-50', '23', '-22', '48', '15'] pred:[47.24616   23.        30.158117  48.         5.2362695]
hatchback_-17_45_-4_35_28_140_70_420 gt:['-17', '45', '-4', '35', '28'] pred:[ 6.715733  20.791994   4.        21.044249   5.5895777]
sedan4door_-17_15_-22_48_46_230_70_420 gt:['-17', '15', '-22', '48', '46'] pred:[30.429497   4.1276007 21.529379  21.656559  15.397451 ]
suv_-30_23_-22_48_28_230_70_420 gt:['-30', '23', '-22', '48', '28'] pred:[19.027252 22.412043 24.374197 14.065064 15.734827]
sedan4door_-17_15_-4_35_28_140_70_420 gt:['-17', '15', '-4', '35', '28'] pred:[12.517327  8.327057  4.       15.138134  6.055902]
sedan2door_-50_15_-4_48_46_230_70_420 gt:['-50', '15', '-4', '48', '46'] pred:[36.826748   4.0334234 13.41786   16.56157   28.10355  ]
hatchback_-17_15_-4_48_28_20_70_420 gt:['-17', '15', '-4', '48', '28'] pred:[26.830536 11.74178  17.978989 48.       13.601342]
hatchback_-50_23_-4_10_15_20_70_420 gt:['-50', '23', '-4', '10', '15'] pred:[36.32804  19.507074  9.655021 10.       11.287263]
suv_-50_23_-36_48_28_20_70_420 gt:['-50', '23', '-36', '48', '28'] pred:[33.465103  22.124212  14.283218   3.7382255 19.678667 ]
suv_-17_45_-4_48_28_20_30_420 gt:['-17', '45', '-4', '48', '28'] pred:[32.413143  45.        28.696133  48.         3.3783193]
suv_-30_23_-4_10_28_20_70_420 gt:['-30', '23', '-4', '10', '28'] pred:[29.776539  28.994904   4.2544494  2.9312434 14.402085 ]
suv_-50_23_-22_10_15_50_70_420 gt:['-50', '23', '-22', '10', '15'] pred:[28.54744  32.507114 19.08761   6.29974   8.918957]
suv_-17_15_-4_10_46_230_70_420 gt:['-17', '15', '-4', '10', '46'] pred:[ 2.431285   8.855638   8.47655    3.1715574 21.346102 ]
sedan4door_-50_15_-22_48_46_140_70_420 gt:['-50', '15', '-22', '48', '46'] pred:[28.987602 11.983473 22.       17.287231 12.290822]
sedan2door_-50_23_-36_35_15_20_70_420 gt:['-50', '23', '-36', '35', '15'] pred:[38.51097   18.538837   5.4969068 16.411835  10.671084 ]
hybrid_-17_15_-4_35_15_140_70_420 gt:['-17', '15', '-4', '35', '15'] pred:[ 5.5306263 12.514976   4.         8.468566   9.884594 ]
sedan2door_-50_23_-4_35_46_230_70_420 gt:['-50', '23', '-4', '35', '46'] pred:[41.43653   7.699854 11.459964 13.484675 28.844395]
hybrid_-30_45_-4_10_15_140_30_420 gt:['-30', '45', '-4', '10', '15'] pred:[30.       26.450104  4.       12.297273  9.004877]
hatchback_-17_15_-4_35_15_20_30_420 gt:['-17', '15', '-4', '35', '15'] pred:[39.477764   15.         28.09107    35.          0.47225693]
suv_-30_23_-4_35_46_50_70_420 gt:['-30', '23', '-4', '35', '46'] pred:[ 8.986281 31.065924  9.792106  5.78726  18.680416]
hybrid_-17_23_-22_35_46_230_70_420 gt:['-17', '23', '-22', '35', '46'] pred:[26.63763    8.316751  12.1322775 14.143161  28.435806 ]
sedan4door_-30_23_-4_10_46_230_30_420 gt:['-30', '23', '-4', '10', '46'] pred:[30.       13.786816  4.        9.28323  35.671257]
hatchback_-50_15_-36_48_28_50_30_420 gt:['-50', '15', '-36', '48', '28'] pred:[35.83012  15.       35.900623 48.       28.      ]
sedan2door_-50_15_-22_10_46_20_30_420 gt:['-50', '15', '-22', '10', '46'] pred:[46.753807 15.       12.920852 10.        8.175222]
hatchback_-50_45_-4_48_46_230_30_420 gt:['-50', '45', '-4', '48', '46'] pred:[50.       27.595692  4.       22.57538  39.121105]
sedan2door_-17_45_-22_48_46_230_70_420 gt:['-17', '45', '-22', '48', '46'] pred:[21.815943 13.070693 17.389093 13.640244 28.831547]
suv_-30_45_-22_48_46_20_70_420 gt:['-30', '45', '-22', '48', '46'] pred:[28.942257 34.478374 23.304583  2.423711 20.759186]
sedan2door_-30_15_-22_35_46_140_70_420 gt:['-30', '15', '-22', '35', '46'] pred:[10.228591  7.020152 22.       25.170406 27.687271]
sedan4door_-50_45_-4_48_15_230_30_420 gt:['-50', '45', '-4', '48', '15'] pred:[50.       32.83152   4.       27.610394 17.31653 ]
sedan4door_-17_15_-36_10_46_50_30_420 gt:['-17', '15', '-36', '10', '46'] pred:[30.619583 30.31528  23.694105 10.       46.      ]
hatchback_-50_23_-4_10_46_140_30_420 gt:['-50', '23', '-4', '10', '46'] pred:[50.       24.86193   4.       10.582152 46.      ]
sedan4door_-17_45_-4_48_28_140_30_420 gt:['-17', '45', '-4', '48', '28'] pred:[17.       18.082159  4.       31.290657 28.      ]
sedan2door_-17_15_-4_48_15_50_30_420 gt:['-17', '15', '-4', '48', '15'] pred:[22.031464 15.       14.018508 48.       15.      ]
sedan4door_-50_45_-22_48_28_50_70_420 gt:['-50', '45', '-22', '48', '28'] pred:[36.90007   29.946152  10.333689  15.174794   4.5842333]
hybrid_-30_15_-4_10_46_140_70_420 gt:['-30', '15', '-4', '10', '46'] pred:[13.439231 18.00866   4.       11.141868 27.5795  ]
hatchback_-50_23_-4_10_15_140_70_420 gt:['-50', '23', '-4', '10', '15'] pred:[22.865679 19.821352  4.        7.224077  9.262675]
suv_-50_23_-22_48_46_140_70_420 gt:['-50', '23', '-22', '48', '46'] pred:[20.209517 21.373316  9.669244 11.631945 18.35084 ]
hatchback_-30_45_-22_10_15_230_30_420 gt:['-30', '45', '-22', '10', '15'] pred:[30.       39.39782  22.        8.052608 13.777101]
hybrid_-30_15_-36_35_28_140_70_420 gt:['-30', '15', '-36', '35', '28'] pred:[11.906478 14.551612 36.       11.416064  7.872636]
suv_-17_15_-22_10_46_50_70_420 gt:['-17', '15', '-22', '10', '46'] pred:[ 7.0487227 19.091852  23.62228    3.6594985 14.225162 ]
suv_-50_15_-36_48_28_20_30_420 gt:['-50', '15', '-36', '48', '28'] pred:[48.053524 15.       30.22372  48.        5.449294]
sedan4door_-50_23_-4_48_28_140_70_420 gt:['-50', '23', '-4', '48', '28'] pred:[34.75443   16.90723    4.        16.901415   5.6325774]
sedan4door_-17_45_-22_10_15_140_70_420 gt:['-17', '45', '-22', '10', '15'] pred:[13.637287  20.168947  22.        14.29454    4.5447226]
hatchback_-17_45_-22_35_46_230_30_420 gt:['-17', '45', '-22', '35', '46'] pred:[17.       37.48124  22.       14.686931 36.01155 ]
sedan4door_-30_15_-36_10_28_50_70_420 gt:['-30', '15', '-36', '10', '28'] pred:[17.074314 12.841281 27.353294 11.316435 12.792187]
hybrid_-50_23_-36_48_15_20_70_420 gt:['-50', '23', '-36', '48', '15'] pred:[36.48254  23.102747 10.498893 48.       20.479816]
hybrid_-17_23_-36_10_15_230_30_420 gt:['-17', '23', '-36', '10', '15'] pred:[17.       14.33934  36.        2.776524  7.653876]
hybrid_-30_45_-22_35_46_140_70_420 gt:['-30', '45', '-22', '35', '46'] pred:[19.758802 35.321766 22.       11.289988 28.909054]
sedan4door_-17_15_-4_35_28_50_30_420 gt:['-17', '15', '-4', '35', '28'] pred:[21.168633 19.34858  11.121992  4.373266 28.      ]
hybrid_-30_23_-4_35_28_20_30_420 gt:['-30', '23', '-4', '35', '28'] pred:[33.7734    23.        15.524611  35.         5.9318333]
suv_-17_15_-22_35_28_140_30_420 gt:['-17', '15', '-22', '35', '28'] pred:[17.       12.588866 22.       13.473898 28.      ]
hybrid_-50_15_-4_48_15_230_70_420 gt:['-50', '15', '-4', '48', '15'] pred:[43.1464    8.936277  9.880362 15.527101  3.160337]
hatchback_-50_15_-22_35_15_50_70_420 gt:['-50', '15', '-22', '35', '15'] pred:[32.440125 16.018019 10.512792 12.257768 20.767485]
sedan4door_-17_23_-36_10_15_230_30_420 gt:['-17', '23', '-36', '10', '15'] pred:[17.        14.068744  36.         5.7469206 15.741831 ]
suv_-30_23_-22_48_15_50_70_420 gt:['-30', '23', '-22', '48', '15'] pred:[13.056451  31.197521  17.063986   9.1376705  7.851104 ]
hatchback_-17_45_-22_48_46_20_30_420 gt:['-17', '45', '-22', '48', '46'] pred:[41.930504 45.       27.643505 48.        4.135693]
sedan4door_-50_15_-22_10_28_20_70_420 gt:['-50', '15', '-22', '10', '28'] pred:[41.67659   10.323734  11.847619  10.         7.6582994]
hatchback_-17_23_-36_48_28_230_30_420 gt:['-17', '23', '-36', '48', '28'] pred:[17.       11.650813 36.       14.73501  32.92861 ]
sedan4door_-17_45_-4_48_46_20_70_420 gt:['-17', '45', '-4', '48', '46'] pred:[33.963703  26.917196  12.837332  48.         5.5696497]
sedan4door_-17_23_-22_35_46_50_30_420 gt:['-17', '23', '-22', '35', '46'] pred:[28.58421   29.939533  18.639513   4.4423833 46.       ]
sedan2door_-17_45_-22_35_28_140_30_420 gt:['-17', '45', '-22', '35', '28'] pred:[17.       25.891602 22.       16.663261 28.      ]
hybrid_-17_45_-36_10_15_230_30_420 gt:['-17', '45', '-36', '10', '15'] pred:[17.        42.066406  36.         3.1681843 12.248105 ]
sedan2door_-17_23_-4_10_15_20_30_420 gt:['-17', '23', '-4', '10', '15'] pred:[37.866714 23.       12.55219  10.        9.644425]
hatchback_-17_15_-36_10_28_140_30_420 gt:['-17', '15', '-36', '10', '28'] pred:[17.       15.959757 36.       13.131409 28.      ]
hybrid_-17_45_-4_10_46_230_30_420 gt:['-17', '45', '-4', '10', '46'] pred:[17.       50.49234   4.        6.903638 32.168823]
hatchback_-50_45_-4_10_46_140_30_420 gt:['-50', '45', '-4', '10', '46'] pred:[50.       25.361559  4.        9.781322 46.      ]
hatchback_-50_23_-4_10_28_140_70_420 gt:['-50', '23', '-4', '10', '28'] pred:[21.254694  18.303747   4.         5.9351797  9.120598 ]
hatchback_-17_15_-22_48_28_230_30_420 gt:['-17', '15', '-22', '48', '28'] pred:[17.       14.665594 22.       10.885419 23.151564]
hybrid_-50_15_-36_48_46_230_30_420 gt:['-50', '15', '-36', '48', '46'] pred:[50.       23.818176 36.        6.666624 24.241524]
sedan4door_-30_45_-4_35_46_140_70_420 gt:['-30', '45', '-4', '35', '46'] pred:[20.69891  25.614065  4.       18.037971 18.272663]
hybrid_-50_23_-22_48_15_20_30_420 gt:['-50', '23', '-22', '48', '15'] pred:[45.930405  23.        19.116468  48.         4.2960744]
suv_-50_15_-22_48_28_20_70_420 gt:['-50', '15', '-22', '48', '28'] pred:[36.791973  14.83975   12.385376   3.7794404 16.8236   ]
sedan4door_-30_23_-36_35_28_140_70_420 gt:['-30', '23', '-36', '35', '28'] pred:[24.91383  13.576146 36.       18.194355  5.403138]
suv_-17_23_-22_10_46_230_70_420 gt:['-17', '23', '-22', '10', '46'] pred:[ 3.916183 13.726318 22.07301   4.069856 17.659178]
sedan2door_-17_23_-22_48_15_50_30_420 gt:['-17', '23', '-22', '48', '15'] pred:[22.624489 23.       11.938895 48.       15.      ]
sedan2door_-50_23_-4_10_46_140_30_420 gt:['-50', '23', '-4', '10', '46'] pred:[50.       30.466915  4.        9.988261 46.      ]
sedan2door_-30_23_-22_48_15_50_70_420 gt:['-30', '23', '-22', '48', '15'] pred:[18.97525  15.708559 20.006916 24.759499 16.536251]
sedan4door_-50_15_-36_48_46_50_30_420 gt:['-50', '15', '-36', '48', '46'] pred:[39.59384 30.36594 45.60201 48.      46.     ]
hatchback_-50_23_-22_35_15_50_70_420 gt:['-50', '23', '-22', '35', '15'] pred:[30.93819  22.276117  9.479486 10.114913 22.76025 ]
sedan2door_-30_15_-22_35_46_230_70_420 gt:['-30', '15', '-22', '35', '46'] pred:[35.181732   4.1213856 18.128439  14.201881  25.69448  ]
suv_-17_23_-4_10_46_20_70_420 gt:['-17', '23', '-4', '10', '46'] pred:[19.889435  23.715492   9.20576    3.0360727 21.101374 ]
suv_-30_23_-22_35_28_230_70_420 gt:['-30', '23', '-22', '35', '28'] pred:[18.829042 19.560577 21.30627  13.426714 15.323978]
sedan4door_-50_45_-36_10_28_50_30_420 gt:['-50', '45', '-36', '10', '28'] pred:[42.70237  33.71605  40.186356 10.       28.      ]
suv_-50_23_-22_35_46_20_30_420 gt:['-50', '23', '-22', '35', '46'] pred:[46.51099   23.        33.33529   35.         6.0181966]
hatchback_-17_15_-36_35_28_230_70_420 gt:['-17', '15', '-36', '35', '28'] pred:[18.058554   5.0320587 11.874336   8.8354025  5.416874 ]
suv_-50_45_-4_48_28_230_30_420 gt:['-50', '45', '-4', '48', '28'] pred:[50.       42.926525  4.       31.042828  8.415034]
sedan4door_-50_23_-4_48_28_140_30_420 gt:['-50', '23', '-4', '48', '28'] pred:[50.       12.331176  4.       25.176117 28.      ]
sedan4door_-17_23_-36_10_15_140_30_420 gt:['-17', '23', '-36', '10', '15'] pred:[17.       15.284598 36.       19.821434 15.      ]
hatchback_-17_23_-4_48_46_230_70_420 gt:['-17', '23', '-4', '48', '46'] pred:[19.352953   5.696621   4.3979897  9.499643  33.93004  ]
hybrid_-17_15_-36_35_28_230_70_420 gt:['-17', '15', '-36', '35', '28'] pred:[22.120586   8.647202  12.896072  10.0260515 13.958404 ]
sedan4door_-30_23_-36_35_15_50_70_420 gt:['-30', '23', '-36', '35', '15'] pred:[20.592255 14.316943 23.07382  23.812532  5.360247]
hybrid_-50_45_-4_10_15_20_30_420 gt:['-50', '45', '-4', '10', '15'] pred:[45.218025 45.       15.292102 10.        4.594204]
suv_-30_23_-36_10_46_230_30_420 gt:['-30', '23', '-36', '10', '46'] pred:[30.       19.563145 36.       21.02464  26.659231]
hybrid_-50_23_-4_35_15_50_70_420 gt:['-50', '23', '-4', '35', '15'] pred:[31.548336 27.82886  13.281997 13.019534 25.51479 ]
sedan2door_-17_23_-4_10_46_230_70_420 gt:['-17', '23', '-4', '10', '46'] pred:[24.399252  7.474058 21.351517 12.950652 28.206306]
hatchback_-50_15_-22_35_15_20_70_420 gt:['-50', '15', '-22', '35', '15'] pred:[39.04691  11.840547 29.603563 35.       12.153875]
sedan4door_-17_45_-4_10_15_50_30_420 gt:['-17', '45', '-4', '10', '15'] pred:[23.53722  27.42088   8.441885 10.       15.      ]
sedan2door_-30_15_-36_35_15_20_70_420 gt:['-30', '15', '-36', '35', '15'] pred:[29.472506  14.060495   6.4296813 35.        10.066767 ]
sedan2door_-17_15_-4_35_28_140_70_420 gt:['-17', '15', '-4', '35', '28'] pred:[ 4.083259   5.9807935  4.        27.119867  12.19098  ]
suv_-17_23_-22_48_28_230_70_420 gt:['-17', '23', '-22', '48', '28'] pred:[ 5.7847285 18.892368  22.2419    14.0918255 13.368669 ]
hatchback_-17_23_-36_10_28_50_30_420 gt:['-17', '23', '-36', '10', '28'] pred:[2.5287827e+01 2.3000000e+01 3.4507195e+01 1.0000000e+01 1.9677633e-02]
sedan4door_-30_15_-4_48_15_50_30_420 gt:['-30', '15', '-4', '48', '15'] pred:[29.087667  22.06797   25.485338   6.1422443 15.       ]
suv_-17_15_-22_10_46_140_30_420 gt:['-17', '15', '-22', '10', '46'] pred:[17.         8.610648  22.         5.6892376 46.       ]
suv_-30_15_-22_48_46_20_70_420 gt:['-30', '15', '-22', '48', '46'] pred:[29.545944  17.43344   20.747017   6.0158863 18.561764 ]
suv_-50_23_-4_10_46_20_30_420 gt:['-50', '23', '-4', '10', '46'] pred:[47.726013 23.       17.746078 10.        6.110131]
hybrid_-30_45_-36_48_15_230_70_420 gt:['-30', '45', '-36', '48', '15'] pred:[33.929375  13.119234   9.406851  17.861914   7.3373547]
sedan2door_-30_15_-22_10_15_50_70_420 gt:['-30', '15', '-22', '10', '15'] pred:[18.141178   9.8529005 19.412497  26.49641   16.827261 ]
suv_-17_45_-36_35_15_20_70_420 gt:['-17', '45', '-36', '35', '15'] pred:[27.742266  36.55887   13.550846   2.1457102 11.691315 ]
hatchback_-30_23_-36_35_15_230_30_420 gt:['-30', '23', '-36', '35', '15'] pred:[30.       18.088753 36.       12.354306 17.639338]
sedan4door_-50_45_-36_35_15_230_30_420 gt:['-50', '45', '-36', '35', '15'] pred:[50.       37.721375 36.       15.342221 17.108446]
sedan4door_-17_45_-22_48_46_140_30_420 gt:['-17', '45', '-22', '48', '46'] pred:[17.       20.048445 22.       32.273552 46.      ]
suv_-30_45_-22_35_46_20_30_420 gt:['-30', '45', '-22', '35', '46'] pred:[45.616608  45.        35.263523  35.         3.0537705]
suv_-50_45_-22_35_15_230_30_420 gt:['-50', '45', '-22', '35', '15'] pred:[50.       44.465153 22.       16.60993   7.439139]
hatchback_-30_45_-36_35_15_140_30_420 gt:['-30', '45', '-36', '35', '15'] pred:[30.       31.384363 36.       33.045116 15.      ]
suv_-50_45_-36_35_46_140_70_420 gt:['-50', '45', '-36', '35', '46'] pred:[29.540972 33.03547   7.17133  13.835769 18.907276]
hatchback_-17_45_-36_48_46_230_30_420 gt:['-17', '45', '-36', '48', '46'] pred:[17.       28.534142 36.       17.056093 40.31875 ]
suv_-50_15_-4_10_28_140_30_420 gt:['-50', '15', '-4', '10', '28'] pred:[50.        8.371746  4.        5.463618 28.      ]
suv_-50_23_-36_10_46_50_70_420 gt:['-50', '23', '-36', '10', '46'] pred:[25.838562 31.749165 21.737965  8.355925 20.754726]
sedan2door_-17_45_-4_10_46_230_30_420 gt:['-17', '45', '-4', '10', '46'] pred:[17.       39.542538  4.       24.127087 23.902126]
hatchback_-50_45_-22_35_15_230_70_420 gt:['-50', '45', '-22', '35', '15'] pred:[41.349976  21.168234   4.6890235 11.814511   3.5910683]
hatchback_-17_45_-4_10_28_50_70_420 gt:['-17', '45', '-4', '10', '28'] pred:[15.402108  16.511028  12.186086   7.5227423 20.456488 ]
suv_-17_23_-4_48_46_230_70_420 gt:['-17', '23', '-4', '48', '46'] pred:[ 2.9768384 20.695211  13.502276   9.878328  23.611471 ]
suv_-17_15_-4_35_28_140_30_420 gt:['-17', '15', '-4', '35', '28'] pred:[17.       12.439639  4.       13.153906 28.      ]
suv_-30_23_-22_10_46_50_70_420 gt:['-30', '23', '-22', '10', '46'] pred:[10.150946 33.223797 19.873219  3.308095 15.818986]
suv_-30_15_-4_35_28_20_70_420 gt:['-30', '15', '-4', '35', '28'] pred:[29.898514  21.875105   4.6692114  6.7619424 16.173576 ]
sedan2door_-30_15_-36_35_46_20_70_420 gt:['-30', '15', '-36', '35', '46'] pred:[30.251434 13.038867  5.611107 16.602571 17.698044]
hybrid_-17_45_-36_48_28_140_70_420 gt:['-17', '45', '-36', '48', '28'] pred:[ 6.8758273 23.272434  36.         9.744498  10.7213   ]
hybrid_-30_15_-36_35_46_20_30_420 gt:['-30', '15', '-36', '35', '46'] pred:[37.358677 15.       12.432568 35.        4.20523 ]
hatchback_-17_15_-36_10_15_140_70_420 gt:['-17', '15', '-36', '10', '15'] pred:[ 3.2701323  7.8748746 36.         9.799111   6.9688997]
hybrid_-50_45_-22_35_46_20_70_420 gt:['-50', '45', '-22', '35', '46'] pred:[33.738026 29.999722 13.21237  17.751144 22.408146]
hybrid_-17_45_-36_35_28_20_30_420 gt:['-17', '45', '-36', '35', '28'] pred:[30.532969 45.       21.702179 35.       11.446137]
suv_-17_23_-36_10_28_230_30_420 gt:['-17', '23', '-36', '10', '28'] pred:[17.       23.539331 36.       11.270566  4.97741 ]
sedan4door_-30_45_-36_35_28_140_70_420 gt:['-30', '45', '-36', '35', '28'] pred:[26.042368 26.443144 36.       24.907782  5.302866]
sedan4door_-17_45_-36_35_46_20_70_420 gt:['-17', '45', '-36', '35', '46'] pred:[38.926853  25.32224   27.90093   35.         5.2636247]
hatchback_-17_23_-36_10_28_20_30_420 gt:['-17', '23', '-36', '10', '28'] pred:[41.421406  23.        34.463585  10.         4.9278827]
sedan2door_-17_23_-22_10_15_140_30_420 gt:['-17', '23', '-22', '10', '15'] pred:[17.       23.822474 22.       14.129325 15.      ]
hybrid_-50_15_-36_48_15_50_70_420 gt:['-50', '15', '-36', '48', '15'] pred:[28.848085 22.737766 11.448349 15.062603 26.66453 ]
sedan4door_-30_23_-4_10_28_230_70_420 gt:['-30', '23', '-4', '10', '28'] pred:[40.474815   5.819414   3.4932044 10.847921  15.84138  ]
hybrid_-50_15_-22_10_15_50_30_420 gt:['-50', '15', '-22', '10', '15'] pred:[24.502045  15.        42.226788  10.         0.7684589]
hatchback_-30_45_-22_35_46_50_70_420 gt:['-30', '45', '-22', '35', '46'] pred:[24.666723 19.002499 14.379579 11.840912 20.06794 ]
hatchback_-50_15_-4_10_46_140_30_420 gt:['-50', '15', '-4', '10', '46'] pred:[50.        20.195248   4.         6.9665494 46.       ]
suv_-17_15_-4_10_46_140_30_420 gt:['-17', '15', '-4', '10', '46'] pred:[17.         8.961568   4.         5.9732957 46.       ]
sedan2door_-30_15_-36_35_15_20_30_420 gt:['-30', '15', '-36', '35', '15'] pred:[40.520824 15.       19.02346  35.        8.412309]
hatchback_-17_23_-4_10_46_50_30_420 gt:['-17', '23', '-4', '10', '46'] pred:[21.14246  23.       17.791279 10.       46.      ]
sedan4door_-50_23_-22_10_46_20_30_420 gt:['-50', '23', '-22', '10', '46'] pred:[44.664696 23.       22.217033 10.       18.913006]
suv_-50_15_-22_35_28_50_30_420 gt:['-50', '15', '-22', '35', '28'] pred:[33.467842 15.       30.324995 35.       28.      ]
sedan4door_-17_45_-4_48_15_230_70_420 gt:['-17', '45', '-4', '48', '15'] pred:[31.030369  17.909847   3.467719  23.232803   2.3536837]
sedan4door_-30_23_-22_35_15_20_30_420 gt:['-30', '23', '-22', '35', '15'] pred:[39.346962 23.       22.720436 35.        8.836332]
hybrid_-50_15_-4_48_46_230_70_420 gt:['-50', '15', '-4', '48', '46'] pred:[42.8666   11.780912  9.174446 15.833745 20.073086]
hatchback_-17_45_-22_35_15_140_30_420 gt:['-17', '45', '-22', '35', '15'] pred:[17.       25.210781 22.       35.181065 15.      ]
