hybrid_0_20_-40_0_40_320_20_400:gt ['0', '20', '-40', '0', '40']:pred [ 0.22642326 20.         40.          0.         42.36026   ]
sedan4door_0_20_-40_0_20_240_80_400:gt ['0', '20', '-40', '0', '20']:pred [ 2.4068415  21.705828   45.775       0.81388247 13.599737  ]
suv_-20_20_-40_40_40_160_80_400:gt ['-20', '20', '-40', '40', '40']:pred [25.530056 29.652287 37.950294 36.124813 34.03762 ]
sedan4door_0_40_-20_20_20_320_20_450:gt ['0', '40', '-20', '20', '20']:pred [ 1.8027419 40.        28.91393   20.        17.30829  ]
hatchback_-20_20_-20_40_40_160_20_400:gt ['-20', '20', '-20', '40', '40']:pred [20.       18.725542 20.       36.881363 40.      ]
sedan4door_-20_40_0_20_40_240_80_450:gt ['-20', '40', '0', '20', '40']:pred [20.34717   40.24396    2.3354814 16.536697  34.71818  ]
sedan2door_0_20_0_40_40_240_80_400:gt ['0', '20', '0', '40', '40']:pred [ 2.3183508 19.607933   0.        40.        31.167543 ]
sedan2door_-20_40_-40_0_0_320_40_450:gt ['-20', '40', '-40', '0', '0']:pred [17.46112  40.       40.        0.        1.367905]
hybrid_0_20_0_40_40_0_40_450:gt ['0', '20', '0', '40', '40']:pred [ 0.7790404 20.         0.        40.        41.19144  ]
hybrid_-40_20_-40_40_40_0_20_400:gt ['-40', '20', '-40', '40', '40']:pred [37.33266 20.      40.      40.      40.     ]
sedan2door_-20_20_-20_0_0_320_20_400:gt ['-20', '20', '-20', '0', '0']:pred [17.234869  20.        20.         0.         2.7304218]
sedan2door_-20_20_0_40_20_160_80_400:gt ['-20', '20', '0', '40', '20']:pred [28.71005  17.270863  0.       40.       37.333702]
hatchback_-20_0_-40_20_0_320_80_450:gt ['-20', '0', '-40', '20', '0']:pred [ 4.307703   1.6672316 45.30028   10.4959755  1.6892552]
suv_-20_40_-20_40_0_0_20_400:gt ['-20', '40', '-20', '40', '0']:pred [21.747416 40.       19.05985  40.        0.      ]
hybrid_-40_0_-20_40_20_160_60_400:gt ['-40', '0', '-20', '40', '20']:pred [43.024097  3.257015 20.       40.       18.638092]
sedan2door_-40_40_0_40_40_80_80_450:gt ['-40', '40', '0', '40', '40']:pred [34.028904 45.738598  0.       40.       40.      ]
sedan2door_0_40_-40_20_20_0_60_450:gt ['0', '40', '-40', '20', '20']:pred [ 1.0403113 37.174667  40.        20.        31.365112 ]
hybrid_-20_0_0_20_40_160_60_450:gt ['-20', '0', '0', '20', '40']:pred [ 8.704355   2.0444596  0.        20.        40.687077 ]
suv_0_20_-20_20_40_240_20_400:gt ['0', '20', '-20', '20', '40']:pred [ 0.       25.0734   20.       28.98925  36.997368]
suv_-20_0_-20_40_40_160_80_400:gt ['-20', '0', '-20', '40', '40']:pred [19.11672  14.288909 30.056484 39.80087  42.78801 ]
sedan2door_-40_0_0_40_20_80_60_400:gt ['-40', '0', '0', '40', '20']:pred [43.48609    1.8367589  0.        40.        42.994278 ]
hybrid_-40_20_-20_40_0_0_60_400:gt ['-40', '20', '-20', '40', '0']:pred [38.689213 20.360401 20.       40.        1.295033]
hatchback_-40_40_-20_40_0_80_20_400:gt ['-40', '40', '-20', '40', '0']:pred [38.952457 40.       15.603554 40.        0.      ]
sedan2door_-40_40_0_0_40_240_60_450:gt ['-40', '40', '0', '0', '40']:pred [38.778503 42.149128  0.        0.       37.328857]
hybrid_-40_20_0_40_0_160_40_400:gt ['-40', '20', '0', '40', '0']:pred [40.        26.749485   0.        40.         6.8954883]
hatchback_-40_20_0_0_0_320_60_450:gt ['-40', '20', '0', '0', '0']:pred [42.40931     6.4125323   0.6512573   0.          0.78032476]
suv_-40_40_-20_0_40_0_60_400:gt ['-40', '40', '-20', '0', '40']:pred [38.294575 43.963356 16.06149   0.       40.64174 ]
hatchback_-40_0_-20_20_20_160_20_450:gt ['-40', '0', '-20', '20', '20']:pred [40.        6.180599 20.       20.030758 20.      ]
hybrid_-40_40_-20_40_0_240_80_450:gt ['-40', '40', '-20', '40', '0']:pred [34.024117  41.337505  20.        40.         4.6604266]
suv_-20_40_0_20_0_320_40_400:gt ['-20', '40', '0', '20', '0']:pred [22.867138  40.         2.1188831 20.         1.0158124]
sedan2door_-20_40_-20_20_20_160_20_400:gt ['-20', '40', '-20', '20', '20']:pred [20.       38.131493 20.       20.       20.      ]
sedan2door_-40_0_-40_0_0_240_40_400:gt ['-40', '0', '-40', '0', '0']:pred [40.         1.1045074 40.         0.         5.0466704]
sedan2door_-40_20_-40_40_20_240_20_450:gt ['-40', '20', '-40', '40', '20']:pred [40.       22.127796 40.       40.       20.937717]
hybrid_-20_20_-20_0_0_320_40_450:gt ['-20', '20', '-20', '0', '0']:pred [21.369823   20.         20.          0.          0.33153617]
hybrid_-20_0_-20_20_20_0_20_450:gt ['-20', '0', '-20', '20', '20']:pred [10.395266  0.       20.       20.       20.      ]
sedan4door_-20_40_0_20_0_0_20_450:gt ['-20', '40', '0', '20', '0']:pred [17.140688  40.         1.1400853 20.         0.       ]
hybrid_0_20_0_40_0_320_80_450:gt ['0', '20', '0', '40', '0']:pred [ 1.197936   17.863613    0.         40.          0.92795384]
suv_-20_20_-20_0_0_240_40_400:gt ['-20', '20', '-20', '0', '0']:pred [20.         20.893133   20.          0.663439    0.65533096]
sedan2door_0_40_-40_20_0_80_60_450:gt ['0', '40', '-40', '20', '0']:pred [ 2.0151503 36.104427  40.        20.         2.6757286]
hybrid_-20_20_0_40_0_80_40_400:gt ['-20', '20', '0', '40', '0']:pred [15.995266 31.794556  0.       40.        0.      ]
sedan2door_0_0_-20_40_0_80_20_400:gt ['0', '0', '-20', '40', '0']:pred [ 0.16758305  0.         20.         40.          0.        ]
sedan4door_-20_40_-40_20_40_240_40_400:gt ['-20', '40', '-40', '20', '40']:pred [20.       41.817665 40.       15.749218 27.64502 ]
suv_-20_0_0_20_20_320_20_450:gt ['-20', '0', '0', '20', '20']:pred [17.581566   0.         0.9339494 20.        22.732458 ]
sedan2door_0_40_-20_20_0_240_20_400:gt ['0', '40', '-20', '20', '0']:pred [ 0.       41.912746 20.       20.        1.454988]
hatchback_-40_20_-40_20_20_320_40_450:gt ['-40', '20', '-40', '20', '20']:pred [39.871964 20.       41.831387 20.       15.341733]
sedan4door_0_20_-40_0_20_160_60_450:gt ['0', '20', '-40', '0', '20']:pred [ 6.4232535 17.38723   40.         1.8852943 21.542633 ]
hybrid_0_40_0_20_40_160_20_450:gt ['0', '40', '0', '20', '40']:pred [ 0.       38.065983  0.       20.       40.      ]
sedan4door_-20_0_0_20_20_80_60_400:gt ['-20', '0', '0', '20', '20']:pred [22.737463   1.4513302  4.4615216 18.354424  38.393177 ]
hatchback_-40_20_-40_0_20_80_60_400:gt ['-40', '20', '-40', '0', '20']:pred [36.917454 22.542088 42.00861   5.244162 48.30045 ]
suv_0_40_0_20_20_80_80_450:gt ['0', '40', '0', '20', '20']:pred [ 1.7488502 37.726547   2.2555082 11.223602  20.       ]
hatchback_-20_0_0_40_20_0_60_400:gt ['-20', '0', '0', '40', '20']:pred [18.539371    7.902021    0.55650496 40.         25.102951  ]
suv_0_0_-20_20_0_320_40_450:gt ['0', '0', '-20', '20', '0']:pred [ 0.6798914  0.        21.39817   20.         3.3916554]
hatchback_0_0_-20_40_0_80_60_400:gt ['0', '0', '-20', '40', '0']:pred [ 0.8496466  0.9219712 12.350202  26.97795    2.0463052]
sedan2door_0_0_-40_0_40_160_20_400:gt ['0', '0', '-40', '0', '40']:pred [ 0.         1.8963269 40.         0.        40.       ]
hatchback_-40_40_0_40_40_80_60_400:gt ['-40', '40', '0', '40', '40']:pred [37.35897   38.40829    4.6811748 15.385891  38.737267 ]
hatchback_-20_40_-20_40_20_320_80_450:gt ['-20', '40', '-20', '40', '20']:pred [23.492659 40.62582  20.292599 34.28146  20.093637]
sedan2door_0_20_-40_40_20_160_40_450:gt ['0', '20', '-40', '40', '20']:pred [ 0.       21.313915 40.       40.       17.494394]
hatchback_0_0_-20_20_0_160_80_450:gt ['0', '0', '-20', '20', '0']:pred [ 0.84904546  0.6882108  10.36893    24.470795   15.241703  ]
hybrid_-20_40_-20_0_40_80_40_400:gt ['-20', '40', '-20', '0', '40']:pred [17.678986 40.78576  20.        0.       40.      ]
suv_-20_20_-20_40_0_160_40_400:gt ['-20', '20', '-20', '40', '0']:pred [20.        20.193735  20.        42.084236   2.4390345]
hybrid_0_0_-40_40_0_0_20_400:gt ['0', '0', '-40', '40', '0']:pred [ 0.32578745  0.         40.         40.          0.        ]
sedan2door_0_20_-40_40_40_0_60_450:gt ['0', '20', '-40', '40', '40']:pred [ 0.5910618 21.926191  40.        40.        42.95155  ]
hatchback_0_20_0_0_20_0_80_450:gt ['0', '20', '0', '0', '20']:pred [ 0.760961  28.352695   4.7640486 10.562788  20.518127 ]
suv_0_20_-20_20_40_0_80_400:gt ['0', '20', '-20', '20', '40']:pred [ 1.0610285 16.248217  23.40572   27.012444  34.22476  ]
sedan2door_0_20_-40_0_0_240_80_400:gt ['0', '20', '-40', '0', '0']:pred [ 0.9417609 15.438763  40.         0.         3.7611952]
hatchback_-40_40_0_0_20_80_40_450:gt ['-40', '40', '0', '0', '20']:pred [36.083134 41.168118 12.542128  0.       20.      ]
sedan4door_-20_20_0_40_40_240_60_450:gt ['-20', '20', '0', '40', '40']:pred [14.433088 18.697609  0.       42.655037 39.71505 ]
sedan2door_-40_20_-20_40_40_80_20_400:gt ['-40', '20', '-20', '40', '40']:pred [38.434566 20.       20.       40.       40.      ]
hybrid_-20_20_-40_40_40_80_40_400:gt ['-20', '20', '-40', '40', '40']:pred [16.10774  24.307732 40.       40.       40.      ]
hybrid_-20_20_-20_40_40_0_60_400:gt ['-20', '20', '-20', '40', '40']:pred [19.391737 22.274141 20.       40.       34.67988 ]
suv_-20_20_-20_20_20_320_40_400:gt ['-20', '20', '-20', '20', '20']:pred [20.911318 20.       22.75743  20.       21.044806]
sedan4door_-40_20_0_0_40_80_60_450:gt ['-40', '20', '0', '0', '40']:pred [39.44962    21.158192    0.55422896  2.3609214  40.67027   ]
suv_-20_20_-20_40_40_240_80_400:gt ['-20', '20', '-20', '40', '40']:pred [22.558475 17.945318 20.553013 43.34127  38.29541 ]
sedan4door_-20_0_0_40_40_240_20_400:gt ['-20', '0', '0', '40', '40']:pred [20.        9.839103  0.       35.31515  45.0684  ]
sedan2door_0_40_-40_0_40_0_80_400:gt ['0', '40', '-40', '0', '40']:pred [ 7.6869364 44.640514  40.         0.        39.35826  ]
hybrid_-40_40_-40_0_20_0_40_450:gt ['-40', '40', '-40', '0', '20']:pred [41.466705 40.       40.        0.       16.965965]
sedan2door_0_0_-40_0_20_80_40_400:gt ['0', '0', '-40', '0', '20']:pred [ 1.7134129  2.152384  40.         0.        20.       ]
suv_-20_40_-20_40_0_320_60_450:gt ['-20', '40', '-20', '40', '0']:pred [18.30269   41.311     17.314133  30.409988   1.1132641]
sedan4door_-20_40_0_0_0_160_80_400:gt ['-20', '40', '0', '0', '0']:pred [24.23896   40.540337   9.429386   1.1923952  2.3958008]
suv_0_40_-40_0_40_160_60_450:gt ['0', '40', '-40', '0', '40']:pred [11.283785  39.787506  40.         2.0433679 41.61773  ]
hybrid_0_40_0_0_0_320_20_450:gt ['0', '40', '0', '0', '0']:pred [ 0.3875965 40.         0.         0.         0.4627955]
hybrid_-40_0_0_20_20_160_80_450:gt ['-40', '0', '0', '20', '20']:pred [43.816708  3.077391  0.       20.       15.017436]
hatchback_0_20_-40_0_20_160_80_450:gt ['0', '20', '-40', '0', '20']:pred [ 6.1631346 29.479708  37.662933   8.75044   23.457819 ]
hybrid_-20_0_-40_20_0_240_80_450:gt ['-20', '0', '-40', '20', '0']:pred [22.550333   2.6975965 40.        20.         0.8628001]
sedan4door_0_40_-20_0_40_160_40_400:gt ['0', '40', '-20', '0', '40']:pred [ 0.       38.03282  20.        2.590554 42.427204]
hatchback_-20_0_-20_0_20_80_40_450:gt ['-20', '0', '-20', '0', '20']:pred [ 7.574764    0.98844934 23.982727    0.         20.        ]
suv_0_0_0_0_20_0_20_400:gt ['0', '0', '0', '0', '20']:pred [ 0.31989318  0.          2.7204359   0.         20.        ]
hatchback_-20_40_-20_0_40_240_60_450:gt ['-20', '40', '-20', '0', '40']:pred [18.172697  40.510105  25.710175   2.4110894 43.259647 ]
hybrid_0_0_-20_0_40_0_60_400:gt ['0', '0', '-20', '0', '40']:pred [ 1.2517931  0.        20.         0.        45.32734  ]
hatchback_-40_0_-40_0_0_80_40_400:gt ['-40', '0', '-40', '0', '0']:pred [43.002956 10.433723 45.685223  0.        0.      ]
suv_-40_20_0_0_20_160_40_400:gt ['-40', '20', '0', '0', '20']:pred [40.         23.956583    0.          0.75139076 25.304909  ]
hatchback_-40_20_0_0_40_240_80_400:gt ['-40', '20', '0', '0', '40']:pred [44.106476  15.560285   4.9892883  3.4924648 39.00351  ]
sedan4door_0_40_0_20_0_240_60_400:gt ['0', '40', '0', '20', '0']:pred [ 0.9490608 40.221905   0.        23.4907     0.3949176]
sedan4door_-20_40_-40_20_20_320_80_400:gt ['-20', '40', '-40', '20', '20']:pred [28.044308 43.62605  36.297707 13.617938 16.21871 ]
hatchback_0_40_-20_20_20_160_80_400:gt ['0', '40', '-20', '20', '20']:pred [ 1.0299956 43.822327  13.482371  22.5248    37.899128 ]
sedan4door_0_40_-20_40_20_80_20_450:gt ['0', '40', '-20', '40', '20']:pred [ 2.0377343 40.        29.315214  40.        20.       ]
hatchback_-20_40_0_20_0_320_40_450:gt ['-20', '40', '0', '20', '0']:pred [17.588867  40.         1.7354193 20.         1.6827703]
suv_0_20_-40_20_40_80_60_450:gt ['0', '20', '-40', '20', '40']:pred [ 1.765363 18.776285 41.999863  5.850559 33.359665]
sedan2door_-20_40_-20_40_0_240_40_400:gt ['-20', '40', '-20', '40', '0']:pred [20.        41.047493  20.        40.         1.3938578]
hybrid_-40_20_0_40_40_160_20_450:gt ['-40', '20', '0', '40', '40']:pred [40.      10.82578  0.      40.      40.     ]
hatchback_-20_0_-40_0_0_320_40_400:gt ['-20', '0', '-40', '0', '0']:pred [16.887629  0.       41.646393  0.        2.919622]
hybrid_0_40_-20_40_40_0_80_450:gt ['0', '40', '-20', '40', '40']:pred [ 0.8303385 42.466652  20.        40.        43.995552 ]
suv_0_40_0_20_20_80_40_450:gt ['0', '40', '0', '20', '20']:pred [ 0.58714736 34.55966     3.805348   20.         20.        ]
hybrid_-40_40_0_40_40_0_60_450:gt ['-40', '40', '0', '40', '40']:pred [40.98124  40.18982   0.       40.       23.214178]
sedan2door_0_0_-20_20_40_240_60_450:gt ['0', '0', '-20', '20', '40']:pred [ 2.0135698  1.8394889 20.        20.        35.584904 ]
sedan4door_-40_20_-20_20_0_80_20_450:gt ['-40', '20', '-20', '20', '0']:pred [39.453457 20.       10.126255 20.        0.      ]
suv_0_20_0_0_0_160_20_450:gt ['0', '20', '0', '0', '0']:pred [ 0.        19.792404   0.         1.5099126  0.       ]
hybrid_0_20_-40_0_20_160_80_450:gt ['0', '20', '-40', '0', '20']:pred [ 2.187937  23.108912  40.         0.         9.0918665]
sedan2door_-40_40_0_20_0_240_60_400:gt ['-40', '40', '0', '20', '0']:pred [37.89942   40.760746   0.        20.         1.3526943]
suv_-20_40_-20_20_0_160_80_400:gt ['-20', '40', '-20', '20', '0']:pred [15.014652 42.90101  25.62299  23.112148  1.204074]
sedan2door_-40_20_0_40_40_160_60_400:gt ['-40', '20', '0', '40', '40']:pred [36.9018   23.349833  0.       40.       38.471737]
hatchback_0_40_-40_0_0_0_40_400:gt ['0', '40', '-40', '0', '0']:pred [ 0.778941 40.       39.542767  0.        5.322761]
hatchback_0_40_-20_0_20_0_60_400:gt ['0', '40', '-20', '0', '20']:pred [ 1.0035236 37.466183  22.59806    0.        21.620653 ]
sedan2door_-40_20_-20_40_20_320_40_450:gt ['-40', '20', '-20', '40', '20']:pred [39.751194 20.       20.       40.        9.226512]
hatchback_0_40_-20_40_0_0_60_450:gt ['0', '40', '-20', '40', '0']:pred [ 1.1195811 31.602026  18.90383   40.         2.9515219]
hatchback_-40_40_-20_0_0_160_40_450:gt ['-40', '40', '-20', '0', '0']:pred [40.        40.642967  20.         2.6216798  4.5431833]
suv_-20_0_-20_0_0_0_80_400:gt ['-20', '0', '-20', '0', '0']:pred [18.463861    1.2578207  25.87041     0.          0.40865117]
hatchback_-40_40_-20_0_40_160_80_400:gt ['-40', '40', '-20', '0', '40']:pred [43.05694   40.650864  23.06032    3.8310232 45.305588 ]
sedan2door_0_40_-40_40_40_160_60_450:gt ['0', '40', '-40', '40', '40']:pred [ 1.3905646 41.015823  40.        40.        28.243305 ]
suv_-20_0_-20_0_0_80_60_450:gt ['-20', '0', '-20', '0', '0']:pred [17.599112   0.7048912 17.577953   2.3919024  1.1120381]
hybrid_-40_40_-40_40_20_320_40_400:gt ['-40', '40', '-40', '40', '20']:pred [43.367413 40.       40.       40.       18.975874]
hatchback_-20_0_0_20_40_80_60_450:gt ['-20', '0', '0', '20', '40']:pred [16.486956   1.5556872  5.1233106 12.648075  43.936935 ]
suv_0_0_0_0_40_240_80_450:gt ['0', '0', '0', '0', '40']:pred [ 0.4102941  2.609735   5.074272   4.3079515 44.983665 ]
hatchback_-40_0_0_0_40_0_40_400:gt ['-40', '0', '0', '0', '40']:pred [41.61276    0.         2.2730703  0.        39.37818  ]
sedan2door_-40_0_-40_40_40_320_40_450:gt ['-40', '0', '-40', '40', '40']:pred [39.089626  0.       40.       40.       38.560825]
suv_-20_40_-20_20_40_0_60_450:gt ['-20', '40', '-20', '20', '40']:pred [16.327127 43.95632  27.071884 20.       38.56955 ]
