hybrid_-40_40_-40_40_20_360_80_400 gt:['-40', '40', '-40', '40', '20'] pred:[41.40255  41.323326 40.       40.       18.985538]
hybrid_-40_0_-40_20_20_160_60_400 gt:['-40', '0', '-40', '20', '20'] pred:[44.7712     3.1184618 40.        20.        22.348017 ]
hybrid_0_20_0_20_20_200_20_400 gt:['0', '20', '0', '20', '20'] pred:[ 0.       22.50918   0.       20.       21.449982]
sedan2door_-40_0_0_20_20_120_80_450 gt:['-40', '0', '0', '20', '20'] pred:[44.771065   3.7103212  0.        20.        17.287586 ]
sedan2door_-20_0_0_0_20_120_20_450 gt:['-20', '0', '0', '0', '20'] pred:[20.         2.6197298  0.         0.        20.       ]
hatchback_-20_20_-20_40_20_360_20_450 gt:['-20', '20', '-20', '40', '20'] pred:[21.523788 20.       21.245455 40.       20.      ]
hybrid_-20_40_-20_0_20_200_20_450 gt:['-20', '40', '-20', '0', '20'] pred:[20.       43.854053 20.        0.       18.690456]
suv_0_40_-40_40_20_200_60_450 gt:['0', '40', '-40', '40', '20'] pred:[ 9.978083 43.22818  40.       40.48507  18.791882]
sedan4door_-40_0_-40_40_20_280_40_400 gt:['-40', '0', '-40', '40', '20'] pred:[43.37655  14.070061 38.499317 37.808426 28.019854]
hatchback_0_0_-20_20_40_360_80_450 gt:['0', '0', '-20', '20', '40'] pred:[ 3.2541566  1.5617324 18.5381    19.306664  40.44171  ]
sedan4door_0_0_-20_0_20_360_20_400 gt:['0', '0', '-20', '0', '20'] pred:[ 1.5970498  0.        20.351501   0.        20.       ]
suv_-20_20_-40_0_20_280_40_400 gt:['-20', '20', '-40', '0', '20'] pred:[16.734898 20.       43.429703  0.       17.32587 ]
sedan4door_-20_0_-40_20_20_360_80_450 gt:['-20', '0', '-40', '20', '20'] pred:[20.437218  2.380054 41.491802 20.259333 17.96009 ]
hybrid_0_0_-20_20_20_40_80_400 gt:['0', '0', '-20', '20', '20'] pred:[ 1.5737681  2.1792936 20.        20.        15.299181 ]
hybrid_-40_20_0_20_40_320_80_400 gt:['-40', '20', '0', '20', '40'] pred:[43.458263 18.86608   0.       20.       41.094967]
hybrid_-20_40_-40_0_0_80_60_400 gt:['-20', '40', '-40', '0', '0'] pred:[17.784277 41.593822 40.        0.        3.69563 ]
sedan2door_-40_20_0_0_0_360_20_450 gt:['-40', '20', '0', '0', '0'] pred:[42.839535 20.        0.        0.        0.      ]
sedan4door_-40_0_0_40_0_160_60_450 gt:['-40', '0', '0', '40', '0'] pred:[36.422886   5.093268   0.        47.7491     1.8034178]
hybrid_-40_0_-40_40_0_160_40_450 gt:['-40', '0', '-40', '40', '0'] pred:[40.         2.7746427 40.        40.         0.5735921]
hybrid_-40_20_0_0_40_240_40_400 gt:['-40', '20', '0', '0', '40'] pred:[40.       20.7703    0.        0.       40.889084]
sedan4door_-20_20_-20_40_0_80_20_400 gt:['-20', '20', '-20', '40', '0'] pred:[17.672825 20.       17.619026 40.        0.      ]
hybrid_0_40_0_0_40_200_80_450 gt:['0', '40', '0', '0', '40'] pred:[ 2.8691716 44.58381    0.         0.        40.590282 ]
hybrid_0_40_0_0_0_0_60_400 gt:['0', '40', '0', '0', '0'] pred:[ 3.38045   43.998524   0.         0.         1.5753541]
hatchback_0_20_-20_20_40_240_60_450 gt:['0', '20', '-20', '20', '40'] pred:[ 2.9402285 18.792292  16.541037  13.497388  45.19234  ]
sedan2door_0_20_0_20_40_360_80_400 gt:['0', '20', '0', '20', '40'] pred:[ 2.9524467 20.140083   0.        20.        41.085556 ]
suv_-20_40_-20_20_0_0_20_450 gt:['-20', '40', '-20', '20', '0'] pred:[18.06348  40.       23.411987 20.        0.      ]
hatchback_-20_40_-20_0_0_280_60_400 gt:['-20', '40', '-20', '0', '0'] pred:[19.83153   40.74858   21.797169   4.3013425  2.3693304]
sedan4door_0_0_-40_20_20_0_20_450 gt:['0', '0', '-40', '20', '20'] pred:[ 2.681796  0.       43.96288  20.       20.      ]
sedan4door_0_0_0_20_0_200_60_400 gt:['0', '0', '0', '20', '0'] pred:[ 1.6131166  1.8684715  0.        14.983285   1.5909357]
sedan4door_0_0_0_0_20_120_40_400 gt:['0', '0', '0', '0', '20'] pred:[ 0.         1.5958617  0.         2.628822  20.       ]
hybrid_0_40_0_20_40_160_60_450 gt:['0', '40', '0', '20', '40'] pred:[ 0.      39.97158  0.      20.      41.42177]
suv_-40_40_0_40_20_160_40_450 gt:['-40', '40', '0', '40', '20'] pred:[40.       40.79734   0.       41.680565 25.26312 ]
sedan4door_-20_0_-20_20_0_320_80_450 gt:['-20', '0', '-20', '20', '0'] pred:[16.63948    3.422913  18.467054  19.717798   1.9740307]
suv_0_0_-40_40_20_240_40_450 gt:['0', '0', '-40', '40', '20'] pred:[ 0.         4.6886277 40.        42.4415    20.216932 ]
hybrid_-40_40_0_20_20_40_80_450 gt:['-40', '40', '0', '20', '20'] pred:[41.21612  42.198784  0.       20.       20.914677]
hybrid_-20_0_-20_0_0_0_20_400 gt:['-20', '0', '-20', '0', '0'] pred:[22.493042  0.       20.        0.        0.      ]
hatchback_-40_20_-20_40_40_360_40_450 gt:['-40', '20', '-20', '40', '40'] pred:[38.40873  20.       16.521305 40.       40.200134]
sedan2door_-40_20_-20_40_40_160_60_450 gt:['-40', '20', '-20', '40', '40'] pred:[43.49343  22.581356 20.       40.       41.873158]
sedan2door_-40_40_-40_40_20_200_80_400 gt:['-40', '40', '-40', '40', '20'] pred:[40.505753 39.283882 40.       40.       19.204445]
hatchback_-40_40_-20_40_0_0_40_400 gt:['-40', '40', '-20', '40', '0'] pred:[42.33806   40.        19.01908   40.         1.3504609]
suv_-40_0_0_0_40_40_80_450 gt:['-40', '0', '0', '0', '40'] pred:[43.010937  4.404186  3.529373  2.933574 41.31685 ]
hatchback_-40_40_0_0_0_160_20_400 gt:['-40', '40', '0', '0', '0'] pred:[40.        44.017803   0.         2.8221564  0.       ]
hatchback_-40_0_-20_20_40_360_20_400 gt:['-40', '0', '-20', '20', '40'] pred:[43.458035  0.       18.928547 20.       40.      ]
sedan4door_0_0_-20_40_40_240_60_450 gt:['0', '0', '-20', '40', '40'] pred:[ 0.94192183  1.7880753  13.717467   44.77936    44.96953   ]
hybrid_-20_40_-40_40_0_320_20_400 gt:['-20', '40', '-40', '40', '0'] pred:[17.344147  40.        40.        40.         1.0169407]
hybrid_0_20_-40_40_0_360_80_450 gt:['0', '20', '-40', '40', '0'] pred:[ 2.6967497 20.04579   40.        40.         1.2716901]
hatchback_0_0_0_40_20_0_60_450 gt:['0', '0', '0', '40', '20'] pred:[ 2.5484712  2.2466784  2.4726648 40.        20.372059 ]
sedan4door_0_40_0_40_40_0_40_400 gt:['0', '40', '0', '40', '40'] pred:[ 1.5293053 40.         2.538719  40.        42.859074 ]
hatchback_-20_40_0_20_20_80_20_400 gt:['-20', '40', '0', '20', '20'] pred:[25.198326 40.        0.       20.       20.      ]
sedan4door_0_0_0_20_20_280_40_450 gt:['0', '0', '0', '20', '20'] pred:[ 3.460291   8.918351   1.5669061 21.022053   9.198051 ]
suv_0_20_0_20_40_280_20_450 gt:['0', '20', '0', '20', '40'] pred:[ 6.7955923 20.         3.330685  20.        42.603085 ]
sedan2door_0_0_0_0_0_200_60_400 gt:['0', '0', '0', '0', '0'] pred:[4.0524445 3.5119505 0.        0.        1.2611433]
hatchback_-20_20_-40_0_40_120_60_400 gt:['-20', '20', '-40', '0', '40'] pred:[23.16697  23.048489 40.        3.151128 40.703377]
suv_-40_40_-40_40_0_40_40_400 gt:['-40', '40', '-40', '40', '0'] pred:[42.31493   40.        38.38459   40.         2.7092652]
suv_-20_40_-20_0_0_0_20_450 gt:['-20', '40', '-20', '0', '0'] pred:[21.47713  40.       24.522612  0.        0.      ]
hatchback_-20_0_-40_0_40_200_20_450 gt:['-20', '0', '-40', '0', '40'] pred:[20.         3.1688468 40.         1.5414126 46.417732 ]
sedan2door_-20_40_0_20_0_240_20_400 gt:['-20', '40', '0', '20', '0'] pred:[20.        47.190483   0.        20.         0.8929491]
sedan2door_-20_0_0_0_40_120_40_400 gt:['-20', '0', '0', '0', '40'] pred:[20.         3.7343593  0.         0.        40.       ]
sedan2door_-20_0_-20_40_0_320_60_450 gt:['-20', '0', '-20', '40', '0'] pred:[15.575266    4.2804923  20.         40.          0.72888345]
sedan2door_0_20_-20_0_0_40_40_400 gt:['0', '20', '-20', '0', '0'] pred:[ 2.8129108  20.         20.          0.          0.84767956]
sedan4door_-40_20_0_20_20_40_80_400 gt:['-40', '20', '0', '20', '20'] pred:[46.95971  16.986605  2.933308 23.112762 20.545763]
suv_-40_0_-40_40_40_320_40_400 gt:['-40', '0', '-40', '40', '40'] pred:[39.918903  0.       41.997253 40.       38.754868]
hatchback_0_40_0_40_20_160_20_450 gt:['0', '40', '0', '40', '20'] pred:[ 0.      47.17956  0.      40.62788 20.     ]
suv_-20_20_-20_20_0_200_60_450 gt:['-20', '20', '-20', '20', '0'] pred:[19.672169  27.749363  20.        12.868892   1.2402313]
hybrid_-20_0_0_40_20_360_60_400 gt:['-20', '0', '0', '40', '20'] pred:[20.423885  0.        0.       40.       19.484257]
sedan4door_-20_20_-20_40_0_280_80_400 gt:['-20', '20', '-20', '40', '0'] pred:[20.24235   20.843758  17.041355  40.834877   2.1499906]
hatchback_0_40_-40_40_20_320_40_400 gt:['0', '40', '-40', '40', '20'] pred:[ 6.459757 40.       43.347458 40.       16.31115 ]
hybrid_0_20_-20_20_0_240_40_450 gt:['0', '20', '-20', '20', '0'] pred:[ 0.        19.62452   20.        20.         1.2602446]
hybrid_-20_0_0_40_20_160_20_400 gt:['-20', '0', '0', '40', '20'] pred:[20.         2.4842649  0.        40.        20.       ]
hatchback_0_0_0_0_0_280_60_450 gt:['0', '0', '0', '0', '0'] pred:[2.686217  2.57786   2.5601377 2.3683364 1.1534514]
suv_-40_40_0_40_0_120_20_400 gt:['-40', '40', '0', '40', '0'] pred:[40.      41.2862   0.      33.19758  0.     ]
suv_-40_20_-20_40_20_0_60_400 gt:['-40', '20', '-20', '40', '20'] pred:[43.93687  20.725939 21.640232 40.       19.995785]
sedan2door_-40_40_0_40_20_40_60_400 gt:['-40', '40', '0', '40', '20'] pred:[44.011436 44.325977  0.       40.       21.396158]
hatchback_0_20_0_20_0_360_80_450 gt:['0', '20', '0', '20', '0'] pred:[ 2.6870604 23.830744   3.1014202 19.112045   1.8940585]
hybrid_0_20_-40_40_20_120_80_400 gt:['0', '20', '-40', '40', '20'] pred:[ 2.4562151 25.069052  40.        40.        17.558601 ]
hybrid_-40_20_-20_20_20_80_40_450 gt:['-40', '20', '-20', '20', '20'] pred:[44.22645 19.60644 20.      20.      20.     ]
hybrid_-40_40_-40_0_0_40_80_450 gt:['-40', '40', '-40', '0', '0'] pred:[42.86945  43.46583  40.        0.        2.630433]
hybrid_-20_0_-20_20_40_120_40_450 gt:['-20', '0', '-20', '20', '40'] pred:[20.         2.5781777 20.        20.        40.       ]
sedan4door_-40_20_-40_40_20_160_60_400 gt:['-40', '20', '-40', '40', '20'] pred:[45.411545 21.416426 40.       44.64272  23.111574]
hybrid_-40_20_-40_20_0_120_80_400 gt:['-40', '20', '-40', '20', '0'] pred:[42.734673  22.34998   40.        20.         1.3294097]
hybrid_-20_40_-20_20_0_120_20_450 gt:['-20', '40', '-20', '20', '0'] pred:[20.      43.91309 20.      20.       0.     ]
hatchback_-40_40_0_0_20_320_80_400 gt:['-40', '40', '0', '0', '20'] pred:[39.814705  42.870106   4.3101134  2.5828362 22.30395  ]
suv_-20_40_-20_20_40_360_60_450 gt:['-20', '40', '-20', '20', '40'] pred:[19.862654 42.49801  24.185287 20.       38.98563 ]
hybrid_0_40_-40_20_0_120_60_400 gt:['0', '40', '-40', '20', '0'] pred:[ 1.931954  43.689896  40.        20.         2.0896344]
sedan4door_0_0_-20_0_20_320_60_400 gt:['0', '0', '-20', '0', '20'] pred:[ 1.4726568  1.588721  18.761564   0.        20.305899 ]
hatchback_-20_20_0_40_0_120_80_400 gt:['-20', '20', '0', '40', '0'] pred:[22.624052  18.04946    3.3517478 42.43319    2.0147426]
sedan2door_-40_20_0_40_40_40_60_450 gt:['-40', '20', '0', '40', '40'] pred:[38.343708 23.35356   0.       40.       38.85873 ]
suv_-40_20_-40_40_0_360_40_400 gt:['-40', '20', '-40', '40', '0'] pred:[42.575897  20.        40.51333   40.         1.5039941]
sedan4door_-20_0_0_40_40_280_60_450 gt:['-20', '0', '0', '40', '40'] pred:[17.87859    3.60271    3.8554726 46.33317   41.601357 ]
hybrid_-20_0_0_0_40_120_60_400 gt:['-20', '0', '0', '0', '40'] pred:[19.409882   2.6383653  0.         0.        40.240948 ]
hybrid_0_0_-40_0_20_120_40_450 gt:['0', '0', '-40', '0', '20'] pred:[ 0.        3.043191 40.        0.       20.      ]
suv_0_40_0_40_20_160_40_450 gt:['0', '40', '0', '40', '20'] pred:[ 0.       42.951023  0.       43.698433 24.054688]
sedan2door_-20_20_-40_20_0_80_60_450 gt:['-20', '20', '-40', '20', '0'] pred:[18.637781  19.435612  40.        20.         1.2094369]
sedan4door_-40_0_-40_0_20_160_80_400 gt:['-40', '0', '-40', '0', '20'] pred:[37.619736   2.889301  47.82878    5.0877576 17.827862 ]
sedan2door_-20_40_-20_0_0_0_60_450 gt:['-20', '40', '-20', '0', '0'] pred:[19.606564  42.98672   20.         0.         1.3480022]
hybrid_0_40_-20_40_0_280_60_400 gt:['0', '40', '-20', '40', '0'] pred:[ 4.1357236 47.653698  20.        40.         1.6170989]
hybrid_0_20_-40_0_0_80_20_450 gt:['0', '20', '-40', '0', '0'] pred:[ 2.5815182 20.        40.         0.         0.       ]
hybrid_-40_40_0_0_20_240_20_450 gt:['-40', '40', '0', '0', '20'] pred:[40.       43.572514  0.        0.       20.863977]
sedan4door_-40_0_0_20_0_0_60_450 gt:['-40', '0', '0', '20', '0'] pred:[41.65079    2.0232618  2.5205967 20.         0.574167 ]
hatchback_-40_0_-40_20_20_200_60_450 gt:['-40', '0', '-40', '20', '20'] pred:[44.10206    3.7882824 40.        20.382515  16.097498 ]
sedan4door_-40_20_0_40_20_240_80_450 gt:['-40', '20', '0', '40', '20'] pred:[39.839104 19.004677  4.829597 38.988358 25.73741 ]
sedan4door_-20_20_-40_40_20_360_40_400 gt:['-20', '20', '-40', '40', '20'] pred:[20.784334 20.       46.922657 40.       21.277306]
suv_-40_0_-40_40_20_160_20_450 gt:['-40', '0', '-40', '40', '20'] pred:[40.         4.6623507 40.        45.550194  20.       ]
sedan4door_-40_40_-20_20_0_360_40_400 gt:['-40', '40', '-20', '20', '0'] pred:[39.173832  40.        16.09962   20.         1.9549866]
suv_-20_40_-20_20_0_320_80_400 gt:['-20', '40', '-20', '20', '0'] pred:[17.278835   43.926826   14.254229   21.026775    0.78573877]
hybrid_-40_20_-20_40_20_0_40_450 gt:['-40', '20', '-20', '40', '20'] pred:[44.117844 20.       20.       40.       20.203125]
sedan2door_-20_40_-20_20_20_40_60_450 gt:['-20', '40', '-20', '20', '20'] pred:[17.054424 44.242004 20.       20.       18.521767]
hatchback_0_0_0_40_0_240_40_400 gt:['0', '0', '0', '40', '0'] pred:[ 0.        4.7282    0.       40.765896  1.520134]
hybrid_0_0_-20_0_0_0_80_450 gt:['0', '0', '-20', '0', '0'] pred:[ 1.3302526  1.8386801 20.         0.         1.5118358]
hatchback_-20_0_-40_40_40_280_40_450 gt:['-20', '0', '-40', '40', '40'] pred:[16.65494   8.882539 38.9243   38.33915  38.088108]
hybrid_-20_40_-40_40_40_120_40_450 gt:['-20', '40', '-40', '40', '40'] pred:[20.      41.80454 40.      40.      40.     ]
hatchback_-40_40_-40_20_20_360_80_400 gt:['-40', '40', '-40', '20', '20'] pred:[40.369522 42.11377  39.563595 21.253885 19.985252]
suv_-40_20_0_0_20_280_60_400 gt:['-40', '20', '0', '0', '20'] pred:[45.400185  20.460466   2.5847428  0.        19.834274 ]
hatchback_-40_0_-40_40_0_360_60_400 gt:['-40', '0', '-40', '40', '0'] pred:[40.78855    4.435869  43.50239   40.         1.8107691]
sedan2door_0_20_-20_40_40_280_20_450 gt:['0', '20', '-20', '40', '40'] pred:[ 3.1357982 20.        20.        40.        43.149227 ]
hybrid_-20_20_-20_0_40_320_60_450 gt:['-20', '20', '-20', '0', '40'] pred:[18.473764 22.140125 20.        0.       42.303295]
sedan2door_-20_20_-20_20_40_280_80_450 gt:['-20', '20', '-20', '20', '40'] pred:[16.808659 22.193634 20.       20.       38.9435  ]
hybrid_0_0_-20_20_0_200_40_400 gt:['0', '0', '-20', '20', '0'] pred:[ 0.         1.465569  20.        20.         1.3823586]
suv_-40_0_-20_0_20_0_20_450 gt:['-40', '0', '-20', '0', '20'] pred:[43.2245    0.       18.541359  0.       20.      ]
sedan2door_0_0_0_0_40_240_20_400 gt:['0', '0', '0', '0', '40'] pred:[ 0.         2.5116684  0.         0.        41.92811  ]
sedan4door_0_0_-20_20_20_0_40_450 gt:['0', '0', '-20', '20', '20'] pred:[ 2.4663475  0.        20.22025   20.        22.275309 ]
sedan2door_-20_0_-20_40_0_160_80_400 gt:['-20', '0', '-20', '40', '0'] pred:[18.075487   3.6131358 20.        40.         1.6209772]
hybrid_-20_0_-20_20_20_40_60_450 gt:['-20', '0', '-20', '20', '20'] pred:[16.013283  0.       20.       20.       21.00388 ]
suv_0_40_-40_40_40_80_20_450 gt:['0', '40', '-40', '40', '40'] pred:[ 2.7907436 40.        47.22066   40.        40.       ]
suv_-40_0_-40_0_40_0_20_400 gt:['-40', '0', '-40', '0', '40'] pred:[43.295918  0.       41.86321   0.       40.      ]
sedan2door_-40_0_0_0_0_360_20_450 gt:['-40', '0', '0', '0', '0'] pred:[43.06738  0.       0.       0.       0.     ]
suv_-40_20_-40_40_20_120_80_450 gt:['-40', '20', '-40', '40', '20'] pred:[42.843254 17.941462 40.281227 44.025467 23.50078 ]
hybrid_-20_40_-40_20_20_240_60_400 gt:['-20', '40', '-40', '20', '20'] pred:[19.164389 46.146263 40.       20.       20.276566]
hatchback_0_40_-40_40_0_120_20_400 gt:['0', '40', '-40', '40', '0'] pred:[ 0.       41.426983 40.       36.393887  0.      ]
sedan4door_-40_40_-20_40_40_120_60_400 gt:['-40', '40', '-20', '40', '40'] pred:[38.550667 40.924866 20.       41.579853 39.66017 ]
hatchback_0_40_0_40_0_320_60_400 gt:['0', '40', '0', '40', '0'] pred:[ 3.1634614 41.266438   2.01505   45.198418   2.064783 ]
hybrid_0_0_-20_0_0_0_80_400 gt:['0', '0', '-20', '0', '0'] pred:[ 2.1144118  3.02288   20.         0.         1.0139157]
hybrid_-40_20_0_0_0_240_20_450 gt:['-40', '20', '0', '0', '0'] pred:[40.        19.767664   0.         0.         1.7186136]
suv_-40_40_-40_20_0_200_60_400 gt:['-40', '40', '-40', '20', '0'] pred:[42.915718  40.060127  40.        15.047822   2.0450122]
sedan2door_-20_40_-40_0_20_40_60_450 gt:['-20', '40', '-40', '0', '20'] pred:[17.12857  44.999203 40.        0.       18.809004]
sedan4door_0_20_-20_40_20_320_40_400 gt:['0', '20', '-20', '40', '20'] pred:[ 4.7235622 20.        18.779177  40.        21.029943 ]
sedan2door_-40_20_-40_40_20_40_20_450 gt:['-40', '20', '-40', '40', '20'] pred:[44.301964 20.       40.       40.       20.      ]
hybrid_-20_20_0_40_40_40_20_400 gt:['-20', '20', '0', '40', '40'] pred:[24.610806 20.        0.       40.       40.      ]
suv_-40_20_-20_40_40_240_20_450 gt:['-40', '20', '-20', '40', '40'] pred:[40.       12.335963 20.       42.550964 42.394474]
hybrid_-20_20_-40_20_20_360_60_450 gt:['-20', '20', '-40', '20', '20'] pred:[20.7796  20.58931 40.      20.      20.09766]
suv_-20_40_0_0_20_40_20_400 gt:['-20', '40', '0', '0', '20'] pred:[21.98059   40.         7.4750156  0.        20.       ]
sedan2door_0_0_0_0_40_360_40_400 gt:['0', '0', '0', '0', '40'] pred:[ 3.5918732  0.         0.         0.        42.586452 ]
sedan4door_-20_40_-40_20_0_120_20_400 gt:['-20', '40', '-40', '20', '0'] pred:[20.       45.813057 40.       20.709328  0.      ]
sedan2door_-20_20_-20_40_0_0_40_400 gt:['-20', '20', '-20', '40', '0'] pred:[18.078362  20.        20.        40.         1.7409762]
hatchback_0_20_-20_20_0_80_80_450 gt:['0', '20', '-20', '20', '0'] pred:[ 2.9711912 19.906471  15.063443  15.846827   0.       ]
suv_-40_20_-40_40_20_0_40_400 gt:['-40', '20', '-40', '40', '20'] pred:[42.457485 20.       40.00192  40.       18.288435]
sedan4door_-40_40_0_0_0_320_80_450 gt:['-40', '40', '0', '0', '0'] pred:[41.11668   41.53746    3.9589498  3.032102   2.121024 ]
hybrid_-40_0_-20_20_0_200_60_450 gt:['-40', '0', '-20', '20', '0'] pred:[45.197613    2.8163104  20.         20.          0.79985875]
sedan4door_-20_20_0_20_20_40_20_400 gt:['-20', '20', '0', '20', '20'] pred:[19.717634  20.         1.7690268 20.        20.       ]
suv_0_40_-40_20_20_360_80_450 gt:['0', '40', '-40', '20', '20'] pred:[ 3.963646 43.519104 45.105038 20.429861 21.15319 ]
hatchback_-40_40_0_20_20_240_40_400 gt:['-40', '40', '0', '20', '20'] pred:[40.       44.134373  0.       23.079634 22.936522]
hatchback_0_40_0_20_40_360_20_450 gt:['0', '40', '0', '20', '40'] pred:[ 2.8760448 40.         4.2113523 20.        40.       ]
sedan4door_0_40_-20_40_0_120_80_400 gt:['0', '40', '-20', '40', '0'] pred:[ 3.8702238 41.00426   19.77554   38.80699    2.7709665]
hatchback_0_20_-20_40_20_240_20_400 gt:['0', '20', '-20', '40', '20'] pred:[ 0.       16.931505 20.       44.922363 20.987087]
hybrid_-40_40_-20_40_40_80_80_450 gt:['-40', '40', '-20', '40', '40'] pred:[38.651264 44.573074 20.       40.       40.      ]
suv_-40_20_0_40_40_160_80_400 gt:['-40', '20', '0', '40', '40'] pred:[41.84216  17.573053  0.       40.67645  37.0756  ]
sedan4door_-20_40_-20_20_0_360_40_400 gt:['-20', '40', '-20', '20', '0'] pred:[22.049213  40.        19.463814  20.         1.7718662]
suv_0_20_-40_20_40_80_80_400 gt:['0', '20', '-40', '20', '40'] pred:[ 3.2663383 21.391867  37.58323   15.483221  40.       ]
hatchback_-20_40_-20_0_40_0_40_450 gt:['-20', '40', '-20', '0', '40'] pred:[19.732138 40.       22.852299  0.       43.141792]
sedan4door_-20_0_0_20_20_160_80_450 gt:['-20', '0', '0', '20', '20'] pred:[15.660823   2.9950335  3.8592865 17.75391   23.269173 ]
sedan4door_0_0_-40_20_0_120_60_400 gt:['0', '0', '-40', '20', '0'] pred:[ 1.7763089  1.7688652 40.        17.462126   2.665689 ]
sedan2door_-40_40_-20_0_20_80_60_400 gt:['-40', '40', '-20', '0', '20'] pred:[42.921352 43.69483  20.        0.       15.302716]
sedan2door_-40_0_-20_40_40_200_60_400 gt:['-40', '0', '-20', '40', '40'] pred:[45.97604    2.8584404 20.        40.        36.682545 ]
hybrid_0_0_-40_40_40_40_80_450 gt:['0', '0', '-40', '40', '40'] pred:[ 2.014577   1.8001888 40.        40.        41.828136 ]
hatchback_0_40_0_0_0_120_20_400 gt:['0', '40', '0', '0', '0'] pred:[ 0.       45.83207   0.        4.155758  0.      ]
sedan4door_-40_40_-40_0_0_0_80_400 gt:['-40', '40', '-40', '0', '0'] pred:[40.71193   40.174538  42.116272   4.1323423  2.2794611]
sedan2door_0_20_-40_40_40_80_80_400 gt:['0', '20', '-40', '40', '40'] pred:[ 2.4856043 19.94717   40.        40.        40.       ]
hatchback_-40_40_0_40_40_120_60_400 gt:['-40', '40', '0', '40', '40'] pred:[41.662075 39.770027  0.       41.48562  38.329033]
sedan4door_0_0_0_0_20_80_60_450 gt:['0', '0', '0', '0', '20'] pred:[ 1.9211248  0.9205559  1.214196   2.9709198 16.208782 ]
hybrid_0_0_-20_0_0_240_60_400 gt:['0', '0', '-20', '0', '0'] pred:[ 0.          4.3894997  20.          0.          0.39036876]
sedan2door_-40_40_-40_40_0_40_40_400 gt:['-40', '40', '-40', '40', '0'] pred:[43.907898  40.        40.        40.         1.4450198]
sedan4door_-20_40_0_0_40_40_80_450 gt:['-20', '40', '0', '0', '40'] pred:[24.391775  44.99391    5.957256   6.3109117 41.09668  ]
suv_0_20_-40_40_20_120_20_450 gt:['0', '20', '-40', '40', '20'] pred:[ 0.       19.964916 40.       44.22562  20.      ]
hybrid_0_20_-40_0_20_240_60_400 gt:['0', '20', '-40', '0', '20'] pred:[ 0.       21.82884  40.        0.       23.837801]
hatchback_0_20_-20_40_20_160_80_450 gt:['0', '20', '-20', '40', '20'] pred:[ 2.2789767 17.49738   14.2051325 44.454338  19.477915 ]
sedan4door_-40_0_-40_20_0_160_60_400 gt:['-40', '0', '-40', '20', '0'] pred:[44.09623    2.83819   40.        20.156294   2.9129426]
hatchback_-40_0_0_40_20_0_40_450 gt:['-40', '0', '0', '40', '20'] pred:[40.8808     0.         1.5602503 40.        19.186823 ]
hybrid_-20_40_0_20_20_80_80_400 gt:['-20', '40', '0', '20', '20'] pred:[14.380576 44.778137  0.       20.       20.      ]
suv_-40_20_-40_40_40_360_20_450 gt:['-40', '20', '-40', '40', '40'] pred:[41.06647 20.      41.88518 40.      40.     ]
sedan4door_-40_0_-20_0_20_280_20_400 gt:['-40', '0', '-20', '0', '20'] pred:[43.257027  0.       18.952415  0.       20.416958]
hybrid_-40_40_-40_40_0_40_60_450 gt:['-40', '40', '-40', '40', '0'] pred:[44.103123  43.534435  40.        40.         2.0198445]
