hatchback_-30_23_-36_48_15_50_70_420:gt ['-30', '23', '-36', '48', '15']:pred [22.140604 32.98356  23.272306 27.071785 17.089697]
hybrid_-50_15_-22_48_28_230_30_420:gt ['-50', '15', '-22', '48', '28']:pred [50.         5.4992466 22.        48.        29.857323 ]
hatchback_-17_45_-4_10_28_20_30_420:gt ['-17', '45', '-4', '10', '28']:pred [18.472597 45.       16.78896  10.       26.029257]
hybrid_-50_23_-4_10_46_20_30_420:gt ['-50', '23', '-4', '10', '46']:pred [21.701126 23.       16.366472 10.       34.51965 ]
sedan2door_-30_45_-22_48_15_230_70_420:gt ['-30', '45', '-22', '48', '15']:pred [34.163452  29.280926  22.        48.         5.5751143]
sedan2door_-17_15_-22_48_28_20_70_420:gt ['-17', '15', '-22', '48', '28']:pred [20.186838 12.558571 22.       48.       17.926342]
sedan4door_-50_45_-36_48_28_140_70_420:gt ['-50', '45', '-36', '48', '28']:pred [26.327354 15.530826 25.919964 33.007248 20.608843]
sedan2door_-50_23_-22_35_46_230_30_420:gt ['-50', '23', '-22', '35', '46']:pred [50.       21.121447 22.       35.       28.931337]
sedan2door_-30_23_-22_35_28_50_30_420:gt ['-30', '23', '-22', '35', '28']:pred [27.238022 23.       22.       35.       28.      ]
suv_-50_15_-4_48_46_140_70_420:gt ['-50', '15', '-4', '48', '46']:pred [22.347584   7.1995234 15.45478   26.181095  41.56116  ]
sedan2door_-30_45_-4_10_15_140_70_420:gt ['-30', '45', '-4', '10', '15']:pred [32.35964   18.500513   9.3127365 14.896161  13.520122 ]
suv_-30_15_-36_48_15_230_70_420:gt ['-30', '15', '-36', '48', '15']:pred [41.782562 11.536954 44.11088  35.45896  13.925975]
sedan4door_-17_45_-36_10_15_20_70_420:gt ['-17', '45', '-36', '10', '15']:pred [27.406399 29.699268 15.487688 10.       20.710135]
sedan4door_-17_15_-22_48_15_230_70_420:gt ['-17', '15', '-22', '48', '15']:pred [18.046593 14.581718 28.348434 38.207413  8.042728]
suv_-17_45_-22_10_15_50_70_420:gt ['-17', '45', '-22', '10', '15']:pred [30.259642 26.315523  9.537976 16.509756  8.29546 ]
hatchback_-30_15_-4_10_15_140_30_420:gt ['-30', '15', '-4', '10', '15']:pred [ 7.6500964 11.483557   4.        22.78789    9.555565 ]
sedan4door_-17_45_-4_35_15_50_30_420:gt ['-17', '45', '-4', '35', '15']:pred [27.661015 45.        7.182336 35.       19.871407]
hatchback_-17_45_-4_35_28_230_30_420:gt ['-17', '45', '-4', '35', '28']:pred [17.       42.65871   4.       27.001396 34.069206]
sedan4door_-30_15_-36_10_28_140_30_420:gt ['-30', '15', '-36', '10', '28']:pred [ 9.594483  9.980987 36.       13.910888 11.377684]
hybrid_-50_23_-22_35_46_230_70_420:gt ['-50', '23', '-22', '35', '46']:pred [32.872585 22.85938  22.       35.       24.663013]
suv_-30_23_-36_48_15_50_30_420:gt ['-30', '23', '-36', '48', '15']:pred [18.7146   23.       19.180323 48.        8.667124]
hybrid_-30_23_-4_48_28_140_70_420:gt ['-30', '23', '-4', '48', '28']:pred [25.009575  9.766545  9.4952   13.564667 31.115631]
sedan4door_-30_15_-36_35_28_230_30_420:gt ['-30', '15', '-36', '35', '28']:pred [30.       14.15351  36.       20.560062 25.157152]
hybrid_-30_15_-4_35_46_230_30_420:gt ['-30', '15', '-4', '35', '46']:pred [30.        9.518996  4.       35.       42.012775]
sedan4door_-17_15_-36_35_46_20_70_420:gt ['-17', '15', '-36', '35', '46']:pred [23.998163 25.464615 22.753103 35.       27.01869 ]
suv_-30_15_-4_35_46_230_30_420:gt ['-30', '15', '-4', '35', '46']:pred [30.       22.717419  4.       22.701397 35.487946]
sedan4door_-17_15_-4_48_46_50_70_420:gt ['-17', '15', '-4', '48', '46']:pred [28.473524 23.566088 13.707396 48.       10.874829]
sedan4door_-30_15_-22_10_46_50_70_420:gt ['-30', '15', '-22', '10', '46']:pred [18.530054 19.783112 15.196792 10.       14.088124]
sedan2door_-30_15_-22_35_46_230_70_420:gt ['-30', '15', '-22', '35', '46']:pred [32.816547 12.522825 22.       35.       21.093336]
sedan2door_-50_45_-4_10_46_20_70_420:gt ['-50', '45', '-4', '10', '46']:pred [35.97583   28.963406   6.9191937 10.        31.595278 ]
sedan4door_-17_45_-36_35_46_230_30_420:gt ['-17', '45', '-36', '35', '46']:pred [11.799166 45.342667 36.       35.254795 42.413826]
sedan2door_-50_45_-22_10_46_230_30_420:gt ['-50', '45', '-22', '10', '46']:pred [50.       37.449013 22.       10.       35.65008 ]
hatchback_-30_15_-36_35_15_140_30_420:gt ['-30', '15', '-36', '35', '15']:pred [ 8.103655  9.504154 36.       31.334564 14.69488 ]
hybrid_-17_45_-4_35_15_230_30_420:gt ['-17', '45', '-4', '35', '15']:pred [17.       33.979774  4.       35.       11.807601]
suv_-50_15_-22_48_15_140_30_420:gt ['-50', '15', '-22', '48', '15']:pred [10.671313   7.2752185 22.        34.781246   5.6964145]
sedan4door_-17_23_-4_48_15_230_70_420:gt ['-17', '23', '-4', '48', '15']:pred [15.64341  17.748117 17.981047 36.980682  6.102751]
suv_-17_45_-22_10_28_140_30_420:gt ['-17', '45', '-22', '10', '28']:pred [10.083307  17.308653  22.        20.573233   5.6233068]
sedan4door_-50_45_-36_35_46_20_30_420:gt ['-50', '45', '-36', '35', '46']:pred [33.940247 45.       13.09168  35.       17.252102]
hatchback_-17_23_-36_10_28_140_30_420:gt ['-17', '23', '-36', '10', '28']:pred [ 7.7197876 11.762442  36.        30.13517   16.361273 ]
sedan4door_-17_23_-4_10_15_140_70_420:gt ['-17', '23', '-4', '10', '15']:pred [15.966459  7.688661 15.946097 10.978667 18.233065]
suv_-30_15_-36_10_15_230_70_420:gt ['-30', '15', '-36', '10', '15']:pred [44.839836  9.062388 40.238815 16.019735 12.73142 ]
sedan4door_-50_23_-22_35_15_230_70_420:gt ['-50', '23', '-22', '35', '15']:pred [33.68214  20.579067 24.889185 21.967218 12.018734]
sedan2door_-30_45_-22_35_46_20_70_420:gt ['-30', '45', '-22', '35', '46']:pred [31.862518  33.826946   5.6954813 17.498802  30.398294 ]
suv_-17_45_-36_35_15_50_30_420:gt ['-17', '45', '-36', '35', '15']:pred [21.48366  45.       15.187799 35.        8.151472]
suv_-30_23_-4_10_28_50_30_420:gt ['-30', '23', '-4', '10', '28']:pred [16.011591 23.       17.503296 10.        6.031495]
suv_-17_15_-36_35_28_230_30_420:gt ['-17', '15', '-36', '35', '28']:pred [17.       16.357037 36.       14.796136 23.612438]
sedan4door_-17_45_-4_10_15_50_30_420:gt ['-17', '45', '-4', '10', '15']:pred [29.324112  45.         6.6611376 10.        20.859411 ]
hybrid_-50_45_-22_10_15_20_30_420:gt ['-50', '45', '-22', '10', '15']:pred [21.89296  45.       16.699408 10.       15.587869]
sedan4door_-17_23_-36_35_15_50_70_420:gt ['-17', '23', '-36', '35', '15']:pred [31.813427 27.335886 19.410477 15.839617 10.233997]
hybrid_-50_23_-4_35_15_20_70_420:gt ['-50', '23', '-4', '35', '15']:pred [34.755188 28.91191  11.930738 35.       13.442672]
hatchback_-30_45_-22_48_28_140_70_420:gt ['-30', '45', '-22', '48', '28']:pred [31.346466 19.352188 20.171757 34.609535 36.21366 ]
suv_-50_23_-4_48_46_140_70_420:gt ['-50', '23', '-4', '48', '46']:pred [19.493025 11.184886 19.254736 32.56582  41.89361 ]
suv_-17_45_-4_10_46_20_30_420:gt ['-17', '45', '-4', '10', '46']:pred [12.218452 45.       10.909593 10.       35.11434 ]
suv_-50_15_-4_35_46_50_30_420:gt ['-50', '15', '-4', '35', '46']:pred [15.377199  15.        20.849485  35.         6.5956974]
hatchback_-50_15_-4_35_15_20_30_420:gt ['-50', '15', '-4', '35', '15']:pred [23.325775 15.       15.725484 35.       16.653147]
hatchback_-17_23_-22_35_28_230_70_420:gt ['-17', '23', '-22', '35', '28']:pred [15.023412 28.635828 15.073637 30.188002 15.120784]
hybrid_-30_45_-22_10_28_20_30_420:gt ['-30', '45', '-22', '10', '28']:pred [13.363314 45.       22.       10.       32.06288 ]
hybrid_-17_45_-22_35_28_20_70_420:gt ['-17', '45', '-22', '35', '28']:pred [23.330666 22.417109  4.105476 35.       40.46517 ]
hatchback_-30_23_-4_10_28_50_70_420:gt ['-30', '23', '-4', '10', '28']:pred [21.03616  29.695793 14.823982 27.041174 24.59273 ]
hatchback_-17_23_-4_48_28_20_70_420:gt ['-17', '23', '-4', '48', '28']:pred [20.010967 23.31112  14.565725 18.75451  33.168137]
sedan4door_-50_15_-22_48_28_20_30_420:gt ['-50', '15', '-22', '48', '28']:pred [29.189793 15.       21.549831 48.       23.987982]
sedan4door_-17_23_-22_10_46_140_70_420:gt ['-17', '23', '-22', '10', '46']:pred [17.746243   6.5644517 21.233305   9.3153    27.04647  ]
sedan4door_-30_23_-36_10_15_20_30_420:gt ['-30', '23', '-36', '10', '15']:pred [29.638792 23.       18.10219  10.       16.85352 ]
sedan2door_-17_23_-4_48_28_140_30_420:gt ['-17', '23', '-4', '48', '28']:pred [ 6.1831255 10.008652   4.        48.         5.429774 ]
hatchback_-30_23_-4_48_15_20_70_420:gt ['-30', '23', '-4', '48', '15']:pred [26.715847  26.26058   14.2645445 48.        18.732903 ]
sedan2door_-30_23_-22_48_15_230_70_420:gt ['-30', '23', '-22', '48', '15']:pred [35.006245  17.682396  22.        48.         5.8684363]
suv_-50_45_-36_48_15_50_30_420:gt ['-50', '45', '-36', '48', '15']:pred [22.123096  45.        14.5728855 48.         4.8293858]
sedan2door_-50_45_-22_35_28_20_30_420:gt ['-50', '45', '-22', '35', '28']:pred [33.705185 45.       22.       35.       30.080366]
sedan4door_-30_45_-36_35_46_230_70_420:gt ['-30', '45', '-36', '35', '46']:pred [40.996613 31.98943  24.40774  25.186422 29.886728]
suv_-17_15_-36_48_15_50_30_420:gt ['-17', '15', '-36', '48', '15']:pred [16.654488 15.       15.491908 48.        8.443829]
hybrid_-30_45_-36_10_28_140_30_420:gt ['-30', '45', '-36', '10', '28']:pred [10.311016 27.560564 36.       10.        6.306644]
hatchback_-17_23_-36_10_15_20_70_420:gt ['-17', '23', '-36', '10', '15']:pred [12.155019 24.367832 17.868504 10.       16.687403]
sedan2door_-17_15_-22_48_15_20_70_420:gt ['-17', '15', '-22', '48', '15']:pred [20.61616  12.553184 22.       48.       26.754152]
sedan4door_-30_45_-36_10_46_140_70_420:gt ['-30', '45', '-36', '10', '46']:pred [29.377579 14.963233 29.695286 16.66104  23.677164]
sedan2door_-17_23_-22_35_46_230_30_420:gt ['-17', '23', '-22', '35', '46']:pred [17.       20.297485 22.       35.       29.495905]
sedan4door_-17_23_-36_48_28_140_70_420:gt ['-17', '23', '-36', '48', '28']:pred [29.258348  7.403284 28.670883 20.461334 20.9908  ]
sedan2door_-50_15_-4_35_28_20_30_420:gt ['-50', '15', '-4', '35', '28']:pred [27.83699  15.        4.       35.       29.166847]
hatchback_-30_23_-4_48_46_50_30_420:gt ['-30', '23', '-4', '48', '46']:pred [23.89947   23.         6.8905606 48.        27.521795 ]
sedan2door_-30_23_-36_48_15_140_70_420:gt ['-30', '23', '-36', '48', '15']:pred [35.92183   9.261913  6.766977 10.33391  13.665807]
hybrid_-17_23_-36_10_46_20_70_420:gt ['-17', '23', '-36', '10', '46']:pred [21.359196 31.95345  36.       10.       48.50734 ]
hybrid_-17_15_-4_35_28_230_30_420:gt ['-17', '15', '-4', '35', '28']:pred [17.        5.54734   4.       35.       27.157442]
hybrid_-50_45_-36_48_15_230_30_420:gt ['-50', '45', '-36', '48', '15']:pred [50.       34.40733  36.       48.       14.611693]
sedan4door_-50_15_-4_35_15_50_70_420:gt ['-50', '15', '-4', '35', '15']:pred [27.537113 30.478914 10.491182 35.        7.251475]
suv_-30_45_-22_35_28_20_30_420:gt ['-30', '45', '-22', '35', '28']:pred [24.107641 45.       20.652819 35.       33.89252 ]
sedan2door_-50_45_-36_10_28_50_30_420:gt ['-50', '45', '-36', '10', '28']:pred [32.38657  45.       36.       10.        9.331584]
hatchback_-30_23_-4_48_15_230_30_420:gt ['-30', '23', '-4', '48', '15']:pred [30.        9.163433  4.       22.836172 25.100086]
suv_-50_15_-36_48_28_50_70_420:gt ['-50', '15', '-36', '48', '28']:pred [14.194073 36.64971  16.99795  24.330017 14.759749]
sedan4door_-30_23_-22_35_28_20_70_420:gt ['-30', '23', '-22', '35', '28']:pred [28.121235  30.210068   6.2887974 17.47473   21.433643 ]
suv_-30_15_-36_10_28_230_30_420:gt ['-30', '15', '-36', '10', '28']:pred [30.         9.37318   36.         6.1914515 23.214981 ]
hybrid_-30_23_-22_35_15_230_30_420:gt ['-30', '23', '-22', '35', '15']:pred [30.        6.828103 22.       35.       15.048641]
sedan4door_-17_15_-36_48_46_50_30_420:gt ['-17', '15', '-36', '48', '46']:pred [26.177534 15.       16.490788 48.       46.      ]
hybrid_-17_45_-4_35_28_140_30_420:gt ['-17', '45', '-4', '35', '28']:pred [ 7.2695527 27.505405   4.        35.         4.1862955]
sedan4door_-17_15_-22_35_28_20_30_420:gt ['-17', '15', '-22', '35', '28']:pred [24.903658 15.       19.881552 35.       28.463522]
suv_-17_15_-22_10_28_140_70_420:gt ['-17', '15', '-22', '10', '28']:pred [25.399761   3.4456255 21.890375   7.1418605 24.8886   ]
sedan2door_-50_15_-22_10_46_20_70_420:gt ['-50', '15', '-22', '10', '46']:pred [30.91209  14.776304  7.822879 10.       28.937511]
hybrid_-50_15_-4_35_28_230_70_420:gt ['-50', '15', '-4', '35', '28']:pred [37.85777  13.884766  4.       35.       21.852568]
sedan4door_-30_15_-36_35_15_230_30_420:gt ['-30', '15', '-36', '35', '15']:pred [30.       14.563537 36.       22.376242 18.322718]
sedan4door_-30_15_-4_10_46_230_70_420:gt ['-30', '15', '-4', '10', '46']:pred [32.343616  10.180472   3.7966368  7.1448445 35.662163 ]
sedan4door_-50_45_-22_48_46_50_30_420:gt ['-50', '45', '-22', '48', '46']:pred [22.601885 45.        8.92648  48.       46.      ]
suv_-17_15_-22_10_28_20_70_420:gt ['-17', '15', '-22', '10', '28']:pred [27.592127 23.360868  9.400085 10.       30.663826]
hatchback_-30_45_-22_48_28_50_70_420:gt ['-30', '45', '-22', '48', '28']:pred [31.20304  35.683735 21.378786 29.358889 24.37605 ]
hybrid_-17_45_-22_35_46_50_70_420:gt ['-17', '45', '-22', '35', '46']:pred [20.723999 25.524546 22.       35.       32.25649 ]
hybrid_-30_15_-22_35_46_50_30_420:gt ['-30', '15', '-22', '35', '46']:pred [25.704435 15.       22.       35.       18.138668]
sedan2door_-17_23_-36_48_15_140_70_420:gt ['-17', '23', '-36', '48', '15']:pred [21.77875    7.4162993 10.109354   7.5303125 19.437916 ]
sedan2door_-30_23_-4_48_46_140_70_420:gt ['-30', '23', '-4', '48', '46']:pred [37.100716 10.561848  6.592479  8.04871  17.430138]
sedan4door_-17_23_-22_48_15_20_30_420:gt ['-17', '23', '-22', '48', '15']:pred [28.264164 23.       17.127386 48.       19.994814]
sedan2door_-50_45_-36_10_28_20_70_420:gt ['-50', '45', '-36', '10', '28']:pred [36.52856   25.810715   7.2920947 10.        17.651072 ]
hybrid_-50_45_-36_35_15_230_30_420:gt ['-50', '45', '-36', '35', '15']:pred [50.       33.951733 36.       35.       14.269427]
hatchback_-17_23_-22_10_15_230_70_420:gt ['-17', '23', '-22', '10', '15']:pred [17.028648 22.358015 14.857931 14.381049 10.740426]
hybrid_-50_45_-4_35_46_140_70_420:gt ['-50', '45', '-4', '35', '46']:pred [18.40664  23.948809 12.229392 21.633038 40.324566]
suv_-50_15_-36_48_28_20_70_420:gt ['-50', '15', '-36', '48', '28']:pred [39.323017 32.92905  22.945332 22.696873 25.209381]
sedan4door_-30_23_-22_10_15_20_70_420:gt ['-30', '23', '-22', '10', '15']:pred [27.982672  24.548857   5.0604105 17.956081  18.77833  ]
sedan2door_-50_15_-4_48_28_50_30_420:gt ['-50', '15', '-4', '48', '28']:pred [28.555876 15.        4.       48.       28.      ]
sedan4door_-30_45_-36_10_46_230_30_420:gt ['-30', '45', '-36', '10', '46']:pred [10.652515 44.2159   36.       21.802755 47.50775 ]
suv_-30_45_-36_35_15_20_30_420:gt ['-30', '45', '-36', '35', '15']:pred [28.004421 45.       18.136667 35.       14.730351]
sedan4door_-50_23_-36_10_15_20_70_420:gt ['-50', '23', '-36', '10', '15']:pred [32.265705 29.292648 20.96326  28.0639   20.741302]
hatchback_-17_45_-4_35_28_140_70_420:gt ['-17', '45', '-4', '35', '28']:pred [23.426281  19.606451  12.3962345 20.628912  35.845863 ]
sedan2door_-50_15_-22_10_28_50_70_420:gt ['-50', '15', '-22', '10', '28']:pred [19.457129  22.61114    5.9592924 10.        17.422493 ]
hatchback_-30_23_-4_48_15_50_30_420:gt ['-30', '23', '-4', '48', '15']:pred [24.020998   9.100196   7.1126466 48.        18.754984 ]
sedan2door_-30_45_-22_10_46_50_70_420:gt ['-30', '45', '-22', '10', '46']:pred [22.960297 29.519129 22.       10.       27.504992]
hybrid_-30_23_-4_48_28_140_30_420:gt ['-30', '23', '-4', '48', '28']:pred [ 8.705458 10.155505  4.       48.        6.558295]
suv_-50_15_-22_35_28_230_30_420:gt ['-50', '15', '-22', '35', '28']:pred [50.       15.87398  22.       14.454246 23.291191]
suv_-17_45_-22_35_15_140_70_420:gt ['-17', '45', '-22', '35', '15']:pred [21.428581 14.86286  30.865448 22.81907  11.277164]
suv_-50_45_-22_35_46_140_30_420:gt ['-50', '45', '-22', '35', '46']:pred [ 8.609829 21.538425 22.       28.942764  9.325884]
hybrid_-17_23_-22_35_46_20_30_420:gt ['-17', '23', '-22', '35', '46']:pred [10.603608 23.       18.244839 35.       36.31708 ]
suv_-17_15_-4_48_46_20_70_420:gt ['-17', '15', '-4', '48', '46']:pred [24.866364 25.836496 11.901607  8.927057 29.632399]
hatchback_-50_23_-4_10_28_50_70_420:gt ['-50', '23', '-4', '10', '28']:pred [21.199268  30.700104   7.1481194 33.73439   21.198978 ]
hatchback_-17_45_-4_35_15_50_70_420:gt ['-17', '45', '-4', '35', '15']:pred [34.594383 25.52773  19.931679 35.       15.297021]
hybrid_-50_45_-36_35_46_50_30_420:gt ['-50', '45', '-36', '35', '46']:pred [15.810374 14.699    36.       35.       19.537117]
suv_-17_23_-36_35_46_230_30_420:gt ['-17', '23', '-36', '35', '46']:pred [17.       20.501526 36.       28.745699 33.400394]
hatchback_-17_23_-22_48_15_140_70_420:gt ['-17', '23', '-22', '48', '15']:pred [21.355629  8.560877 22.224234 23.295948 14.484888]
hybrid_-30_45_-4_35_28_20_30_420:gt ['-30', '45', '-4', '35', '28']:pred [13.1911955 45.         4.        35.        31.741873 ]
sedan4door_-17_15_-22_48_15_140_70_420:gt ['-17', '15', '-22', '48', '15']:pred [26.77511    5.0180993 24.36803   22.294035  15.068493 ]
hybrid_-50_15_-36_10_15_20_70_420:gt ['-50', '15', '-36', '10', '15']:pred [33.348644 17.603043 36.       10.       12.753167]
hybrid_-50_23_-36_48_46_230_30_420:gt ['-50', '23', '-36', '48', '46']:pred [50.       11.66696  36.       48.       36.775696]
sedan4door_-50_45_-22_48_46_230_30_420:gt ['-50', '45', '-22', '48', '46']:pred [50.       43.32528  22.       41.984226 43.474464]
sedan4door_-30_15_-22_10_46_140_70_420:gt ['-30', '15', '-22', '10', '46']:pred [29.074673  5.387678 14.266195 12.446466 24.389236]
hatchback_-30_45_-4_48_28_140_70_420:gt ['-30', '45', '-4', '48', '28']:pred [28.468225 20.160597 12.525176 36.826107 39.504017]
sedan2door_-30_45_-4_35_28_50_30_420:gt ['-30', '45', '-4', '35', '28']:pred [30.207163 45.        4.       35.       28.      ]
hybrid_-30_15_-4_10_15_20_30_420:gt ['-30', '15', '-4', '10', '15']:pred [12.801881 15.        4.       10.       20.182777]
sedan4door_-17_15_-22_35_15_140_30_420:gt ['-17', '15', '-22', '35', '15']:pred [ 5.537245  9.207233 22.       20.776047 11.708104]
sedan2door_-50_23_-36_48_15_50_30_420:gt ['-50', '23', '-36', '48', '15']:pred [31.763285 23.       36.       48.       15.      ]
suv_-17_45_-36_48_15_50_30_420:gt ['-17', '45', '-36', '48', '15']:pred [22.0837    45.        15.3647375 48.         7.638412 ]
hatchback_-17_15_-22_10_28_230_30_420:gt ['-17', '15', '-22', '10', '28']:pred [17.        5.899305 22.        9.677682 30.118944]
hatchback_-30_45_-4_48_46_20_70_420:gt ['-30', '45', '-4', '48', '46']:pred [28.457535 33.97648  13.187729 19.788559 43.016796]
hybrid_-30_15_-4_35_15_230_30_420:gt ['-30', '15', '-4', '35', '15']:pred [30.         4.9490824  4.        35.        17.65716  ]
hatchback_-30_23_-36_35_15_230_30_420:gt ['-30', '23', '-36', '35', '15']:pred [30.       14.516933 36.       25.89813  20.772333]
suv_-17_15_-22_10_46_50_30_420:gt ['-17', '15', '-22', '10', '46']:pred [14.431421 15.       21.666628 10.       10.07552 ]
suv_-50_45_-36_48_15_140_30_420:gt ['-50', '45', '-36', '48', '15']:pred [11.475494 24.596846 36.       29.588215  6.132463]
hatchback_-50_15_-4_35_28_140_70_420:gt ['-50', '15', '-4', '35', '28']:pred [21.197132   4.3221226 10.821437  19.767216  32.58423  ]
hybrid_-50_45_-22_35_15_140_30_420:gt ['-50', '45', '-22', '35', '15']:pred [ 8.531862 28.264202 22.       35.        7.131922]
suv_-50_23_-4_10_46_20_70_420:gt ['-50', '23', '-4', '10', '46']:pred [35.84987  22.198956 11.03498  17.58488  29.575493]
suv_-30_45_-4_35_46_140_30_420:gt ['-30', '45', '-4', '35', '46']:pred [ 6.5099154 17.495586   4.        29.079245   7.1218753]
sedan4door_-30_45_-4_48_46_230_30_420:gt ['-30', '45', '-4', '48', '46']:pred [30.       42.213116  4.       42.765274 47.5382  ]
sedan2door_-50_15_-4_35_28_230_30_420:gt ['-50', '15', '-4', '35', '28']:pred [50.       11.616759  4.       35.       22.217134]
hybrid_-30_23_-36_10_15_230_30_420:gt ['-30', '23', '-36', '10', '15']:pred [30.         6.8140354 36.        10.        14.496832 ]
sedan2door_-50_23_-4_35_15_140_30_420:gt ['-50', '23', '-4', '35', '15']:pred [ 5.466499  13.075998   4.        35.         5.1087213]
hatchback_-17_45_-22_48_28_140_70_420:gt ['-17', '45', '-22', '48', '28']:pred [19.534748 16.552488 21.149923 29.253885 34.56006 ]
hybrid_-30_15_-4_10_15_20_70_420:gt ['-30', '15', '-4', '10', '15']:pred [24.560083 20.931057  4.       10.       16.95834 ]
sedan4door_-50_45_-4_35_28_50_30_420:gt ['-50', '45', '-4', '35', '28']:pred [15.167431 45.       13.135386 35.       28.      ]
hybrid_-30_45_-36_35_46_20_30_420:gt ['-30', '45', '-36', '35', '46']:pred [13.445356 45.       13.484653 35.       32.791245]
hybrid_-30_23_-22_48_15_20_70_420:gt ['-30', '23', '-22', '48', '15']:pred [25.554695 33.1446   22.       48.       18.343634]
hatchback_-30_45_-22_35_15_50_30_420:gt ['-30', '45', '-22', '35', '15']:pred [24.641966   9.33311    7.9684343 35.        20.687845 ]
sedan4door_-17_45_-22_35_15_50_30_420:gt ['-17', '45', '-22', '35', '15']:pred [31.005924 45.       11.174849 35.       19.064901]
sedan4door_-30_23_-36_35_28_140_30_420:gt ['-30', '23', '-36', '35', '28']:pred [ 7.2994175 11.795007  36.        20.155462  13.077235 ]
hatchback_-30_45_-4_10_28_20_70_420:gt ['-30', '45', '-4', '10', '28']:pred [31.487854 29.343098  8.43161  14.331446 39.300777]
suv_-30_15_-4_10_28_50_30_420:gt ['-30', '15', '-4', '10', '28']:pred [16.873178  15.        17.419624  10.         5.6616583]
sedan4door_-50_15_-36_35_15_140_30_420:gt ['-50', '15', '-36', '35', '15']:pred [ 8.222536  10.725297  36.        21.49316   14.3201885]
sedan4door_-50_15_-4_10_15_20_70_420:gt ['-50', '15', '-4', '10', '15']:pred [34.23317   13.0379     6.5669837 18.442102  14.032828 ]
suv_-30_45_-36_48_46_50_30_420:gt ['-30', '45', '-36', '48', '46']:pred [25.680706 45.       13.732879 48.        6.77246 ]
hybrid_-17_15_-22_10_46_20_30_420:gt ['-17', '15', '-22', '10', '46']:pred [ 8.94957 15.      22.      10.      38.15205]
hybrid_-17_15_-4_10_46_140_30_420:gt ['-17', '15', '-4', '10', '46']:pred [ 8.291983 10.342687  4.       10.        9.27294 ]
suv_-30_23_-4_35_15_230_70_420:gt ['-30', '23', '-4', '35', '15']:pred [42.343246 21.034605 31.668352 22.885391 11.572932]
hatchback_-17_23_-4_10_15_20_70_420:gt ['-17', '23', '-4', '10', '15']:pred [18.022232 21.291039 14.220994 10.       19.895514]
suv_-17_15_-36_10_46_140_30_420:gt ['-17', '15', '-36', '10', '46']:pred [13.761099   5.2803392 36.        16.77554    9.78775  ]
