hatchback_-17_23_-22_35_46_50_30_420 gt:['-17', '23', '-22', '35', '46'] pred:[16.039074  23.        53.794945  38.30845    1.0227133]
sedan4door_-17_23_-4_48_28_20_30_420 gt:['-17', '23', '-4', '48', '28'] pred:[11.991805  23.        47.423344  38.37648    5.0534344]
sedan4door_-17_45_-4_48_46_20_30_420 gt:['-17', '45', '-4', '48', '46'] pred:[10.58998   45.        40.11978   48.         4.9294343]
sedan2door_-17_45_-36_48_15_230_30_420 gt:['-17', '45', '-36', '48', '15'] pred:[17.       37.10624  36.       18.895424 15.310723]
hybrid_-50_23_-22_48_46_230_30_420 gt:['-50', '23', '-22', '48', '46'] pred:[50.       16.253227 22.       17.885323 45.154613]
hybrid_-17_45_-36_35_28_20_70_420 gt:['-17', '45', '-36', '35', '28'] pred:[18.289064 15.251204 25.527369 35.       13.328681]
suv_-17_23_-22_10_46_50_70_420 gt:['-17', '23', '-22', '10', '46'] pred:[13.23236   24.992168  14.386579   3.2586744 23.57138  ]
suv_-50_45_-22_48_46_230_30_420 gt:['-50', '45', '-22', '48', '46'] pred:[50.       27.059189 22.       47.461876 23.6317  ]
hybrid_-50_23_-22_48_15_20_70_420 gt:['-50', '23', '-22', '48', '15'] pred:[33.17327   9.902318 18.886627 48.       20.914503]
hatchback_-50_15_-36_48_28_230_30_420 gt:['-50', '15', '-36', '48', '28'] pred:[50.       13.667444 36.       42.134785 27.058197]
hybrid_-17_45_-36_35_15_230_30_420 gt:['-17', '45', '-36', '35', '15'] pred:[17.       30.807156 36.       27.087877 12.491291]
suv_-50_45_-22_10_46_140_30_420 gt:['-50', '45', '-22', '10', '46'] pred:[50.       25.980324 44.979744 34.906834 46.      ]
sedan4door_-17_15_-22_35_28_230_30_420 gt:['-17', '15', '-22', '35', '28'] pred:[17.       19.919806 22.       22.70874  32.739857]
hybrid_-50_45_-22_48_28_50_30_420 gt:['-50', '45', '-22', '48', '28'] pred:[21.473305 45.       54.828938 48.       12.391767]
hybrid_-30_15_-4_48_46_140_70_420 gt:['-30', '15', '-4', '48', '46'] pred:[22.033842 29.721495 37.267376 13.952107 28.569653]
suv_-17_15_-22_48_15_140_30_420 gt:['-17', '15', '-22', '48', '15'] pred:[17.       17.961634 22.       48.54592  15.      ]
sedan2door_-30_15_-4_48_46_140_30_420 gt:['-30', '15', '-4', '48', '46'] pred:[30.       19.846933  4.       34.24318  46.      ]
hybrid_-50_23_-36_48_15_140_70_420 gt:['-50', '23', '-36', '48', '15'] pred:[29.535189  33.54389   26.192421   4.9595957  8.721935 ]
sedan4door_-17_23_-22_10_28_140_70_420 gt:['-17', '23', '-22', '10', '28'] pred:[22.651344 18.828278 22.        8.59767  16.882874]
hybrid_-30_45_-4_48_46_20_70_420 gt:['-30', '45', '-4', '48', '46'] pred:[24.604511 16.971634 23.233597 28.660885  8.796214]
sedan2door_-17_23_-36_10_46_20_30_420 gt:['-17', '23', '-36', '10', '46'] pred:[20.455212 23.       33.575745 10.       23.978037]
suv_-50_23_-36_35_28_50_70_420 gt:['-50', '23', '-36', '35', '28'] pred:[28.918861  31.237732  19.746212   7.3669186 15.870675 ]
suv_-30_45_-4_35_46_140_70_420 gt:['-30', '45', '-4', '35', '46'] pred:[28.127989 33.84442  46.445107  9.750061 22.463453]
hatchback_-50_45_-22_10_15_230_30_420 gt:['-50', '45', '-22', '10', '15'] pred:[50.       28.121828 22.       40.202312 10.61341 ]
hybrid_-50_45_-4_10_15_230_70_420 gt:['-50', '45', '-4', '10', '15'] pred:[11.150298  13.054238  23.806366  12.1968155  9.760562 ]
hybrid_-30_15_-36_48_28_230_30_420 gt:['-30', '15', '-36', '48', '28'] pred:[30.        8.728738 36.       14.950269 31.275019]
sedan2door_-30_45_-22_48_15_230_30_420 gt:['-30', '45', '-22', '48', '15'] pred:[30.       36.37433  22.       18.79962  15.401099]
sedan4door_-30_23_-22_48_15_20_30_420 gt:['-30', '23', '-22', '48', '15'] pred:[23.983276  23.        50.371048  48.         9.4367485]
hatchback_-17_15_-36_10_28_20_70_420 gt:['-17', '15', '-36', '10', '28'] pred:[19.171959  5.709713 27.839582 10.       12.786935]
hatchback_-30_45_-36_35_46_50_70_420 gt:['-30', '45', '-36', '35', '46'] pred:[25.829323 19.582111 48.882626 16.090618 18.781998]
sedan2door_-50_15_-36_10_28_230_70_420 gt:['-50', '15', '-36', '10', '28'] pred:[ 9.747035 11.96942  29.981165 12.489565 13.897185]
hybrid_-17_15_-36_48_46_140_70_420 gt:['-17', '15', '-36', '48', '46'] pred:[15.925618 23.511644 34.39948  13.396886 31.336023]
sedan4door_-50_45_-22_35_15_20_70_420 gt:['-50', '45', '-22', '35', '15'] pred:[25.78061  28.013186 25.74168  35.        6.264807]
suv_-50_45_-36_48_28_50_70_420 gt:['-50', '45', '-36', '48', '28'] pred:[26.826468 24.74574  22.880713  8.776253 19.787415]
hybrid_-17_15_-4_10_46_140_70_420 gt:['-17', '15', '-4', '10', '46'] pred:[15.874547 23.211262 33.49859  14.604823 31.850521]
suv_-50_23_-22_48_46_140_30_420 gt:['-50', '23', '-22', '48', '46'] pred:[50.       17.905178 22.       41.103992 46.      ]
suv_-30_23_-36_48_15_20_30_420 gt:['-30', '23', '-36', '48', '15'] pred:[23.147833 23.       55.500988 48.        4.914771]
sedan2door_-17_23_-36_48_46_50_30_420 gt:['-17', '23', '-36', '48', '46'] pred:[20.635391 23.       29.83891  30.9482    5.252709]
suv_-50_45_-36_48_28_50_30_420 gt:['-50', '45', '-36', '48', '28'] pred:[21.526041 45.       50.927063 48.       28.      ]
sedan4door_-50_15_-22_48_46_230_30_420 gt:['-50', '15', '-22', '48', '46'] pred:[50.       16.621117 22.       33.233616 41.69183 ]
hatchback_-17_45_-36_35_28_20_70_420 gt:['-17', '45', '-36', '35', '28'] pred:[14.330289 20.695633 28.861277 32.3401   10.026972]
suv_-30_45_-4_48_15_20_30_420 gt:['-30', '45', '-4', '48', '15'] pred:[15.410728  45.        50.109623  44.676277   5.5543194]
suv_-17_23_-22_10_15_50_70_420 gt:['-17', '23', '-22', '10', '15'] pred:[13.751344  25.763021  12.749226   3.7575264 15.069353 ]
hatchback_-17_15_-36_10_15_140_30_420 gt:['-17', '15', '-36', '10', '15'] pred:[17.      13.81601 36.      24.72511 15.     ]
sedan2door_-17_45_-4_10_15_50_30_420 gt:['-17', '45', '-4', '10', '15'] pred:[22.605295  45.        24.373758  33.415684   5.1914973]
suv_-30_23_-36_10_46_50_70_420 gt:['-30', '23', '-36', '10', '46'] pred:[14.731628  28.384604  22.773628   5.4948235 22.809381 ]
hybrid_-30_23_-4_48_46_20_70_420 gt:['-30', '23', '-4', '48', '46'] pred:[28.474207   7.0186486 29.974815  48.        11.27016  ]
sedan4door_-30_15_-22_48_46_230_70_420 gt:['-30', '15', '-22', '48', '46'] pred:[13.34694  11.573949 42.95928  14.000157 26.122368]
suv_-50_45_-36_35_28_140_70_420 gt:['-50', '45', '-36', '35', '28'] pred:[36.835526  41.63922   41.58263    8.9977045 22.041504 ]
sedan4door_-50_45_-22_10_46_20_30_420 gt:['-50', '45', '-22', '10', '46'] pred:[23.95808  45.       42.975273 10.       14.048041]
sedan4door_-30_45_-36_35_46_20_70_420 gt:['-30', '45', '-36', '35', '46'] pred:[30.046732 19.246975 30.916197 35.        9.629498]
hybrid_-30_45_-4_48_28_20_70_420 gt:['-30', '45', '-4', '48', '28'] pred:[25.298227 20.310251 20.352627 30.155289 10.047263]
sedan2door_-17_15_-4_48_46_50_30_420 gt:['-17', '15', '-4', '48', '46'] pred:[22.514078 15.       26.661242 32.43432   5.316964]
sedan2door_-30_45_-22_10_15_50_70_420 gt:['-30', '45', '-22', '10', '15'] pred:[20.405693 33.536602 20.4793   11.092817 37.478146]
sedan4door_-17_15_-36_10_15_50_30_420 gt:['-17', '15', '-36', '10', '15'] pred:[26.040703  15.        53.979683  51.983513   1.9595279]
hybrid_-30_15_-22_35_15_50_30_420 gt:['-30', '15', '-22', '35', '15'] pred:[20.663301 15.       36.261852 35.       10.364251]
hybrid_-50_15_-36_10_28_140_30_420 gt:['-50', '15', '-36', '10', '28'] pred:[50.       15.780291 36.       11.287858 28.      ]
sedan2door_-17_45_-22_48_15_230_70_420 gt:['-17', '45', '-22', '48', '15'] pred:[ 5.512311 24.48428  20.92151   4.36416  15.678765]
sedan2door_-30_45_-4_35_15_20_70_420 gt:['-30', '45', '-4', '35', '15'] pred:[25.780107 39.237656 17.119373 17.996803 15.934825]
hatchback_-30_15_-4_10_15_140_30_420 gt:['-30', '15', '-4', '10', '15'] pred:[30.       14.398652  4.       22.778662 15.      ]
sedan4door_-30_23_-36_35_46_50_30_420 gt:['-30', '23', '-36', '35', '46'] pred:[23.668478  23.        54.67141   45.25964    0.5817752]
suv_-50_45_-36_10_28_140_70_420 gt:['-50', '45', '-36', '10', '28'] pred:[34.133274 44.468246 26.586142  4.934183 21.240347]
hatchback_-50_45_-4_48_46_140_30_420 gt:['-50', '45', '-4', '48', '46'] pred:[50.       19.990904  4.       42.11081  46.      ]
sedan4door_-50_23_-36_48_28_50_70_420 gt:['-50', '23', '-36', '48', '28'] pred:[31.799511 23.53283  19.836058 13.695982 11.882265]
suv_-30_15_-36_10_46_20_30_420 gt:['-30', '15', '-36', '10', '46'] pred:[22.499655  15.        55.019947  47.886765   2.5778773]
suv_-17_23_-4_10_15_20_30_420 gt:['-17', '23', '-4', '10', '15'] pred:[14.295368 23.       50.336502 10.       11.143335]
sedan2door_-50_45_-4_48_28_140_30_420 gt:['-50', '45', '-4', '48', '28'] pred:[ 8.953291 25.206396  4.       32.186687 28.      ]
hatchback_-30_45_-4_48_46_140_70_420 gt:['-30', '45', '-4', '48', '46'] pred:[21.132664 25.390545 39.549225 19.82072  28.55276 ]
suv_-50_45_-22_48_46_140_70_420 gt:['-50', '45', '-22', '48', '46'] pred:[31.805449 36.960224 46.00068  11.927347 21.048834]
sedan2door_-30_15_-22_10_46_20_30_420 gt:['-30', '15', '-22', '10', '46'] pred:[25.98741  15.       40.388012 10.       18.031038]
hatchback_-50_45_-22_10_28_230_70_420 gt:['-50', '45', '-22', '10', '28'] pred:[22.171652 12.785891 36.12464   5.924191 19.546265]
hatchback_-30_23_-4_10_15_140_30_420 gt:['-30', '23', '-4', '10', '15'] pred:[30.       17.29224   4.       30.920265 15.      ]
suv_-30_23_-36_48_28_140_70_420 gt:['-30', '23', '-36', '48', '28'] pred:[16.359386 24.541656 51.258507 21.35077  21.789497]
sedan4door_-50_15_-36_10_15_230_70_420 gt:['-50', '15', '-36', '10', '15'] pred:[15.985128  19.486797  45.363903   6.125842   5.6344724]
hybrid_-30_15_-4_35_46_50_70_420 gt:['-30', '15', '-4', '35', '46'] pred:[24.73165  12.276886 29.082296 17.010914 33.083286]
hybrid_-30_45_-4_10_28_50_70_420 gt:['-30', '45', '-4', '10', '28'] pred:[28.940065 21.998652 31.915495 21.403816 26.659906]
hatchback_-30_23_-22_48_15_140_30_420 gt:['-30', '23', '-22', '48', '15'] pred:[30.       12.578032 22.       43.774284 15.      ]
suv_-30_45_-22_48_46_50_70_420 gt:['-30', '45', '-22', '48', '46'] pred:[12.472214  23.316906  21.645576   7.3126707 24.39975  ]
sedan4door_-17_45_-22_48_46_20_30_420 gt:['-17', '45', '-22', '48', '46'] pred:[17.23281  45.       45.568863 48.        8.332219]
suv_-30_15_-22_10_15_230_70_420 gt:['-30', '15', '-22', '10', '15'] pred:[13.164595   6.5780377 42.084198   7.3515115  5.6827607]
sedan2door_-17_45_-22_35_15_230_70_420 gt:['-17', '45', '-22', '35', '15'] pred:[ 5.2099495 24.474577  21.646597   3.9425411 16.021475 ]
suv_-17_45_-36_35_15_140_70_420 gt:['-17', '45', '-36', '35', '15'] pred:[25.360153  30.757803  44.73273   14.734034   4.8399796]
sedan4door_-50_15_-4_35_15_20_70_420 gt:['-50', '15', '-4', '35', '15'] pred:[28.872478 10.620792 16.159184  8.691322  9.701336]
sedan4door_-17_15_-36_35_46_50_70_420 gt:['-17', '15', '-36', '35', '46'] pred:[22.099422 21.29343  22.834152 13.608996 17.318064]
sedan4door_-17_15_-36_48_46_230_30_420 gt:['-17', '15', '-36', '48', '46'] pred:[17.       14.852793 36.       35.710476 36.397682]
sedan2door_-30_15_-36_35_28_140_30_420 gt:['-30', '15', '-36', '35', '28'] pred:[30.       18.529415 36.       32.942123 28.      ]
hybrid_-17_15_-36_48_46_140_30_420 gt:['-17', '15', '-36', '48', '46'] pred:[17.       15.438313 36.       17.797457 46.      ]
hatchback_-50_23_-22_35_28_230_30_420 gt:['-50', '23', '-22', '35', '28'] pred:[50.       16.27404  22.       36.452454 26.639036]
suv_-17_45_-4_10_28_230_70_420 gt:['-17', '45', '-4', '10', '28'] pred:[ 3.1030557 17.177536  42.42585    5.263272  15.835682 ]
hatchback_-30_23_-4_35_15_20_30_420 gt:['-30', '23', '-4', '35', '15'] pred:[20.548895  23.        53.461964  35.         2.9791126]
sedan4door_-30_23_-36_48_15_20_30_420 gt:['-30', '23', '-36', '48', '15'] pred:[25.741344 23.       53.865246 48.       10.655778]
hatchback_-50_45_-4_35_28_50_30_420 gt:['-50', '45', '-4', '35', '28'] pred:[22.023087   45.         55.33097    35.          0.88612396]
hybrid_-17_23_-4_35_28_50_70_420 gt:['-17', '23', '-4', '35', '28'] pred:[21.590961 13.489174 24.41336  30.60223  28.298445]
hybrid_-50_23_-36_10_46_50_30_420 gt:['-50', '23', '-36', '10', '46'] pred:[18.09161  23.       52.80658  10.        3.421763]
sedan4door_-17_15_-4_10_46_140_70_420 gt:['-17', '15', '-4', '10', '46'] pred:[22.548376 11.500235  4.        8.67199  25.18515 ]
sedan4door_-17_45_-36_10_46_20_70_420 gt:['-17', '45', '-36', '10', '46'] pred:[30.81311  16.339947 32.576782 10.       15.107309]
sedan4door_-30_45_-4_48_46_230_30_420 gt:['-30', '45', '-4', '48', '46'] pred:[30.       29.304499  4.       42.829254 38.848778]
sedan2door_-30_23_-36_10_46_230_30_420 gt:['-30', '23', '-36', '10', '46'] pred:[30.       15.934416 36.       14.878938 34.999115]
sedan4door_-30_23_-22_48_28_140_30_420 gt:['-30', '23', '-22', '48', '28'] pred:[30.       16.66117  22.       44.367477 28.      ]
hybrid_-50_45_-4_35_28_140_30_420 gt:['-50', '45', '-4', '35', '28'] pred:[ 5.2499413 30.8825    38.10793   12.177935  28.       ]
sedan4door_-30_15_-36_10_46_140_30_420 gt:['-30', '15', '-36', '10', '46'] pred:[30.        7.802622 36.       29.346476 46.      ]
hybrid_-50_15_-4_10_28_50_30_420 gt:['-50', '15', '-4', '10', '28'] pred:[21.307232 15.       51.98392  10.        4.517338]
hybrid_-30_45_-22_10_28_20_30_420 gt:['-30', '45', '-22', '10', '28'] pred:[23.209814 45.       40.943966 10.       23.10583 ]
sedan2door_-30_23_-36_35_28_20_70_420 gt:['-30', '23', '-36', '35', '28'] pred:[30.732822 17.403843 18.873724 25.299492 31.995478]
suv_-50_23_-36_10_28_230_70_420 gt:['-50', '23', '-36', '10', '28'] pred:[15.6586685 15.733629  48.27406    9.969284   5.5476446]
sedan2door_-30_45_-4_35_46_140_30_420 gt:['-30', '45', '-4', '35', '46'] pred:[ 7.134209 23.515642  4.       34.51056  46.      ]
sedan2door_-30_15_-4_10_46_50_70_420 gt:['-30', '15', '-4', '10', '46'] pred:[21.45113  10.797786 17.876774 21.993387 40.93756 ]
suv_-17_23_-36_10_46_50_30_420 gt:['-17', '23', '-36', '10', '46'] pred:[17.277298  23.        53.820736  53.303368   1.5379069]
sedan4door_-50_15_-36_35_46_50_30_420 gt:['-50', '15', '-36', '35', '46'] pred:[26.803213   3.8789656 52.129593  50.684536   0.6122144]
hybrid_-17_45_-4_48_28_20_30_420 gt:['-17', '45', '-4', '48', '28'] pred:[19.85935  45.       43.24809  48.       31.436691]
hatchback_-17_45_-4_48_28_140_70_420 gt:['-17', '45', '-4', '48', '28'] pred:[12.608249 23.605875 32.76024  26.473932  9.809811]
hybrid_-30_23_-4_48_15_230_70_420 gt:['-30', '23', '-4', '48', '15'] pred:[15.320946  7.56553  28.37172   8.915321  9.976199]
hybrid_-30_23_-4_35_46_140_70_420 gt:['-30', '23', '-4', '35', '46'] pred:[17.031559 33.89846  33.53479   7.801871 28.161007]
sedan4door_-17_45_-4_10_15_50_30_420 gt:['-17', '45', '-4', '10', '15'] pred:[14.911238  45.        34.168243  46.95858    0.9932866]
hatchback_-50_45_-4_48_46_20_30_420 gt:['-50', '45', '-4', '48', '46'] pred:[20.045347  45.        51.801594  46.032295   7.6217313]
hatchback_-50_45_-36_48_46_230_70_420 gt:['-50', '45', '-36', '48', '46'] pred:[22.529795 18.70026  38.89644  14.198004 36.181236]
sedan2door_-30_23_-22_35_15_50_70_420 gt:['-30', '23', '-22', '35', '15'] pred:[22.621653 16.330196 16.192183 20.53514  36.33472 ]
sedan4door_-30_15_-22_10_28_230_70_420 gt:['-30', '15', '-22', '10', '28'] pred:[11.833842  14.497248  41.813587   8.6879015 17.137856 ]
suv_-17_15_-36_35_28_50_30_420 gt:['-17', '15', '-36', '35', '28'] pred:[16.786127  15.        50.081577  53.73248    1.5423341]
hybrid_-30_23_-36_35_15_20_30_420 gt:['-30', '23', '-36', '35', '15'] pred:[25.563417 23.       42.714367 35.        9.958875]
hatchback_-30_15_-36_10_46_230_30_420 gt:['-30', '15', '-36', '10', '46'] pred:[30.       15.899683 36.       18.831802 30.628138]
suv_-17_23_-4_10_46_230_30_420 gt:['-17', '23', '-4', '10', '46'] pred:[17.       12.554436  4.       19.064014 19.250214]
hybrid_-17_15_-36_35_28_140_30_420 gt:['-17', '15', '-36', '35', '28'] pred:[17.        12.9818735 36.        15.80789   28.       ]
hybrid_-17_23_-4_35_28_140_70_420 gt:['-17', '23', '-4', '35', '28'] pred:[14.61848   25.270697  27.916992   6.767881   5.1956944]
hybrid_-50_23_-4_35_15_50_30_420 gt:['-50', '23', '-4', '35', '15'] pred:[22.813295 23.       52.07837  35.        9.302784]
hybrid_-17_45_-22_35_15_140_30_420 gt:['-17', '45', '-22', '35', '15'] pred:[ 6.43929  29.80266  37.827847 16.090193 15.      ]
sedan4door_-17_15_-4_48_15_140_70_420 gt:['-17', '15', '-4', '48', '15'] pred:[22.086452 14.91491  28.661552 23.112598  3.227113]
sedan2door_-50_23_-36_35_28_20_30_420 gt:['-50', '23', '-36', '35', '28'] pred:[31.426298 23.       40.713413 35.       21.077032]
hybrid_-30_45_-36_10_15_20_30_420 gt:['-30', '45', '-36', '10', '15'] pred:[24.505207 45.       43.413727 10.       13.173667]
hatchback_-50_45_-36_35_46_230_30_420 gt:['-50', '45', '-36', '35', '46'] pred:[50.       30.3186   36.       42.534187 27.76187 ]
hatchback_-50_23_-36_10_28_140_70_420 gt:['-50', '23', '-36', '10', '28'] pred:[25.449186 17.755316 31.950405 11.007588 11.018482]
sedan4door_-17_45_-22_35_15_50_70_420 gt:['-17', '45', '-22', '35', '15'] pred:[26.002953  21.489931  14.691981   6.7127495  7.9962935]
hybrid_-50_45_-36_48_28_230_30_420 gt:['-50', '45', '-36', '48', '28'] pred:[50.       27.8722   36.       35.350777 27.874605]
sedan4door_-17_15_-4_48_46_50_30_420 gt:['-17', '15', '-4', '48', '46'] pred:[17.105433  2.834185 27.594887 46.91237  46.      ]
hybrid_-17_45_-22_10_46_20_70_420 gt:['-17', '45', '-22', '10', '46'] pred:[16.849096 11.412179 30.779613 10.       11.805951]
hybrid_-50_45_-22_10_46_230_30_420 gt:['-50', '45', '-22', '10', '46'] pred:[50.       31.8382   22.       36.265636 40.983837]
hybrid_-17_23_-22_35_15_20_70_420 gt:['-17', '23', '-22', '35', '15'] pred:[25.154112  7.976127 21.461805 35.       22.368567]
sedan4door_-30_15_-4_48_28_50_30_420 gt:['-30', '15', '-4', '48', '28'] pred:[26.337814   3.2221484 29.393251  41.774685   0.8705007]
sedan4door_-30_45_-4_48_28_230_70_420 gt:['-30', '45', '-4', '48', '28'] pred:[11.009058 22.735577 21.948864 16.630537 14.526798]
sedan2door_-30_45_-22_10_28_20_30_420 gt:['-30', '45', '-22', '10', '28'] pred:[24.072105 45.       32.310497 10.       11.657805]
sedan2door_-50_15_-22_48_15_140_70_420 gt:['-50', '15', '-22', '48', '15'] pred:[29.309605 23.699078 22.       13.245171 14.732214]
sedan2door_-17_23_-4_35_15_20_70_420 gt:['-17', '23', '-4', '35', '15'] pred:[21.111149 13.088968 23.358377 22.918484 22.374554]
hatchback_-50_45_-4_10_46_50_30_420 gt:['-50', '45', '-4', '10', '46'] pred:[18.557085  45.        54.96006   10.         1.3254455]
hybrid_-50_23_-22_10_15_230_70_420 gt:['-50', '23', '-22', '10', '15'] pred:[14.918361   8.801499  23.541101  13.576061   6.6261525]
sedan4door_-50_15_-36_10_28_20_70_420 gt:['-50', '15', '-36', '10', '28'] pred:[31.73906   6.117078 32.945778 10.       11.957338]
sedan2door_-50_23_-36_35_28_140_30_420 gt:['-50', '23', '-36', '35', '28'] pred:[50.       25.299652 36.       35.36089  28.      ]
sedan4door_-50_15_-4_10_28_20_70_420 gt:['-50', '15', '-4', '10', '28'] pred:[30.91471   8.310731 17.762352 10.942013 13.270938]
suv_-50_45_-36_48_28_20_70_420 gt:['-50', '45', '-36', '48', '28'] pred:[22.479902  36.6833    25.50526   11.279111   7.1187825]
sedan2door_-30_45_-36_10_15_140_30_420 gt:['-30', '45', '-36', '10', '15'] pred:[ 8.4987955 24.66225   36.        32.963184  15.       ]
sedan2door_-50_23_-22_48_28_20_70_420 gt:['-50', '23', '-22', '48', '28'] pred:[29.347557 16.055298 27.300095 28.139116 30.03699 ]
hybrid_-17_15_-4_35_15_140_30_420 gt:['-17', '15', '-4', '35', '15'] pred:[17.       14.63438   4.       15.175844 15.      ]
sedan2door_-17_15_-22_35_15_230_30_420 gt:['-17', '15', '-22', '35', '15'] pred:[17.        18.14215   22.         6.8774633 13.031636 ]
suv_-17_45_-4_10_46_230_30_420 gt:['-17', '45', '-4', '10', '46'] pred:[17.       26.729914  4.       30.60428  23.83195 ]
sedan2door_-17_15_-22_10_46_140_30_420 gt:['-17', '15', '-22', '10', '46'] pred:[17.      17.67168 22.      34.87447 46.     ]
sedan2door_-30_45_-4_10_46_20_30_420 gt:['-30', '45', '-4', '10', '46'] pred:[23.009998 45.       33.04428  10.       14.938208]
hatchback_-50_45_-22_48_28_50_30_420 gt:['-50', '45', '-22', '48', '28'] pred:[25.323818  45.        56.848995  48.         0.6245696]
suv_-30_45_-4_35_46_20_70_420 gt:['-30', '45', '-4', '35', '46'] pred:[26.008307  39.19972   17.81765    6.2787476 12.360218 ]
suv_-50_45_-22_10_28_140_70_420 gt:['-50', '45', '-22', '10', '28'] pred:[36.512615 45.34081  27.553373  4.906419 22.29907 ]
suv_-50_23_-4_35_28_20_30_420 gt:['-50', '23', '-4', '35', '28'] pred:[24.471058 23.       52.62453  35.       16.720581]
hybrid_-30_45_-36_10_46_230_30_420 gt:['-30', '45', '-36', '10', '46'] pred:[30.       30.826796 36.       36.576714 40.258152]
hybrid_-50_15_-4_10_15_230_70_420 gt:['-50', '15', '-4', '10', '15'] pred:[14.534054 11.290014 20.676142 11.596569  8.509783]
sedan2door_-30_15_-36_10_28_140_70_420 gt:['-30', '15', '-36', '10', '28'] pred:[22.565903 23.44727  36.       12.568071 20.285675]
suv_-50_45_-36_35_15_230_30_420 gt:['-50', '45', '-36', '35', '15'] pred:[50.       30.039957 36.       48.823788 17.851782]
sedan4door_-30_23_-4_10_46_50_70_420 gt:['-30', '23', '-4', '10', '46'] pred:[23.961796 19.580858  7.792883  7.225784 23.080662]
sedan2door_-17_23_-36_10_46_230_30_420 gt:['-17', '23', '-36', '10', '46'] pred:[17.       16.386919 36.       14.716251 37.652462]
sedan4door_-50_23_-22_48_46_230_70_420 gt:['-50', '23', '-22', '48', '46'] pred:[20.619959 16.275188 32.51921  14.321494 25.78407 ]
sedan2door_-30_45_-36_35_15_140_30_420 gt:['-30', '45', '-36', '35', '15'] pred:[ 8.359222 23.365736 36.       34.122295 15.      ]
sedan2door_-17_45_-4_10_28_50_70_420 gt:['-17', '45', '-4', '10', '28'] pred:[17.509388 38.020393 19.829193  9.987914 35.222603]
hatchback_-17_45_-4_10_46_230_30_420 gt:['-17', '45', '-4', '10', '46'] pred:[17.       30.979034  4.       38.26598  24.344656]
hybrid_-17_23_-4_10_15_20_70_420 gt:['-17', '23', '-4', '10', '15'] pred:[25.654293   7.9591994 21.523699  10.        22.472979 ]
sedan4door_-50_45_-36_10_28_20_70_420 gt:['-50', '45', '-36', '10', '28'] pred:[26.926598 24.28904  32.650707 10.       10.693788]
hybrid_-30_45_-36_10_28_140_70_420 gt:['-30', '45', '-36', '10', '28'] pred:[15.118366  40.01461   41.27327   17.494766   4.4796095]
hatchback_-50_45_-4_48_28_140_70_420 gt:['-50', '45', '-4', '48', '28'] pred:[29.080492 29.791355 24.536844 21.14239  10.957124]
suv_-17_15_-4_10_15_230_70_420 gt:['-17', '15', '-4', '10', '15'] pred:[ 3.9212916  4.9862723 40.86859    5.403652  10.868606 ]
sedan2door_-30_45_-22_48_46_50_70_420 gt:['-30', '45', '-22', '48', '46'] pred:[16.818068 36.83225  17.115852 11.577479 40.46812 ]
hybrid_-50_15_-22_35_15_230_30_420 gt:['-50', '15', '-22', '35', '15'] pred:[50.        9.755905 22.        5.795526 18.97507 ]
hybrid_-30_15_-36_35_46_50_30_420 gt:['-30', '15', '-36', '35', '46'] pred:[19.27584   15.        42.00153   35.         3.8825889]
