sedan2door_-40_40_0_0_20_280_40_450 gt:['-40', '40', '0', '0', '20'] pred:[39.060196  42.63761    7.7773824 15.438688  16.695766 ]
hatchback_0_0_-40_0_20_80_20_400 gt:['0', '0', '-40', '0', '20'] pred:[ 3.7281399  0.        46.51545    0.        20.       ]
sedan2door_-40_20_-20_20_0_40_60_450 gt:['-40', '20', '-20', '20', '0'] pred:[43.664204 19.34488  14.761083 20.        2.043037]
hatchback_-40_20_-40_20_0_120_80_450 gt:['-40', '20', '-40', '20', '0'] pred:[36.89019   17.8053    35.91302   18.015732   1.3391025]
hatchback_0_20_-40_0_0_40_40_400 gt:['0', '20', '-40', '0', '0'] pred:[ 2.7514212 20.        44.97246    0.         2.5563247]
hatchback_-40_40_-40_0_40_80_80_450 gt:['-40', '40', '-40', '0', '40'] pred:[34.0134    44.386444  44.98299    5.5049915 40.       ]
sedan4door_0_20_-20_20_0_200_80_400 gt:['0', '20', '-20', '20', '0'] pred:[ 3.1296096 19.44982   11.203462  16.387617   1.463389 ]
hatchback_0_40_-20_40_0_280_20_400 gt:['0', '40', '-20', '40', '0'] pred:[ 8.291576 40.       18.856611 40.        6.879026]
suv_-20_40_0_20_40_280_40_450 gt:['-20', '40', '0', '20', '40'] pred:[14.542467  43.56818    2.6415887 27.10747   40.45514  ]
suv_0_20_-20_0_40_240_60_400 gt:['0', '20', '-20', '0', '40'] pred:[ 3.5751147 16.589928  19.671637   2.2719722 41.309315 ]
hatchback_-40_40_-20_0_20_280_40_400 gt:['-40', '40', '-20', '0', '20'] pred:[42.850193 45.101368 12.475077 18.73041  20.80918 ]
hybrid_-20_0_-20_0_0_200_60_400 gt:['-20', '0', '-20', '0', '0'] pred:[17.378868   2.1852033 20.         5.3395753  0.9334928]
hybrid_0_20_-20_0_0_80_80_400 gt:['0', '20', '-20', '0', '0'] pred:[ 1.8331796 23.682735   5.489343   5.74644    0.       ]
suv_0_0_-20_0_20_80_20_400 gt:['0', '0', '-20', '0', '20'] pred:[ 3.3955357  0.        14.675436   0.        20.       ]
suv_-20_0_-40_0_40_280_20_400 gt:['-20', '0', '-40', '0', '40'] pred:[34.268547  0.       41.781586  0.       41.759705]
hybrid_-40_0_-40_20_20_200_80_450 gt:['-40', '0', '-40', '20', '20'] pred:[44.26671    3.2852159  9.034141   8.645967  18.072332 ]
suv_-40_40_-20_40_0_320_60_400 gt:['-40', '40', '-20', '40', '0'] pred:[40.128414 39.783077 16.980545 42.739307  1.344701]
sedan4door_-40_20_-40_40_20_280_20_450 gt:['-40', '20', '-40', '40', '20'] pred:[35.131813 20.       39.78136  40.       13.880142]
sedan2door_-20_0_0_0_0_160_60_450 gt:['-20', '0', '0', '0', '0'] pred:[15.132523   2.2425168  0.         6.7517786  1.0780423]
hatchback_-20_40_0_0_0_120_20_400 gt:['-20', '40', '0', '0', '0'] pred:[20.        42.95475    0.         5.3540697  0.       ]
hatchback_-20_0_-20_20_0_280_80_450 gt:['-20', '0', '-20', '20', '0'] pred:[18.010963   2.9258127 19.909924  18.503618   1.5415835]
hatchback_-20_20_-20_20_40_320_60_450 gt:['-20', '20', '-20', '20', '40'] pred:[16.428534 19.249659 13.986294 22.693901 40.51637 ]
sedan2door_-20_40_-20_20_0_40_80_400 gt:['-20', '40', '-20', '20', '0'] pred:[18.97306   44.299343  18.460989  19.434225   1.1810836]
suv_0_40_-40_0_20_80_20_450 gt:['0', '40', '-40', '0', '20'] pred:[ 3.3541372 40.        40.11368    0.        20.       ]
suv_-20_20_0_40_0_200_80_400 gt:['-20', '20', '0', '40', '0'] pred:[22.151396  15.677075   8.982698  44.977684   1.5781134]
hatchback_-20_40_0_0_40_280_80_400 gt:['-20', '40', '0', '0', '40'] pred:[21.01477   40.612473   4.1292753  3.8973732 43.828983 ]
sedan4door_0_0_0_0_40_320_20_400 gt:['0', '0', '0', '0', '40'] pred:[ 1.28336    0.         1.8317671  0.        45.819576 ]
sedan2door_-20_20_-40_40_0_80_40_450 gt:['-20', '20', '-40', '40', '0'] pred:[18.000488 21.05685  10.873422 40.        0.      ]
hatchback_0_40_-20_20_0_240_20_400 gt:['0', '40', '-20', '20', '0'] pred:[ 0.        45.08054   20.        14.740199   1.6060865]
suv_-40_40_-20_20_0_320_80_450 gt:['-40', '40', '-20', '20', '0'] pred:[36.49408   41.61136   19.319727  21.63975    1.7486628]
hybrid_-40_0_-20_0_40_320_20_450 gt:['-40', '0', '-20', '0', '40'] pred:[42.750725  0.       10.0688    0.       41.622017]
suv_-40_0_-20_0_20_360_40_400 gt:['-40', '0', '-20', '0', '20'] pred:[43.070225  0.       16.820543  0.       18.660973]
hatchback_-40_20_-20_0_40_280_60_400 gt:['-40', '20', '-20', '0', '40'] pred:[44.942932  21.181625  19.015463   4.7388144 44.952248 ]
hybrid_-40_40_0_40_40_240_80_450 gt:['-40', '40', '0', '40', '40'] pred:[41.36052  41.24736  14.705217 15.464174 38.770603]
suv_0_20_-40_40_0_120_40_400 gt:['0', '20', '-40', '40', '0'] pred:[ 0.       16.855286 40.       40.852642  0.      ]
hybrid_-40_40_-20_40_0_280_80_450 gt:['-40', '40', '-20', '40', '0'] pred:[36.35895   39.625935  22.59008   18.77535    1.4442444]
sedan4door_-40_0_-20_0_0_0_80_450 gt:['-40', '0', '-20', '0', '0'] pred:[44.96974    2.1807563 19.619518   2.5009935  3.0096345]
sedan4door_-20_40_-20_0_40_360_20_400 gt:['-20', '40', '-20', '0', '40'] pred:[17.619415 40.       15.345542  0.       40.      ]
hybrid_-20_40_-20_0_0_200_20_400 gt:['-20', '40', '-20', '0', '0'] pred:[20.        43.714676  20.        20.210964   1.7631807]
hatchback_0_0_-40_20_20_40_80_400 gt:['0', '0', '-40', '20', '20'] pred:[ 1.9362141  1.76448   45.86521   15.386508  15.126128 ]
sedan2door_0_40_-20_40_20_160_20_450 gt:['0', '40', '-20', '40', '20'] pred:[ 0.       45.619038 20.       21.252016 20.      ]
suv_-20_40_-20_40_0_320_80_450 gt:['-20', '40', '-20', '40', '0'] pred:[15.747019  42.346684  22.805496  45.887627   2.0357294]
suv_-40_20_0_40_0_200_20_450 gt:['-40', '20', '0', '40', '0'] pred:[40.        18.260643   0.        44.148907   1.1728021]
sedan2door_0_0_0_40_20_240_60_400 gt:['0', '0', '0', '40', '20'] pred:[ 2.0346162  1.2320442 16.510086   4.086942  12.640978 ]
suv_-40_20_-40_20_0_320_60_400 gt:['-40', '20', '-40', '20', '0'] pred:[43.845158  19.392374  43.604935  16.130878   0.8413189]
suv_-20_0_0_40_20_240_40_450 gt:['-20', '0', '0', '40', '20'] pred:[20.        4.836018  0.       40.831318 18.841057]
suv_-40_40_-40_40_0_280_80_400 gt:['-40', '40', '-40', '40', '0'] pred:[37.426445  41.029785  41.171284  43.349083   2.4245093]
sedan2door_0_0_-40_0_40_240_40_450 gt:['0', '0', '-40', '0', '40'] pred:[ 0.         2.6057622 40.         4.8161597 41.173866 ]
sedan2door_-20_40_-20_20_20_40_20_450 gt:['-20', '40', '-20', '20', '20'] pred:[18.950151 40.        8.919051 20.       20.      ]
hatchback_0_40_-20_40_20_80_40_400 gt:['0', '40', '-20', '40', '20'] pred:[ 1.6672523 43.188873  14.543483  40.        20.       ]
sedan2door_-40_0_-40_0_40_40_20_400 gt:['-40', '0', '-40', '0', '40'] pred:[45.03759   0.       11.675177  0.       40.      ]
hatchback_-20_40_-40_40_40_120_60_450 gt:['-20', '40', '-40', '40', '40'] pred:[18.690016 42.50604  40.       42.378727 40.974625]
suv_-40_0_-40_40_20_0_40_400 gt:['-40', '0', '-40', '40', '20'] pred:[40.785877  0.       42.703846 40.       18.07105 ]
hatchback_-40_20_-40_20_40_320_40_400 gt:['-40', '20', '-40', '20', '40'] pred:[40.496304 20.       43.193207 20.       39.928986]
sedan2door_-20_0_-40_40_20_0_40_400 gt:['-20', '0', '-40', '40', '20'] pred:[18.740253  0.       14.183816 40.       17.294758]
sedan4door_-40_20_0_0_20_80_20_400 gt:['-40', '20', '0', '0', '20'] pred:[41.46187  20.        2.060117  0.       20.      ]
sedan2door_-20_20_-40_40_20_120_20_450 gt:['-20', '20', '-40', '40', '20'] pred:[20.       18.698097 40.        7.590539 20.      ]
suv_-40_40_-40_20_0_280_40_400 gt:['-40', '40', '-40', '20', '0'] pred:[37.737576   40.916565   43.45828    20.739088    0.89139634]
hatchback_-20_40_0_0_40_0_40_450 gt:['-20', '40', '0', '0', '40'] pred:[18.314463  40.         4.1931024  0.        42.470966 ]
sedan2door_-40_40_-40_0_0_160_40_400 gt:['-40', '40', '-40', '0', '0'] pred:[40.        42.988705  40.        15.307997   2.2615652]
hybrid_-20_0_-20_0_40_320_60_400 gt:['-20', '0', '-20', '0', '40'] pred:[19.176353   6.5924344  9.178076  13.769188  44.037125 ]
sedan2door_-20_0_0_0_20_280_60_450 gt:['-20', '0', '0', '0', '20'] pred:[19.290735  2.908596 14.003226  8.071474 17.913815]
hybrid_-20_0_0_0_20_80_40_450 gt:['-20', '0', '0', '0', '20'] pred:[15.482499  6.136439 14.437173  0.       20.      ]
sedan2door_-20_20_0_40_40_40_80_450 gt:['-20', '20', '0', '40', '40'] pred:[19.12323  19.875912 14.288281 17.254673 36.645535]
sedan2door_-40_20_-40_20_40_280_20_400 gt:['-40', '20', '-40', '20', '40'] pred:[41.6223   20.       12.171037 20.       42.183475]
sedan2door_-20_20_0_20_40_360_80_450 gt:['-20', '20', '0', '20', '40'] pred:[20.285696 18.049427 13.645518 14.47182  40.187263]
hatchback_-40_20_0_0_0_360_60_450 gt:['-40', '20', '0', '0', '0'] pred:[41.74216   17.705498   3.5131881  0.         0.6938339]
hybrid_-20_20_-20_0_40_200_60_450 gt:['-20', '20', '-20', '0', '40'] pred:[21.596178 20.105787 20.       18.970688 43.298203]
hatchback_-20_40_-20_40_0_160_60_400 gt:['-20', '40', '-20', '40', '0'] pred:[19.782337  42.60597   20.        41.00175    2.6156042]
hybrid_0_40_-20_40_40_80_60_450 gt:['0', '40', '-20', '40', '40'] pred:[ 1.8988788 47.163433   8.146655  26.178885  40.39423  ]
sedan2door_0_20_0_20_20_280_60_400 gt:['0', '20', '0', '20', '20'] pred:[ 1.7606715 22.122135   8.518365  12.013389  16.7075   ]
hatchback_-40_40_-20_40_20_0_60_400 gt:['-40', '40', '-20', '40', '20'] pred:[38.835716 45.70578  17.311972 40.       18.980518]
hybrid_-40_20_-40_20_0_0_80_450 gt:['-40', '20', '-40', '20', '0'] pred:[42.23436  17.130602 12.037618  9.877762  1.812991]
hybrid_-20_0_0_0_40_80_40_400 gt:['-20', '0', '0', '0', '40'] pred:[16.871218  5.180144  9.592509  0.       40.      ]
sedan2door_-20_40_0_0_40_160_60_400 gt:['-20', '40', '0', '0', '40'] pred:[14.358672 41.485027  0.       16.866693 40.178032]
sedan2door_-40_20_0_0_40_320_60_450 gt:['-40', '20', '0', '0', '40'] pred:[42.303635 17.959564 21.011051 19.420254 39.838207]
hybrid_-20_40_0_20_0_240_80_400 gt:['-20', '40', '0', '20', '0'] pred:[20.13887   41.34284   11.9422245  8.321612   1.4510316]
hybrid_-20_20_0_0_20_360_20_400 gt:['-20', '20', '0', '0', '20'] pred:[17.090378 20.        7.813282  0.       20.      ]
sedan4door_0_40_-40_0_20_0_60_400 gt:['0', '40', '-40', '0', '20'] pred:[ 2.2304873 43.46272   41.480515   0.        17.851711 ]
sedan2door_-40_20_0_40_20_40_60_400 gt:['-40', '20', '0', '40', '20'] pred:[43.657257  14.1921215 12.405817  40.        19.461637 ]
sedan2door_-20_20_0_0_20_320_80_400 gt:['-20', '20', '0', '0', '20'] pred:[17.922022 20.02392  17.294445 13.046146 18.884995]
sedan4door_-40_20_0_40_20_80_20_400 gt:['-40', '20', '0', '40', '20'] pred:[42.8895    20.         1.7251942 40.        20.       ]
sedan4door_0_40_-20_20_0_40_60_450 gt:['0', '40', '-20', '20', '0'] pred:[ 3.6498265 45.635475  19.233376  20.         0.8913356]
sedan4door_0_0_0_0_20_240_20_400 gt:['0', '0', '0', '0', '20'] pred:[ 0.         2.5027776  0.         2.552847  23.395731 ]
sedan4door_-40_20_-20_0_20_160_20_400 gt:['-40', '20', '-20', '0', '20'] pred:[40.        19.993181  20.         2.3752246 20.       ]
sedan2door_-20_20_-20_40_20_320_20_400 gt:['-20', '20', '-20', '40', '20'] pred:[20.849003 20.       14.43241  40.       17.298288]
suv_-20_40_-40_20_40_40_60_450 gt:['-20', '40', '-40', '20', '40'] pred:[15.198175 41.592484 41.83377  20.       38.499866]
sedan4door_0_20_-40_0_20_200_40_400 gt:['0', '20', '-40', '0', '20'] pred:[ 0.        21.15879   40.         2.3141057 22.801699 ]
sedan2door_0_40_0_20_40_200_40_400 gt:['0', '40', '0', '20', '40'] pred:[ 0.       41.724514  0.       23.567156 40.565857]
sedan4door_-20_20_-20_40_0_320_80_400 gt:['-20', '20', '-20', '40', '0'] pred:[16.612999  17.562325  15.8295965 40.995968   1.6774163]
sedan2door_0_0_-20_20_0_360_20_450 gt:['0', '0', '-20', '20', '0'] pred:[ 0.9588232  0.         5.0322733 20.         0.       ]
hatchback_-20_40_0_0_40_360_20_400 gt:['-20', '40', '0', '0', '40'] pred:[20.736565  40.         1.4047538  0.        40.       ]
sedan4door_-20_0_0_20_0_120_20_400 gt:['-20', '0', '0', '20', '0'] pred:[20.        1.411741  0.       14.940838  0.      ]
sedan2door_-40_40_-20_20_20_240_80_450 gt:['-40', '40', '-20', '20', '20'] pred:[44.71219  42.432762  9.200798 14.377975 19.95428 ]
suv_-20_0_-20_40_40_280_60_400 gt:['-20', '0', '-20', '40', '40'] pred:[18.6534     3.0209641 20.3709    43.421066  38.72934  ]
hybrid_-40_40_-40_0_20_200_40_450 gt:['-40', '40', '-40', '0', '20'] pred:[40.       42.671326 40.       18.000341 20.219557]
sedan4door_-40_0_0_20_0_280_40_450 gt:['-40', '0', '0', '20', '0'] pred:[42.38992   12.875741   2.9693394 19.576326   1.5857747]
sedan2door_-20_0_-40_20_0_320_80_400 gt:['-20', '0', '-40', '20', '0'] pred:[20.446941   2.4383264 14.825381   8.080089   1.2382141]
sedan4door_0_20_0_40_20_80_20_400 gt:['0', '20', '0', '40', '20'] pred:[ 0.8104725 20.         9.692773  40.        20.       ]
sedan2door_-20_40_-40_40_0_160_80_450 gt:['-20', '40', '-40', '40', '0'] pred:[17.642097  40.85264   10.556224  12.7199545  1.6818062]
sedan4door_-20_20_-20_20_40_360_20_450 gt:['-20', '20', '-20', '20', '40'] pred:[17.785648 20.       24.082632 20.       40.      ]
hybrid_-20_0_0_0_0_120_20_450 gt:['-20', '0', '0', '0', '0'] pred:[20.         2.0682874  0.         7.6863294  0.       ]
hatchback_0_40_-20_40_40_280_40_400 gt:['0', '40', '-20', '40', '40'] pred:[ 2.8035624 45.155327  15.703794  36.173412  42.474026 ]
hatchback_0_40_0_20_0_160_60_400 gt:['0', '40', '0', '20', '0'] pred:[ 2.8037589 42.793518   0.        14.33145    2.120641 ]
suv_0_0_0_0_0_120_80_400 gt:['0', '0', '0', '0', '0'] pred:[1.4077687 0.9968048 1.0752164 1.6564041 0.5871933]
suv_0_20_-20_40_0_0_40_400 gt:['0', '20', '-20', '40', '0'] pred:[ 1.085497   20.         18.822742   40.          0.74370694]
suv_0_20_-40_20_0_0_60_450 gt:['0', '20', '-40', '20', '0'] pred:[ 2.9583926 19.42238   42.415092  20.         1.2949708]
sedan2door_-20_40_0_20_20_240_60_400 gt:['-20', '40', '0', '20', '20'] pred:[18.638184 44.268047 16.20963   9.12054  15.266978]
sedan2door_-20_20_-40_40_40_160_40_450 gt:['-20', '20', '-40', '40', '40'] pred:[20.        17.775787  40.        12.2658615 39.64758  ]
hybrid_-40_40_-40_0_20_120_60_450 gt:['-40', '40', '-40', '0', '20'] pred:[42.71174  42.33444  40.       10.676749 22.223892]
suv_0_20_0_0_0_200_40_450 gt:['0', '20', '0', '0', '0'] pred:[ 0.        18.41362    0.         2.4339743  1.3285186]
sedan2door_-40_20_-20_20_40_40_80_450 gt:['-40', '20', '-20', '20', '40'] pred:[42.13782  18.801527 15.625792 15.647335 37.780468]
suv_0_40_-20_20_40_160_80_400 gt:['0', '40', '-20', '20', '40'] pred:[ 3.3385327 47.681896  17.156548  20.122562  36.624382 ]
sedan4door_0_0_-40_0_40_200_80_400 gt:['0', '0', '-40', '0', '40'] pred:[ 3.5671184  1.4331837 46.33507    1.763817  41.47776  ]
sedan4door_-20_20_-20_0_20_240_20_450 gt:['-20', '20', '-20', '0', '20'] pred:[20.        15.100077  20.         1.3229827 16.065817 ]
sedan4door_-20_0_-40_40_20_120_60_400 gt:['-20', '0', '-40', '40', '20'] pred:[14.490759  3.034882 40.       41.632854 19.09865 ]
suv_-20_40_-40_40_40_40_20_400 gt:['-20', '40', '-40', '40', '40'] pred:[23.036507 40.       46.88642  40.       40.      ]
suv_-20_40_-20_40_20_80_80_400 gt:['-20', '40', '-20', '40', '20'] pred:[15.075339 41.903538 22.797749 41.583496 20.      ]
suv_-40_0_0_0_20_360_80_400 gt:['-40', '0', '0', '0', '20'] pred:[44.61286    1.543226   2.476989   7.2875953 23.09936  ]
sedan4door_-20_0_0_40_0_40_60_400 gt:['-20', '0', '0', '40', '0'] pred:[24.456383   2.7008224  2.877775  40.         2.633041 ]
hybrid_0_20_-40_0_0_40_60_400 gt:['0', '20', '-40', '0', '0'] pred:[ 3.1374497 16.875772   5.35498    0.         2.0847535]
suv_-20_20_0_0_0_0_60_400 gt:['-20', '20', '0', '0', '0'] pred:[19.161083  20.179571   2.7807477  0.         2.058899 ]
sedan4door_-20_40_-20_40_0_360_40_450 gt:['-20', '40', '-20', '40', '0'] pred:[18.062386  40.        19.80852   40.         0.9641112]
hybrid_-20_0_0_20_20_360_20_450 gt:['-20', '0', '0', '20', '20'] pred:[12.887788  0.       13.62396  20.       20.      ]
hybrid_0_20_0_40_0_80_20_450 gt:['0', '20', '0', '40', '0'] pred:[ 1.8916892 20.         6.6029468 40.         0.       ]
sedan2door_0_40_-20_0_40_320_40_400 gt:['0', '40', '-20', '0', '40'] pred:[ 2.003801 40.       10.300688  0.       41.827755]
hybrid_-40_40_0_0_20_40_20_450 gt:['-40', '40', '0', '0', '20'] pred:[46.022472 40.       15.223812  0.       20.      ]
sedan2door_0_40_0_0_0_280_40_450 gt:['0', '40', '0', '0', '0'] pred:[ 2.7580528  45.17983     3.973221   21.253479    0.90493256]
suv_0_40_-20_40_20_160_20_450 gt:['0', '40', '-20', '40', '20'] pred:[ 0.      43.29456 20.      42.32632 20.     ]
sedan4door_0_40_-20_0_20_320_60_400 gt:['0', '40', '-20', '0', '20'] pred:[ 1.4345398 46.158237  20.177622   3.7872233 20.678728 ]
hybrid_-20_20_0_0_0_240_20_450 gt:['-20', '20', '0', '0', '0'] pred:[20.         16.229906    0.         15.638464    0.91044855]
suv_-40_40_-40_20_20_80_80_400 gt:['-40', '40', '-40', '20', '20'] pred:[36.712467 38.883198 45.2194   18.585535 20.      ]
suv_-20_0_-40_40_40_360_20_450 gt:['-20', '0', '-40', '40', '40'] pred:[16.332603  0.       42.86452  40.       40.      ]
suv_-20_20_-40_40_40_240_20_450 gt:['-20', '20', '-40', '40', '40'] pred:[20.       11.559508 40.       40.311543 40.924164]
hybrid_-40_20_-40_0_20_200_40_400 gt:['-40', '20', '-40', '0', '20'] pred:[40.       19.775196 40.        9.819684 22.767328]
hatchback_0_0_-40_0_20_80_80_400 gt:['0', '0', '-40', '0', '20'] pred:[ 1.9638397  2.2458742 45.380314   2.2094073 20.       ]
hybrid_-40_20_-20_40_0_40_60_450 gt:['-40', '20', '-20', '40', '0'] pred:[42.500763  20.358852  18.77144   40.         1.2623701]
hybrid_-20_40_-40_20_40_320_80_450 gt:['-20', '40', '-40', '20', '40'] pred:[16.486656 41.4958   16.414719 15.591204 39.361305]
sedan4door_-20_40_-40_40_40_40_20_400 gt:['-20', '40', '-40', '40', '40'] pred:[21.051435 40.       47.202904 40.       40.      ]
suv_-20_40_0_20_40_120_80_450 gt:['-20', '40', '0', '20', '40'] pred:[18.275211 42.237003  2.781688 15.865272 39.62155 ]
suv_-20_40_-40_20_20_320_40_400 gt:['-20', '40', '-40', '20', '20'] pred:[18.92702  40.       43.551254 20.       19.401855]
suv_-20_40_-20_0_20_160_20_450 gt:['-20', '40', '-20', '0', '20'] pred:[20.        41.632328  20.         2.6963406 20.       ]
sedan2door_-40_20_-20_40_40_200_20_400 gt:['-40', '20', '-20', '40', '40'] pred:[40.       15.172111 20.       25.990019 42.847534]
hybrid_-40_40_-40_40_0_200_60_450 gt:['-40', '40', '-40', '40', '0'] pred:[42.008774 38.955692 40.       19.5826    2.935412]
suv_-20_40_-20_0_20_40_80_400 gt:['-20', '40', '-20', '0', '20'] pred:[18.571712  45.96532   14.183314   7.0666366 17.642593 ]
hatchback_0_0_-20_20_40_200_20_450 gt:['0', '0', '-20', '20', '40'] pred:[ 0.         1.7341241 20.        10.222687  45.16162  ]
hybrid_0_0_-20_40_20_120_40_400 gt:['0', '0', '-20', '40', '20'] pred:[ 0.         1.5387821 20.         5.5166283 20.       ]
suv_-20_40_-40_0_20_80_40_400 gt:['-20', '40', '-40', '0', '20'] pred:[17.829762 43.28112  38.108513  0.       20.      ]
sedan4door_-20_40_-40_0_0_120_80_450 gt:['-20', '40', '-40', '0', '0'] pred:[17.13335   42.18021   43.69815    3.4156654  2.8258877]
sedan4door_-20_20_-20_20_0_80_20_400 gt:['-20', '20', '-20', '20', '0'] pred:[15.621577 20.       19.099348 20.        0.      ]
sedan4door_0_20_-20_0_20_40_60_450 gt:['0', '20', '-20', '0', '20'] pred:[ 4.0688043 18.88836   21.89697    0.        10.672296 ]
hybrid_0_0_0_0_40_0_20_450 gt:['0', '0', '0', '0', '40'] pred:[ 1.5928626  0.         8.232217   0.        40.       ]
hybrid_-40_20_-40_20_40_280_20_400 gt:['-40', '20', '-40', '20', '40'] pred:[44.033398  20.         5.9553227 20.        42.97507  ]
hatchback_0_0_-40_20_20_40_80_450 gt:['0', '0', '-40', '20', '20'] pred:[ 2.269156  2.385406 44.499336 16.963419 15.309348]
sedan4door_0_0_-40_20_0_280_40_450 gt:['0', '0', '-40', '20', '0'] pred:[ 3.7409275 12.029318  40.694946  17.155117   1.5433307]
sedan4door_-20_0_-40_40_40_80_60_400 gt:['-20', '0', '-40', '40', '40'] pred:[20.80397    3.0725026 39.54531   42.621544  44.288963 ]
suv_-40_0_-20_0_40_200_40_400 gt:['-40', '0', '-20', '0', '40'] pred:[40.         1.5749993 20.         3.1513774 42.5507   ]
sedan2door_-40_40_-20_20_40_360_80_450 gt:['-40', '40', '-20', '20', '40'] pred:[42.179176 40.805584 13.741409 13.288015 39.200428]
sedan4door_-40_0_-40_20_0_360_80_400 gt:['-40', '0', '-40', '20', '0'] pred:[45.127293   2.1743598 42.74601   15.72201    2.6384811]
hybrid_0_40_-20_0_40_80_60_400 gt:['0', '40', '-20', '0', '40'] pred:[ 2.051066 42.773987  7.952239 14.289855 39.7149  ]
sedan2door_0_20_-40_40_40_280_40_400 gt:['0', '20', '-40', '40', '40'] pred:[ 1.9083933 23.219091   7.2648506 24.847164  44.42882  ]
hybrid_-20_40_-40_0_20_0_20_450 gt:['-20', '40', '-40', '0', '20'] pred:[15.2736   40.        9.679194  0.       20.      ]
suv_-20_20_-40_20_0_0_40_400 gt:['-20', '20', '-40', '20', '0'] pred:[20.874268  20.        45.51991   20.         1.0386602]
sedan4door_-40_40_-20_40_40_80_80_450 gt:['-40', '40', '-20', '40', '40'] pred:[35.68666  42.193542 19.87676  40.85721  40.      ]
hatchback_-40_0_0_40_40_320_60_450 gt:['-40', '0', '0', '40', '40'] pred:[41.875217   7.038797   4.8755684 41.01643   39.746998 ]
hatchback_0_0_0_40_0_120_60_400 gt:['0', '0', '0', '40', '0'] pred:[ 0.880081   2.3367202  0.        41.64547    2.8290248]
hybrid_-40_0_-20_20_20_40_60_400 gt:['-40', '0', '-20', '20', '20'] pred:[42.646286  6.722552 26.378662 20.       18.730703]
sedan2door_0_0_0_20_40_360_40_400 gt:['0', '0', '0', '20', '40'] pred:[ 1.7317636  0.         6.278461  20.        42.81025  ]
hatchback_-20_40_-40_40_20_0_40_450 gt:['-20', '40', '-40', '40', '20'] pred:[17.490734 40.       48.361492 40.       18.33621 ]
sedan2door_-20_40_0_40_20_160_40_400 gt:['-20', '40', '0', '40', '20'] pred:[20.        40.46069    0.        14.5730715 21.334328 ]
hybrid_-40_0_-20_0_20_280_80_450 gt:['-40', '0', '-20', '0', '20'] pred:[41.923687   1.9553564 23.80797    4.9914227 18.806545 ]
hybrid_-20_0_-20_40_20_320_60_400 gt:['-20', '0', '-20', '40', '20'] pred:[18.729437   6.3349614  9.309485  10.994246  18.987993 ]
hybrid_-40_20_-40_20_20_80_20_400 gt:['-40', '20', '-40', '20', '20'] pred:[42.785866 20.       11.721346 20.       20.      ]
suv_-40_0_-40_40_40_320_20_400 gt:['-40', '0', '-40', '40', '40'] pred:[42.001038  0.       44.16525  40.       44.299095]
hybrid_-20_20_0_0_40_320_40_400 gt:['-20', '20', '0', '0', '40'] pred:[18.937141 20.       14.910206  0.       40.8203  ]
hatchback_-20_20_0_0_40_360_60_400 gt:['-20', '20', '0', '0', '40'] pred:[20.92723   18.273565   1.8288376  0.        40.97701  ]
suv_-40_40_0_0_40_40_40_400 gt:['-40', '40', '0', '0', '40'] pred:[39.73276  40.        4.557828  0.       44.713642]
suv_0_40_0_20_40_320_80_450 gt:['0', '40', '0', '20', '40'] pred:[ 2.1903787 42.680157   4.7689357 22.724655  39.332504 ]
