hatchback_-30_23_-4_35_15_140_70_420:gt ['-30', '23', '-4', '35', '15']:pred [15.760828  14.163528   4.        22.537062   5.9635487]
sedan4door_-50_23_-22_48_46_140_70_420:gt ['-50', '23', '-22', '48', '46']:pred [38.74373  14.082637 22.       38.364326 14.791168]
sedan4door_-30_23_-22_48_15_230_70_420:gt ['-30', '23', '-22', '48', '15']:pred [12.239644 35.600708 41.663067 48.07225   5.137032]
sedan2door_-50_23_-4_10_15_140_70_420:gt ['-50', '23', '-4', '10', '15']:pred [36.05812  23.649347  4.       10.       14.812014]
hybrid_-50_45_-36_35_46_20_70_420:gt ['-50', '45', '-36', '35', '46']:pred [37.630497 27.429577 36.       35.       28.777866]
suv_-30_15_-22_10_28_20_30_420:gt ['-30', '15', '-22', '10', '28']:pred [36.416046 15.       39.849014 10.       32.602253]
suv_-17_45_-22_35_15_230_30_420:gt ['-17', '45', '-22', '35', '15']:pred [17.       40.154842 22.       34.016933 26.350943]
sedan4door_-30_45_-4_10_15_20_70_420:gt ['-30', '45', '-4', '10', '15']:pred [24.777521  43.183056  15.82926   10.         4.0692725]
hybrid_-17_45_-22_35_46_50_30_420:gt ['-17', '45', '-22', '35', '46']:pred [10.690194 45.       22.       35.       32.52527 ]
sedan2door_-30_23_-4_48_28_140_70_420:gt ['-30', '23', '-4', '48', '28']:pred [33.69121 18.15675  4.      48.      24.75018]
hybrid_-30_45_-22_35_15_20_70_420:gt ['-30', '45', '-22', '35', '15']:pred [19.570694 36.964268 22.       35.       11.365149]
hatchback_-50_23_-4_48_28_140_30_420:gt ['-50', '23', '-4', '48', '28']:pred [50.       30.675413  4.       30.507856 28.      ]
sedan2door_-30_23_-4_35_15_230_70_420:gt ['-30', '23', '-4', '35', '15']:pred [ 7.9125686 25.53379    4.        35.         8.650323 ]
hatchback_-17_23_-4_48_15_140_70_420:gt ['-17', '23', '-4', '48', '15']:pred [ 7.470746 13.077747  4.       26.931381  4.402785]
suv_-50_45_-22_48_28_50_70_420:gt ['-50', '45', '-22', '48', '28']:pred [33.831352 40.67493  30.617939 48.       10.740631]
sedan4door_-17_45_-4_35_15_140_30_420:gt ['-17', '45', '-4', '35', '15']:pred [17.       31.76744   4.       19.578194 15.      ]
hatchback_-50_45_-4_35_46_140_70_420:gt ['-50', '45', '-4', '35', '46']:pred [32.785095 36.99391  15.392614 30.86356  26.577589]
hatchback_-50_23_-22_48_28_20_30_420:gt ['-50', '23', '-22', '48', '28']:pred [34.11452  23.       31.820713 48.       29.384636]
sedan2door_-30_45_-36_10_15_230_70_420:gt ['-30', '45', '-36', '10', '15']:pred [14.31985  36.742813 36.       10.        6.166128]
sedan2door_-17_23_-22_48_15_230_70_420:gt ['-17', '23', '-22', '48', '15']:pred [ 3.044947 26.303911 22.       48.        9.503474]
suv_-50_23_-36_35_28_50_30_420:gt ['-50', '23', '-36', '35', '28']:pred [39.475147 23.       48.58054  35.       28.      ]
hatchback_-50_23_-4_35_46_230_30_420:gt ['-50', '23', '-4', '35', '46']:pred [50.       10.876286  4.       35.767567 51.748253]
hatchback_-30_45_-36_35_15_50_30_420:gt ['-30', '45', '-36', '35', '15']:pred [36.221733 45.       46.200058 35.       15.      ]
hybrid_-17_15_-4_35_28_50_70_420:gt ['-17', '15', '-4', '35', '28']:pred [16.163761 18.1097    4.       35.       13.54969 ]
suv_-17_15_-36_48_28_140_30_420:gt ['-17', '15', '-36', '48', '28']:pred [17.       16.109161 36.       29.091541 28.      ]
hatchback_-30_45_-36_48_46_230_30_420:gt ['-30', '45', '-36', '48', '46']:pred [30.      33.66773 36.      37.75369 47.99015]
sedan2door_-30_23_-22_35_46_140_70_420:gt ['-30', '23', '-22', '35', '46']:pred [25.088432 20.783365 22.       35.       22.364676]
hatchback_-30_15_-4_35_15_50_70_420:gt ['-30', '15', '-4', '35', '15']:pred [18.315048 19.396553 13.064265 35.        9.879451]
hybrid_-50_45_-36_10_28_230_30_420:gt ['-50', '45', '-36', '10', '28']:pred [50.       36.451557 36.       10.       30.07256 ]
sedan4door_-50_15_-4_48_15_140_70_420:gt ['-50', '15', '-4', '48', '15']:pred [38.751648   9.560641   4.        36.229366   2.8102458]
hatchback_-30_15_-4_35_46_20_30_420:gt ['-30', '15', '-4', '35', '46']:pred [20.715273 15.        7.216939 35.       35.45571 ]
hatchback_-50_23_-4_35_28_50_70_420:gt ['-50', '23', '-4', '35', '28']:pred [27.391653 29.081724 15.326038 36.41944  20.724611]
hybrid_-30_45_-36_35_46_20_30_420:gt ['-30', '45', '-36', '35', '46']:pred [24.414919 45.       36.       35.       32.303795]
suv_-17_15_-36_10_15_20_30_420:gt ['-17', '15', '-36', '10', '15']:pred [26.081467 15.       49.03012  10.       21.346388]
hybrid_-50_15_-4_48_28_20_30_420:gt ['-50', '15', '-4', '48', '28']:pred [38.65222  15.        4.       48.       19.220165]
hatchback_-17_23_-36_48_46_20_30_420:gt ['-17', '23', '-36', '48', '46']:pred [11.486458 23.       32.24764  48.       39.577766]
sedan4door_-30_45_-4_35_46_50_30_420:gt ['-30', '45', '-4', '35', '46']:pred [35.816387 45.        8.264315 35.       15.536029]
hatchback_-30_45_-36_48_15_140_70_420:gt ['-30', '45', '-36', '48', '15']:pred [13.944707 33.15911  36.       31.49075   7.040693]
sedan4door_-30_23_-36_48_28_140_30_420:gt ['-30', '23', '-36', '48', '28']:pred [30.       18.46422  36.       22.289299 28.      ]
hybrid_-30_15_-4_10_15_230_30_420:gt ['-30', '15', '-4', '10', '15']:pred [30.       10.158873  4.       10.       17.726435]
hatchback_-17_15_-22_48_28_140_30_420:gt ['-17', '15', '-22', '48', '28']:pred [17.       22.81559  22.       29.936224 28.      ]
sedan4door_-50_45_-36_48_46_230_70_420:gt ['-50', '45', '-36', '48', '46']:pred [28.267975 46.56091  42.141655 45.648323 13.507548]
suv_-50_15_-4_10_28_50_70_420:gt ['-50', '15', '-4', '10', '28']:pred [29.335817 17.046991 20.688301 10.        7.471222]
sedan4door_-30_45_-22_35_46_50_70_420:gt ['-30', '45', '-22', '35', '46']:pred [17.772795 45.37268  21.76834  35.       18.494968]
hatchback_-50_15_-22_10_46_230_30_420:gt ['-50', '15', '-22', '10', '46']:pred [50.         6.2817698 22.         6.432397  50.452766 ]
sedan4door_-17_23_-4_35_46_50_30_420:gt ['-17', '23', '-4', '35', '46']:pred [12.462868 23.        9.093371 35.       30.290186]
hatchback_-17_45_-4_48_28_140_30_420:gt ['-17', '45', '-4', '48', '28']:pred [17.       43.187508  4.       35.32416  28.      ]
sedan4door_-50_23_-22_35_15_20_70_420:gt ['-50', '23', '-22', '35', '15']:pred [39.117172 20.832167 30.851065 35.        4.252587]
suv_-50_15_-36_10_46_140_70_420:gt ['-50', '15', '-36', '10', '46']:pred [35.08881  14.591568 36.       10.24029  27.630728]
hybrid_-17_15_-22_35_28_50_70_420:gt ['-17', '15', '-22', '35', '28']:pred [15.601589 19.443771 22.       35.       13.025953]
sedan2door_-50_23_-4_10_46_230_30_420:gt ['-50', '23', '-4', '10', '46']:pred [50.       15.769595  4.       10.       31.776882]
hatchback_-30_45_-36_48_28_230_70_420:gt ['-30', '45', '-36', '48', '28']:pred [24.138123 41.005474 43.338356 40.832527 19.96996 ]
hybrid_-50_15_-36_35_46_20_70_420:gt ['-50', '15', '-36', '35', '46']:pred [34.44709   8.295129 36.       35.       22.575506]
suv_-30_23_-22_35_46_20_30_420:gt ['-30', '23', '-22', '35', '46']:pred [33.517742 23.       38.96729  35.       42.58144 ]
hatchback_-17_45_-22_48_28_140_30_420:gt ['-17', '45', '-22', '48', '28']:pred [17.       42.80291  22.       37.929413 28.      ]
sedan4door_-17_15_-22_10_15_230_70_420:gt ['-17', '15', '-22', '10', '15']:pred [ 1.4345001 23.219845  35.731865  16.418093   3.3428192]
hatchback_-50_15_-36_35_46_50_70_420:gt ['-50', '15', '-36', '35', '46']:pred [25.55918  24.930223 36.365326 35.       28.694725]
hybrid_-17_15_-22_35_46_20_30_420:gt ['-17', '15', '-22', '35', '46']:pred [ 8.401556 15.       22.       35.       37.922955]
hatchback_-30_23_-4_48_28_20_70_420:gt ['-30', '23', '-4', '48', '28']:pred [18.124498 25.196024 17.657612 41.166325 19.683056]
hybrid_-50_15_-36_48_15_50_70_420:gt ['-50', '15', '-36', '48', '15']:pred [29.269682 18.521069 36.       48.       12.680825]
suv_-30_45_-22_10_28_20_30_420:gt ['-30', '45', '-22', '10', '28']:pred [36.090015 45.       40.501457 10.       26.761152]
sedan4door_-17_23_-36_35_28_20_70_420:gt ['-17', '23', '-36', '35', '28']:pred [19.73534  22.741253 36.79267  23.673264 13.779191]
sedan4door_-50_15_-4_35_46_50_70_420:gt ['-50', '15', '-4', '35', '46']:pred [30.916512 31.52632  20.034605 35.       18.492264]
hybrid_-30_15_-22_48_28_20_70_420:gt ['-30', '15', '-22', '48', '28']:pred [15.8637085 11.950504  22.        48.        15.1104965]
hatchback_-30_15_-4_10_15_50_70_420:gt ['-30', '15', '-4', '10', '15']:pred [18.61579   20.366486  11.9029255 10.        10.401142 ]
suv_-50_23_-36_10_28_50_70_420:gt ['-50', '23', '-36', '10', '28']:pred [28.28606  32.570526 42.93622  10.       10.244238]
hybrid_-30_23_-22_10_28_20_70_420:gt ['-30', '23', '-22', '10', '28']:pred [18.628294 19.180124 22.       10.       17.884747]
sedan2door_-50_45_-22_35_15_50_30_420:gt ['-50', '45', '-22', '35', '15']:pred [44.861523 45.       46.716408 35.       19.43022 ]
sedan4door_-50_45_-36_48_46_50_30_420:gt ['-50', '45', '-36', '48', '46']:pred [39.704166 45.       49.702522 48.       46.      ]
hatchback_-50_23_-36_10_28_140_30_420:gt ['-50', '23', '-36', '10', '28']:pred [50.        27.303793  36.         3.6817126 28.       ]
suv_-30_23_-22_10_15_20_70_420:gt ['-30', '23', '-22', '10', '15']:pred [29.453238 25.816498 44.05938  10.       17.084557]
sedan2door_-30_15_-36_10_15_50_30_420:gt ['-30', '15', '-36', '10', '15']:pred [39.305153 15.       36.       10.       15.      ]
sedan2door_-50_23_-4_48_15_230_30_420:gt ['-50', '23', '-4', '48', '15']:pred [50.       14.963148  4.       48.       15.206945]
suv_-50_45_-22_35_28_140_30_420:gt ['-50', '45', '-22', '35', '28']:pred [50.       31.471159 22.       23.329288 28.      ]
suv_-30_45_-36_10_15_230_70_420:gt ['-30', '45', '-36', '10', '15']:pred [ 8.222041  40.80921   34.729824  20.268429   3.2209914]
sedan2door_-30_45_-22_10_15_20_70_420:gt ['-30', '45', '-22', '10', '15']:pred [30.818584 44.898083 22.       10.       19.16437 ]
hatchback_-17_15_-4_35_15_50_70_420:gt ['-17', '15', '-4', '35', '15']:pred [12.943966 20.787622 10.041313 35.        8.373092]
hybrid_-50_23_-36_48_46_20_70_420:gt ['-50', '23', '-36', '48', '46']:pred [35.733746 13.618477 36.       48.       26.120214]
suv_-17_15_-36_35_46_140_30_420:gt ['-17', '15', '-36', '35', '46']:pred [17.       13.832631 36.       24.51819  46.      ]
hatchback_-30_23_-22_10_28_140_30_420:gt ['-30', '23', '-22', '10', '28']:pred [30.        26.27892   22.         4.1126695 28.       ]
hybrid_-30_23_-22_35_28_230_70_420:gt ['-30', '23', '-22', '35', '28']:pred [28.434443 21.063677 22.       35.       18.366549]
hybrid_-30_15_-4_10_28_140_70_420:gt ['-30', '15', '-4', '10', '28']:pred [32.139927 14.860437  4.       10.       22.723923]
hatchback_-30_23_-4_48_28_50_30_420:gt ['-30', '23', '-4', '48', '28']:pred [32.040287 23.        4.845611 48.       28.      ]
hatchback_-30_45_-4_10_15_50_70_420:gt ['-30', '45', '-4', '10', '15']:pred [16.069052 42.72942  13.737844 10.       10.958091]
hatchback_-30_23_-36_48_15_230_70_420:gt ['-30', '23', '-36', '48', '15']:pred [26.847485 33.49692  41.524387 40.417316 10.138066]
sedan2door_-17_45_-36_48_28_140_70_420:gt ['-17', '45', '-36', '48', '28']:pred [22.705399 31.064379 36.       48.       20.917068]
suv_-17_23_-22_10_15_20_70_420:gt ['-17', '23', '-22', '10', '15']:pred [19.569752 20.414412 38.10915  10.       13.683986]
sedan2door_-17_15_-36_48_28_230_70_420:gt ['-17', '15', '-36', '48', '28']:pred [ 2.3981612 15.740669  36.        48.        18.142488 ]
hatchback_-17_45_-22_35_15_230_70_420:gt ['-17', '45', '-22', '35', '15']:pred [ 7.7031713 44.43907   34.805107  32.5689    10.257801 ]
suv_-17_15_-22_48_46_230_70_420:gt ['-17', '15', '-22', '48', '46']:pred [ 3.834766 25.64729  37.263897 40.689564 30.468819]
hatchback_-50_23_-22_10_28_20_30_420:gt ['-50', '23', '-22', '10', '28']:pred [36.310543 23.       30.466665 10.       32.77596 ]
suv_-30_15_-22_35_28_230_70_420:gt ['-30', '15', '-22', '35', '28']:pred [ 7.3963666 21.722872  38.01746   36.655064  15.91235  ]
suv_-17_45_-4_35_28_140_30_420:gt ['-17', '45', '-4', '35', '28']:pred [17.       30.632727  4.       22.49332  28.      ]
hatchback_-17_45_-4_10_28_140_30_420:gt ['-17', '45', '-4', '10', '28']:pred [17.        39.043995   4.         1.0158986 28.       ]
sedan4door_-50_15_-22_35_28_50_30_420:gt ['-50', '15', '-22', '35', '28']:pred [39.044884 15.       42.304417 35.       28.      ]
sedan2door_-17_45_-36_48_46_140_30_420:gt ['-17', '45', '-36', '48', '46']:pred [17.       37.157837 36.       48.       46.      ]
hybrid_-30_23_-22_35_46_50_70_420:gt ['-30', '23', '-22', '35', '46']:pred [20.438725 32.194744 22.       35.       32.473682]
sedan2door_-30_23_-36_35_15_230_70_420:gt ['-30', '23', '-36', '35', '15']:pred [ 8.007233 26.066038 36.       35.        8.79929 ]
sedan2door_-17_15_-22_35_15_20_30_420:gt ['-17', '15', '-22', '35', '15']:pred [12.651196 15.       22.       35.       19.660492]
sedan4door_-50_23_-4_35_15_230_70_420:gt ['-50', '23', '-4', '35', '15']:pred [24.599325  32.10751   37.75529   40.703896   5.9307795]
hybrid_-50_15_-36_48_28_230_30_420:gt ['-50', '15', '-36', '48', '28']:pred [50.       13.188739 36.       48.       25.536953]
hatchback_-50_15_-4_10_28_230_30_420:gt ['-50', '15', '-4', '10', '28']:pred [50.         8.545639   4.         7.2216187 46.61487  ]
hatchback_-30_23_-4_48_46_20_30_420:gt ['-30', '23', '-4', '48', '46']:pred [21.01731   23.         7.1247516 48.        36.178368 ]
suv_-50_15_-22_10_28_20_30_420:gt ['-50', '15', '-22', '10', '28']:pred [30.404446 15.       40.74253  10.       32.96892 ]
sedan4door_-50_23_-36_35_46_20_30_420:gt ['-50', '23', '-36', '35', '46']:pred [29.30677  23.       47.423695 35.       32.04702 ]
hatchback_-17_45_-4_48_28_50_30_420:gt ['-17', '45', '-4', '48', '28']:pred [15.4601755 45.        15.648231  48.        31.940207 ]
hybrid_-30_45_-4_48_28_140_70_420:gt ['-30', '45', '-4', '48', '28']:pred [28.008467 31.357767  4.       48.       13.545303]
hybrid_-17_23_-36_48_15_140_30_420:gt ['-17', '23', '-36', '48', '15']:pred [17.      22.03354 36.      48.      15.     ]
suv_-17_15_-4_48_28_230_30_420:gt ['-17', '15', '-4', '48', '28']:pred [17.        9.799583  4.       38.132885 37.139336]
hybrid_-17_45_-36_10_28_140_30_420:gt ['-17', '45', '-36', '10', '28']:pred [17.       37.801064 36.       10.       28.      ]
hatchback_-17_45_-36_48_46_20_30_420:gt ['-17', '45', '-36', '48', '46']:pred [12.420685 45.       31.43638  48.       41.893845]
hatchback_-17_45_-36_10_28_20_30_420:gt ['-17', '45', '-36', '10', '28']:pred [15.289471 45.       38.279823 10.       29.390764]
sedan2door_-17_23_-4_10_46_50_70_420:gt ['-17', '23', '-4', '10', '46']:pred [14.036604 26.50323   4.       10.       22.41856 ]
sedan2door_-30_15_-22_10_28_50_70_420:gt ['-30', '15', '-22', '10', '28']:pred [22.831615 17.270004 22.       10.       24.34089 ]
hybrid_-50_45_-4_10_28_20_70_420:gt ['-50', '45', '-4', '10', '28']:pred [39.066406 28.273474  4.       10.       21.009186]
sedan4door_-50_15_-22_48_46_230_70_420:gt ['-50', '15', '-22', '48', '46']:pred [24.675613 27.447388 40.050503 44.196804 15.679963]
suv_-30_45_-36_35_28_50_30_420:gt ['-30', '45', '-36', '35', '28']:pred [33.61713  45.       51.830185 35.       28.      ]
sedan2door_-30_23_-4_35_46_20_70_420:gt ['-30', '23', '-4', '35', '46']:pred [24.479883 24.795326  4.       35.       30.771496]
hatchback_-30_45_-4_10_46_230_70_420:gt ['-30', '45', '-4', '10', '46']:pred [25.234684 35.749615 37.328625 25.72866  28.966158]
hybrid_-17_15_-36_35_15_20_70_420:gt ['-17', '15', '-36', '35', '15']:pred [ 4.099693 10.177287 36.       35.        5.05593 ]
sedan4door_-17_15_-4_48_15_140_70_420:gt ['-17', '15', '-4', '48', '15']:pred [18.969229   6.101979   4.        28.85326    3.6863124]
hybrid_-30_23_-22_35_28_50_70_420:gt ['-30', '23', '-22', '35', '28']:pred [21.247572 27.01079  22.       35.       20.118126]
hybrid_-17_15_-22_35_28_230_70_420:gt ['-17', '15', '-22', '35', '28']:pred [11.376465 19.90422  22.       35.       17.89904 ]
sedan2door_-17_45_-22_48_15_230_30_420:gt ['-17', '45', '-22', '48', '15']:pred [17.       32.478397 22.       48.       17.390123]
hybrid_-17_45_-4_48_28_20_30_420:gt ['-17', '45', '-4', '48', '28']:pred [10.479084 45.        4.       48.       20.009617]
hatchback_-30_15_-4_35_15_140_30_420:gt ['-30', '15', '-4', '35', '15']:pred [30.       18.474972  4.       19.165987 15.      ]
sedan2door_-50_23_-36_35_28_230_70_420:gt ['-50', '23', '-36', '35', '28']:pred [12.521711 24.608313 36.       35.       15.523312]
sedan2door_-30_15_-4_35_46_140_30_420:gt ['-30', '15', '-4', '35', '46']:pred [30.       13.419392  4.       35.       46.      ]
sedan4door_-17_45_-22_48_28_230_70_420:gt ['-17', '45', '-22', '48', '28']:pred [ 5.854532 47.055244 34.608055 42.909645 10.123685]
hybrid_-17_45_-4_48_28_20_70_420:gt ['-17', '45', '-4', '48', '28']:pred [ 7.5133915 31.559057   4.        48.        18.514446 ]
hatchback_-50_45_-4_10_15_230_70_420:gt ['-50', '45', '-4', '10', '15']:pred [33.797535 38.083656 37.533875 21.676378  7.758804]
hybrid_-30_23_-22_48_46_230_70_420:gt ['-30', '23', '-22', '48', '46']:pred [27.128542 24.999428 22.       48.       32.88764 ]
sedan4door_-30_15_-22_48_15_140_70_420:gt ['-30', '15', '-22', '48', '15']:pred [29.546719   6.6376343 22.        31.165741   6.2692327]
sedan2door_-17_45_-4_48_15_50_30_420:gt ['-17', '45', '-4', '48', '15']:pred [25.621258 45.        4.       48.        8.655231]
sedan2door_-30_45_-4_35_28_50_70_420:gt ['-30', '45', '-4', '35', '28']:pred [26.919243 39.436348  4.       35.       18.177372]
hybrid_-30_15_-22_48_15_20_30_420:gt ['-30', '15', '-22', '48', '15']:pred [26.20125  15.       22.       48.        7.301719]
hatchback_-30_23_-22_35_46_20_70_420:gt ['-30', '23', '-22', '35', '46']:pred [16.672407 28.736206 35.2171   31.38102  31.655453]
suv_-50_23_-4_48_28_140_70_420:gt ['-50', '23', '-4', '48', '28']:pred [36.346344  26.200092   4.        27.358917   6.1493964]
sedan2door_-30_15_-22_10_28_230_30_420:gt ['-30', '15', '-22', '10', '28']:pred [30.         6.6063104 22.        10.        28.066507 ]
hatchback_-30_15_-36_48_15_50_70_420:gt ['-30', '15', '-36', '48', '15']:pred [16.646036 24.384874 36.548622 48.       11.437725]
sedan4door_-17_15_-22_10_28_20_70_420:gt ['-17', '15', '-22', '10', '28']:pred [12.748949 14.331984 25.50997  10.       13.216756]
suv_-30_15_-4_10_15_20_70_420:gt ['-30', '15', '-4', '10', '15']:pred [30.155787 16.496037 21.955841 10.       12.50829 ]
suv_-50_23_-4_48_46_140_30_420:gt ['-50', '23', '-4', '48', '46']:pred [50.       25.511982  4.       26.726776 46.      ]
sedan4door_-50_15_-22_35_46_140_70_420:gt ['-50', '15', '-22', '35', '46']:pred [38.29756   8.049976 22.       34.751347 14.450727]
hybrid_-30_23_-4_10_28_140_30_420:gt ['-30', '23', '-4', '10', '28']:pred [30.       22.601511  4.       10.       28.      ]
sedan2door_-17_15_-36_35_46_230_30_420:gt ['-17', '15', '-36', '35', '46']:pred [17.        7.468422 36.       35.       28.615444]
suv_-17_45_-36_48_15_230_30_420:gt ['-17', '45', '-36', '48', '15']:pred [17.       35.8486   36.       39.867306 23.81193 ]
sedan4door_-50_45_-22_10_46_20_30_420:gt ['-50', '45', '-22', '10', '46']:pred [30.30491  45.       38.645523 10.       26.896294]
sedan2door_-17_15_-36_48_28_140_30_420:gt ['-17', '15', '-36', '48', '28']:pred [17.       12.208776 36.       48.       28.      ]
hatchback_-50_15_-4_35_28_50_70_420:gt ['-50', '15', '-4', '35', '28']:pred [26.86557  23.052494 15.764812 35.       19.443192]
suv_-30_15_-22_35_46_230_30_420:gt ['-30', '15', '-22', '35', '46']:pred [30.        9.212004 22.       34.062454 51.138588]
suv_-17_45_-22_10_15_140_30_420:gt ['-17', '45', '-22', '10', '15']:pred [17.        33.46257   22.         1.2329326 15.       ]
sedan2door_-50_15_-4_35_15_50_30_420:gt ['-50', '15', '-4', '35', '15']:pred [45.427628 15.        4.       35.       21.074389]
sedan2door_-30_15_-4_48_28_50_70_420:gt ['-30', '15', '-4', '48', '28']:pred [23.835455 17.111412  4.       48.       23.55583 ]
sedan4door_-30_23_-22_35_28_50_30_420:gt ['-30', '23', '-22', '35', '28']:pred [33.1124  23.      45.38328 35.      28.     ]
sedan4door_-17_23_-22_35_15_50_30_420:gt ['-17', '23', '-22', '35', '15']:pred [16.095434 23.       38.7144   35.       15.      ]
sedan2door_-30_45_-4_10_15_50_70_420:gt ['-30', '45', '-4', '10', '15']:pred [26.186066 39.516785  4.       10.       15.892047]
suv_-30_45_-4_10_46_230_30_420:gt ['-30', '45', '-4', '10', '46']:pred [30.       35.5103    4.       10.054104 49.817944]
hatchback_-50_23_-22_10_15_230_70_420:gt ['-50', '23', '-22', '10', '15']:pred [32.767113 33.790707 39.724358 23.673958  8.88444 ]
hatchback_-30_15_-36_35_46_230_30_420:gt ['-30', '15', '-36', '35', '46']:pred [30.        6.672181 36.       34.829357 51.93135 ]
hatchback_-50_45_-36_10_46_140_70_420:gt ['-50', '45', '-36', '10', '46']:pred [39.09591  34.988876 27.933165 25.242565 31.100811]
sedan2door_-50_23_-22_10_46_50_30_420:gt ['-50', '23', '-22', '10', '46']:pred [43.4015   23.       43.023354 10.       23.548307]
sedan4door_-50_45_-4_35_15_50_70_420:gt ['-50', '45', '-4', '35', '15']:pred [32.99389  45.413998 20.524414 35.        8.583514]
hatchback_-17_23_-36_35_15_230_70_420:gt ['-17', '23', '-36', '35', '15']:pred [11.762047 34.97924  36.93362  33.60151   9.390605]
sedan4door_-30_23_-22_48_28_20_70_420:gt ['-30', '23', '-22', '48', '28']:pred [27.530857 33.282124 28.811287 38.630524 12.330454]
sedan2door_-30_45_-22_48_28_230_70_420:gt ['-30', '45', '-22', '48', '28']:pred [12.281782 34.91159  22.       48.       12.030568]
sedan2door_-30_45_-4_48_46_50_30_420:gt ['-30', '45', '-4', '48', '46']:pred [41.41835 45.       4.      48.      46.     ]
sedan2door_-50_45_-4_35_46_50_30_420:gt ['-50', '45', '-4', '35', '46']:pred [44.508236 45.       43.586815 35.       24.675436]
hybrid_-30_45_-4_35_28_230_30_420:gt ['-30', '45', '-4', '35', '28']:pred [30.       36.00842   4.       35.       29.095537]
hybrid_-50_23_-4_35_46_50_70_420:gt ['-50', '23', '-4', '35', '46']:pred [30.316952 30.034554  4.       35.       32.871193]
sedan4door_-30_23_-22_35_28_140_70_420:gt ['-30', '23', '-22', '35', '28']:pred [32.65702   9.909472 22.       28.74446  18.709108]
sedan2door_-50_45_-36_10_46_20_30_420:gt ['-50', '45', '-36', '10', '46']:pred [38.97331 45.      36.      10.      45.92073]
sedan4door_-50_23_-22_10_28_20_70_420:gt ['-50', '23', '-22', '10', '28']:pred [39.40587   15.551554  29.890587  10.         7.8893147]
hatchback_-17_23_-22_35_28_50_70_420:gt ['-17', '23', '-22', '35', '28']:pred [12.503243 27.628471 29.94472  35.       23.345503]
hybrid_-50_23_-22_10_28_230_70_420:gt ['-50', '23', '-22', '10', '28']:pred [39.185497 20.082901 22.       10.       18.057392]
suv_-30_23_-36_35_15_140_70_420:gt ['-30', '23', '-36', '35', '15']:pred [26.971455  17.12127   36.        19.082407   5.3862085]
sedan4door_-50_23_-36_48_46_50_30_420:gt ['-50', '23', '-36', '48', '46']:pred [39.491905 23.       49.60713  48.       46.      ]
suv_-17_45_-22_48_28_230_30_420:gt ['-17', '45', '-22', '48', '28']:pred [17.       32.319088 22.       36.871574 36.52316 ]
suv_-50_45_-36_10_46_140_70_420:gt ['-50', '45', '-36', '10', '46']:pred [40.517967 32.062847 36.       14.788949 24.956976]
sedan4door_-50_15_-22_10_15_140_30_420:gt ['-50', '15', '-22', '10', '15']:pred [50.       11.003423 22.        5.528052 15.      ]
hybrid_-50_23_-4_48_15_230_30_420:gt ['-50', '23', '-4', '48', '15']:pred [50.       15.337202  4.       48.       15.044281]
sedan4door_-17_15_-22_48_15_20_70_420:gt ['-17', '15', '-22', '48', '15']:pred [10.467703 25.380188 31.16821  29.115803  6.067176]
