7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [ 9.269759   4.1059837  1.1479808 16.215416  44.8137   ]
4f17af1ca7ae689d409b2c4484d833cc_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [ 3.5959144  6.7493277 16.314552   1.9891431 49.846695 ]
a115d534edec6f89afe1d4530f4c6e24_20_20_20_40_20_160_40_400:gt ['20', '20', '20', '40', '20']:pred [ 9.179089  8.228928 20.       40.       48.036446]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [10.175829 51.90397  17.482758 20.       26.564285]
d2592adba4e8e62648368c1a2f71c5f3_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [32.770836  39.381184   4.2739143 20.        54.59172  ]
216d910f71942f205df3c6413d40ccb2_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [10.148127  20.136208   2.5101655 24.674633  54.312862 ]
825fb860d71c78a477c771b4b7eed82c_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [ 6.539642  9.706859 40.       40.       22.453295]
d2592adba4e8e62648368c1a2f71c5f3_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [18.4172    39.577477   8.5109215 31.54398   58.49271  ]
7dac31838b627748eb631ba05bd8dfe_20_40_40_20_40_80_80_400:gt ['20', '40', '40', '20', '40']:pred [ 6.690088 14.005329 40.       20.        6.531197]
7dac31838b627748eb631ba05bd8dfe_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [ 5.1265283  7.9179993 20.        16.915901  58.065155 ]
6265f0745d3f40546bcd32c43682e841_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [ 8.07577   3.078223 11.805812 40.       16.71281 ]
d2592adba4e8e62648368c1a2f71c5f3_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [ 3.1356916 23.568466  12.810982  14.298458  51.79526  ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [ 8.10503  10.543446 40.       20.       20.      ]
cde88b5900e8dfba725a7749daae1afa_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [11.813407  49.44114   15.887191   0.9146728 38.3333   ]
825fb860d71c78a477c771b4b7eed82c_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [11.802431  24.134254   2.6543994 40.        20.       ]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_40_40_20_80_40_400:gt ['20', '20', '40', '40', '20']:pred [10.061752 10.992033  7.923172 40.       28.70494 ]
d2592adba4e8e62648368c1a2f71c5f3_20_20_40_20_20_160_40_400:gt ['20', '20', '40', '20', '20']:pred [20.       55.938187 14.27178  20.1894   56.305416]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [20.       16.679876 40.       11.456075 58.677124]
1790131f5f74b1ed973aff268eb6b00c_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [ 4.689974  12.543843   1.7672373 40.        40.       ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_20_40_20_160_40_400:gt ['20', '20', '20', '40', '20']:pred [38.12414  54.029987 41.595627 40.       44.083157]
70e27da90dec2de49604bf8c981ad1eb_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [ 7.552194   1.9236828  4.0403247  1.914548  14.592487 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [12.216512  15.828669   1.6483356 19.389982  18.213715 ]
5e87b04efd58cc8922412d2a728de1d5_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [11.02084   13.598428   4.9762163 23.411581  26.58027  ]
b9786e1b059a1712ca92a4cdad802b45_20_40_20_20_40_160_40_400:gt ['20', '40', '20', '20', '40']:pred [ 7.5175586  8.765662  20.        20.        32.124287 ]
923007b377bb1cab473f10e6caaeca56_20_40_20_20_40_160_40_400:gt ['20', '40', '20', '20', '40']:pred [20.       10.547812 20.       20.       10.780711]
fa1b3bcdbda309a439cc19d48e3f4f5_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [20.        9.275294 40.       40.        8.450401]
425ba801e904cb50f3aaed7e86215c7b_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [ 1.8716408  12.032368    6.9282227   0.11639756 37.506073  ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_40_20_240_80_400:gt ['40', '40', '20', '40', '20']:pred [ 8.892497 53.71809   7.152504  9.771699 46.81116 ]
7dac31838b627748eb631ba05bd8dfe_20_40_20_20_40_240_40_400:gt ['20', '40', '20', '20', '40']:pred [20.         3.412523  20.        14.514823   2.8685293]
4f17af1ca7ae689d409b2c4484d833cc_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [ 3.6614037  7.0472965 19.253885   1.7876686 55.840332 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [20.        7.337367  5.064682  8.020464 13.965431]
d2592adba4e8e62648368c1a2f71c5f3_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [ 8.000429 29.390963  1.7677   14.553201 27.20427 ]
b9786e1b059a1712ca92a4cdad802b45_20_20_20_20_20_80_80_400:gt ['20', '20', '20', '20', '20']:pred [36.909878  42.763016   8.398976  20.         7.5418754]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [11.54179   33.408413  22.277706   1.6098028 35.936504 ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [11.0554905 38.928062  14.5240345  2.9531608 52.266026 ]
9c827e532de4967285089a13cc567dbd_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [12.011916  44.41298    7.2681684 10.59718   43.335842 ]
9c827e532de4967285089a13cc567dbd_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [ 7.7188334 51.042606   6.4180193  3.1870542 42.899296 ]
c61ec8875746ab78227375499b768057_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [33.698658 19.75586  26.407299  6.273387 26.37858 ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [20.0474     6.8906083 40.        40.         2.3814428]
cde88b5900e8dfba725a7749daae1afa_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [10.26602  32.3875    4.12637  20.       25.287384]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [ 4.8779087 11.937178   1.8259794 40.        38.83362  ]
7dac31838b627748eb631ba05bd8dfe_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [20.         3.3017771 40.        14.03579    2.7716072]
5e87b04efd58cc8922412d2a728de1d5_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [39.41607  19.617182 10.405293 40.       20.      ]
6265f0745d3f40546bcd32c43682e841_20_20_20_20_20_240_40_400:gt ['20', '20', '20', '20', '20']:pred [20.         6.0462127 20.         6.096503  20.082333 ]
86c8a3137a716d70e742b0b5e87bec54_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [ 8.368673  21.134163   4.4972897 17.055538  59.039234 ]
70e27da90dec2de49604bf8c981ad1eb_40_40_40_20_40_240_80_400:gt ['40', '40', '40', '20', '40']:pred [ 5.5547824  2.908103   4.375552   2.3548625 19.325462 ]
86c8a3137a716d70e742b0b5e87bec54_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [ 4.952197  10.812039   6.96932   15.2332735 58.506775 ]
86c8a3137a716d70e742b0b5e87bec54_20_40_20_40_20_240_40_400:gt ['20', '40', '20', '40', '20']:pred [17.459116  3.126846 20.        8.062942 18.148472]
fabcb04fc015f822ca8bf2993ca245b_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [14.323866 25.423292  7.02628  40.719715 48.689957]
ffe0a5b165461eb66a2345809e2bb169_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [ 2.3779318 13.439647   4.122507   3.82778   36.833454 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [20.       23.780815 40.       12.36271  44.18076 ]
c61ec8875746ab78227375499b768057_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [20.        26.498316  34.38761    6.9726367 15.568279 ]
4f17af1ca7ae689d409b2c4484d833cc_40_20_20_40_20_240_80_400:gt ['40', '20', '20', '40', '20']:pred [ 7.1272407 17.287413  20.        40.        25.419634 ]
4458ed2a746e61a3b11647ffa4306609_40_40_40_20_40_80_80_400:gt ['40', '40', '40', '20', '40']:pred [29.01483    7.1153884  5.099257  15.460142  29.617895 ]
923007b377bb1cab473f10e6caaeca56_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [24.934927   3.2355764 40.        40.        40.       ]
d0cf2f187acda5736be7348aa770e4ca_20_40_20_20_40_80_40_400:gt ['20', '40', '20', '20', '40']:pred [ 7.5910296 33.37913    6.3658323  4.014116  36.72476  ]
fabcb04fc015f822ca8bf2993ca245b_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [35.82661  57.97231  12.892529 40.       41.13818 ]
c61ec8875746ab78227375499b768057_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [20.       51.45008  24.106594  6.49285  22.458368]
a387407d49e209fdeea60824a43a0b_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [ 8.241594 37.12423   6.899802 20.       20.      ]
aa9f41bc3925ffc4be9358e8c18dc481_40_40_20_40_20_160_40_400:gt ['40', '40', '20', '40', '20']:pred [ 4.830631  15.197805   3.3605301 12.117937  23.505219 ]
4458ed2a746e61a3b11647ffa4306609_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [21.020924  9.471788 11.992613 20.       20.      ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [16.796598 35.95629  14.033185 10.256766 29.903105]
86c8a3137a716d70e742b0b5e87bec54_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [22.706297 13.384493 10.075654 40.       43.179523]
12f2905dc029f59a2479fbc7da5ed22b_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [ 5.4712415  8.831907  40.        40.        21.338564 ]
7c46bfff2f90f11044592db9be5db5c8_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [ 2.4935727  5.2282605  2.229169  11.544677  44.000957 ]
4458ed2a746e61a3b11647ffa4306609_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [10.163147  5.921099  5.691395 11.382076  5.667576]
216d910f71942f205df3c6413d40ccb2_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [ 4.5758038 11.50712    2.6618776 27.38447   55.86076  ]
70e27da90dec2de49604bf8c981ad1eb_40_20_20_40_20_160_80_400:gt ['40', '20', '20', '40', '20']:pred [ 3.7124546  3.5885031  6.0757065  1.0966984 34.84891  ]
a115d534edec6f89afe1d4530f4c6e24_40_20_40_40_20_80_40_400:gt ['40', '20', '40', '40', '20']:pred [12.69609  17.723906 40.       40.       20.      ]
9c827e532de4967285089a13cc567dbd_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [ 3.061946 48.051384 18.361082  5.537711 43.29553 ]
9c827e532de4967285089a13cc567dbd_20_20_20_40_40_80_40_400:gt ['20', '20', '20', '40', '40']:pred [11.457493 47.05318   4.003659 40.       22.42881 ]
9d2b7938d426633b28044fe9244db50a_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [ 2.4661107   0.16696313 20.         40.          6.064722  ]
c61ec8875746ab78227375499b768057_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40.       45.578415 20.       15.374022 12.762705]
b9786e1b059a1712ca92a4cdad802b45_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [ 6.900023  8.828838 20.       40.       20.163586]
b9786e1b059a1712ca92a4cdad802b45_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [ 8.652469  12.8604965 20.        20.        15.179413 ]
825fb860d71c78a477c771b4b7eed82c_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [ 3.6556392  1.9312344 40.        20.        12.326083 ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_20_20_80_80_400:gt ['40', '20', '20', '20', '20']:pred [ 2.4696357  2.7231698  1.4964423  5.811601  15.836352 ]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [30.475574  7.167132 40.       20.       20.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [10.615441   1.9055672  4.422464   6.6747947 57.259552 ]
ffe0a5b165461eb66a2345809e2bb169_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [ 1.0804099  4.4840426  2.414514   2.078829  41.053707 ]
1a64bf1e658652ddb11647ffa4306609_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [20.       10.537843 40.       22.968452  9.096968]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [ 2.5210385  9.347756   5.64028    1.891104  13.793814 ]
7dac31838b627748eb631ba05bd8dfe_20_20_20_40_20_160_40_400:gt ['20', '20', '20', '40', '20']:pred [20.       34.627975 20.       19.050903 58.84143 ]
b9786e1b059a1712ca92a4cdad802b45_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [ 9.6840925  9.251604   3.3527603 13.342     30.365597 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [ 4.961446 19.718609  5.6408   20.       22.012352]
7dac31838b627748eb631ba05bd8dfe_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [ 4.8436284 18.971687  40.        20.        40.       ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [18.618988 55.277355 22.715963 40.       27.665503]
ffe0a5b165461eb66a2345809e2bb169_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [ 3.0042832  5.196197   1.1582891  8.057679  23.821789 ]
a387407d49e209fdeea60824a43a0b_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [21.683308 32.818584 10.883363 40.       40.      ]
6265f0745d3f40546bcd32c43682e841_40_20_40_40_20_80_80_400:gt ['40', '20', '40', '40', '20']:pred [ 4.602891   3.2067902  8.312176  40.        12.7800665]
5e87b04efd58cc8922412d2a728de1d5_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [10.346071  23.501583   2.9000669 11.497311  18.412022 ]
4f17af1ca7ae689d409b2c4484d833cc_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [11.418679 15.313325 40.       15.772689 21.517828]
fabcb04fc015f822ca8bf2993ca245b_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [36.317608 26.622248 13.578027 20.       44.619076]
7c46bfff2f90f11044592db9be5db5c8_20_40_20_20_20_80_80_400:gt ['20', '40', '20', '20', '20']:pred [ 9.191531   5.2842636  1.5129923 18.664509  37.749535 ]
825fb860d71c78a477c771b4b7eed82c_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [ 5.499438  33.351204   0.4613363 20.079449  30.893719 ]
b9786e1b059a1712ca92a4cdad802b45_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [15.345738 19.23098  40.       40.       17.919744]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_40_20_80_80_400:gt ['40', '20', '40', '40', '20']:pred [ 7.447795   7.691987   1.4468141 16.301422  36.16707  ]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [ 9.413617 18.916307 40.       23.613657 49.11678 ]
2f7cf2c2d170e3c936f37029483b3e41_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [23.447466 24.415712  8.008432 20.       40.      ]
b9786e1b059a1712ca92a4cdad802b45_20_40_40_20_40_160_40_400:gt ['20', '40', '40', '20', '40']:pred [ 7.38115   8.704085 40.       20.       32.650856]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [ 4.574829 10.099478 40.       12.07359  24.431847]
fabcb04fc015f822ca8bf2993ca245b_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [11.262997 38.323006 12.604576  8.335175 53.53249 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [10.216786 26.678965  9.232816 20.       30.155132]
923007b377bb1cab473f10e6caaeca56_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [16.992626  7.124084  6.53267  21.39195  34.8986  ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [ 3.6249073  4.7309003 20.        20.        47.341137 ]
d2592adba4e8e62648368c1a2f71c5f3_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [ 8.523098 22.518057  5.984125 13.672213 40.      ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_40_40_20_80_40_400:gt ['20', '20', '40', '40', '20']:pred [ 2.7292352 32.625427   8.201678  40.        15.231909 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [ 6.755547 46.319    12.380989  8.405243 33.43936 ]
a115d534edec6f89afe1d4530f4c6e24_40_40_20_40_40_160_80_400:gt ['40', '40', '20', '40', '40']:pred [ 4.128972 17.367533 20.       40.       34.48477 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_20_40_20_80_40_400:gt ['20', '40', '20', '40', '20']:pred [14.580869 50.516125 23.163933 40.       22.274307]
d2592adba4e8e62648368c1a2f71c5f3_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [ 9.044969 30.20863   6.708378 10.955244 40.      ]
a88d69e53a01aab9ff1370452e3a0154_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [7.9059534 4.5375147 9.835208  7.7193365 9.535638 ]
cde88b5900e8dfba725a7749daae1afa_20_20_20_20_20_80_80_400:gt ['20', '20', '20', '20', '20']:pred [21.311903  48.175434  14.807924   4.8224735 31.585672 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [ 6.074955 49.085632  8.879993 42.937027 36.82363 ]
6265f0745d3f40546bcd32c43682e841_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       9.30557 40.      40.       8.7592 ]
7dac31838b627748eb631ba05bd8dfe_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.        8.562535 20.       20.        7.974278]
5e87b04efd58cc8922412d2a728de1d5_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [20.       14.922986 40.       14.071633 16.605326]
7c46bfff2f90f11044592db9be5db5c8_40_20_40_40_20_80_80_400:gt ['40', '20', '40', '40', '20']:pred [ 9.250008   7.6639028  1.8792913 35.90349   37.561447 ]
5e87b04efd58cc8922412d2a728de1d5_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [ 4.237358 17.31346  16.95457  17.589214 42.703465]
70e27da90dec2de49604bf8c981ad1eb_40_40_40_40_40_240_80_400:gt ['40', '40', '40', '40', '40']:pred [ 5.6776443  2.8874478  4.421397   2.112749  19.230164 ]
a387407d49e209fdeea60824a43a0b_40_20_20_40_40_80_80_400:gt ['40', '20', '20', '40', '40']:pred [23.823853  22.811392   5.7186446 33.720177  11.945548 ]
7dac31838b627748eb631ba05bd8dfe_40_20_20_40_20_240_40_400:gt ['40', '20', '20', '40', '20']:pred [40.         6.7004943 20.        17.472872   2.9091167]
d2592adba4e8e62648368c1a2f71c5f3_20_20_20_20_20_80_40_400:gt ['20', '20', '20', '20', '20']:pred [26.223743 42.83785  21.80259  20.       49.859802]
ffe0a5b165461eb66a2345809e2bb169_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [ 2.4252543   8.1986      0.39297515  2.4689903  25.725513  ]
216d910f71942f205df3c6413d40ccb2_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [ 4.2470055  6.266141   1.9345752 11.136546  57.68476  ]
7dac31838b627748eb631ba05bd8dfe_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [ 1.4984952 27.464655  20.        20.         5.25159  ]
923007b377bb1cab473f10e6caaeca56_20_40_40_40_20_240_80_400:gt ['20', '40', '40', '40', '20']:pred [ 7.969578  17.10424    5.0732317 15.261234  21.507292 ]
c61ec8875746ab78227375499b768057_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [15.037624 31.510979 40.       20.       14.421629]
4458ed2a746e61a3b11647ffa4306609_20_20_40_20_20_240_80_400:gt ['20', '20', '40', '20', '20']:pred [ 6.704083  11.62031    4.8735576 12.80741   21.551651 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [11.901981 50.861244 10.278847 36.07843  33.563778]
