suv_-30_15_-4_10_15_140_30_420:gt ['-30', '15', '-4', '10', '15']:pred [30.        10.4353075  4.         8.330314  15.       ]
sedan4door_-30_23_-22_10_28_20_70_420:gt ['-30', '23', '-22', '10', '28']:pred [30.966919 20.823904 29.207296 10.       24.389252]
suv_-50_23_-22_35_15_140_30_420:gt ['-50', '23', '-22', '35', '15']:pred [50.       23.819698 22.       23.758217 15.      ]
hatchback_-30_45_-36_35_15_50_70_420:gt ['-30', '45', '-36', '35', '15']:pred [31.545042 28.58958  26.51303  35.       24.283451]
hybrid_-50_45_-22_48_15_20_70_420:gt ['-50', '45', '-22', '48', '15']:pred [37.116344 25.149689 22.       48.       19.648735]
hatchback_-30_45_-4_10_28_230_70_420:gt ['-30', '45', '-4', '10', '28']:pred [35.963863 33.026352 13.636003 17.597652 26.103033]
hatchback_-30_23_-36_48_28_50_70_420:gt ['-30', '23', '-36', '48', '28']:pred [30.409624 28.033232 29.690475 48.       20.104437]
hybrid_-30_45_-22_48_15_20_70_420:gt ['-30', '45', '-22', '48', '15']:pred [28.212624 19.663511 22.       48.       19.587624]
sedan2door_-17_23_-36_35_28_50_30_420:gt ['-17', '23', '-36', '35', '28']:pred [28.85635 23.      36.      35.      28.     ]
sedan4door_-30_45_-22_35_15_230_70_420:gt ['-30', '45', '-22', '35', '15']:pred [41.549683 37.106293 28.304634 27.636906  6.330706]
sedan4door_-30_23_-22_48_15_140_30_420:gt ['-30', '23', '-22', '48', '15']:pred [30.       27.442635 22.       34.7551   15.      ]
hybrid_-30_23_-22_35_46_20_30_420:gt ['-30', '23', '-22', '35', '46']:pred [37.60506  23.       22.       35.       28.701225]
sedan2door_-50_23_-4_35_46_50_70_420:gt ['-50', '23', '-4', '35', '46']:pred [33.031677 28.218363  4.       35.       28.177876]
suv_-50_45_-22_10_28_20_30_420:gt ['-50', '45', '-22', '10', '28']:pred [35.721798 45.       32.849056 10.       24.71041 ]
suv_-50_23_-36_48_15_230_70_420:gt ['-50', '23', '-36', '48', '15']:pred [41.242878 22.051159 38.599613 40.441174 12.148326]
hybrid_-50_15_-4_35_46_50_30_420:gt ['-50', '15', '-4', '35', '46']:pred [24.222467 15.        4.       35.       46.      ]
suv_-30_15_-4_10_28_20_70_420:gt ['-30', '15', '-4', '10', '28']:pred [31.311317 23.389286 24.862959 10.       26.619202]
sedan2door_-17_15_-36_48_28_140_70_420:gt ['-17', '15', '-36', '48', '28']:pred [25.719599 18.246584 36.       48.       25.284317]
hybrid_-30_45_-22_35_46_20_30_420:gt ['-30', '45', '-22', '35', '46']:pred [34.135532 45.       22.       35.       34.63186 ]
sedan2door_-17_45_-4_48_46_20_30_420:gt ['-17', '45', '-4', '48', '46']:pred [16.993315 45.        4.       48.       31.507895]
suv_-17_23_-4_10_28_140_30_420:gt ['-17', '23', '-4', '10', '28']:pred [17.       13.722527  4.       11.190417 28.      ]
hatchback_-30_23_-36_35_28_230_30_420:gt ['-30', '23', '-36', '35', '28']:pred [30.       13.044258 36.       18.529457 26.545586]
hybrid_-30_23_-36_48_15_20_70_420:gt ['-30', '23', '-36', '48', '15']:pred [25.067074 20.340284 36.       48.       21.949667]
sedan2door_-17_23_-22_10_28_20_30_420:gt ['-17', '23', '-22', '10', '28']:pred [17.6292   23.       22.       10.       25.841587]
hatchback_-30_23_-36_35_15_230_70_420:gt ['-30', '23', '-36', '35', '15']:pred [32.8547    21.856895  39.113163  28.008055   5.6146417]
hatchback_-17_45_-4_10_15_20_70_420:gt ['-17', '45', '-4', '10', '15']:pred [16.143082 30.262196 11.376733 10.       23.032726]
hybrid_-17_23_-4_35_46_140_30_420:gt ['-17', '23', '-4', '35', '46']:pred [17.      18.22416  4.      35.      46.     ]
sedan2door_-17_45_-4_48_46_140_30_420:gt ['-17', '45', '-4', '48', '46']:pred [17.       33.687485  4.       48.       46.      ]
hybrid_-30_45_-36_35_15_20_70_420:gt ['-30', '45', '-36', '35', '15']:pred [28.300758 20.007975 36.       35.       19.180798]
hatchback_-30_23_-36_10_15_20_70_420:gt ['-30', '23', '-36', '10', '15']:pred [25.431631 24.624374 36.153862 10.       26.039474]
hybrid_-50_23_-22_10_46_140_70_420:gt ['-50', '23', '-22', '10', '46']:pred [32.445488 26.844633 22.       10.       37.645683]
hybrid_-17_15_-22_35_28_20_70_420:gt ['-17', '15', '-22', '35', '28']:pred [21.331411 15.61338  22.       35.       24.226751]
sedan2door_-50_45_-4_35_28_140_70_420:gt ['-50', '45', '-4', '35', '28']:pred [37.947826 34.32552   4.       35.       24.809887]
hybrid_-30_45_-36_10_15_140_70_420:gt ['-30', '45', '-36', '10', '15']:pred [31.429575 34.179485 36.       10.       26.786766]
sedan2door_-17_15_-4_35_15_20_30_420:gt ['-17', '15', '-4', '35', '15']:pred [17.500416 15.        4.       35.       26.769262]
suv_-30_15_-22_48_15_50_70_420:gt ['-30', '15', '-22', '48', '15']:pred [30.542364  9.592271 32.115765 48.        9.268853]
hybrid_-17_45_-4_35_46_20_30_420:gt ['-17', '45', '-4', '35', '46']:pred [23.290955 45.        4.       35.       30.501068]
hybrid_-17_23_-36_48_15_20_30_420:gt ['-17', '23', '-36', '48', '15']:pred [15.348007 23.       36.       48.       20.96347 ]
suv_-17_45_-22_10_15_140_30_420:gt ['-17', '45', '-22', '10', '15']:pred [17.       27.872747 22.       16.726593 15.      ]
hybrid_-30_15_-36_48_15_50_30_420:gt ['-30', '15', '-36', '48', '15']:pred [29.724932 15.       36.       48.       15.      ]
hatchback_-30_15_-4_35_46_20_30_420:gt ['-30', '15', '-4', '35', '46']:pred [31.663052 15.       18.041727 35.       27.055323]
hybrid_-17_15_-4_35_46_140_30_420:gt ['-17', '15', '-4', '35', '46']:pred [17.       11.298071  4.       35.       46.      ]
hatchback_-17_23_-22_10_15_230_30_420:gt ['-17', '23', '-22', '10', '15']:pred [17.       18.606995 22.       11.703513 17.284159]
hybrid_-50_23_-4_10_28_20_70_420:gt ['-50', '23', '-4', '10', '28']:pred [32.915504 24.970505  4.       10.       26.254505]
hybrid_-50_15_-22_10_15_20_30_420:gt ['-50', '15', '-22', '10', '15']:pred [33.5224   15.       22.       10.       21.058226]
hatchback_-50_45_-22_35_28_20_70_420:gt ['-50', '45', '-22', '35', '28']:pred [39.12555  25.790993 30.14794  35.       31.393633]
suv_-50_45_-36_10_46_230_30_420:gt ['-50', '45', '-36', '10', '46']:pred [50.       19.712564 36.       23.774113 31.646841]
sedan4door_-50_45_-36_48_46_20_30_420:gt ['-50', '45', '-36', '48', '46']:pred [35.483444 45.       40.373184 48.       23.417461]
suv_-17_15_-22_48_46_50_30_420:gt ['-17', '15', '-22', '48', '46']:pred [21.99865  15.       27.007425 48.       46.      ]
hatchback_-17_15_-36_48_28_50_70_420:gt ['-17', '15', '-36', '48', '28']:pred [26.711166 17.608345 24.079824 48.       15.719966]
hybrid_-17_15_-22_35_46_50_70_420:gt ['-17', '15', '-22', '35', '46']:pred [26.630634  5.44572  22.       35.       32.583935]
suv_-17_15_-4_35_15_50_30_420:gt ['-17', '15', '-4', '35', '15']:pred [19.803986 15.       16.464003 35.       15.      ]
suv_-30_45_-4_10_15_20_30_420:gt ['-30', '45', '-4', '10', '15']:pred [32.16056  45.       22.038906 10.       21.481647]
sedan2door_-17_45_-4_10_28_140_70_420:gt ['-17', '45', '-4', '10', '28']:pred [33.134247 34.795414  4.       10.       26.110125]
sedan4door_-30_45_-22_10_28_50_70_420:gt ['-30', '45', '-22', '10', '28']:pred [29.760576  33.02691   28.112064  10.         3.8148358]
hybrid_-30_45_-36_48_15_230_30_420:gt ['-30', '45', '-36', '48', '15']:pred [30.       41.94197  36.       48.       15.611411]
sedan2door_-30_23_-22_48_28_20_30_420:gt ['-30', '23', '-22', '48', '28']:pred [32.674583 23.       22.       48.       22.49359 ]
sedan4door_-17_23_-22_48_28_140_70_420:gt ['-17', '23', '-22', '48', '28']:pred [31.05973  20.255798 22.       26.094593 27.396925]
suv_-17_23_-22_10_28_50_70_420:gt ['-17', '23', '-22', '10', '28']:pred [24.912914 16.604965 26.430197 10.       19.542475]
hybrid_-17_15_-22_48_46_20_70_420:gt ['-17', '15', '-22', '48', '46']:pred [20.16316  11.957368 22.       48.       32.84673 ]
sedan4door_-50_45_-4_10_46_230_70_420:gt ['-50', '45', '-4', '10', '46']:pred [42.131447 34.4422    9.700581  8.398712 33.582542]
sedan2door_-17_23_-36_35_46_140_30_420:gt ['-17', '23', '-36', '35', '46']:pred [17.       16.658894 36.       35.       46.      ]
hatchback_-50_23_-36_10_15_230_70_420:gt ['-50', '23', '-36', '10', '15']:pred [40.206627 24.480034 34.156525 15.516139 10.164387]
hatchback_-30_45_-4_35_28_50_70_420:gt ['-30', '45', '-4', '35', '28']:pred [34.326965 26.636446 24.597359 35.       20.171396]
hatchback_-30_45_-4_10_28_20_70_420:gt ['-30', '45', '-4', '10', '28']:pred [31.443579 28.820147 24.03196  10.       24.896513]
hatchback_-17_15_-22_48_15_20_30_420:gt ['-17', '15', '-22', '48', '15']:pred [14.414715  15.        22.803186  48.         3.0122676]
hybrid_-17_15_-22_35_28_230_70_420:gt ['-17', '15', '-22', '35', '28']:pred [26.58318  17.505152 22.       35.       24.39215 ]
sedan2door_-30_15_-36_35_28_140_70_420:gt ['-30', '15', '-36', '35', '28']:pred [30.166254 20.87578  36.       35.       24.497574]
hatchback_-30_45_-4_48_15_230_70_420:gt ['-30', '45', '-4', '48', '15']:pred [35.203217  32.770176   6.4304943 37.090763  11.533978 ]
hatchback_-50_23_-4_10_46_20_70_420:gt ['-50', '23', '-4', '10', '46']:pred [36.993828 27.41631  17.48995  10.       37.640156]
sedan4door_-17_45_-36_48_46_50_30_420:gt ['-17', '45', '-36', '48', '46']:pred [26.853788 45.       31.01297  48.       46.      ]
sedan2door_-50_23_-36_10_46_230_30_420:gt ['-50', '23', '-36', '10', '46']:pred [50.      25.40014 36.      10.      33.58926]
sedan2door_-17_23_-4_48_28_230_70_420:gt ['-17', '23', '-4', '48', '28']:pred [27.557453 26.610695  4.       48.       30.628145]
sedan4door_-30_15_-22_10_46_50_70_420:gt ['-30', '15', '-22', '10', '46']:pred [29.08484  26.598259 31.905977 10.        9.443319]
sedan4door_-17_15_-36_10_28_230_70_420:gt ['-17', '15', '-36', '10', '28']:pred [30.202589 19.710087 34.71911  11.916353 29.729319]
sedan2door_-17_23_-22_48_46_140_70_420:gt ['-17', '23', '-22', '48', '46']:pred [27.5559   21.502144 22.       48.       32.329937]
hybrid_-17_45_-22_35_46_230_30_420:gt ['-17', '45', '-22', '35', '46']:pred [17.       40.313118 22.       35.       34.322563]
hybrid_-30_45_-22_48_15_230_30_420:gt ['-30', '45', '-22', '48', '15']:pred [30.       41.330524 22.       48.       15.510485]
hatchback_-50_23_-4_48_28_230_70_420:gt ['-50', '23', '-4', '48', '28']:pred [39.193718 26.736416  8.869123 28.24301  26.908512]
suv_-50_15_-36_48_15_140_30_420:gt ['-50', '15', '-36', '48', '15']:pred [50.       17.06868  36.       29.280563 15.      ]
sedan2door_-30_15_-36_10_15_50_30_420:gt ['-30', '15', '-36', '10', '15']:pred [22.814825 15.       36.       10.       15.      ]
hatchback_-17_15_-4_35_28_230_30_420:gt ['-17', '15', '-4', '35', '28']:pred [17.        7.459552  4.       24.056139 29.595924]
sedan4door_-30_45_-22_48_46_230_30_420:gt ['-30', '45', '-22', '48', '46']:pred [30.       40.010685 22.       38.258793 33.268097]
sedan4door_-30_23_-36_35_46_20_70_420:gt ['-30', '23', '-36', '35', '46']:pred [26.410852 13.943336 35.442837 35.       34.610546]
