Sedan4Door_-20_0_-20_0_20_80_60_400:gt ['-20', '0', '-20', '0', '20']:pred [16.840204   2.1327503 23.62803    7.3245435 11.5215435]
Hatchback_-20_0_0_20_0_320_60_400:gt ['-20', '0', '0', '20', '0']:pred [18.760565   6.140066   4.6365056 27.676601   6.789969 ]
Sedan2Door_0_20_-20_0_0_80_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 2.9501352 13.943181  20.         0.        16.652676 ]
Sedan4Door_-20_20_0_0_0_0_20_450:gt ['-20', '20', '0', '0', '0']:pred [21.147251  20.         5.2193913  0.         0.       ]
Hatchback_0_0_0_0_0_160_20_400:gt ['0', '0', '0', '0', '0']:pred [0.        4.6251917 0.        7.901577  0.       ]
Hatchback_0_20_0_0_20_0_20_450:gt ['0', '20', '0', '0', '20']:pred [ 3.2409163 20.         8.038263   0.        20.       ]
Hybrid_0_0_0_20_20_240_60_400:gt ['0', '0', '0', '20', '20']:pred [ 5.9505067  2.8951962  0.        20.        24.444487 ]
Hybrid_-20_20_-20_0_0_80_60_450:gt ['-20', '20', '-20', '0', '0']:pred [19.795984 19.969107 20.        0.        6.638952]
Hatchback_0_20_0_0_0_0_60_400:gt ['0', '20', '0', '0', '0']:pred [ 2.3688383 11.744076   4.174027   0.         2.6102536]
Suv_-20_20_0_0_20_0_20_450:gt ['-20', '20', '0', '0', '20']:pred [20.72818   20.         4.2820244  0.        20.       ]
Suv_0_0_0_0_20_0_60_450:gt ['0', '0', '0', '0', '20']:pred [ 1.6397935 10.416599   5.269358   0.        16.953863 ]
Suv_0_20_-20_20_20_320_60_400:gt ['0', '20', '-20', '20', '20']:pred [ 2.817655 20.919333 20.175238 30.959604 17.296549]
Sedan2Door_0_20_-20_0_20_160_60_400:gt ['0', '20', '-20', '0', '20']:pred [ 5.278868 14.687844 20.        0.       16.489948]
Hatchback_-20_0_0_0_0_320_20_450:gt ['-20', '0', '0', '0', '0']:pred [19.25042    0.         5.16771    0.         4.5392904]
Suv_-20_20_-20_20_0_240_60_450:gt ['-20', '20', '-20', '20', '0']:pred [ 6.984879  18.116175  27.787657  24.177279   6.7179303]
Hatchback_-20_0_0_0_0_80_60_400:gt ['-20', '0', '0', '0', '0']:pred [20.975657   2.7770884  8.139718  10.44455    8.219005 ]
Sedan2Door_0_20_0_0_0_240_60_450:gt ['0', '20', '0', '0', '0']:pred [ 3.8241663 17.13715    0.         0.         5.4792385]
Sedan2Door_0_20_-20_20_0_160_20_400:gt ['0', '20', '-20', '20', '0']:pred [ 0.     14.7659 20.     20.      0.    ]
Sedan2Door_0_20_0_0_20_0_20_400:gt ['0', '20', '0', '0', '20']:pred [ 3.2383952 20.         0.         0.        20.       ]
Suv_-20_20_-20_0_0_320_20_400:gt ['-20', '20', '-20', '0', '0']:pred [15.203789 20.       20.644846  0.        4.053942]
Hatchback_0_0_-20_0_20_0_60_400:gt ['0', '0', '-20', '0', '20']:pred [ 4.0509     6.1369457 21.309958   0.        18.487356 ]
Sedan2Door_0_20_0_20_0_240_20_400:gt ['0', '20', '0', '20', '0']:pred [ 0.       19.390274  0.       20.        2.948934]
Hatchback_-20_20_-20_20_0_320_20_400:gt ['-20', '20', '-20', '20', '0']:pred [17.781431  20.        25.716263  20.         2.3940876]
Hybrid_0_20_-20_20_20_0_20_450:gt ['0', '20', '-20', '20', '20']:pred [ 4.214616 20.       20.       20.       20.      ]
Sedan2Door_0_20_0_20_0_240_60_450:gt ['0', '20', '0', '20', '0']:pred [ 4.678424 16.30225   0.       20.        5.374887]
Hybrid_-20_20_-20_20_20_0_60_400:gt ['-20', '20', '-20', '20', '20']:pred [18.241354 16.987886 20.       20.       18.831047]
Sedan4Door_0_20_-20_0_0_80_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 4.2149696 20.        24.685188   0.         0.       ]
Hatchback_-20_0_-20_20_0_160_20_450:gt ['-20', '0', '-20', '20', '0']:pred [20.         4.7806597 20.        24.029154   0.       ]
Hybrid_-20_0_0_0_20_320_20_450:gt ['-20', '0', '0', '0', '20']:pred [19.749662  0.        0.        0.       13.989849]
Sedan2Door_-20_20_0_0_0_240_20_400:gt ['-20', '20', '0', '0', '0']:pred [20.        23.492544   0.         0.         6.6940913]
Sedan4Door_-20_0_-20_0_20_160_60_400:gt ['-20', '0', '-20', '0', '20']:pred [20.108543   2.3438005 20.         4.5333033 14.582056 ]
Suv_-20_0_-20_0_0_160_60_400:gt ['-20', '0', '-20', '0', '0']:pred [25.36724    4.023056  20.         5.635565   3.5238101]
Hatchback_0_20_-20_20_0_0_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 5.698263 20.       18.431038 20.        0.      ]
Sedan4Door_0_20_-20_20_0_80_20_400:gt ['0', '20', '-20', '20', '0']:pred [ 4.37034  20.       25.409029 20.        0.      ]
Sedan4Door_0_20_-20_0_20_0_20_450:gt ['0', '20', '-20', '0', '20']:pred [ 3.057158 20.       24.109913  0.       20.      ]
Hatchback_-20_0_-20_0_0_160_60_400:gt ['-20', '0', '-20', '0', '0']:pred [21.447037   2.7157311 20.         8.39561    2.9208262]
Sedan2Door_0_20_0_0_20_0_20_450:gt ['0', '20', '0', '0', '20']:pred [ 3.5363648 20.         0.         0.        20.       ]
Suv_0_20_0_20_0_160_60_400:gt ['0', '20', '0', '20', '0']:pred [ 4.858474 13.592646  0.       28.587065  4.885381]
Sedan4Door_0_20_-20_0_0_160_60_450:gt ['0', '20', '-20', '0', '0']:pred [ 7.8737407 15.692503  20.         8.536078   7.0269046]
Hybrid_-20_20_-20_20_0_240_20_450:gt ['-20', '20', '-20', '20', '0']:pred [20.        16.627785  20.        20.         6.1396775]
Sedan4Door_0_0_-20_20_20_80_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 3.6473513  0.        22.467684  20.        20.       ]
Hybrid_-20_0_0_20_0_0_60_450:gt ['-20', '0', '0', '20', '0']:pred [20.117302  11.162376   0.        20.         3.7197354]
Hybrid_0_20_0_0_0_160_20_450:gt ['0', '20', '0', '0', '0']:pred [ 0.       15.962101  0.        0.        0.      ]
Hybrid_-20_20_0_0_20_0_20_450:gt ['-20', '20', '0', '0', '20']:pred [18.128487 20.        0.        0.       20.      ]
Hatchback_-20_0_-20_20_0_80_20_400:gt ['-20', '0', '-20', '20', '0']:pred [18.316721  0.       26.39233  20.        0.      ]
Hybrid_0_0_-20_0_0_0_60_450:gt ['0', '0', '-20', '0', '0']:pred [ 4.586711   9.754818  20.         0.         2.9604433]
Sedan2Door_-20_0_0_20_20_160_60_400:gt ['-20', '0', '0', '20', '20']:pred [17.681768   3.0789514  0.        20.        15.837198 ]
Hybrid_0_0_-20_20_0_80_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 5.092362  0.       20.       20.        0.      ]
Sedan4Door_-20_0_-20_20_20_240_20_450:gt ['-20', '0', '-20', '20', '20']:pred [20.         4.4231477 20.        17.262447  13.4979515]
Hatchback_0_0_-20_20_0_0_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 4.2127376  0.        17.75635   20.         0.       ]
Sedan2Door_-20_0_-20_0_20_240_20_450:gt ['-20', '0', '-20', '0', '20']:pred [20.         3.4877973 20.         0.        19.5085   ]
Sedan2Door_0_0_-20_0_0_240_20_400:gt ['0', '0', '-20', '0', '0']:pred [ 0.         3.683751  20.         0.         2.8951156]
Sedan2Door_0_0_0_20_20_320_60_400:gt ['0', '0', '0', '20', '20']:pred [ 3.4625087  4.664347   0.        20.        22.430756 ]
Hatchback_-20_0_-20_0_0_320_60_450:gt ['-20', '0', '-20', '0', '0']:pred [16.649368   3.6763728 22.62169   23.695414   3.575102 ]
Hybrid_0_20_0_20_0_320_20_400:gt ['0', '20', '0', '20', '0']:pred [ 4.755665  20.         0.        20.         3.3507693]
Suv_-20_20_0_0_0_0_20_400:gt ['-20', '20', '0', '0', '0']:pred [20.150297  20.         6.0156555  0.         0.       ]
Suv_0_0_-20_0_0_0_60_400:gt ['0', '0', '-20', '0', '0']:pred [ 4.079565   0.        19.441631   0.         5.7503953]
Hatchback_0_0_-20_20_0_320_20_400:gt ['0', '0', '-20', '20', '0']:pred [ 3.785893  0.       22.309982 20.        4.448729]
Sedan4Door_-20_0_0_20_20_0_60_400:gt ['-20', '0', '0', '20', '20']:pred [22.366934   5.2198334  6.1067295 20.        13.505433 ]
Hatchback_-20_0_0_20_0_240_60_450:gt ['-20', '0', '0', '20', '0']:pred [17.562145   5.464747  23.549276  21.479229   5.9368644]
Hatchback_0_0_-20_20_0_80_20_400:gt ['0', '0', '-20', '20', '0']:pred [ 3.6419303  0.        26.952938  20.         0.       ]
Sedan2Door_-20_0_-20_0_20_320_20_450:gt ['-20', '0', '-20', '0', '20']:pred [23.2076    0.       20.        0.       15.773163]
Suv_-20_0_0_0_0_80_20_400:gt ['-20', '0', '0', '0', '0']:pred [20.810495  0.        0.        0.        0.      ]
Hatchback_0_0_0_20_0_160_20_450:gt ['0', '0', '0', '20', '0']:pred [ 0.         3.9126472  0.        22.787136   0.       ]
Sedan4Door_-20_20_0_20_20_80_60_400:gt ['-20', '20', '0', '20', '20']:pred [25.266134  17.723335   7.5267863 22.045044  15.003752 ]
Sedan4Door_-20_20_-20_0_0_0_20_450:gt ['-20', '20', '-20', '0', '0']:pred [19.61674  20.       18.818737  0.        0.      ]
Hybrid_0_20_0_0_20_160_20_400:gt ['0', '20', '0', '0', '20']:pred [ 0.       16.165714  0.        0.       20.      ]
Hybrid_0_0_-20_20_0_240_60_400:gt ['0', '0', '-20', '20', '0']:pred [ 6.042879   3.0761824 20.        20.         4.676541 ]
Hybrid_-20_0_0_20_20_240_20_400:gt ['-20', '0', '0', '20', '20']:pred [20.        3.227581  0.       20.       21.20505 ]
Sedan2Door_-20_20_-20_20_0_0_20_400:gt ['-20', '20', '-20', '20', '0']:pred [21.308662 20.       20.       20.        0.      ]
Sedan2Door_-20_20_0_20_0_160_20_400:gt ['-20', '20', '0', '20', '0']:pred [20.       15.010073  0.       20.        0.      ]
Suv_-20_0_0_20_0_240_20_400:gt ['-20', '0', '0', '20', '0']:pred [20.         4.1562634  0.        20.0243     2.5006065]
Suv_-20_0_0_0_0_0_60_450:gt ['-20', '0', '0', '0', '0']:pred [24.70229    6.6940675  5.378198   0.         5.442882 ]
Hatchback_-20_20_-20_20_20_240_60_450:gt ['-20', '20', '-20', '20', '20']:pred [14.621215 18.281824 28.068283 21.756552 21.349789]
Sedan4Door_0_20_-20_20_0_160_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 4.919989 17.542782 20.       22.8708    6.955345]
Suv_0_20_0_20_20_0_60_450:gt ['0', '20', '0', '20', '20']:pred [ 2.0613    20.041142   5.2570024 20.        18.506556 ]
Hatchback_-20_0_-20_20_0_80_60_400:gt ['-20', '0', '-20', '20', '0']:pred [18.668894   4.7057247 19.92437   24.145424   6.4228125]
Hatchback_0_0_-20_20_0_0_60_450:gt ['0', '0', '-20', '20', '0']:pred [ 4.703165   4.823677  20.3202    20.         3.7887065]
Suv_0_20_0_0_20_320_60_450:gt ['0', '20', '0', '0', '20']:pred [ 2.7681503  7.711123   5.462876   0.        23.474922 ]
Sedan2Door_-20_0_-20_0_20_0_20_450:gt ['-20', '0', '-20', '0', '20']:pred [21.067116  0.       20.        0.       20.      ]
Sedan2Door_0_0_0_0_20_320_60_450:gt ['0', '0', '0', '0', '20']:pred [ 2.691289  4.860265  0.        0.       16.587612]
Hatchback_-20_0_-20_20_0_320_20_400:gt ['-20', '0', '-20', '20', '0']:pred [18.88261    0.        23.063396  20.         3.0881069]
Hybrid_0_20_0_0_20_320_60_400:gt ['0', '20', '0', '0', '20']:pred [ 4.749024   5.3111563  0.         0.        13.773019 ]
Sedan2Door_0_20_0_20_0_320_60_450:gt ['0', '20', '0', '20', '0']:pred [ 3.0917554 16.246874   0.        20.         4.4915833]
Hatchback_-20_0_-20_20_20_320_60_450:gt ['-20', '0', '-20', '20', '20']:pred [18.268373  6.153297 20.659977 29.636677 13.711789]
Hatchback_0_20_0_20_0_320_20_400:gt ['0', '20', '0', '20', '0']:pred [ 3.2339895 20.         4.68073   20.         4.390595 ]
Sedan2Door_-20_20_0_0_20_80_20_400:gt ['-20', '20', '0', '0', '20']:pred [21.128185 20.        0.        0.       20.      ]
Sedan2Door_-20_0_-20_0_20_160_20_450:gt ['-20', '0', '-20', '0', '20']:pred [20.         3.0843222 20.         0.        20.       ]
Hatchback_-20_0_-20_20_20_80_60_450:gt ['-20', '0', '-20', '20', '20']:pred [18.987774   4.6919913 19.993315  18.038073  17.126055 ]
Hatchback_0_20_-20_20_0_0_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 2.8987026 13.994526  20.393341  20.         3.3389018]
Hatchback_0_20_-20_0_0_0_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 3.642932  12.402388  18.649426   0.         3.4282367]
Sedan2Door_0_0_0_0_20_160_20_450:gt ['0', '0', '0', '0', '20']:pred [ 0.         2.8877172  0.         0.        20.       ]
Hatchback_0_20_-20_20_20_0_20_450:gt ['0', '20', '-20', '20', '20']:pred [ 4.615401 20.       20.194593 20.       20.      ]
Suv_0_20_-20_0_20_160_60_450:gt ['0', '20', '-20', '0', '20']:pred [ 8.270309 16.698359 20.        8.798468 22.018702]
Suv_-20_0_0_0_0_160_20_400:gt ['-20', '0', '0', '0', '0']:pred [20.         3.6034935  0.         5.7256866  0.       ]
Hatchback_0_20_-20_0_20_320_20_400:gt ['0', '20', '-20', '0', '20']:pred [ 3.3966327 20.        23.691391   0.        17.841455 ]
Hybrid_0_20_-20_0_20_0_20_400:gt ['0', '20', '-20', '0', '20']:pred [ 4.7502174 20.        20.         0.        20.       ]
Hybrid_0_0_0_0_0_320_20_450:gt ['0', '0', '0', '0', '0']:pred [5.0356445 0.        0.        0.        3.9559064]
Hybrid_0_20_-20_0_20_320_60_450:gt ['0', '20', '-20', '0', '20']:pred [ 4.707911 18.11956  20.        0.       20.852583]
Hatchback_0_20_0_0_0_320_60_450:gt ['0', '20', '0', '0', '0']:pred [ 2.881308 16.344614  5.03803   0.        4.711595]
Hybrid_-20_20_-20_20_20_320_60_450:gt ['-20', '20', '-20', '20', '20']:pred [21.051905 14.121039 20.       20.       25.63603 ]
Suv_-20_20_0_20_20_80_20_450:gt ['-20', '20', '0', '20', '20']:pred [21.917862  20.         7.9194074 20.        20.       ]
Suv_0_20_0_20_0_160_60_450:gt ['0', '20', '0', '20', '0']:pred [ 6.1468453 22.840746   0.        20.452011   4.8124456]
Sedan2Door_0_20_0_0_20_80_20_400:gt ['0', '20', '0', '0', '20']:pred [ 3.3798962 20.         0.         0.        20.       ]
Sedan2Door_0_0_0_20_20_240_60_450:gt ['0', '0', '0', '20', '20']:pred [ 4.783347   3.8965425  0.        20.        17.243147 ]
Sedan2Door_-20_20_-20_20_0_320_60_400:gt ['-20', '20', '-20', '20', '0']:pred [18.240168  16.898476  20.        20.         2.9321654]
Suv_-20_0_0_20_20_160_20_450:gt ['-20', '0', '0', '20', '20']:pred [20.         3.9592628  0.        20.765102  20.       ]
Suv_0_20_-20_0_20_240_60_400:gt ['0', '20', '-20', '0', '20']:pred [ 8.905897 15.730103 18.673315  4.373018 22.457138]
Hatchback_-20_20_-20_0_20_80_60_400:gt ['-20', '20', '-20', '0', '20']:pred [15.599302 14.562431 14.177361 15.889615 10.34561 ]
Hatchback_-20_20_-20_0_20_0_60_400:gt ['-20', '20', '-20', '0', '20']:pred [19.908998 16.419418 22.22711   0.       18.704756]
Suv_0_20_0_0_0_240_60_450:gt ['0', '20', '0', '0', '0']:pred [ 6.280561  13.978893   0.         5.5410824  3.837865 ]
Sedan4Door_-20_20_-20_20_20_80_60_450:gt ['-20', '20', '-20', '20', '20']:pred [16.83527  14.274    20.814068 16.426958 17.178934]
Sedan4Door_-20_0_-20_20_0_320_60_450:gt ['-20', '0', '-20', '20', '0']:pred [18.450634   3.930307  22.82763   37.884476   5.8179245]
Hybrid_0_20_0_20_0_0_60_400:gt ['0', '20', '0', '20', '0']:pred [ 4.359914 18.651659  0.       20.        4.163112]
Sedan4Door_0_20_0_0_0_240_20_450:gt ['0', '20', '0', '0', '0']:pred [ 0.        13.879661   0.         5.6455317  5.986514 ]
