Sedan2Door_-20_20_0_20_0_160_60_450:gt ['-20', '20', '0', '20', '0']:pred [26.792864   6.47869    0.        31.790073   6.5915446]
Suv_-20_20_0_20_20_320_60_450:gt ['-20', '20', '0', '20', '20']:pred [ 8.731624  20.         7.2155037  8.527631   7.2399535]
Sedan4Door_-20_0_0_0_20_160_60_400:gt ['-20', '0', '0', '0', '20']:pred [11.931905 28.886265  0.       10.482544 45.185925]
Hatchback_0_20_-20_0_0_80_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 1.2332021 20.        26.897432   0.         0.       ]
Sedan4Door_-20_20_-20_20_0_0_60_450:gt ['-20', '20', '-20', '20', '0']:pred [10.820438 30.25497  28.27907  17.954128 35.647053]
Sedan4Door_0_0_-20_20_20_240_60_400:gt ['0', '0', '-20', '20', '20']:pred [14.061734   4.2881517 23.111317  28.941334  34.92802  ]
Hybrid_0_20_-20_0_20_320_60_450:gt ['0', '20', '-20', '0', '20']:pred [ 1.4716494 45.97798    4.6594577  0.         4.165621 ]
Hatchback_-20_0_0_20_0_320_60_400:gt ['-20', '0', '0', '20', '0']:pred [ 7.170285  31.128399   1.0732007 44.280087  20.744572 ]
Hybrid_0_20_0_0_0_240_20_450:gt ['0', '20', '0', '0', '0']:pred [ 4.8791633 13.631236  21.795511  26.309679  19.702473 ]
Sedan4Door_0_20_0_0_20_320_60_400:gt ['0', '20', '0', '0', '20']:pred [ 0.96973544 20.          3.9985125   3.7826738  35.169373  ]
Sedan4Door_-20_20_0_0_0_160_60_450:gt ['-20', '20', '0', '0', '0']:pred [23.095646  29.746555   0.         3.0651646  6.3691053]
Suv_0_20_0_0_20_0_20_450:gt ['0', '20', '0', '0', '20']:pred [ 2.2878945 20.         1.810557   0.        20.       ]
Sedan4Door_0_0_0_20_20_160_60_450:gt ['0', '0', '0', '20', '20']:pred [ 4.0938926 18.699312   9.299479  14.34694   20.166187 ]
Hatchback_0_0_0_0_20_0_20_450:gt ['0', '0', '0', '0', '20']:pred [ 4.293954   0.         5.9416685  0.        20.       ]
Hatchback_-20_20_0_0_0_240_20_450:gt ['-20', '20', '0', '0', '0']:pred [20.         8.590637   0.         8.41608    4.9865446]
Sedan4Door_-20_0_0_20_20_0_20_400:gt ['-20', '0', '0', '20', '20']:pred [15.635705  0.        8.455081 20.       20.      ]
Sedan4Door_-20_0_0_20_20_160_60_450:gt ['-20', '0', '0', '20', '20']:pred [29.413443 10.919144 13.196848 30.47522  30.721851]
Sedan2Door_-20_0_-20_0_20_320_60_450:gt ['-20', '0', '-20', '0', '20']:pred [13.119497 42.676643 19.38049  47.034027  9.321287]
Hybrid_-20_0_0_20_20_80_60_400:gt ['-20', '0', '0', '20', '20']:pred [ 8.19109    3.9228292 12.33168   45.361267  42.405457 ]
Hybrid_-20_20_0_20_0_80_60_400:gt ['-20', '20', '0', '20', '0']:pred [12.047226 13.907339  0.       43.7649   22.479046]
Sedan4Door_0_20_-20_20_0_160_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 0.       24.416937 20.       29.110912  0.      ]
Hatchback_-20_20_-20_0_20_240_20_400:gt ['-20', '20', '-20', '0', '20']:pred [20.       16.96054  20.       12.823596 33.304604]
Suv_-20_20_0_20_20_240_20_450:gt ['-20', '20', '0', '20', '20']:pred [20.        4.016625  0.       30.005047 24.327465]
Sedan4Door_0_20_0_20_0_320_60_450:gt ['0', '20', '0', '20', '0']:pred [ 3.2340858 43.00162    1.7914518 52.366188  25.096909 ]
Sedan4Door_-20_20_0_20_20_320_20_400:gt ['-20', '20', '0', '20', '20']:pred [23.91138  20.        3.454384 20.       36.00484 ]
Sedan2Door_-20_20_0_0_0_0_60_450:gt ['-20', '20', '0', '0', '0']:pred [19.252245 29.013681  0.       14.663307 17.459978]
Sedan4Door_0_20_0_20_0_0_20_450:gt ['0', '20', '0', '20', '0']:pred [ 1.8912468 20.         2.7273526 20.         0.       ]
Suv_-20_20_-20_20_20_240_20_400:gt ['-20', '20', '-20', '20', '20']:pred [20.       21.306728 20.       37.020557 28.54048 ]
Sedan2Door_0_20_-20_20_0_0_20_400:gt ['0', '20', '-20', '20', '0']:pred [ 4.1418815 20.        20.        20.         0.       ]
Suv_-20_0_0_0_0_160_60_450:gt ['-20', '0', '0', '0', '0']:pred [23.836794  19.954367   0.         2.684484   2.4276118]
Sedan2Door_0_0_-20_0_0_320_60_450:gt ['0', '0', '-20', '0', '0']:pred [ 1.5614909 39.70155   20.        39.84235    1.2568216]
Sedan4Door_-20_0_-20_0_0_240_20_450:gt ['-20', '0', '-20', '0', '0']:pred [20.       15.1409   20.       36.812504 31.836765]
Hybrid_-20_0_0_20_0_160_20_450:gt ['-20', '0', '0', '20', '0']:pred [20.       19.805866 24.174301 20.       35.60682 ]
Suv_0_20_0_0_0_0_60_450:gt ['0', '20', '0', '0', '0']:pred [ 3.7512002 30.291613  10.055073  13.078131   4.489866 ]
Sedan2Door_-20_0_-20_20_20_240_60_400:gt ['-20', '0', '-20', '20', '20']:pred [14.53316    1.3953364 13.071541  53.96064   21.332209 ]
Hybrid_0_0_0_20_0_0_60_450:gt ['0', '0', '0', '20', '0']:pred [ 3.7104435 24.96721    0.        20.         6.4938536]
Hybrid_0_20_0_0_20_320_20_450:gt ['0', '20', '0', '0', '20']:pred [ 2.4266958 20.         0.         0.         4.8513904]
Sedan2Door_-20_0_-20_20_20_80_60_450:gt ['-20', '0', '-20', '20', '20']:pred [11.081871 20.135578 28.216425 14.321177 15.941326]
Sedan2Door_0_0_-20_20_20_0_20_400:gt ['0', '0', '-20', '20', '20']:pred [ 2.7552135  0.        20.         9.405284  20.       ]
Sedan4Door_-20_20_-20_0_20_0_20_400:gt ['-20', '20', '-20', '0', '20']:pred [15.499367 20.       15.844799  0.       20.      ]
Hatchback_0_20_0_20_0_0_60_450:gt ['0', '20', '0', '20', '0']:pred [ 7.5785165 24.809752  19.526005  23.50121   18.884089 ]
Hatchback_0_20_-20_0_20_80_20_400:gt ['0', '20', '-20', '0', '20']:pred [ 6.9743094 20.        26.990894   0.        20.       ]
Sedan2Door_-20_0_0_0_0_0_20_450:gt ['-20', '0', '0', '0', '0']:pred [8.410626 0.       0.       0.       0.      ]
Sedan4Door_-20_20_0_20_0_0_20_400:gt ['-20', '20', '0', '20', '0']:pred [30.17084  20.        4.556726 20.        0.      ]
Sedan2Door_0_20_0_20_20_320_60_400:gt ['0', '20', '0', '20', '20']:pred [ 6.257295 23.963457  0.       33.90031  32.461082]
Suv_-20_0_0_20_0_80_20_400:gt ['-20', '0', '0', '20', '0']:pred [29.839333  0.        0.       20.        0.      ]
Sedan4Door_-20_20_-20_20_0_320_20_400:gt ['-20', '20', '-20', '20', '0']:pred [16.815456 20.       19.644722 20.        9.935986]
Sedan2Door_-20_0_0_20_20_0_60_450:gt ['-20', '0', '0', '20', '20']:pred [ 7.916017 17.511528  0.       20.       20.946186]
Sedan2Door_-20_20_0_20_20_240_60_450:gt ['-20', '20', '0', '20', '20']:pred [ 7.677868  8.729679 10.977141 20.       39.96005 ]
Hybrid_-20_0_-20_0_20_0_20_400:gt ['-20', '0', '-20', '0', '20']:pred [14.976089  0.        2.042051  0.       20.      ]
Hybrid_-20_0_0_20_20_0_60_450:gt ['-20', '0', '0', '20', '20']:pred [17.427963  0.        8.76423  33.453724 30.204216]
Suv_0_0_0_0_20_160_60_450:gt ['0', '0', '0', '0', '20']:pred [16.2541   16.015867 16.072397 17.588749 13.545347]
Hybrid_-20_0_-20_0_20_80_60_400:gt ['-20', '0', '-20', '0', '20']:pred [ 4.21976   22.283306   2.9584699 28.89096   10.771906 ]
Sedan2Door_-20_20_-20_0_20_320_60_400:gt ['-20', '20', '-20', '0', '20']:pred [11.718963 20.047785  6.290435 14.89261  39.397648]
Suv_-20_0_-20_20_0_320_60_450:gt ['-20', '0', '-20', '20', '0']:pred [17.65798   0.       22.426012 41.432423 29.244543]
Hybrid_-20_20_0_0_0_0_20_400:gt ['-20', '20', '0', '0', '0']:pred [18.762583 20.        0.        0.        0.      ]
Hatchback_-20_0_0_20_20_80_20_450:gt ['-20', '0', '0', '20', '20']:pred [33.563377  0.        0.       20.       20.      ]
Sedan2Door_0_0_-20_0_0_80_60_400:gt ['0', '0', '-20', '0', '0']:pred [ 3.571691   2.4891279 20.         0.         2.057796 ]
Hatchback_-20_0_0_0_0_0_20_450:gt ['-20', '0', '0', '0', '0']:pred [15.727227   0.         2.5699441  0.         0.       ]
Suv_0_0_0_20_20_0_60_450:gt ['0', '0', '0', '20', '20']:pred [ 2.2150495  0.         2.8802004  6.454405  29.410236 ]
Suv_0_0_0_0_0_80_20_450:gt ['0', '0', '0', '0', '0']:pred [0.32178387 0.         0.         0.         0.        ]
Sedan4Door_-20_20_0_20_20_240_20_450:gt ['-20', '20', '0', '20', '20']:pred [20.        8.088992  0.       32.57157  35.172836]
Hybrid_-20_0_0_20_20_320_20_400:gt ['-20', '0', '0', '20', '20']:pred [18.85169   0.        0.       20.       19.499132]
Hatchback_0_0_-20_0_20_160_60_450:gt ['0', '0', '-20', '0', '20']:pred [ 7.112833  8.818084 20.        4.500355  6.251133]
Sedan2Door_0_0_-20_20_20_240_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 0.         9.87512   20.         5.7943697 35.151817 ]
Hybrid_-20_20_0_20_20_160_20_450:gt ['-20', '20', '0', '20', '20']:pred [20.       30.563103  0.       20.       20.      ]
Suv_0_20_0_0_0_80_60_450:gt ['0', '20', '0', '0', '0']:pred [ 1.169314  10.465856   2.1576402 18.026913  11.254052 ]
Suv_-20_0_-20_20_0_320_20_450:gt ['-20', '0', '-20', '20', '0']:pred [12.186189  0.       17.34157  20.       16.856388]
Hatchback_0_0_-20_0_20_160_60_400:gt ['0', '0', '-20', '0', '20']:pred [ 8.367712 10.531427 20.       12.353463 34.72519 ]
Suv_0_0_0_20_20_160_60_400:gt ['0', '0', '0', '20', '20']:pred [ 6.117502 31.703764 11.126141 18.453377 31.979183]
Sedan4Door_-20_20_-20_20_20_160_60_450:gt ['-20', '20', '-20', '20', '20']:pred [25.20139  16.300537  9.716479 12.153537 24.504248]
Sedan4Door_0_20_-20_20_0_240_60_400:gt ['0', '20', '-20', '20', '0']:pred [33.651966 22.81144  32.24227  39.428482 18.818113]
Sedan2Door_-20_0_-20_0_0_80_60_450:gt ['-20', '0', '-20', '0', '0']:pred [ 2.4357085  8.828368   3.8258295 18.346174  47.777916 ]
Hatchback_0_20_-20_0_0_240_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 0.       12.80363  11.891424 30.892937 16.998524]
Sedan4Door_-20_20_-20_0_20_80_20_450:gt ['-20', '20', '-20', '0', '20']:pred [18.269192 20.       31.361168  0.       20.      ]
Sedan4Door_-20_20_0_0_20_320_60_400:gt ['-20', '20', '0', '0', '20']:pred [ 3.982387 13.178115 11.466341 16.960657 18.4255  ]
Sedan4Door_-20_20_0_20_0_240_20_450:gt ['-20', '20', '0', '20', '0']:pred [20.       13.984034  0.       30.235712 41.173782]
Sedan2Door_0_0_0_20_20_0_20_450:gt ['0', '0', '0', '20', '20']:pred [ 1.7045561  0.         0.        20.        20.       ]
Hybrid_-20_0_-20_20_0_0_20_450:gt ['-20', '0', '-20', '20', '0']:pred [28.939108  0.        6.163584 20.        0.      ]
Hybrid_0_0_-20_20_0_160_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 0.       14.966629 20.       20.        0.      ]
Sedan2Door_-20_20_0_20_20_320_20_400:gt ['-20', '20', '0', '20', '20']:pred [ 9.430928 20.        0.       20.       19.705175]
Suv_0_20_0_20_20_240_20_450:gt ['0', '20', '0', '20', '20']:pred [ 0.       23.09481   0.       39.930706 27.565128]
Sedan2Door_-20_0_0_0_20_320_60_450:gt ['-20', '0', '0', '0', '20']:pred [ 5.234163 29.424585 11.126618 45.444904 16.001308]
Hatchback_-20_20_0_20_0_240_20_450:gt ['-20', '20', '0', '20', '0']:pred [20.        15.5459385  0.        13.673874  21.096323 ]
Hybrid_0_20_-20_0_0_80_20_450:gt ['0', '20', '-20', '0', '0']:pred [ 2.9918456 20.        20.         0.         0.       ]
Hybrid_-20_0_-20_0_0_160_60_400:gt ['-20', '0', '-20', '0', '0']:pred [13.304789   14.080424   20.36864     5.351812    0.89624953]
Sedan2Door_0_20_-20_20_20_80_20_400:gt ['0', '20', '-20', '20', '20']:pred [ 2.3691666 20.         8.105556  33.09248    1.0926998]
Sedan2Door_-20_20_-20_0_20_80_20_450:gt ['-20', '20', '-20', '0', '20']:pred [29.143261 20.       20.        0.       20.      ]
Hybrid_0_20_-20_20_0_240_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 0.       22.950153 20.       20.       25.693727]
Hatchback_0_0_-20_20_0_0_20_400:gt ['0', '0', '-20', '20', '0']:pred [ 2.2580118  0.        18.477589  20.         0.       ]
Suv_0_0_-20_20_20_80_60_400:gt ['0', '0', '-20', '20', '20']:pred [ 4.770793   4.0912304 22.30527   42.323116  30.484241 ]
Suv_0_0_-20_0_20_0_60_450:gt ['0', '0', '-20', '0', '20']:pred [ 4.442217  0.       32.429363 11.24472  27.100119]
Sedan2Door_0_20_-20_0_20_0_20_400:gt ['0', '20', '-20', '0', '20']:pred [ 6.0490246 20.        20.         0.        20.       ]
Sedan2Door_0_0_-20_0_20_0_20_400:gt ['0', '0', '-20', '0', '20']:pred [ 3.6462173  0.         2.7491472  0.        20.       ]
Hybrid_0_0_-20_20_20_80_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 4.495251  0.       20.       20.       20.      ]
Sedan2Door_-20_20_0_20_20_240_60_400:gt ['-20', '20', '0', '20', '20']:pred [12.813279   6.2516484 35.313515  16.340216  17.012291 ]
Suv_0_0_-20_0_0_240_60_450:gt ['0', '0', '-20', '0', '0']:pred [11.784706   3.075359  23.323034  14.153879   4.7175493]
Suv_0_0_-20_0_20_80_20_400:gt ['0', '0', '-20', '0', '20']:pred [ 2.374422  0.       29.233196  0.       20.      ]
Suv_0_0_0_20_20_240_20_400:gt ['0', '0', '0', '20', '20']:pred [ 0.       14.631723  0.       31.69944  40.4757  ]
Sedan2Door_-20_20_0_20_20_160_60_400:gt ['-20', '20', '0', '20', '20']:pred [ 7.5155954 13.949819   9.95367   28.937801  17.843729 ]
Hatchback_0_0_-20_20_20_240_60_450:gt ['0', '0', '-20', '20', '20']:pred [12.329581   5.5329266 11.643657  36.13001   29.410349 ]
Suv_0_20_0_20_0_80_60_450:gt ['0', '20', '0', '20', '0']:pred [ 9.43679    9.791674   3.7613323 38.720364  21.814972 ]
Sedan2Door_0_20_-20_0_20_240_60_450:gt ['0', '20', '-20', '0', '20']:pred [19.992949   2.6954224 16.801064  27.012606  38.977745 ]
Suv_-20_0_-20_20_20_80_20_400:gt ['-20', '0', '-20', '20', '20']:pred [13.8711195  0.        24.17003    9.9031925 20.       ]
Sedan2Door_-20_20_-20_20_20_80_20_400:gt ['-20', '20', '-20', '20', '20']:pred [25.729511 20.       20.       20.       20.      ]
Sedan4Door_-20_20_-20_20_20_0_20_400:gt ['-20', '20', '-20', '20', '20']:pred [17.609867 20.       35.207638 20.       20.      ]
Hybrid_0_20_-20_0_0_160_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 0.       11.032102 24.058065 19.154478 35.456   ]
Hatchback_0_20_-20_20_20_160_20_400:gt ['0', '20', '-20', '20', '20']:pred [ 0.       23.234638 20.       11.06069  20.      ]
Hybrid_-20_20_0_20_20_320_60_400:gt ['-20', '20', '0', '20', '20']:pred [ 7.4135904 32.60103    0.        50.801598  35.507915 ]
Sedan2Door_-20_20_-20_0_20_320_20_450:gt ['-20', '20', '-20', '0', '20']:pred [10.163364 20.       20.        0.       29.367249]
Hybrid_0_0_0_0_20_160_20_450:gt ['0', '0', '0', '0', '20']:pred [ 0.       23.146626  0.        0.       20.      ]
Hybrid_-20_0_0_20_20_240_20_400:gt ['-20', '0', '0', '20', '20']:pred [20.       13.304936  0.       20.       24.757318]
Suv_-20_20_0_0_0_0_60_450:gt ['-20', '20', '0', '0', '0']:pred [ 8.180808  29.816643   6.7296844 12.562622  14.403462 ]
Suv_0_20_0_0_0_160_20_450:gt ['0', '20', '0', '0', '0']:pred [ 0.         7.8019853  0.        10.040149   0.       ]
Hatchback_-20_20_-20_0_0_160_60_400:gt ['-20', '20', '-20', '0', '0']:pred [32.181374 22.199013 26.880165 20.145763 34.589973]
Suv_-20_0_0_20_20_240_60_450:gt ['-20', '0', '0', '20', '20']:pred [23.218983 17.410625  0.       25.039532 25.524965]
Hatchback_0_0_0_0_0_320_60_400:gt ['0', '0', '0', '0', '0']:pred [ 4.1168194 43.83368    1.230111   0.        20.72911  ]
Hybrid_-20_0_-20_20_0_320_60_450:gt ['-20', '0', '-20', '20', '0']:pred [ 3.080222  21.066702   2.9792473 39.541435   0.8703035]
Hybrid_0_20_-20_20_20_0_60_450:gt ['0', '20', '-20', '20', '20']:pred [ 0.7275789 25.15055    6.684871  14.360174   7.260249 ]
Sedan2Door_-20_0_-20_0_0_160_60_400:gt ['-20', '0', '-20', '0', '0']:pred [ 5.7634196 28.835924  20.         1.004922  36.066734 ]
Hatchback_-20_20_-20_0_20_80_60_400:gt ['-20', '20', '-20', '0', '20']:pred [ 7.148339 18.516607 10.712479 22.573214 43.931248]
Hatchback_0_0_-20_20_0_320_60_450:gt ['0', '0', '-20', '20', '0']:pred [ 3.8531737 13.389265  13.158529   9.495749   6.477894 ]
Hatchback_-20_20_0_20_0_0_60_400:gt ['-20', '20', '0', '20', '0']:pred [27.402847 20.490332  8.244629 20.       10.009226]
Hatchback_-20_0_0_0_20_80_60_400:gt ['-20', '0', '0', '0', '20']:pred [22.869099  2.425657 10.232775 14.418839 35.690983]
Hybrid_0_0_-20_20_0_240_60_400:gt ['0', '0', '-20', '20', '0']:pred [23.704897   7.4444556 16.718632  17.479525   9.185935 ]
Sedan4Door_-20_0_0_20_0_160_20_450:gt ['-20', '0', '0', '20', '0']:pred [20.       14.158562  0.       29.068506  0.      ]
Sedan2Door_0_0_-20_20_20_0_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 1.0819821  0.        20.        20.        20.       ]
Hatchback_-20_20_-20_20_0_240_20_450:gt ['-20', '20', '-20', '20', '0']:pred [ 9.124925  11.5376625 17.825802  41.534927  34.000336 ]
Hybrid_0_20_-20_20_0_320_60_450:gt ['0', '20', '-20', '20', '0']:pred [ 4.0005865 40.131767  20.        34.952053  16.245083 ]
Sedan4Door_0_0_-20_20_20_320_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 6.0762334  0.        22.524796  20.        22.58392  ]
Hatchback_0_20_-20_0_20_320_60_400:gt ['0', '20', '-20', '0', '20']:pred [ 4.0880685 37.550533  24.150433  28.430737  23.054623 ]
Sedan2Door_-20_20_0_20_0_160_20_400:gt ['-20', '20', '0', '20', '0']:pred [20.        6.308484  0.       20.        0.      ]
Hybrid_-20_0_0_0_20_80_60_450:gt ['-20', '0', '0', '0', '20']:pred [17.897707  11.717615   0.        24.885826   4.6619544]
Hybrid_-20_0_0_0_20_240_20_450:gt ['-20', '0', '0', '0', '20']:pred [20.         6.0849085  5.1037908  0.        27.988121 ]
Hybrid_-20_20_0_0_20_160_20_450:gt ['-20', '20', '0', '0', '20']:pred [20.        35.748676   0.        10.850164   5.9997616]
Sedan2Door_-20_20_-20_0_0_240_60_450:gt ['-20', '20', '-20', '0', '0']:pred [24.646755  9.814544 19.62816  21.82272   8.171906]
Hatchback_-20_0_-20_20_0_240_60_400:gt ['-20', '0', '-20', '20', '0']:pred [24.134254 18.29862  27.804184 28.606544 17.984262]
Sedan4Door_-20_0_0_20_20_240_20_400:gt ['-20', '0', '0', '20', '20']:pred [ 8.5190935  8.767237  22.413233  34.882618  26.699553 ]
Sedan4Door_-20_20_-20_0_0_160_60_400:gt ['-20', '20', '-20', '0', '0']:pred [15.902081 18.510345 12.322191 11.158321 21.95798 ]
Hatchback_0_20_-20_0_20_0_20_400:gt ['0', '20', '-20', '0', '20']:pred [ 1.4461983 20.        19.440031   0.        20.       ]
Hybrid_0_0_0_0_0_240_60_450:gt ['0', '0', '0', '0', '0']:pred [13.494214   5.4552164  8.382977  37.002464  10.991618 ]
Sedan2Door_-20_0_0_20_20_0_20_400:gt ['-20', '0', '0', '20', '20']:pred [ 7.9281073  0.        15.056832  20.        20.       ]
Hybrid_-20_0_0_0_20_320_20_450:gt ['-20', '0', '0', '0', '20']:pred [25.881126  0.        0.        0.       28.446709]
Hybrid_0_0_-20_20_0_160_60_400:gt ['0', '0', '-20', '20', '0']:pred [11.840954 10.8728   17.70996  13.738869 18.517134]
Hatchback_-20_0_0_0_0_80_60_450:gt ['-20', '0', '0', '0', '0']:pred [11.660743  24.651293   1.9554423 35.043858   2.7345679]
Hybrid_0_0_0_0_20_320_20_450:gt ['0', '0', '0', '0', '20']:pred [ 2.3389025  0.         0.         0.        36.66553  ]
Sedan2Door_0_20_0_0_0_80_20_400:gt ['0', '20', '0', '0', '0']:pred [ 9.767918 20.        0.        0.        0.      ]
Hybrid_-20_20_-20_0_0_240_60_450:gt ['-20', '20', '-20', '0', '0']:pred [18.510626  9.644299 20.        0.        9.250655]
Hybrid_0_0_0_0_0_0_20_450:gt ['0', '0', '0', '0', '0']:pred [1.7724316 0.        0.        0.        0.       ]
Sedan2Door_0_0_0_20_20_320_20_400:gt ['0', '0', '0', '20', '20']:pred [14.339678   0.         4.6937327 20.         7.9602375]
Hatchback_0_0_0_0_20_160_60_400:gt ['0', '0', '0', '0', '20']:pred [ 1.9955876 25.23222    0.         5.4683957 44.87404  ]
Hatchback_-20_20_-20_0_0_320_20_450:gt ['-20', '20', '-20', '0', '0']:pred [14.557376 20.       37.550728  0.       17.641987]
Sedan2Door_-20_20_-20_20_0_320_20_400:gt ['-20', '20', '-20', '20', '0']:pred [36.00167  20.       20.       20.        6.112441]
Sedan2Door_-20_0_0_20_0_160_60_400:gt ['-20', '0', '0', '20', '0']:pred [ 5.6082573 28.695269  17.314087   1.0610602 22.373014 ]
Suv_0_0_-20_0_0_80_60_450:gt ['0', '0', '-20', '0', '0']:pred [ 8.147462 33.329876 43.166267 11.799381 10.884458]
Hybrid_0_20_-20_20_0_160_60_400:gt ['0', '20', '-20', '20', '0']:pred [18.479652 19.15879  17.699772 25.137783 36.080273]
Suv_-20_0_0_20_0_0_60_400:gt ['-20', '0', '0', '20', '0']:pred [ 7.069819 16.511465 12.563378 12.83792  11.601052]
