7dac31838b627748eb631ba05bd8dfe_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [13.406195 21.326334 20.       20.       40.      ]
2f7cf2c2d170e3c936f37029483b3e41_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [26.399534 22.007467 40.       20.       34.39606 ]
ffe0a5b165461eb66a2345809e2bb169_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [20.373291 17.137499 11.380941 26.58773  22.231853]
aa9f41bc3925ffc4be9358e8c18dc481_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [ 8.334665  3.468946 20.       40.       20.      ]
5e87b04efd58cc8922412d2a728de1d5_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [32.05274  13.907437 18.14753  39.76864  24.803072]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       41.438194 20.       20.60142  35.817574]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [40. 40. 20. 20. 40.]
4f17af1ca7ae689d409b2c4484d833cc_20_20_40_20_20_80_80_400:gt ['20', '20', '40', '20', '20']:pred [19.43705  16.479351 40.       20.       20.      ]
1a64bf1e658652ddb11647ffa4306609_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [25.421103 11.143732 16.206247 24.314787 21.003876]
9d2b7938d426633b28044fe9244db50a_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [40. 20. 20. 40. 40.]
1a64bf1e658652ddb11647ffa4306609_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [30.023129 10.815438 24.226788 30.992256 19.18694 ]
a88d69e53a01aab9ff1370452e3a0154_20_20_20_40_20_240_80_400:gt ['20', '20', '20', '40', '20']:pred [25.184532  16.294481   3.1455343 11.351654  25.36178  ]
a88d69e53a01aab9ff1370452e3a0154_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [40.       13.820105 40.       12.092937 12.996   ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [ 6.548769 17.694756 40.       40.       40.      ]
4458ed2a746e61a3b11647ffa4306609_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [20.        8.022524 20.       40.       40.      ]
5e87b04efd58cc8922412d2a728de1d5_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20.       24.351788 20.       31.105263 23.519203]
fabcb04fc015f822ca8bf2993ca245b_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [32.18013  19.029535 14.433413 40.       28.69693 ]
c4941d6a2266813c3a2b1a2e5e169910_20_20_20_40_40_160_80_400:gt ['20', '20', '20', '40', '40']:pred [ 3.6897707 26.06304   20.        40.        25.973804 ]
6265f0745d3f40546bcd32c43682e841_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [29.157173 28.567278 40.       20.       40.      ]
ffe0a5b165461eb66a2345809e2bb169_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [26.004824    3.4522803   0.79379797 24.25894    40.        ]
7dac31838b627748eb631ba05bd8dfe_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [ 1.4984516 27.640387  40.        20.        40.       ]
9d2b7938d426633b28044fe9244db50a_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40. 40. 20. 40. 40.]
2f7cf2c2d170e3c936f37029483b3e41_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [30.36065  37.387886 40.       40.       39.142197]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [ 4.157434 20.       20.       20.       40.      ]
70e27da90dec2de49604bf8c981ad1eb_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [40.         3.6933916 40.        20.        24.779297 ]
1a64bf1e658652ddb11647ffa4306609_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [16.752708 15.589011 14.199337 30.80497  21.662388]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_40_20_240_40_400:gt ['40', '20', '20', '40', '20']:pred [40.        16.350845  20.        40.         7.1408896]
5e87b04efd58cc8922412d2a728de1d5_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [32.55023  28.249372 17.526012 40.       40.      ]
923007b377bb1cab473f10e6caaeca56_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [25.642654 19.049763 40.       40.       40.      ]
9d2b7938d426633b28044fe9244db50a_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20. 40. 20. 40. 40.]
5e87b04efd58cc8922412d2a728de1d5_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [28.879225   1.5814191 14.835257  20.178205  16.316036 ]
a88d69e53a01aab9ff1370452e3a0154_40_20_40_40_40_240_40_400:gt ['40', '20', '40', '40', '40']:pred [40.       10.901768 40.       12.372258 13.149726]
923007b377bb1cab473f10e6caaeca56_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [27.960325  9.460116 40.       20.       20.      ]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [27.808235  4.723099 21.162825 12.668745 30.35065 ]
a115d534edec6f89afe1d4530f4c6e24_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [18.979313 14.272691 20.       20.       27.189306]
d0cf2f187acda5736be7348aa770e4ca_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40.       12.855483 20.        4.852666 40.      ]
4458ed2a746e61a3b11647ffa4306609_40_40_40_20_40_240_80_400:gt ['40', '40', '40', '20', '40']:pred [22.608074 31.4298   40.       20.       40.      ]
12f2905dc029f59a2479fbc7da5ed22b_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [20.275887   1.3519809 20.        20.        20.       ]
6265f0745d3f40546bcd32c43682e841_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [15.321628  3.805695 40.       40.       40.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_40_40_40_160_40_400:gt ['40', '20', '40', '40', '40']:pred [40.       27.615944 40.       40.       16.508978]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [35.33296  47.826878 40.       20.       40.      ]
a387407d49e209fdeea60824a43a0b_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [27.364513  11.360215   7.1580467 38.93262   40.       ]
c61ec8875746ab78227375499b768057_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [24.54858    6.2431126 40.        40.        21.986862 ]
4f17af1ca7ae689d409b2c4484d833cc_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [40.       16.558939 40.       40.        9.997909]
6265f0745d3f40546bcd32c43682e841_20_40_40_20_40_80_80_400:gt ['20', '40', '40', '20', '40']:pred [24.40206    6.6687984 40.        20.        40.       ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [20. 20. 40. 40. 40.]
4ac021653126a29e98618a1ba17f086b_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [26.051003 23.571102 20.       20.       40.      ]
ffe0a5b165461eb66a2345809e2bb169_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [30.338959 35.865223  8.35886  40.       20.      ]
5ec3322293a39816ad7e7cea4034d226_20_40_20_40_20_240_40_400:gt ['20', '40', '20', '40', '20']:pred [20.          1.3675189  20.         40.          0.07549675]
a115d534edec6f89afe1d4530f4c6e24_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [16.107727 13.58649  40.       40.       26.189133]
216d910f71942f205df3c6413d40ccb2_40_40_40_20_40_80_80_400:gt ['40', '40', '40', '20', '40']:pred [18.371412 20.84731  40.       20.       40.      ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [20.       15.205352 20.       20.       13.868708]
5e87b04efd58cc8922412d2a728de1d5_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [41.06441   43.4694    20.950802  20.283276   9.6779375]
825fb860d71c78a477c771b4b7eed82c_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [26.337467 15.720892 20.       20.       17.198147]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       28.278723 20.       20.       10.052047]
ffe0a5b165461eb66a2345809e2bb169_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [24.826412 24.028296  9.123387 27.190193 23.70955 ]
923007b377bb1cab473f10e6caaeca56_40_20_40_40_40_240_40_400:gt ['40', '20', '40', '40', '40']:pred [40.       17.085566 40.       40.       40.      ]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_20_40_20_80_40_400:gt ['20', '20', '20', '40', '20']:pred [20. 20. 20. 40. 20.]
9d2b7938d426633b28044fe9244db50a_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [20. 20. 20. 20. 40.]
c4941d6a2266813c3a2b1a2e5e169910_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [ 8.510565 14.409088 40.       40.        7.153845]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_40_40_240_80_400:gt ['40', '40', '20', '40', '40']:pred [40.01363  21.779013 20.066332 35.94967  32.289413]
fa1b3bcdbda309a439cc19d48e3f4f5_20_40_40_40_20_240_80_400:gt ['20', '40', '40', '40', '20']:pred [25.62039   4.439595 40.       40.       20.      ]
d0cf2f187acda5736be7348aa770e4ca_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [24.55316   22.439306   1.7492292 40.        20.       ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [34.62587  29.067757 40.       40.       20.      ]
6265f0745d3f40546bcd32c43682e841_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [40.       29.931507 20.       20.       40.      ]
9c827e532de4967285089a13cc567dbd_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [30.886667 19.162804 20.       20.       20.      ]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [ 7.7156262  5.0409875 20.        40.        40.       ]
a387407d49e209fdeea60824a43a0b_40_40_20_40_20_160_80_400:gt ['40', '40', '20', '40', '20']:pred [41.911766 33.540543 33.4564   40.916943 30.103008]
c4941d6a2266813c3a2b1a2e5e169910_20_20_40_40_20_80_40_400:gt ['20', '20', '40', '40', '20']:pred [ 8.40065    1.0634186 40.        40.        20.       ]
70e27da90dec2de49604bf8c981ad1eb_40_20_40_40_40_240_40_400:gt ['40', '20', '40', '40', '40']:pred [40.         3.9235334 40.        40.        26.181694 ]
5ec3322293a39816ad7e7cea4034d226_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [ 9.587423    7.9835424  40.         20.          0.26761147]
70e27da90dec2de49604bf8c981ad1eb_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [12.688775   7.4002066 40.        20.        20.       ]
425ba801e904cb50f3aaed7e86215c7b_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [ 6.8643336  6.1338615 40.        20.        36.419876 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [20.          0.20351869 20.          3.3407273  15.030663  ]
9d2b7938d426633b28044fe9244db50a_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [40. 20. 40. 20. 20.]
fabcb04fc015f822ca8bf2993ca245b_20_20_20_40_20_80_80_400:gt ['20', '20', '20', '40', '20']:pred [20.       35.76787  26.373476 38.41079  20.      ]
1a64bf1e658652ddb11647ffa4306609_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [28.75893  12.952512 22.08063  22.050684 22.965677]
2f7cf2c2d170e3c936f37029483b3e41_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [26.60272  35.80727  40.       20.       41.279003]
923007b377bb1cab473f10e6caaeca56_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [ 3.828046 10.518295 40.       20.       40.      ]
216d910f71942f205df3c6413d40ccb2_40_20_20_40_20_160_40_400:gt ['40', '20', '20', '40', '20']:pred [40.      26.39353 20.      40.      20.     ]
9d2b7938d426633b28044fe9244db50a_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20. 40. 20. 20. 20.]
70e27da90dec2de49604bf8c981ad1eb_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       32.891014 40.       40.       23.169733]
c4941d6a2266813c3a2b1a2e5e169910_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [11.974507   7.5882983 20.        40.        40.       ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [40.         1.6990436 20.        20.522692  30.222956 ]
d0cf2f187acda5736be7348aa770e4ca_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [28.854305 40.463043 11.267557 20.       40.      ]
425ba801e904cb50f3aaed7e86215c7b_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [ 3.896229  5.033611 40.       40.       37.4506  ]
c61ec8875746ab78227375499b768057_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [27.180614   3.6674986 20.        40.        40.       ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_20_40_20_240_80_400:gt ['40', '20', '20', '40', '20']:pred [30.628881 10.255397 20.       40.       27.606455]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_40_40_240_40_400:gt ['40', '20', '40', '40', '40']:pred [40.         2.5756612 40.         9.363105  24.24003  ]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [25.403008  4.237285 26.10805  21.028332 26.270992]
a387407d49e209fdeea60824a43a0b_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [37.652267 20.143845 13.685274 39.79193  24.867958]
923007b377bb1cab473f10e6caaeca56_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [35.17415  36.616127 20.       20.       40.      ]
1a64bf1e658652ddb11647ffa4306609_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [19.847015 19.566977 11.820225 24.171635 25.87923 ]
1a64bf1e658652ddb11647ffa4306609_20_40_40_20_20_80_80_400:gt ['20', '40', '40', '20', '20']:pred [24.125046   9.8614     2.7419996 31.431435  20.       ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_40_20_40_160_40_400:gt ['40', '40', '40', '20', '40']:pred [40.       17.650925 40.       20.       40.      ]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [32.03473  33.622375 16.436945 14.180982 24.708925]
4f17af1ca7ae689d409b2c4484d833cc_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [20.       19.990639 40.       40.       23.876648]
7dac31838b627748eb631ba05bd8dfe_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       19.073847 40.       40.       40.      ]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [24.8505     1.9057231 25.996538  15.852061  22.93661  ]
1a64bf1e658652ddb11647ffa4306609_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [29.123276 11.399158 24.577814 23.71443  21.767962]
70e27da90dec2de49604bf8c981ad1eb_40_20_20_40_20_160_80_400:gt ['40', '20', '20', '40', '20']:pred [16.334206 14.78338  20.       40.       24.476007]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_20_40_40_80_80_400:gt ['40', '20', '20', '40', '40']:pred [ 4.1574063 20.        20.        40.        40.       ]
c4941d6a2266813c3a2b1a2e5e169910_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [ 8.685555   4.9287915 20.        40.        20.       ]
425ba801e904cb50f3aaed7e86215c7b_20_40_40_20_20_160_40_400:gt ['20', '40', '40', '20', '20']:pred [20.       40.       40.       20.       32.581276]
fabcb04fc015f822ca8bf2993ca245b_40_40_20_40_40_80_40_400:gt ['40', '40', '20', '40', '40']:pred [31.335623 26.90516  17.451244 40.       40.      ]
a115d534edec6f89afe1d4530f4c6e24_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [27.135971  9.142914 20.       40.       20.      ]
4458ed2a746e61a3b11647ffa4306609_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [40.      19.80575 40.      20.      20.     ]
825fb860d71c78a477c771b4b7eed82c_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [24.222107 22.076735 20.       20.       19.426096]
b9786e1b059a1712ca92a4cdad802b45_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [40.         7.8933764 40.        40.        19.110094 ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [36.49075  30.108412 31.352734 31.577494 30.851126]
cde88b5900e8dfba725a7749daae1afa_20_20_40_20_20_240_80_400:gt ['20', '20', '40', '20', '20']:pred [24.934235 12.413808 40.       20.       20.      ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       36.446037 40.       34.803062 35.88913 ]
86c8a3137a716d70e742b0b5e87bec54_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       23.771963 20.       20.        3.343656]
86c8a3137a716d70e742b0b5e87bec54_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       19.879728 40.        9.287771 12.27074 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [20.312494 24.103127 40.       40.       40.      ]
b9786e1b059a1712ca92a4cdad802b45_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [28.121878   6.4580584 40.        20.        27.2715   ]
216d910f71942f205df3c6413d40ccb2_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [36.40681  35.902954 40.       40.       20.      ]
9c827e532de4967285089a13cc567dbd_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [40.       36.219063 20.       40.       40.      ]
7dac31838b627748eb631ba05bd8dfe_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [10.703005 28.479313 20.       40.       20.      ]
2f7cf2c2d170e3c936f37029483b3e41_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [35.468338 30.68197  40.       20.       17.103529]
4ac021653126a29e98618a1ba17f086b_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [20.302912 25.99179  20.       20.       30.292618]
5ec3322293a39816ad7e7cea4034d226_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [20.       16.09698  20.       40.        2.784083]
4ac021653126a29e98618a1ba17f086b_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [15.7534685 20.743645  40.        40.        20.       ]
5ec3322293a39816ad7e7cea4034d226_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [20.          0.35745937 40.         40.          0.0705388 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_20_40_20_80_40_400:gt ['20', '20', '20', '40', '20']:pred [20.       34.905357 20.       40.       20.      ]
9d2b7938d426633b28044fe9244db50a_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [40. 40. 40. 20. 20.]
4ac021653126a29e98618a1ba17f086b_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [24.708801 22.060019 20.       40.       40.      ]
d72ffa185738bccd10b75223b5be6dbb_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [20.478643   5.7454467 40.        20.        40.       ]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [ 3.4200253 33.861954  20.        20.        40.       ]
c61ec8875746ab78227375499b768057_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [26.223284 23.453165 40.       20.       40.      ]
4ac021653126a29e98618a1ba17f086b_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [21.53361  25.418581 20.       20.       30.6035  ]
4ac021653126a29e98618a1ba17f086b_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.       25.263264 20.       20.       34.842937]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [40.       12.154924 20.       20.       10.239071]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [20.          0.43348354 40.         16.84935    26.81955   ]
2f7cf2c2d170e3c936f37029483b3e41_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [24.75114  23.722713 20.       40.       33.58089 ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_20_20_160_80_400:gt ['40', '40', '20', '20', '20']:pred [20.77425  28.564535 23.033123 38.79835  23.715857]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [25.189404   6.9686766 14.439264  20.        20.       ]
9c827e532de4967285089a13cc567dbd_40_20_40_20_40_160_40_400:gt ['40', '20', '40', '20', '40']:pred [40.       36.351658 40.       20.       40.      ]
c4941d6a2266813c3a2b1a2e5e169910_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [16.982779   6.0563526 20.        40.        20.       ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [40.       42.901226 40.       20.165575 23.80475 ]
2f7cf2c2d170e3c936f37029483b3e41_20_20_20_20_20_80_80_400:gt ['20', '20', '20', '20', '20']:pred [34.751293 26.45999  20.       20.       20.      ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [40.       15.252535 40.       40.        6.804036]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [20.       23.441566 40.       35.111427 21.688942]
6265f0745d3f40546bcd32c43682e841_40_20_40_40_20_80_80_400:gt ['40', '20', '40', '40', '20']:pred [17.779568 18.083834 40.       40.       20.      ]
a88d69e53a01aab9ff1370452e3a0154_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       14.203372 40.       12.501895 11.671234]
7dac31838b627748eb631ba05bd8dfe_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [16.729895  8.966058 40.       40.       20.      ]
d0cf2f187acda5736be7348aa770e4ca_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [17.41836   17.298044   2.0859237 27.431005  40.       ]
