70e27da90dec2de49604bf8c981ad1eb_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [33.386055   7.6558614 40.        40.        14.459921 ]
c61ec8875746ab78227375499b768057_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [20.        17.020344  40.        40.         3.3935575]
1790131f5f74b1ed973aff268eb6b00c_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [ 5.7546716   0.62521887  6.5924773   0.24945208 20.        ]
cde88b5900e8dfba725a7749daae1afa_40_40_40_20_20_80_40_400:gt ['40', '40', '40', '20', '20']:pred [30.904999 33.32633  40.       20.       20.      ]
70e27da90dec2de49604bf8c981ad1eb_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [20.         1.1983594 20.        40.         1.1325123]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [ 5.797632  6.224129 20.       20.       20.      ]
4f17af1ca7ae689d409b2c4484d833cc_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [ 3.1005368  2.816996  40.        40.        34.68829  ]
b9786e1b059a1712ca92a4cdad802b45_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [40.          5.4373994  40.         40.          0.42945307]
825fb860d71c78a477c771b4b7eed82c_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [40.         5.7420545 40.        40.         5.532222 ]
1790131f5f74b1ed973aff268eb6b00c_40_20_40_40_20_80_80_400:gt ['40', '20', '40', '40', '20']:pred [20.355524   6.937655   3.593841   3.2620928 20.       ]
fabcb04fc015f822ca8bf2993ca245b_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [40. 40. 40. 40. 40.]
b9786e1b059a1712ca92a4cdad802b45_40_20_20_40_20_240_40_400:gt ['40', '20', '20', '40', '20']:pred [40.        5.21645  20.       40.        0.337658]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [40.        13.7355    40.        20.         0.9985531]
425ba801e904cb50f3aaed7e86215c7b_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.         2.7779138 40.        20.        40.       ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [20.        12.530472  20.        40.         4.6166506]
5ec3322293a39816ad7e7cea4034d226_20_20_20_20_20_80_40_400:gt ['20', '20', '20', '20', '20']:pred [28.159456 14.238355 20.       20.       20.      ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [11.881588  9.146021 40.       40.       40.      ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [22.592299  9.620123 20.       20.       40.      ]
4458ed2a746e61a3b11647ffa4306609_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [21.40882  31.978544 40.       40.       20.      ]
ffe0a5b165461eb66a2345809e2bb169_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [40.         3.7534354 40.        20.        24.142088 ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [23.062738 27.000603 19.033726 10.795483  9.696615]
a115d534edec6f89afe1d4530f4c6e24_20_40_40_40_20_160_40_400:gt ['20', '40', '40', '40', '20']:pred [20.        9.322361 40.       40.       20.316475]
ffe0a5b165461eb66a2345809e2bb169_40_20_20_40_20_240_40_400:gt ['40', '20', '20', '40', '20']:pred [40.        4.365793 20.        3.875155 23.30267 ]
d2592adba4e8e62648368c1a2f71c5f3_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [11.53137   20.672075  17.591558   5.9967203  9.761801 ]
c61ec8875746ab78227375499b768057_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [20.       10.743276 40.       40.       24.036095]
7c46bfff2f90f11044592db9be5db5c8_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [14.370912   7.1981754 40.        20.        48.388603 ]
86c8a3137a716d70e742b0b5e87bec54_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [30.4122   28.912191 34.72485  20.       40.      ]
c61ec8875746ab78227375499b768057_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       21.579453 20.       20.       27.98892 ]
4f17af1ca7ae689d409b2c4484d833cc_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.       15.274535 40.       20.       33.304237]
7dac31838b627748eb631ba05bd8dfe_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [26.087576   3.4898372 20.        40.        40.       ]
86c8a3137a716d70e742b0b5e87bec54_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [22.558832 18.263744 28.266834 11.963221 40.      ]
d0cf2f187acda5736be7348aa770e4ca_20_40_20_40_20_80_40_400:gt ['20', '40', '20', '40', '20']:pred [28.613049 14.325677 24.003653 40.       20.      ]
ffe0a5b165461eb66a2345809e2bb169_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [20.         1.6744641 40.         2.0326655 26.053297 ]
cde88b5900e8dfba725a7749daae1afa_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [23.662426 12.825559 40.       20.       40.      ]
d0cf2f187acda5736be7348aa770e4ca_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [40.       17.433023 40.       20.       20.      ]
a88d69e53a01aab9ff1370452e3a0154_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [13.023697  22.178837  15.780714   7.0107365  8.895087 ]
9d2b7938d426633b28044fe9244db50a_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [20. 40. 20. 40. 20.]
825fb860d71c78a477c771b4b7eed82c_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [25.71728  25.627039 40.       20.       40.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [40.         2.1726217 20.        20.         1.7520928]
7c46bfff2f90f11044592db9be5db5c8_40_20_40_40_40_160_40_400:gt ['40', '20', '40', '40', '40']:pred [40.       22.912985 40.       40.       32.71205 ]
86c8a3137a716d70e742b0b5e87bec54_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [33.01784  41.001793 34.962265 20.       40.      ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [23.607914 27.388416 12.085998  5.658208  9.100512]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [23.69022 25.65112 40.      20.      20.     ]
825fb860d71c78a477c771b4b7eed82c_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [25.879486 16.088434 40.       20.       40.      ]
7c46bfff2f90f11044592db9be5db5c8_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [25.486158 14.734182 40.       40.       37.563198]
fabcb04fc015f822ca8bf2993ca245b_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [40.       30.372665 17.932852 20.       20.      ]
216d910f71942f205df3c6413d40ccb2_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [20.        9.079677 20.       40.       40.      ]
d0cf2f187acda5736be7348aa770e4ca_20_20_20_20_20_240_40_400:gt ['20', '20', '20', '20', '20']:pred [20.       13.452745 20.       20.       20.      ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_40_20_40_160_40_400:gt ['40', '40', '40', '20', '40']:pred [40. 40. 40. 20. 40.]
7c46bfff2f90f11044592db9be5db5c8_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [20.        9.109629 40.       40.       39.250607]
70e27da90dec2de49604bf8c981ad1eb_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [26.670946   1.6236485 20.        20.        28.638275 ]
425ba801e904cb50f3aaed7e86215c7b_40_40_20_40_20_160_80_400:gt ['40', '40', '20', '40', '20']:pred [22.109367  5.976899 20.       40.       34.11412 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [18.019192 28.291012 32.005695 40.       40.      ]
825fb860d71c78a477c771b4b7eed82c_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [40.         6.00388   40.        20.         5.4520173]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [ 2.0247176  1.7861832 40.        20.        40.       ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [24.592302 29.775291 30.706116 32.83458  20.      ]
cde88b5900e8dfba725a7749daae1afa_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [17.046719 13.333916 20.       20.       40.      ]
4f17af1ca7ae689d409b2c4484d833cc_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [40.        8.900999 40.       20.       37.849976]
7dac31838b627748eb631ba05bd8dfe_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [16.755228 36.24462  40.       40.       20.      ]
c4941d6a2266813c3a2b1a2e5e169910_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [31.404945 33.981934 40.       40.       20.410004]
aa9f41bc3925ffc4be9358e8c18dc481_40_20_40_40_40_160_40_400:gt ['40', '20', '40', '40', '40']:pred [40. 20. 40. 40. 40.]
d2592adba4e8e62648368c1a2f71c5f3_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [20.06617   10.504243  23.809181   3.5654023  5.4292383]
c4941d6a2266813c3a2b1a2e5e169910_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [ 0.7751598  7.3359647 20.        20.        26.763884 ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [ 9.087046 23.971325 40.       20.       40.712635]
9c827e532de4967285089a13cc567dbd_20_40_20_20_40_160_40_400:gt ['20', '40', '20', '20', '40']:pred [20.       25.333351 20.       20.       40.      ]
b9786e1b059a1712ca92a4cdad802b45_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [24.759356  13.024819  40.        20.         3.7607498]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [37.342625  19.335934   9.0587635  6.888555  16.876936 ]
d72ffa185738bccd10b75223b5be6dbb_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [20.191156 14.65106  40.       20.       20.      ]
d2592adba4e8e62648368c1a2f71c5f3_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [15.837325 16.775593 22.99778  17.659155 20.      ]
fabcb04fc015f822ca8bf2993ca245b_40_20_20_20_40_160_40_400:gt ['40', '20', '20', '20', '40']:pred [40.       32.583202 20.       10.586854 44.33941 ]
825fb860d71c78a477c771b4b7eed82c_20_20_20_40_40_160_80_400:gt ['20', '20', '20', '40', '40']:pred [ 5.1618695  2.5716116 20.        40.        16.755375 ]
825fb860d71c78a477c771b4b7eed82c_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [25.176983 18.19806  20.       20.       40.      ]
fabcb04fc015f822ca8bf2993ca245b_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [20.       15.239797 20.       16.735788 44.69487 ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [33.520073 33.868168 20.       20.       20.      ]
4f17af1ca7ae689d409b2c4484d833cc_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [25.181185 26.186821 40.       40.       20.      ]
425ba801e904cb50f3aaed7e86215c7b_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [40.         2.5762556 20.        20.        28.261473 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_40_40_20_160_40_400:gt ['20', '40', '40', '40', '20']:pred [20.        11.424735  40.         2.8102365 34.872284 ]
9d2b7938d426633b28044fe9244db50a_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [40. 20. 20. 20. 40.]
fabcb04fc015f822ca8bf2993ca245b_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.       21.690462 20.        8.52394  26.37456 ]
ffe0a5b165461eb66a2345809e2bb169_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [ 0.4694035  5.3827696  1.8420697  9.56227   34.919872 ]
9d2b7938d426633b28044fe9244db50a_40_20_40_40_40_80_40_400:gt ['40', '20', '40', '40', '40']:pred [40. 20. 40. 40. 40.]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [17.957602 28.964537 40.       20.        6.682013]
923007b377bb1cab473f10e6caaeca56_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [40.       13.007059 20.       40.       40.      ]
cde88b5900e8dfba725a7749daae1afa_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [20.         5.9979424 40.        40.        20.       ]
cde88b5900e8dfba725a7749daae1afa_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       33.700882 40.       40.       40.      ]
ffe0a5b165461eb66a2345809e2bb169_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [29.75881  33.414574 29.0853   40.       40.      ]
6265f0745d3f40546bcd32c43682e841_20_20_20_40_20_160_40_400:gt ['20', '20', '20', '40', '20']:pred [20.         6.5088663 20.        40.        20.       ]
6265f0745d3f40546bcd32c43682e841_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [ 0.1474643  7.3909745 20.        20.        20.       ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [13.912907 14.189127 40.       40.       27.746502]
d72ffa185738bccd10b75223b5be6dbb_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [20.475721 15.280879 20.       40.       40.      ]
fabcb04fc015f822ca8bf2993ca245b_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [25.404007 28.462435 23.032936 18.663754 26.890581]
5e87b04efd58cc8922412d2a728de1d5_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [40.        20.799067  40.         4.492487   2.4130635]
5ec3322293a39816ad7e7cea4034d226_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [24.029154 26.077524 40.       20.        2.820915]
b9786e1b059a1712ca92a4cdad802b45_20_20_20_40_20_160_80_400:gt ['20', '20', '20', '40', '20']:pred [13.791873 11.800451 20.       40.       16.589417]
7dac31838b627748eb631ba05bd8dfe_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [ 9.646659 30.601097 40.       20.       40.      ]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [20. 20. 20. 40. 40.]
b9786e1b059a1712ca92a4cdad802b45_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [20.         5.5636625 40.        20.         1.5642366]
c61ec8875746ab78227375499b768057_40_20_20_20_20_80_80_400:gt ['40', '20', '20', '20', '20']:pred [18.598637 17.459389 20.       20.       20.      ]
d0cf2f187acda5736be7348aa770e4ca_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [19.063786 19.693094 23.189281  6.50836  40.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [32.87537  30.894402 20.       20.       20.      ]
fabcb04fc015f822ca8bf2993ca245b_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [40.       30.110546 40.       12.490777 26.73081 ]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [19.650688  8.357795 22.857918 23.017738 40.      ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [20.      31.11436 20.      20.      20.     ]
70e27da90dec2de49604bf8c981ad1eb_20_40_20_20_20_240_80_400:gt ['20', '40', '20', '20', '20']:pred [18.45195    5.6860976 20.        20.        21.521765 ]
12f2905dc029f59a2479fbc7da5ed22b_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [11.844858 15.695171 20.       40.       20.      ]
a387407d49e209fdeea60824a43a0b_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [20.       17.449339 40.       14.762806 14.686415]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_40_40_20_160_40_400:gt ['20', '40', '40', '40', '20']:pred [20.        4.83022  40.       12.951922 20.966349]
6265f0745d3f40546bcd32c43682e841_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [14.70574    1.3480328 20.        20.        40.       ]
2f7cf2c2d170e3c936f37029483b3e41_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [20.         8.851672  40.        40.         0.4865957]
7dac31838b627748eb631ba05bd8dfe_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [ 1.0201496  2.6873143 40.        20.        40.       ]
