hybrid_0_0_-20_20_40_240_40_450:gt ['0', '0', '-20', '20', '40']:pred [ 8.109364  0.       11.737897 13.848763 40.      ]
hybrid_-40_20_0_20_40_280_20_400:gt ['-40', '20', '0', '20', '40']:pred [40.        39.46913    5.2548084 14.044307  40.       ]
hybrid_-20_40_-40_0_40_280_80_400:gt ['-20', '40', '-40', '0', '40']:pred [20.       40.       31.255028 35.42987  40.      ]
hybrid_0_0_-20_40_0_240_40_400:gt ['0', '0', '-20', '40', '0']:pred [ 5.094718  0.       10.394564 16.22021   0.      ]
sedan4door_-20_40_-40_40_0_240_40_400:gt ['-20', '40', '-40', '40', '0']:pred [10.370601 40.       39.764885 40.        0.      ]
hybrid_0_40_-20_40_40_280_20_400:gt ['0', '40', '-20', '40', '40']:pred [ 4.8205495 15.818851   7.6400685 14.863007  40.       ]
sedan4door_-40_40_0_20_0_40_20_450:gt ['-40', '40', '0', '20', '0']:pred [40.        33.362503   0.         2.4778073 16.369616 ]
sedan2door_0_0_0_20_20_0_40_400:gt ['0', '0', '0', '20', '20']:pred [ 0.        7.880812 17.238522  7.166342 20.      ]
hatchback_-40_40_-40_40_0_40_20_400:gt ['-40', '40', '-40', '40', '0']:pred [40.        28.662735  40.        14.541237   7.6555037]
hatchback_0_20_-40_0_20_160_20_400:gt ['0', '20', '-40', '0', '20']:pred [12.266768 20.       26.564522  0.       20.608183]
hybrid_0_20_0_20_20_200_60_450:gt ['0', '20', '0', '20', '20']:pred [10.828678 20.       12.659504 19.304485 20.      ]
hatchback_-20_20_-40_20_40_0_20_450:gt ['-20', '20', '-40', '20', '40']:pred [20.         9.019013  40.         3.8641584 50.93158  ]
sedan4door_0_0_-20_0_40_40_20_400:gt ['0', '0', '-20', '0', '40']:pred [ 0.        18.335272  20.         5.6590023  6.342901 ]
sedan4door_0_40_-20_0_0_200_60_450:gt ['0', '40', '-20', '0', '0']:pred [ 0.       40.       45.769108  0.        0.      ]
hatchback_0_40_-20_20_0_360_20_400:gt ['0', '40', '-20', '20', '0']:pred [ 0.        16.338089  20.         1.4125776  8.94498  ]
sedan4door_-40_20_-20_40_0_80_40_450:gt ['-40', '20', '-20', '40', '0']:pred [40.        20.        20.        29.108854   4.9220614]
suv_0_40_0_20_40_80_60_450:gt ['0', '40', '0', '20', '40']:pred [ 0. 40.  0. 20. 40.]
hybrid_-40_40_0_20_0_280_80_450:gt ['-40', '40', '0', '20', '0']:pred [40.       40.       29.664366 28.654308  0.      ]
hatchback_0_20_-20_40_0_360_20_400:gt ['0', '20', '-20', '40', '0']:pred [ 0.        12.60075   20.         3.9442277 11.750425 ]
suv_-20_20_-40_20_40_80_60_400:gt ['-20', '20', '-40', '20', '40']:pred [20. 20. 40. 20. 40.]
suv_-20_0_-40_20_40_200_20_450:gt ['-20', '0', '-40', '20', '40']:pred [11.7020855  0.        25.697891  20.        40.       ]
hybrid_-20_40_-20_0_40_240_40_450:gt ['-20', '40', '-20', '0', '40']:pred [21.135027 40.       19.868055  8.44528  40.      ]
hybrid_-40_0_-20_20_0_0_80_400:gt ['-40', '0', '-20', '20', '0']:pred [40.        0.       25.212837 10.834837  0.      ]
sedan4door_-20_40_-20_0_20_320_80_450:gt ['-20', '40', '-20', '0', '20']:pred [20. 40. 20.  0. 20.]
hatchback_-40_0_-20_40_0_80_40_400:gt ['-40', '0', '-20', '40', '0']:pred [40.        0.       20.       24.93412   5.787033]
hatchback_-40_40_0_40_40_160_20_450:gt ['-40', '40', '0', '40', '40']:pred [17.996572 40.        9.492395 40.       37.679153]
hatchback_-40_20_0_40_0_320_80_400:gt ['-40', '20', '0', '40', '0']:pred [40. 20.  0. 40.  0.]
sedan4door_-40_20_-20_20_20_0_40_400:gt ['-40', '20', '-20', '20', '20']:pred [40.        26.421999  20.         4.2253275 20.       ]
sedan2door_-40_40_-40_40_40_360_20_450:gt ['-40', '40', '-40', '40', '40']:pred [40.        12.59859   14.582767   5.5174837 46.80682  ]
suv_-20_40_-20_20_20_0_60_450:gt ['-20', '40', '-20', '20', '20']:pred [20.       40.       20.       12.689222 20.      ]
sedan4door_-40_20_-20_40_0_240_20_400:gt ['-40', '20', '-20', '40', '0']:pred [26.19297  20.       18.261992 40.        0.      ]
hatchback_-20_0_0_0_20_120_20_450:gt ['-20', '0', '0', '0', '20']:pred [27.026134   0.        21.580229   0.         6.6447253]
sedan4door_-40_40_0_20_40_360_80_400:gt ['-40', '40', '0', '20', '40']:pred [40. 40.  0. 20. 40.]
suv_-20_40_-20_20_0_80_60_450:gt ['-20', '40', '-20', '20', '0']:pred [20. 40. 20. 20.  0.]
hatchback_-40_0_-20_20_40_320_60_450:gt ['-40', '0', '-20', '20', '40']:pred [40.  0. 20. 20. 40.]
sedan2door_0_20_-40_20_40_280_20_450:gt ['0', '20', '-40', '20', '40']:pred [ 0.        30.814129   6.2694826 22.104706  40.       ]
suv_-40_40_-40_0_20_200_40_400:gt ['-40', '40', '-40', '0', '20']:pred [14.540358 40.       37.238594  0.       20.      ]
hatchback_0_0_0_20_40_240_20_400:gt ['0', '0', '0', '20', '40']:pred [ 8.009097   0.         6.8080583 20.        40.       ]
hybrid_-20_40_-40_40_0_200_60_450:gt ['-20', '40', '-40', '40', '0']:pred [20.        40.        12.3151655 12.603855   0.       ]
hatchback_-40_40_0_0_40_360_20_450:gt ['-40', '40', '0', '0', '40']:pred [40.        13.229019   0.         3.9782681 45.50647  ]
hybrid_-20_0_-40_0_0_280_80_450:gt ['-20', '0', '-40', '0', '0']:pred [20.        0.       28.512798 19.285387  0.      ]
hybrid_0_20_-20_0_0_80_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 0.       20.       30.039612 28.77147   0.      ]
sedan2door_0_20_-40_0_20_0_40_450:gt ['0', '20', '-40', '0', '20']:pred [ 0.        27.67509   16.976957   3.4496517 20.       ]
sedan2door_0_40_-40_20_40_160_40_400:gt ['0', '40', '-40', '20', '40']:pred [ 9.059076  40.        26.786343   7.4970884 40.       ]
hybrid_-20_0_-20_20_20_160_60_450:gt ['-20', '0', '-20', '20', '20']:pred [20.        0.        7.250173  6.13031  20.      ]
sedan2door_-40_20_0_0_0_200_20_450:gt ['-40', '20', '0', '0', '0']:pred [18.354134  20.        28.975626   6.1451845  0.       ]
hybrid_-40_20_-40_40_40_40_40_450:gt ['-40', '20', '-40', '40', '40']:pred [40.       44.061634 23.32002  29.464548 40.      ]
hybrid_-40_20_0_20_20_80_20_400:gt ['-40', '20', '0', '20', '20']:pred [40.         10.750486   20.916536   16.234264    0.94671017]
suv_0_0_0_0_20_80_20_450:gt ['0', '0', '0', '0', '20']:pred [ 0.        11.107031  33.63055   30.049622   3.0875697]
hatchback_0_20_-40_0_20_320_80_450:gt ['0', '20', '-40', '0', '20']:pred [ 0. 20. 40.  0. 20.]
sedan2door_-20_40_0_40_0_0_20_400:gt ['-20', '40', '0', '40', '0']:pred [20.        10.123748  27.189817   2.2948275  4.406238 ]
hybrid_-20_20_-40_0_0_280_80_450:gt ['-20', '20', '-40', '0', '0']:pred [20.       20.       31.632374 31.52692   0.      ]
suv_-40_0_-20_40_40_200_20_400:gt ['-40', '0', '-20', '40', '40']:pred [14.225331  0.       15.944448 40.       40.      ]
sedan4door_0_40_-40_0_20_320_20_450:gt ['0', '40', '-40', '0', '20']:pred [ 0.        15.358239  40.         6.5708365 20.       ]
sedan4door_-20_0_-40_20_40_120_80_450:gt ['-20', '0', '-40', '20', '40']:pred [20.  0. 40. 20. 40.]
sedan2door_-20_40_-20_20_40_200_80_450:gt ['-20', '40', '-20', '20', '40']:pred [20.       40.       39.059383 22.15891  40.      ]
sedan4door_-40_20_-40_40_40_120_40_450:gt ['-40', '20', '-40', '40', '40']:pred [21.733582 20.       36.456814 40.       16.85339 ]
hybrid_-20_40_-40_20_0_200_20_400:gt ['-20', '40', '-40', '20', '0']:pred [14.979718  40.        17.96758    0.6943658  0.       ]
hybrid_0_40_-20_20_0_80_40_400:gt ['0', '40', '-20', '20', '0']:pred [ 0.       40.       18.115097 11.863208 10.508175]
sedan4door_-40_0_0_40_20_120_80_400:gt ['-40', '0', '0', '40', '20']:pred [40.  0.  0. 40. 20.]
hybrid_-40_40_0_0_40_320_60_400:gt ['-40', '40', '0', '0', '40']:pred [40.       40.       25.510597 19.402582 40.      ]
sedan4door_-40_0_-20_40_20_360_80_450:gt ['-40', '0', '-20', '40', '20']:pred [40.  0. 20. 40. 20.]
suv_0_20_-20_20_0_200_40_400:gt ['0', '20', '-20', '20', '0']:pred [ 7.748266 20.       19.855373 20.        0.      ]
hatchback_0_40_0_40_0_80_60_400:gt ['0', '40', '0', '40', '0']:pred [ 0. 40.  0. 40.  0.]
suv_-40_0_-20_0_20_320_40_400:gt ['-40', '0', '-20', '0', '20']:pred [40.         4.505048  20.         7.7041545 20.       ]
hybrid_0_0_-20_20_0_80_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 0.         18.215914   22.289705   16.528597    0.04400232]
suv_0_20_-20_40_20_240_40_450:gt ['0', '20', '-20', '40', '20']:pred [ 7.6499195 20.        23.107624  40.        20.       ]
hybrid_-20_0_-40_40_40_80_20_400:gt ['-20', '0', '-40', '40', '40']:pred [20.         7.4190803 32.51416   25.941793   3.7037897]
sedan2door_-20_20_-40_40_40_80_80_400:gt ['-20', '20', '-40', '40', '40']:pred [20.       20.       25.415052 24.039755 42.121346]
hatchback_0_0_-40_20_40_280_40_450:gt ['0', '0', '-40', '20', '40']:pred [ 0.  0. 40. 20. 40.]
hatchback_-40_0_-40_20_40_80_60_400:gt ['-40', '0', '-40', '20', '40']:pred [40.  0. 40. 20. 40.]
sedan4door_0_0_-20_0_0_280_60_450:gt ['0', '0', '-20', '0', '0']:pred [ 0.  0. 20.  0.  0.]
sedan4door_0_40_-40_0_40_200_60_450:gt ['0', '40', '-40', '0', '40']:pred [ 0.      40.      40.52037  0.      40.     ]
hatchback_0_0_0_40_20_160_60_450:gt ['0', '0', '0', '40', '20']:pred [ 0.        0.        8.320361 40.       20.      ]
suv_-40_40_-40_20_20_0_80_400:gt ['-40', '40', '-40', '20', '20']:pred [40. 40. 40. 20. 20.]
suv_0_40_0_40_40_40_40_450:gt ['0', '40', '0', '40', '40']:pred [ 0.       43.362087  0.       12.636546 40.      ]
sedan4door_-40_20_-20_40_20_320_80_450:gt ['-40', '20', '-20', '40', '20']:pred [40. 20. 20. 40. 20.]
sedan2door_-40_20_0_20_0_120_80_450:gt ['-40', '20', '0', '20', '0']:pred [40.      20.      40.45249 33.85099  0.     ]
hatchback_-20_20_-40_20_20_240_80_450:gt ['-20', '20', '-40', '20', '20']:pred [20. 20. 40. 20. 20.]
sedan4door_-40_20_-40_20_40_80_60_400:gt ['-40', '20', '-40', '20', '40']:pred [40. 20. 40. 20. 40.]
sedan4door_-20_20_-20_20_40_0_20_400:gt ['-20', '20', '-20', '20', '40']:pred [20.          7.530466   20.          0.95136166 35.759407  ]
sedan2door_-20_40_-40_40_0_360_80_450:gt ['-20', '40', '-40', '40', '0']:pred [20.       40.       14.811825 19.845844  0.      ]
hatchback_-40_0_-40_20_0_200_40_400:gt ['-40', '0', '-40', '20', '0']:pred [18.347984  0.       20.580366 20.        0.      ]
hybrid_-40_20_-40_0_0_200_80_450:gt ['-40', '20', '-40', '0', '0']:pred [40.       20.       18.649708 31.193144  0.      ]
sedan4door_0_40_-40_0_40_320_80_400:gt ['0', '40', '-40', '0', '40']:pred [ 0. 40. 40.  0. 40.]
sedan4door_0_20_-20_40_20_320_80_450:gt ['0', '20', '-20', '40', '20']:pred [ 0. 20. 20. 40. 20.]
hybrid_-40_20_-40_20_20_160_40_450:gt ['-40', '20', '-40', '20', '20']:pred [24.204807  20.        13.9977455 12.113745  20.       ]
sedan2door_0_0_-40_0_40_320_80_450:gt ['0', '0', '-40', '0', '40']:pred [ 0.        0.       21.78556   4.183579 40.      ]
hatchback_-20_20_-40_20_40_320_40_400:gt ['-20', '20', '-40', '20', '40']:pred [20.      21.4877  40.      16.30173 40.     ]
suv_0_0_0_20_20_120_60_400:gt ['0', '0', '0', '20', '20']:pred [ 0.        0.       28.761389 20.       20.      ]
hatchback_0_20_-40_20_20_240_40_450:gt ['0', '20', '-40', '20', '20']:pred [ 6.020361 20.       34.353737 20.       20.      ]
hatchback_0_20_-20_0_0_40_40_450:gt ['0', '20', '-20', '0', '0']:pred [ 0.       41.360645 20.       22.029728  0.      ]
sedan2door_-20_40_0_0_40_40_40_400:gt ['-20', '40', '0', '0', '40']:pred [20.       39.13689  29.974566 35.57247  40.      ]
hybrid_0_20_-40_40_20_240_20_400:gt ['0', '20', '-40', '40', '20']:pred [18.211227 20.        7.673091 14.55193  20.      ]
hybrid_-20_0_0_40_40_0_80_450:gt ['-20', '0', '0', '40', '40']:pred [20.        0.       11.523777  8.431585 40.      ]
sedan4door_0_40_-40_40_0_320_60_400:gt ['0', '40', '-40', '40', '0']:pred [ 0. 40. 40. 40.  0.]
suv_0_40_-40_40_40_40_80_450:gt ['0', '40', '-40', '40', '40']:pred [ 0. 40. 40. 40. 40.]
hybrid_-40_20_-40_0_20_160_80_400:gt ['-40', '20', '-40', '0', '20']:pred [40.       20.       16.6056   11.196763 20.      ]
sedan4door_0_0_-20_0_0_360_40_450:gt ['0', '0', '-20', '0', '0']:pred [ 0.         6.8627605 20.         1.9386466  0.       ]
hatchback_-20_40_-20_0_0_160_40_450:gt ['-20', '40', '-20', '0', '0']:pred [11.324021 40.       30.745636  0.        0.      ]
hybrid_0_40_0_40_0_360_40_450:gt ['0', '40', '0', '40', '0']:pred [ 0.       43.483612 16.01187   2.123486  0.      ]
sedan2door_0_20_-20_0_0_320_60_450:gt ['0', '20', '-20', '0', '0']:pred [ 0.       20.       27.206936  5.8261    0.      ]
suv_0_40_0_0_20_240_80_400:gt ['0', '40', '0', '0', '20']:pred [ 0. 40.  0.  0. 20.]
sedan4door_0_20_-40_0_20_40_40_400:gt ['0', '20', '-40', '0', '20']:pred [ 0.       28.740055 40.       18.89297  20.      ]
hatchback_-40_40_0_20_20_200_60_400:gt ['-40', '40', '0', '20', '20']:pred [40.       40.       24.316893 20.       20.      ]
hatchback_-20_20_0_40_0_0_80_450:gt ['-20', '20', '0', '40', '0']:pred [20. 20.  0. 40.  0.]
sedan4door_-40_0_-40_40_20_280_40_400:gt ['-40', '0', '-40', '40', '20']:pred [40.       24.107363 40.       40.       20.      ]
hatchback_-40_0_-40_0_20_120_40_450:gt ['-40', '0', '-40', '0', '20']:pred [19.194422  0.       31.801737  0.       15.724558]
sedan2door_0_0_0_20_0_200_80_400:gt ['0', '0', '0', '20', '0']:pred [ 0.        0.       42.93387   9.585792  0.      ]
sedan4door_0_40_-40_20_40_200_60_450:gt ['0', '40', '-40', '20', '40']:pred [ 0.       40.       37.450645 20.       40.      ]
sedan2door_-20_20_-20_0_0_80_20_400:gt ['-20', '20', '-20', '0', '0']:pred [20.        15.446822  21.04408    5.3486123  0.3216766]
hybrid_-20_0_-40_0_20_80_60_450:gt ['-20', '0', '-40', '0', '20']:pred [20.        0.       24.737679  7.392293 20.      ]
sedan4door_-40_40_-20_40_0_240_80_400:gt ['-40', '40', '-20', '40', '0']:pred [40. 40. 20. 40.  0.]
hybrid_-40_0_-40_40_20_0_60_450:gt ['-40', '0', '-40', '40', '20']:pred [40.       31.441694 28.517807 11.039468 20.      ]
sedan4door_-20_0_-40_20_0_240_40_400:gt ['-20', '0', '-40', '20', '0']:pred [ 6.2197185  0.        36.875114  20.         0.       ]
suv_0_20_0_40_20_200_60_450:gt ['0', '20', '0', '40', '20']:pred [ 7.7422304 20.        26.78265   40.        20.       ]
sedan2door_-40_0_-20_0_20_160_80_450:gt ['-40', '0', '-20', '0', '20']:pred [40.        0.       26.014925 12.825563 20.      ]
sedan2door_-20_40_-40_40_40_240_40_450:gt ['-20', '40', '-40', '40', '40']:pred [28.729973 40.       29.138517 12.950454 40.      ]
suv_0_40_-20_20_40_320_20_450:gt ['0', '40', '-20', '20', '40']:pred [ 0.        15.386818  20.         5.9529266 40.       ]
suv_0_20_0_0_40_280_80_450:gt ['0', '20', '0', '0', '40']:pred [ 0. 20.  0.  0. 40.]
suv_-40_20_-20_20_40_280_40_450:gt ['-40', '20', '-20', '20', '40']:pred [40.       24.823246 20.       20.       40.      ]
sedan4door_-40_40_-40_40_40_360_60_450:gt ['-40', '40', '-40', '40', '40']:pred [40.       40.       40.       38.711227 40.      ]
sedan4door_-40_20_-40_0_40_160_80_400:gt ['-40', '20', '-40', '0', '40']:pred [40. 20. 40.  0. 40.]
suv_0_0_-40_40_0_80_40_400:gt ['0', '0', '-40', '40', '0']:pred [ 0.        0.       40.       17.064142 18.998625]
suv_-40_40_-20_40_40_160_40_450:gt ['-40', '40', '-20', '40', '40']:pred [16.624744 40.       30.245129 40.       40.      ]
sedan2door_0_20_-40_0_0_0_20_400:gt ['0', '20', '-40', '0', '0']:pred [ 0.         3.049738  22.637753   1.7436253  2.0632863]
sedan2door_-40_0_0_20_40_160_20_400:gt ['-40', '0', '0', '20', '40']:pred [24.468283   0.        16.456762   4.6000986 20.314238 ]
hatchback_0_40_-20_0_40_120_60_400:gt ['0', '40', '-20', '0', '40']:pred [ 0.       40.       51.417233  0.       40.      ]
suv_-40_40_0_0_40_320_40_400:gt ['-40', '40', '0', '0', '40']:pred [40.        11.148069   0.         3.5610585 40.       ]
suv_-20_20_-40_0_20_120_20_400:gt ['-20', '20', '-40', '0', '20']:pred [22.596521  20.        33.338028  25.093695   1.6865419]
sedan4door_-40_20_-20_0_20_160_60_400:gt ['-40', '20', '-20', '0', '20']:pred [40.       20.       20.023064  0.       20.      ]
sedan2door_0_40_-40_20_0_240_60_450:gt ['0', '40', '-40', '20', '0']:pred [ 0.       40.       14.43353   8.639051  0.      ]
sedan4door_-20_20_0_20_20_40_20_450:gt ['-20', '20', '0', '20', '20']:pred [20.       17.872313  0.       10.11831  18.747097]
hatchback_-20_20_-40_40_20_120_40_450:gt ['-20', '20', '-40', '40', '20']:pred [16.921831 20.       35.17096  40.       17.742174]
suv_-20_20_-40_20_20_80_20_400:gt ['-20', '20', '-40', '20', '20']:pred [20.        19.375618  40.        17.487186   3.5791507]
hybrid_0_20_-20_20_40_320_20_400:gt ['0', '20', '-20', '20', '40']:pred [ 0.       21.440607 18.944548 19.732376 40.      ]
sedan4door_-20_0_-20_0_0_0_80_400:gt ['-20', '0', '-20', '0', '0']:pred [20.  0. 20.  0.  0.]
hybrid_-40_0_-20_0_0_280_20_450:gt ['-40', '0', '-20', '0', '0']:pred [40.        24.563658   6.9419637  6.1798873  0.       ]
sedan4door_-40_20_-20_40_0_160_20_450:gt ['-40', '20', '-20', '40', '0']:pred [15.734674 20.       16.904835 40.       12.055743]
sedan2door_-20_0_-20_40_0_80_80_400:gt ['-20', '0', '-20', '40', '0']:pred [20.         0.        35.77499    9.288268   5.1321244]
