72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [20.350142 13.29652  41.6518   27.796968 45.43686 ]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [15.221014   7.9144945 21.949766  21.109411  32.890953 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_20_40_20_240_80_400:gt ['20', '20', '20', '40', '20']:pred [25.445839  14.1128435  4.9346094 15.304441  26.931145 ]
9c827e532de4967285089a13cc567dbd_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [24.243025 16.163822  9.331917 13.500951 21.03058 ]
d0cf2f187acda5736be7348aa770e4ca_20_20_40_20_20_80_80_400:gt ['20', '20', '40', '20', '20']:pred [19.084858 12.560488 17.313799 42.393982 27.918535]
5e87b04efd58cc8922412d2a728de1d5_20_20_20_40_20_160_40_400:gt ['20', '20', '20', '40', '20']:pred [ 5.0311003  9.642328  21.44124   24.8632    30.255775 ]
4ac021653126a29e98618a1ba17f086b_40_40_20_40_20_160_40_400:gt ['40', '40', '20', '40', '20']:pred [27.770037  9.708231 35.12958   7.199447 40.840214]
6265f0745d3f40546bcd32c43682e841_20_40_40_20_40_160_40_400:gt ['20', '40', '40', '20', '40']:pred [27.321587   6.2666283 10.146577   8.60975   36.343105 ]
c61ec8875746ab78227375499b768057_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [37.638145 13.263502  8.825107 12.198685 29.954742]
a115d534edec6f89afe1d4530f4c6e24_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [26.189363   8.164125   8.3205385 48.470013  47.14137  ]
5e87b04efd58cc8922412d2a728de1d5_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [ 9.785914  6.381689 11.196691 34.508762 18.071096]
5e87b04efd58cc8922412d2a728de1d5_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [ 5.7236648  9.497216  29.516033  26.876583  28.963722 ]
7c46bfff2f90f11044592db9be5db5c8_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [24.91526   23.495153   6.4864044 14.817804  36.764282 ]
825fb860d71c78a477c771b4b7eed82c_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [20.793455   6.3965507 35.392647  49.259247  36.37396  ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [24.649096 17.06912  10.053741 19.737375 50.80089 ]
4ac021653126a29e98618a1ba17f086b_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [26.52367  11.684825 20.748674 12.409018 39.569782]
86c8a3137a716d70e742b0b5e87bec54_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [37.60696   8.237226 32.48185  13.800625 21.37269 ]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [30.967709  4.183584  9.559338  6.957425  8.459608]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [27.544905  16.031933   5.5234528 47.28304   48.911472 ]
5ec3322293a39816ad7e7cea4034d226_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [18.789848 11.340666 15.380974 12.573309 45.88253 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_20_40_40_160_80_400:gt ['40', '40', '20', '40', '40']:pred [16.902567  8.390881 10.355153 41.63524  49.576195]
aa9f41bc3925ffc4be9358e8c18dc481_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [16.819958  8.555457  9.600909 15.636639 44.020313]
d0cf2f187acda5736be7348aa770e4ca_20_20_20_40_20_240_80_400:gt ['20', '20', '20', '40', '20']:pred [10.169706  9.60091  19.448742 35.0161   18.309635]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [29.842043   5.4938545 46.85748   18.911205   8.814435 ]
a387407d49e209fdeea60824a43a0b_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [38.36984  19.211872 14.669539 36.70884  40.96214 ]
825fb860d71c78a477c771b4b7eed82c_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [29.573034  3.919002 20.483158 20.513607 40.89566 ]
d72ffa185738bccd10b75223b5be6dbb_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [32.358696 19.524689 22.576296 35.237896 50.53982 ]
9c827e532de4967285089a13cc567dbd_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [26.117937 13.935756  4.059956 41.64448  35.549633]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [34.529613 14.0644   23.516169 47.78491  52.465347]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [19.893744   7.6904736 38.922062  14.730346  28.728325 ]
7dac31838b627748eb631ba05bd8dfe_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [12.541702  19.316347   5.2694755 35.57079    6.4871516]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [33.124435 26.036264  6.34457  49.05448  42.251842]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [29.34551   8.409018 35.342766 35.0409   40.388363]
c61ec8875746ab78227375499b768057_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [14.980194   2.6167881 34.067818  25.360518  42.252567 ]
7c46bfff2f90f11044592db9be5db5c8_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [ 6.294845 36.52925  15.959914 16.162184 30.14386 ]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [13.899412  8.161472 23.642159 12.712617 34.271362]
d72ffa185738bccd10b75223b5be6dbb_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [ 9.594447 12.159238 15.22233  27.859858 36.89507 ]
5ec3322293a39816ad7e7cea4034d226_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [12.25664    6.6643934 13.333828  13.322898  24.141565 ]
d0cf2f187acda5736be7348aa770e4ca_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [ 8.555088   5.7950444 19.350533  10.189361  30.553396 ]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [22.702482 22.189651 24.23006  13.738827 34.586636]
fabcb04fc015f822ca8bf2993ca245b_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [13.481163 18.709871 17.216394 53.777817 39.630558]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [21.838766 13.939938 16.07364  22.106544 27.855223]
825fb860d71c78a477c771b4b7eed82c_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [31.51616    3.9074054  6.673533   4.812623  34.545994 ]
825fb860d71c78a477c771b4b7eed82c_40_40_40_20_40_160_40_400:gt ['40', '40', '40', '20', '40']:pred [31.047318   6.4620814 16.569138  18.04657   44.93209  ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [10.681583   6.1525187  4.9524493 31.572496   3.6522796]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [16.001133  6.616977 18.42235  40.514343 22.116138]
d2592adba4e8e62648368c1a2f71c5f3_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [ 7.098577  9.799645 18.300571 15.292021 45.72358 ]
cde88b5900e8dfba725a7749daae1afa_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [27.835075 17.246914 13.566012 13.058064 53.669666]
9c827e532de4967285089a13cc567dbd_40_40_20_40_40_160_80_400:gt ['40', '40', '20', '40', '40']:pred [26.089243 14.254549  4.287213 40.881783 35.462986]
12f2905dc029f59a2479fbc7da5ed22b_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [14.742966  15.948629   1.5149751  7.891724  26.957523 ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [44.01921   11.480084   7.7556796 14.004151  41.67627  ]
cde88b5900e8dfba725a7749daae1afa_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [41.517006  7.664761 19.815763 24.255772 18.320192]
fabcb04fc015f822ca8bf2993ca245b_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [23.716589 10.961831 38.73508  25.639847 29.35112 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_20_20_20_240_80_400:gt ['20', '40', '20', '20', '20']:pred [14.025373   3.0008528 15.550965  23.194178  16.416872 ]
9d2b7938d426633b28044fe9244db50a_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [23.458506  8.957623 14.81325  23.413385 13.153107]
b9786e1b059a1712ca92a4cdad802b45_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [27.789629   5.828754  11.1583395  3.4580235 17.95349  ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [29.258299  14.111352   9.3763275 29.117418  38.84191  ]
1a64bf1e658652ddb11647ffa4306609_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [36.640766 17.484339 30.262768 30.360907 40.776936]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [27.60874    2.7327812 15.8874035  4.8284063 28.011826 ]
86c8a3137a716d70e742b0b5e87bec54_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [24.571995  4.44871  43.730064 25.926395 35.966103]
b9786e1b059a1712ca92a4cdad802b45_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [30.726929 15.795511 10.803282 19.206455 18.031288]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [23.03129  30.855774 20.710052 12.710113 37.65391 ]
425ba801e904cb50f3aaed7e86215c7b_20_40_40_20_20_80_80_400:gt ['20', '40', '40', '20', '20']:pred [22.885004   1.5306679 13.410055   6.5674744 45.275368 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_40_40_80_80_400:gt ['20', '40', '40', '40', '40']:pred [22.537735 16.177671 14.026251 39.996143 41.286396]
9c827e532de4967285089a13cc567dbd_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [24.492405   3.9151254 33.332718  38.960327   9.165466 ]
b9786e1b059a1712ca92a4cdad802b45_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [31.373823  9.469638 11.297243 13.263287 21.161789]
1a64bf1e658652ddb11647ffa4306609_20_20_20_20_20_240_40_400:gt ['20', '20', '20', '20', '20']:pred [25.576359  6.202382  9.699879 24.310513  8.432279]
4f17af1ca7ae689d409b2c4484d833cc_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [32.653687  2.222309 12.075214 20.220322 26.251606]
5ec3322293a39816ad7e7cea4034d226_40_40_20_40_40_240_80_400:gt ['40', '40', '20', '40', '40']:pred [13.797635 11.918901 13.783557 12.778474 11.888044]
923007b377bb1cab473f10e6caaeca56_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [11.520174 15.960401 10.073934 20.482124 19.291983]
9d2b7938d426633b28044fe9244db50a_40_20_40_40_20_80_80_400:gt ['40', '20', '40', '40', '20']:pred [16.74733   7.742815 14.527536 19.972351 12.121087]
4ac021653126a29e98618a1ba17f086b_40_20_40_40_20_80_40_400:gt ['40', '20', '40', '40', '20']:pred [13.92462   5.92104  34.445694  7.52184  37.28756 ]
aa9f41bc3925ffc4be9358e8c18dc481_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [22.571367   2.2176762  9.734559   4.2815385 33.538544 ]
7dac31838b627748eb631ba05bd8dfe_40_40_40_40_40_240_80_400:gt ['40', '40', '40', '40', '40']:pred [16.078327  23.716536  12.103178   1.8781867  4.631254 ]
b9786e1b059a1712ca92a4cdad802b45_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [32.17644   11.499855   3.857485  22.138277   6.2903934]
1a64bf1e658652ddb11647ffa4306609_40_20_40_40_20_80_40_400:gt ['40', '20', '40', '40', '20']:pred [44.818386 17.387756 37.187737 36.77315  36.96841 ]
825fb860d71c78a477c771b4b7eed82c_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [12.279158   5.4848347  5.8178387  1.4285731 33.620804 ]
d72ffa185738bccd10b75223b5be6dbb_40_40_40_20_40_160_40_400:gt ['40', '40', '40', '20', '40']:pred [11.742756  6.61863  19.87931  44.619858 24.086933]
4ac021653126a29e98618a1ba17f086b_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [22.896547   6.4192533  4.421948   1.673027  24.690165 ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [22.31808  22.310335 29.536015 16.492123 45.58396 ]
7c46bfff2f90f11044592db9be5db5c8_40_40_40_20_20_80_40_400:gt ['40', '40', '40', '20', '20']:pred [11.804088 38.35706  21.073225 17.232426 38.753696]
