Hybrid_0_20_0_20_0_160_20_450:gt ['0', '20', '0', '20', '0']:pred [ 0.       25.299646  0.       20.        0.      ]
Sedan4Door_0_20_-20_0_20_320_20_400:gt ['0', '20', '-20', '0', '20']:pred [ 0.98393595 20.         28.546856    0.         23.631804  ]
Suv_-20_20_-20_0_20_240_60_400:gt ['-20', '20', '-20', '0', '20']:pred [20.920113 12.238915 33.288578  0.625977 56.77415 ]
Hybrid_-20_0_-20_20_20_0_20_450:gt ['-20', '0', '-20', '20', '20']:pred [22.459925  0.       20.       20.       20.      ]
Sedan2Door_-20_0_-20_0_0_240_20_400:gt ['-20', '0', '-20', '0', '0']:pred [20.         2.7766986 20.         0.        15.887226 ]
Hybrid_-20_20_-20_20_0_320_60_400:gt ['-20', '20', '-20', '20', '0']:pred [42.36116  55.178894 20.       20.       27.2919  ]
Hatchback_-20_0_0_0_20_320_20_400:gt ['-20', '0', '0', '0', '20']:pred [22.459757  0.       10.814973  0.       14.384085]
Hatchback_-20_20_0_20_20_320_60_450:gt ['-20', '20', '0', '20', '20']:pred [20.678282  32.9322     2.1934533 23.556192  51.87238  ]
Sedan4Door_-20_0_0_20_0_320_60_400:gt ['-20', '0', '0', '20', '0']:pred [28.005623   0.         1.0265336 28.958841  59.7485   ]
Hatchback_0_0_-20_0_20_320_60_450:gt ['0', '0', '-20', '0', '20']:pred [11.095459 17.57973  14.925802  0.       54.881565]
Sedan4Door_-20_20_0_20_0_160_60_450:gt ['-20', '20', '0', '20', '0']:pred [17.068407 24.626192  0.       11.364916 57.84079 ]
Hatchback_0_0_-20_0_0_320_60_400:gt ['0', '0', '-20', '0', '0']:pred [ 2.687475   6.3897123 28.1547     0.        23.78706  ]
Hybrid_0_20_-20_0_20_320_20_400:gt ['0', '20', '-20', '0', '20']:pred [ 2.2376654 20.        20.         0.        32.67011  ]
Suv_0_0_-20_20_20_160_20_400:gt ['0', '0', '-20', '20', '20']:pred [ 0.         6.1031785 20.        52.691875  20.       ]
Hybrid_0_0_-20_20_0_240_60_450:gt ['0', '0', '-20', '20', '0']:pred [ 0.        2.741081 20.       20.       29.984587]
Hatchback_0_0_-20_20_0_0_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 2.778308  0.       14.215531 20.        0.      ]
Hatchback_-20_20_0_0_0_80_20_450:gt ['-20', '20', '0', '0', '0']:pred [20.512913 20.        0.        0.        0.      ]
Hybrid_-20_20_0_0_0_0_20_400:gt ['-20', '20', '0', '0', '0']:pred [10.722006 20.        0.        0.        0.      ]
Sedan2Door_-20_20_-20_0_0_320_20_400:gt ['-20', '20', '-20', '0', '0']:pred [17.035828 20.       20.        0.        4.810961]
Suv_-20_20_-20_20_0_80_60_400:gt ['-20', '20', '-20', '20', '0']:pred [21.396742  19.366636   9.588125   7.354713   5.5275025]
Suv_0_0_0_0_0_80_20_400:gt ['0', '0', '0', '0', '0']:pred [3.036838 0.       0.       0.       0.      ]
Hybrid_-20_20_0_0_0_0_60_400:gt ['-20', '20', '0', '0', '0']:pred [28.098574 47.548653  0.        0.       27.114004]
Sedan4Door_0_20_0_20_20_80_20_450:gt ['0', '20', '0', '20', '20']:pred [ 3.3829987 20.         0.        20.        20.       ]
Sedan4Door_0_0_-20_20_20_240_20_400:gt ['0', '0', '-20', '20', '20']:pred [ 0.         4.3355823 20.        33.55846   51.336723 ]
Sedan2Door_-20_20_-20_20_0_0_20_450:gt ['-20', '20', '-20', '20', '0']:pred [12.626745 20.       20.       20.        0.      ]
Hatchback_0_0_-20_0_20_240_20_400:gt ['0', '0', '-20', '0', '20']:pred [ 0.         3.4291544 20.         5.812196  54.543797 ]
Sedan2Door_-20_20_0_20_20_80_60_400:gt ['-20', '20', '0', '20', '20']:pred [18.36794  16.663267  0.       20.       47.55729 ]
Hybrid_0_20_-20_0_20_320_60_450:gt ['0', '20', '-20', '0', '20']:pred [ 5.2468104 30.02483   20.         0.        30.798552 ]
Sedan2Door_0_20_0_20_0_160_60_400:gt ['0', '20', '0', '20', '0']:pred [10.22624   9.067193  0.       20.       22.686586]
Suv_0_20_0_0_20_160_20_450:gt ['0', '20', '0', '0', '20']:pred [ 0.       23.006372  0.       10.272427 20.      ]
Hatchback_0_0_0_20_20_320_60_400:gt ['0', '0', '0', '20', '20']:pred [ 5.4589434  4.693459   4.4453864 30.274008  39.764088 ]
Hatchback_0_0_0_20_0_0_20_400:gt ['0', '0', '0', '20', '0']:pred [ 1.6087443  0.         4.37292   20.         0.       ]
Sedan4Door_-20_0_-20_0_20_160_20_400:gt ['-20', '0', '-20', '0', '20']:pred [20.          0.45949697 20.          3.3797345  20.        ]
Sedan4Door_0_20_-20_20_0_320_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 7.303029 28.869066 17.651505 30.784481 24.53929 ]
Sedan2Door_-20_0_0_20_0_240_20_450:gt ['-20', '0', '0', '20', '0']:pred [20.        9.324488  0.       20.       50.03664 ]
Suv_0_20_0_20_0_240_60_450:gt ['0', '20', '0', '20', '0']:pred [ 0.         1.9743197  0.         8.950588  20.18826  ]
Suv_-20_20_-20_0_0_80_60_450:gt ['-20', '20', '-20', '0', '0']:pred [27.014757 16.472242  6.484812 22.66635  37.391323]
Hatchback_-20_0_0_0_20_240_60_450:gt ['-20', '0', '0', '0', '20']:pred [12.472273   4.298102   0.         2.2586734 27.010778 ]
Hybrid_0_0_0_0_0_160_60_400:gt ['0', '0', '0', '0', '0']:pred [ 0.         7.7452245  0.         0.        45.255085 ]
Hybrid_0_0_-20_20_0_240_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 0.       16.925488 20.       20.       12.223823]
Hatchback_0_0_-20_20_20_320_60_400:gt ['0', '0', '-20', '20', '20']:pred [19.281984 19.94249  18.182547 31.440742 39.47528 ]
Sedan4Door_0_20_-20_20_20_160_20_400:gt ['0', '20', '-20', '20', '20']:pred [ 0.       21.241625 20.       35.54023  20.      ]
Suv_-20_0_0_20_0_320_60_450:gt ['-20', '0', '0', '20', '0']:pred [18.36239   0.        1.031756 20.       47.4356  ]
Sedan2Door_-20_20_-20_20_0_160_60_400:gt ['-20', '20', '-20', '20', '0']:pred [17.302135 11.560373 20.       20.       49.651833]
Hatchback_-20_0_-20_20_0_240_60_450:gt ['-20', '0', '-20', '20', '0']:pred [28.081053  8.103962  9.583406 11.549981 37.58152 ]
Hatchback_-20_20_0_20_0_0_60_450:gt ['-20', '20', '0', '20', '0']:pred [39.85752   41.089638   2.3320456 20.        20.394485 ]
Hybrid_0_0_0_20_20_240_60_400:gt ['0', '0', '0', '20', '20']:pred [ 0.         2.6079955  0.        20.        28.811426 ]
Sedan2Door_0_20_-20_20_0_80_60_450:gt ['0', '20', '-20', '20', '0']:pred [ 8.369638 13.429892 20.       20.        0.      ]
Sedan2Door_0_20_0_20_20_160_20_450:gt ['0', '20', '0', '20', '20']:pred [ 0.         5.7691946  0.        20.        20.       ]
Sedan4Door_-20_20_-20_0_0_320_60_450:gt ['-20', '20', '-20', '0', '0']:pred [20.051504  47.52       6.0407586  0.        34.444458 ]
Hatchback_0_20_-20_20_20_240_60_400:gt ['0', '20', '-20', '20', '20']:pred [13.7687845  3.3109257  5.121768   6.4619355 53.38082  ]
Suv_0_20_0_20_20_0_20_400:gt ['0', '20', '0', '20', '20']:pred [ 1.2707585 20.         2.4890473 20.        20.       ]
Hatchback_0_20_0_20_0_0_20_400:gt ['0', '20', '0', '20', '0']:pred [ 2.072776  20.         7.1355686 20.         0.       ]
Hybrid_0_0_0_0_20_320_60_400:gt ['0', '0', '0', '0', '20']:pred [3.140358 0.       0.       0.       9.02522 ]
Sedan2Door_0_20_-20_20_0_0_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 1.6571019 20.        20.        20.         0.       ]
Hybrid_0_20_0_20_20_240_20_450:gt ['0', '20', '0', '20', '20']:pred [ 0.       22.872284  0.       20.       20.831718]
Hybrid_0_20_0_20_0_320_20_400:gt ['0', '20', '0', '20', '0']:pred [ 2.0165913 20.         0.        20.         5.2344203]
Hatchback_0_20_-20_20_20_160_20_400:gt ['0', '20', '-20', '20', '20']:pred [ 0.       18.358727 20.       29.72879  20.      ]
Hybrid_0_20_-20_0_20_0_20_450:gt ['0', '20', '-20', '0', '20']:pred [ 2.361819 20.       20.        0.       20.      ]
Hybrid_0_0_-20_20_0_240_60_400:gt ['0', '0', '-20', '20', '0']:pred [ 0.         2.9261603 20.        20.        56.616413 ]
Sedan2Door_-20_0_0_0_20_160_20_400:gt ['-20', '0', '0', '0', '20']:pred [20.         7.7119303  0.         0.        20.       ]
Sedan2Door_0_20_-20_0_0_320_60_450:gt ['0', '20', '-20', '0', '0']:pred [ 2.453599 19.78552  20.        0.       16.57507 ]
Hatchback_-20_20_0_20_0_240_20_400:gt ['-20', '20', '0', '20', '0']:pred [20.       27.10348   0.       13.607961 10.086882]
Sedan2Door_-20_20_0_20_0_80_60_400:gt ['-20', '20', '0', '20', '0']:pred [20.919928 15.457413  0.       20.        0.      ]
Hybrid_0_20_0_0_20_0_20_450:gt ['0', '20', '0', '0', '20']:pred [ 2.3756382 20.         0.         0.        20.       ]
Hatchback_-20_0_0_0_20_0_60_400:gt ['-20', '0', '0', '0', '20']:pred [15.516149  23.242966   4.5433564  0.        29.888933 ]
Hatchback_-20_20_0_20_0_320_20_400:gt ['-20', '20', '0', '20', '0']:pred [17.900837 20.        5.093261 20.       13.900498]
Suv_-20_20_0_0_20_0_60_400:gt ['-20', '20', '0', '0', '20']:pred [33.277466 29.228905  4.13118   0.       27.790123]
Suv_0_20_0_0_20_240_20_450:gt ['0', '20', '0', '0', '20']:pred [ 0.        13.122414   0.         6.1364183 57.173054 ]
Sedan4Door_0_20_0_0_20_0_20_400:gt ['0', '20', '0', '0', '20']:pred [ 0.8268719 20.         5.173601   0.        20.       ]
Hybrid_-20_20_-20_20_20_80_20_450:gt ['-20', '20', '-20', '20', '20']:pred [20.101902 20.       20.       20.       20.      ]
Hatchback_-20_0_0_20_20_0_60_450:gt ['-20', '0', '0', '20', '20']:pred [17.920376   8.948551   0.9821152 20.        56.84159  ]
Sedan4Door_0_20_0_0_0_240_60_400:gt ['0', '20', '0', '0', '0']:pred [ 0.        50.22786    0.         3.7468476 40.94814  ]
Hybrid_0_20_-20_20_20_80_60_450:gt ['0', '20', '-20', '20', '20']:pred [ 2.9812684 14.294823  20.        20.        14.953908 ]
Hatchback_0_0_-20_20_20_160_20_400:gt ['0', '0', '-20', '20', '20']:pred [ 0.        3.218019 20.       10.90917  20.      ]
Suv_0_0_-20_0_20_0_20_400:gt ['0', '0', '-20', '0', '20']:pred [ 1.9243404  0.        20.11564    0.        20.       ]
Suv_-20_0_-20_0_0_240_60_400:gt ['-20', '0', '-20', '0', '0']:pred [20.         2.3552327 20.         8.159605  53.753124 ]
Sedan4Door_0_20_0_0_0_160_60_400:gt ['0', '20', '0', '0', '0']:pred [10.276915  7.148624  0.       15.22485  54.245388]
Suv_0_20_-20_20_20_240_60_400:gt ['0', '20', '-20', '20', '20']:pred [10.896082 22.455475  5.040179 18.819649 58.360386]
Sedan4Door_0_20_-20_20_0_320_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 1.6554383 20.        31.096786  20.        22.669626 ]
Hybrid_0_0_-20_20_20_320_60_400:gt ['0', '0', '-20', '20', '20']:pred [ 2.3832846  0.        20.        20.        34.694046 ]
Sedan4Door_0_0_-20_20_0_0_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 1.3897544  0.        24.982304  20.         0.       ]
Hybrid_-20_0_-20_20_20_0_60_400:gt ['-20', '0', '-20', '20', '20']:pred [31.496208  0.       20.       20.       43.76015 ]
Hatchback_-20_0_-20_0_20_320_60_400:gt ['-20', '0', '-20', '0', '20']:pred [28.112942  4.941812 15.689108  0.       46.543903]
Hybrid_-20_0_-20_0_0_320_60_450:gt ['-20', '0', '-20', '0', '0']:pred [18.559124  0.       20.        0.       35.100502]
Suv_0_20_0_20_20_0_20_450:gt ['0', '20', '0', '20', '20']:pred [ 1.8355726 20.         9.804207  20.        20.       ]
Hatchback_0_20_0_20_20_240_60_450:gt ['0', '20', '0', '20', '20']:pred [ 6.4183025 32.64742    0.        11.650065  45.87015  ]
Suv_-20_0_-20_0_0_320_20_400:gt ['-20', '0', '-20', '0', '0']:pred [23.46507   0.       13.012057  0.       20.90131 ]
Sedan2Door_-20_0_-20_0_0_160_60_450:gt ['-20', '0', '-20', '0', '0']:pred [28.550362 54.37693  20.        0.       42.180107]
Hybrid_-20_0_0_0_0_160_60_450:gt ['-20', '0', '0', '0', '0']:pred [28.520618 35.33082   0.        0.        9.510138]
Suv_0_20_-20_0_20_240_60_400:gt ['0', '20', '-20', '0', '20']:pred [30.576092  38.121468   3.2398903 36.95884   58.855717 ]
Suv_-20_20_-20_20_0_240_60_400:gt ['-20', '20', '-20', '20', '0']:pred [20.        8.512323 20.        9.786748 24.928679]
Hybrid_-20_20_0_0_20_240_60_450:gt ['-20', '20', '0', '0', '20']:pred [10.96007    5.7872953  0.         0.        56.956657 ]
Sedan4Door_-20_20_-20_20_0_240_20_450:gt ['-20', '20', '-20', '20', '0']:pred [20.       11.005338 20.       23.431723 34.443424]
Suv_0_20_-20_0_0_0_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 1.2778873 20.        20.938324   0.         0.       ]
Sedan2Door_-20_20_0_0_0_160_60_400:gt ['-20', '20', '0', '0', '0']:pred [32.578674 40.3923    0.        0.       50.296394]
Sedan2Door_0_20_-20_0_20_320_60_400:gt ['0', '20', '-20', '0', '20']:pred [ 4.0459385  9.852254  20.         0.        35.687614 ]
Hybrid_-20_0_-20_0_20_320_20_400:gt ['-20', '0', '-20', '0', '20']:pred [16.588585  0.       20.        0.       13.852383]
Hatchback_-20_0_-20_0_20_240_60_400:gt ['-20', '0', '-20', '0', '20']:pred [17.687193   2.8734949  3.2707524  1.1160405 55.8793   ]
Sedan2Door_-20_20_-20_20_0_0_60_400:gt ['-20', '20', '-20', '20', '0']:pred [29.71465  17.511026 20.       20.       45.732895]
Sedan4Door_-20_0_-20_0_0_320_20_400:gt ['-20', '0', '-20', '0', '0']:pred [18.179209  0.       17.633837  0.       27.186804]
Hatchback_-20_0_-20_20_20_0_20_450:gt ['-20', '0', '-20', '20', '20']:pred [ 9.438045  0.       24.408287 20.       20.      ]
Suv_-20_20_-20_0_20_320_20_450:gt ['-20', '20', '-20', '0', '20']:pred [20.215223 20.       23.49954   0.       30.168367]
Hatchback_-20_0_-20_20_20_80_60_400:gt ['-20', '0', '-20', '20', '20']:pred [32.90147   43.29      12.723552   4.8194304 27.805489 ]
Suv_-20_0_0_0_20_80_20_450:gt ['-20', '0', '0', '0', '20']:pred [18.831373  0.        0.        0.       20.      ]
Suv_-20_0_0_0_0_80_60_450:gt ['-20', '0', '0', '0', '0']:pred [19.651752  15.188781   1.7344496  3.1685054 21.307827 ]
Hybrid_0_20_0_20_20_320_60_450:gt ['0', '20', '0', '20', '20']:pred [ 2.4008775 14.728305   0.        20.        34.854324 ]
Hatchback_-20_20_0_20_0_80_20_400:gt ['-20', '20', '0', '20', '0']:pred [27.310638 20.        0.       20.        0.      ]
Suv_-20_20_0_20_0_0_20_400:gt ['-20', '20', '0', '20', '0']:pred [10.867313 20.        5.041927 20.        0.      ]
Sedan4Door_0_20_-20_0_0_0_60_450:gt ['0', '20', '-20', '0', '0']:pred [ 6.3377547 36.329586  20.326683   0.        33.405125 ]
Hybrid_-20_20_-20_20_0_240_60_450:gt ['-20', '20', '-20', '20', '0']:pred [17.67087  9.68322 20.      20.      18.25303]
Sedan4Door_0_0_-20_0_0_320_60_400:gt ['0', '0', '-20', '0', '0']:pred [ 3.824758  4.954029 21.249134  0.        8.306896]
Suv_0_0_0_20_20_80_60_450:gt ['0', '0', '0', '20', '20']:pred [ 9.332954   2.1633198  8.350144   5.4425797 56.93946  ]
Hybrid_0_20_-20_20_0_240_20_400:gt ['0', '20', '-20', '20', '0']:pred [ 0.       37.515358 20.       20.       26.592003]
Suv_0_0_-20_20_20_160_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 0.        3.105046 20.       21.159855 20.      ]
Hybrid_0_20_-20_0_0_80_60_450:gt ['0', '20', '-20', '0', '0']:pred [ 5.0662446 12.068094  20.         0.        26.191896 ]
Suv_-20_20_-20_20_20_160_20_400:gt ['-20', '20', '-20', '20', '20']:pred [20.         6.1044235 20.        24.549585  20.       ]
