hybrid_0_0_-20_40_20_80_80_450:gt ['0', '0', '-20', '40', '20']:pred [ 2.1112869  2.5594208 20.        40.        20.       ]
sedan2door_0_20_0_20_40_160_40_450:gt ['0', '20', '0', '20', '40']:pred [ 0.       19.94344   0.       20.       40.760216]
hatchback_-40_0_-20_0_20_160_20_450:gt ['-40', '0', '-20', '0', '20']:pred [40.         1.5294888 20.         1.7552696 20.       ]
hybrid_-40_40_-40_40_40_80_60_450:gt ['-40', '40', '-40', '40', '40']:pred [41.819187 40.63533  40.       40.       45.20536 ]
suv_-20_0_-40_20_0_320_60_400:gt ['-20', '0', '-40', '20', '0']:pred [20.485598   0.        41.119846  20.442049   3.3517478]
hatchback_-20_20_0_40_0_320_40_450:gt ['-20', '20', '0', '40', '0']:pred [19.476875 20.        2.66594  40.        2.488423]
hatchback_-40_0_0_40_0_160_20_400:gt ['-40', '0', '0', '40', '0']:pred [40.        2.605485  0.       48.640762  0.      ]
suv_-20_0_-40_0_40_160_20_450:gt ['-20', '0', '-40', '0', '40']:pred [20.         1.6246121 40.         1.5950222 40.       ]
sedan2door_0_40_-40_20_40_0_60_450:gt ['0', '40', '-40', '20', '40']:pred [ 1.945139 45.62677  40.       20.       41.62773 ]
sedan4door_-20_20_-20_0_20_320_60_400:gt ['-20', '20', '-20', '0', '20']:pred [19.647354 18.774614 21.177643  0.       16.72935 ]
suv_0_0_0_40_20_320_20_400:gt ['0', '0', '0', '40', '20']:pred [ 1.820151   0.         2.1279995 40.        19.112234 ]
suv_-20_20_-40_20_0_0_20_400:gt ['-20', '20', '-40', '20', '0']:pred [17.850258 20.       46.83678  20.        0.      ]
hybrid_-20_0_-40_20_20_160_20_400:gt ['-20', '0', '-40', '20', '20']:pred [20.         1.5075065 40.        20.        20.       ]
suv_0_20_0_20_0_320_40_400:gt ['0', '20', '0', '20', '0']:pred [ 1.6218673 20.         1.3007761 20.         1.3339887]
hybrid_-40_0_-20_0_20_160_40_400:gt ['-40', '0', '-20', '0', '20']:pred [40.         2.6109154 20.         0.        20.28362  ]
suv_-40_20_0_40_20_160_40_450:gt ['-40', '20', '0', '40', '20']:pred [40.       21.468386  0.       44.999264 21.544722]
sedan4door_-20_0_-20_40_0_240_20_450:gt ['-20', '0', '-20', '40', '0']:pred [20.         2.2975187 20.        41.934895   1.6221257]
suv_-40_40_-20_40_0_0_40_450:gt ['-40', '40', '-20', '40', '0']:pred [45.083294  40.        17.277529  40.         2.5318148]
sedan2door_0_20_-20_0_20_80_80_450:gt ['0', '20', '-20', '0', '20']:pred [ 2.3967376 20.893787  20.         0.        20.       ]
sedan2door_0_40_-20_40_20_80_80_450:gt ['0', '40', '-20', '40', '20']:pred [ 2.4543884 43.43601   20.        40.        20.       ]
sedan2door_-20_20_0_40_0_240_40_400:gt ['-20', '20', '0', '40', '0']:pred [20.        17.235798   0.        40.         2.3930454]
suv_0_20_0_20_40_240_20_450:gt ['0', '20', '0', '20', '40']:pred [ 0.       19.106882  0.       19.207485 41.722576]
sedan4door_-20_0_-40_20_20_160_80_400:gt ['-20', '0', '-40', '20', '20']:pred [16.738506   3.1997497 44.92221   21.351562  17.9424   ]
sedan4door_0_20_-20_0_40_0_40_450:gt ['0', '20', '-20', '0', '40']:pred [ 2.00955  20.       18.005322  0.       44.46885 ]
hatchback_-20_40_-40_0_40_80_40_450:gt ['-20', '40', '-40', '0', '40']:pred [18.301807 42.07358  40.219196  0.       40.      ]
sedan4door_-20_0_0_40_20_80_60_400:gt ['-20', '0', '0', '40', '20']:pred [20.246359   3.675356   2.8208444 45.82988   14.959516 ]
suv_-40_0_-20_40_40_320_80_400:gt ['-40', '0', '-20', '40', '40']:pred [40.212135   2.7098346 20.529299  41.41119   42.729496 ]
sedan4door_0_40_0_0_40_0_20_450:gt ['0', '40', '0', '0', '40']:pred [ 1.9244163 40.         2.2849696  0.        40.       ]
suv_-40_0_-20_20_0_80_40_450:gt ['-40', '0', '-20', '20', '0']:pred [42.203445   2.3729908 15.799298  20.         0.       ]
sedan4door_-20_0_0_0_20_320_60_450:gt ['-20', '0', '0', '0', '20']:pred [22.389841   2.4700246  1.9743571  0.        17.38848  ]
hatchback_0_0_0_0_40_320_80_400:gt ['0', '0', '0', '0', '40']:pred [ 1.6071138  2.2815027  2.5497494  3.3597302 44.954964 ]
sedan4door_0_20_-20_40_20_160_60_400:gt ['0', '20', '-20', '40', '20']:pred [ 2.906774 20.74991  20.       43.01134  18.700413]
sedan4door_-20_40_-40_20_0_0_20_400:gt ['-20', '40', '-40', '20', '0']:pred [18.072783 40.       44.883656 20.        0.      ]
suv_-20_0_-20_20_40_320_80_400:gt ['-20', '0', '-20', '20', '40']:pred [17.397284   2.7411346 18.183414  17.226185  42.643127 ]
sedan4door_-20_0_0_20_40_160_20_400:gt ['-20', '0', '0', '20', '40']:pred [20.        2.148404  0.       20.169882 40.      ]
hatchback_0_20_0_40_40_320_80_450:gt ['0', '20', '0', '40', '40']:pred [ 2.0974054 15.886459   5.177853  40.78946   43.667175 ]
sedan4door_-40_40_-40_0_0_160_20_400:gt ['-40', '40', '-40', '0', '0']:pred [40.        43.981297  40.         2.3978705  0.       ]
suv_-40_20_-20_40_0_160_60_450:gt ['-40', '20', '-20', '40', '0']:pred [42.526203  17.386803  20.        44.050674   2.7508755]
sedan2door_-40_40_-40_20_20_240_60_400:gt ['-40', '40', '-40', '20', '20']:pred [43.132874 41.91216  40.       20.       19.73746 ]
sedan4door_0_20_-20_20_40_80_20_450:gt ['0', '20', '-20', '20', '40']:pred [ 2.3593268 20.        17.8215    20.        40.       ]
suv_-40_40_0_20_20_0_60_450:gt ['-40', '40', '0', '20', '20']:pred [41.1093    42.5882     2.2487657 20.        23.050129 ]
sedan2door_-20_0_0_20_40_0_20_450:gt ['-20', '0', '0', '20', '40']:pred [15.214684  0.        0.       20.       40.      ]
sedan4door_-40_0_-40_0_0_0_80_400:gt ['-40', '0', '-40', '0', '0']:pred [39.787804   2.086987  41.770298   1.7674768  3.6731043]
hybrid_-40_40_-20_20_20_320_20_450:gt ['-40', '40', '-20', '20', '20']:pred [40.88886  40.       20.       20.       19.080996]
sedan2door_-20_0_-20_0_40_0_60_450:gt ['-20', '0', '-20', '0', '40']:pred [20.646269   3.3533835 20.         0.        41.708694 ]
suv_0_20_-40_20_40_0_80_400:gt ['0', '20', '-40', '20', '40']:pred [ 2.2579324 14.6958885 44.10163   20.232347  41.589283 ]
suv_-40_0_-40_20_40_0_80_450:gt ['-40', '0', '-40', '20', '40']:pred [39.976166   2.6209688 41.72707   21.79622   40.128494 ]
sedan2door_-40_20_-40_20_40_160_20_400:gt ['-40', '20', '-40', '20', '40']:pred [40.      17.00555 40.      20.      40.     ]
suv_-20_0_0_0_20_320_20_450:gt ['-20', '0', '0', '0', '20']:pred [17.089775   0.         2.5835147  0.        17.753006 ]
hatchback_-20_20_-20_40_0_0_20_450:gt ['-20', '20', '-20', '40', '0']:pred [16.976728 20.       21.430107 40.        0.      ]
suv_-20_0_-40_20_0_240_60_400:gt ['-20', '0', '-40', '20', '0']:pred [16.261074   2.564648  44.547333  17.458893   2.6169345]
hatchback_0_20_-20_0_40_80_20_450:gt ['0', '20', '-20', '0', '40']:pred [ 2.0549674 20.        19.237      0.        40.       ]
suv_0_0_-40_40_40_160_60_400:gt ['0', '0', '-40', '40', '40']:pred [ 3.3165777  3.4498482 40.        43.952465  45.854347 ]
sedan2door_-40_40_-20_0_40_240_20_450:gt ['-40', '40', '-20', '0', '40']:pred [40.       42.12962  20.        0.       44.660614]
sedan2door_-40_40_0_0_40_0_60_400:gt ['-40', '40', '0', '0', '40']:pred [38.79676  40.07586   0.        0.       39.123325]
hatchback_-40_20_-20_20_0_0_40_400:gt ['-40', '20', '-20', '20', '0']:pred [41.825027  20.        18.340897  20.         2.1725233]
suv_0_0_0_40_40_80_80_400:gt ['0', '0', '0', '40', '40']:pred [ 1.7882692  4.4441023  3.4612443 37.675743  40.       ]
sedan2door_-40_0_-40_20_20_160_40_400:gt ['-40', '0', '-40', '20', '20']:pred [40.         2.1340942 40.        20.        17.18229  ]
suv_0_40_0_40_20_240_80_400:gt ['0', '40', '0', '40', '20']:pred [ 2.362894  45.490433   3.1169453 42.624672  20.71285  ]
sedan2door_0_0_0_0_40_80_40_400:gt ['0', '0', '0', '0', '40']:pred [ 2.542516   2.2040174  0.         0.        40.       ]
suv_-20_0_-20_40_20_320_40_400:gt ['-20', '0', '-20', '40', '20']:pred [18.26081   0.       22.220985 40.       22.407555]
sedan2door_-20_40_-20_0_20_0_20_450:gt ['-20', '40', '-20', '0', '20']:pred [16.921385 40.       20.        0.       20.      ]
hatchback_-40_0_0_0_20_240_40_400:gt ['-40', '0', '0', '0', '20']:pred [40.         2.5167828  0.         1.8201635 15.190297 ]
hybrid_-40_40_0_20_40_0_20_450:gt ['-40', '40', '0', '20', '40']:pred [44.93639 40.       0.      20.      40.     ]
sedan4door_-20_20_-20_20_20_240_40_400:gt ['-20', '20', '-20', '20', '20']:pred [20.       17.451511 20.       17.120804 19.939875]
sedan2door_-40_0_0_0_40_160_40_400:gt ['-40', '0', '0', '0', '40']:pred [40.        2.065455  0.        0.       41.623936]
sedan4door_0_40_0_0_0_320_80_450:gt ['0', '40', '0', '0', '0']:pred [ 2.9282794 46.390575   3.1964831  1.6793993  2.178749 ]
hatchback_0_0_0_20_0_240_40_400:gt ['0', '0', '0', '20', '0']:pred [ 0.         1.9616702  0.        23.08463    1.365298 ]
hatchback_-20_0_0_40_0_320_80_450:gt ['-20', '0', '0', '40', '0']:pred [17.27951    2.3543286  2.4562879 45.541122   2.594463 ]
sedan2door_-40_20_0_0_0_240_60_450:gt ['-40', '20', '0', '0', '0']:pred [41.723816  19.386507   0.         0.         2.6286335]
sedan2door_-20_40_-40_0_20_320_80_450:gt ['-20', '40', '-40', '0', '20']:pred [19.193419 43.14357  40.        0.       21.36258 ]
sedan4door_-20_0_-40_20_20_80_20_400:gt ['-20', '0', '-40', '20', '20']:pred [16.128017  0.       41.261826 20.       20.      ]
hatchback_-20_0_-20_0_20_0_40_450:gt ['-20', '0', '-20', '0', '20']:pred [19.806192  0.       21.342415  0.       23.27742 ]
hybrid_-20_40_-40_40_20_80_20_400:gt ['-20', '40', '-40', '40', '20']:pred [17.232758 40.       40.       40.       20.      ]
hatchback_-40_0_-40_40_0_80_20_400:gt ['-40', '0', '-40', '40', '0']:pred [41.785328  0.       45.799152 40.        0.      ]
sedan4door_0_20_0_20_20_0_20_450:gt ['0', '20', '0', '20', '20']:pred [ 1.6033406 20.         1.1874273 20.        20.       ]
hybrid_-20_0_-20_40_20_160_20_450:gt ['-20', '0', '-20', '40', '20']:pred [20.         1.9741523 20.        40.        20.       ]
sedan4door_0_0_0_0_0_0_80_400:gt ['0', '0', '0', '0', '0']:pred [1.6151999 1.0542024 1.1594    1.365277  2.1679814]
sedan4door_0_0_0_20_20_80_40_400:gt ['0', '0', '0', '20', '20']:pred [ 2.1011941  1.4899068  1.2061299 20.        20.       ]
hatchback_-40_40_-40_0_40_240_80_450:gt ['-40', '40', '-40', '0', '40']:pred [39.82214   37.41761   41.35417    3.7079713 42.845623 ]
hatchback_-40_40_0_20_0_160_20_400:gt ['-40', '40', '0', '20', '0']:pred [40.       42.447533  0.       20.363573  0.      ]
sedan4door_0_0_-40_40_20_160_80_450:gt ['0', '0', '-40', '40', '20']:pred [ 3.336204   3.4150825 49.784283  42.40709   22.352077 ]
hybrid_-20_0_-20_20_20_320_40_450:gt ['-20', '0', '-20', '20', '20']:pred [18.655796  0.       20.       20.       21.870731]
sedan4door_-20_20_-20_20_40_0_60_400:gt ['-20', '20', '-20', '20', '40']:pred [19.354033 18.006207 19.75428  20.       42.301537]
sedan4door_-40_0_0_0_20_240_80_400:gt ['-40', '0', '0', '0', '20']:pred [45.680965   1.7918243  1.8461063  1.7538595 18.43095  ]
hybrid_-40_20_-40_40_40_0_20_400:gt ['-40', '20', '-40', '40', '40']:pred [42.07528 20.      40.      40.      40.     ]
hatchback_-20_40_0_20_20_80_80_450:gt ['-20', '40', '0', '20', '20']:pred [19.851622  41.746017   3.2056568 14.678466  20.       ]
hatchback_-20_20_-40_0_0_0_20_450:gt ['-20', '20', '-40', '0', '0']:pred [16.32885  20.       44.335857  0.        0.      ]
suv_-40_20_-40_20_40_80_60_450:gt ['-40', '20', '-40', '20', '40']:pred [40.565292 19.447168 40.460175 14.393909 44.685562]
hybrid_-20_20_-20_20_0_320_80_450:gt ['-20', '20', '-20', '20', '0']:pred [20.237488 17.853464 20.       20.        2.614361]
hatchback_0_0_0_40_0_160_80_450:gt ['0', '0', '0', '40', '0']:pred [ 1.8839608  3.628685   3.7178607 43.323124   2.2620506]
sedan4door_0_20_0_40_40_80_40_450:gt ['0', '20', '0', '40', '40']:pred [ 2.642961  18.320028   2.0096912 40.        40.       ]
suv_-40_0_-20_40_0_240_40_450:gt ['-40', '0', '-20', '40', '0']:pred [40.         4.580162  20.        44.267864   1.8167919]
suv_-40_20_-40_20_20_240_20_450:gt ['-40', '20', '-40', '20', '20']:pred [40.       14.583108 40.       24.229254 23.246702]
sedan4door_-20_40_-40_20_40_80_40_400:gt ['-20', '40', '-40', '20', '40']:pred [18.412619 41.80686  43.91947  20.       40.      ]
sedan4door_0_0_-20_20_40_320_20_400:gt ['0', '0', '-20', '20', '40']:pred [ 2.5156803  0.        19.958534  20.        44.638306 ]
hybrid_0_20_-40_40_40_240_40_450:gt ['0', '20', '-40', '40', '40']:pred [ 0.       18.328333 40.       40.       42.509052]
sedan4door_-20_40_0_0_20_160_80_450:gt ['-20', '40', '0', '0', '20']:pred [15.976692  44.258633   3.504134   3.0677905 17.364908 ]
suv_-20_0_-40_20_40_320_40_450:gt ['-20', '0', '-40', '20', '40']:pred [19.161076  0.       41.79584  20.       42.4998  ]
sedan2door_0_20_-40_40_0_160_40_450:gt ['0', '20', '-40', '40', '0']:pred [ 0.        19.15362   40.        40.         1.5535696]
hybrid_-40_40_-20_40_40_0_60_400:gt ['-40', '40', '-20', '40', '40']:pred [37.09596  40.369675 20.       40.       41.733723]
suv_0_20_-40_0_20_80_60_450:gt ['0', '20', '-40', '0', '20']:pred [ 2.752631  20.93179   44.61966    2.4379454 21.808168 ]
sedan4door_0_40_-20_0_0_80_40_450:gt ['0', '40', '-20', '0', '0']:pred [ 1.9315867 46.20861   20.013094   0.         0.       ]
sedan2door_-40_20_0_20_0_240_80_450:gt ['-40', '20', '0', '20', '0']:pred [41.812225  20.543144   0.        20.         2.6333838]
sedan2door_-40_20_0_20_40_240_20_450:gt ['-40', '20', '0', '20', '40']:pred [40.       21.305786  0.       20.       44.48188 ]
sedan2door_-20_40_0_0_0_160_80_400:gt ['-20', '40', '0', '0', '0']:pred [18.026865 42.836445  0.        0.        2.106102]
hatchback_0_20_-20_20_20_80_60_450:gt ['0', '20', '-20', '20', '20']:pred [ 3.1334288 21.410028  23.801641  17.53448   21.911388 ]
hatchback_-40_40_-40_20_20_80_80_450:gt ['-40', '40', '-40', '20', '20']:pred [41.754005 41.181606 41.443398 17.50404  20.      ]
suv_-20_20_-20_40_40_240_80_450:gt ['-20', '20', '-20', '40', '40']:pred [13.304722 19.984568 17.833405 37.15902  40.137794]
sedan4door_0_0_-20_0_40_240_60_450:gt ['0', '0', '-20', '0', '40']:pred [ 5.0878363  2.7345934 15.792994   1.229549  47.66345  ]
hybrid_-40_20_-40_0_0_160_60_400:gt ['-40', '20', '-40', '0', '0']:pred [46.30034   17.912136  40.         0.         2.2926507]
sedan4door_0_0_0_20_40_0_40_450:gt ['0', '0', '0', '20', '40']:pred [ 2.1012402  0.         3.5147908 20.        45.639168 ]
sedan2door_-40_40_-40_20_20_0_80_450:gt ['-40', '40', '-40', '20', '20']:pred [40.724174 40.917557 40.       20.       18.660048]
sedan4door_0_40_-20_20_40_240_40_450:gt ['0', '40', '-20', '20', '40']:pred [ 0.       39.466244 20.       16.335152 41.32902 ]
sedan2door_-40_40_-40_0_0_240_80_450:gt ['-40', '40', '-40', '0', '0']:pred [41.9502    45.206497  40.         0.         3.1279776]
hatchback_0_40_0_40_0_240_80_450:gt ['0', '40', '0', '40', '0']:pred [ 3.2208083 43.41087    3.1066327 42.94479    2.7257366]
hybrid_-20_20_-40_40_0_240_20_450:gt ['-20', '20', '-40', '40', '0']:pred [20.        20.617073  40.        40.         1.8750007]
sedan4door_-20_40_0_0_0_160_60_450:gt ['-20', '40', '0', '0', '0']:pred [21.032007  43.20664    0.         1.7250262  2.1848962]
sedan2door_0_20_0_20_0_320_80_450:gt ['0', '20', '0', '20', '0']:pred [ 2.8075426 20.88079    0.        20.         1.7146081]
sedan4door_0_40_0_40_20_0_60_400:gt ['0', '40', '0', '40', '20']:pred [ 2.6173694 45.923687   3.2214057 40.        22.279158 ]
hybrid_-40_0_-40_40_0_320_20_450:gt ['-40', '0', '-40', '40', '0']:pred [44.52244   0.       40.       40.        2.957523]
sedan2door_-20_0_-40_0_0_240_60_400:gt ['-20', '0', '-40', '0', '0']:pred [19.975986   2.399443  40.         0.         1.8556038]
hatchback_-20_20_-20_40_40_160_60_450:gt ['-20', '20', '-20', '40', '40']:pred [16.873331 18.538874 20.       41.266605 41.525597]
sedan4door_-20_0_-40_40_40_160_40_450:gt ['-20', '0', '-40', '40', '40']:pred [20.         2.4189308 40.        40.320198  43.474163 ]
hatchback_0_40_-40_20_20_80_20_400:gt ['0', '40', '-40', '20', '20']:pred [ 2.9982169 40.        43.910084  20.        20.       ]
sedan2door_0_20_-40_40_40_160_20_450:gt ['0', '20', '-40', '40', '40']:pred [ 0.       18.732914 40.       40.       40.      ]
hatchback_-20_20_-20_40_0_160_80_450:gt ['-20', '20', '-20', '40', '0']:pred [18.646334  17.56148   21.814785  42.55499    3.1366372]
sedan4door_0_20_-40_0_20_160_60_450:gt ['0', '20', '-40', '0', '20']:pred [ 2.5700665 20.014477  40.         1.8816112 22.801653 ]
sedan4door_-40_0_-20_40_20_0_80_400:gt ['-40', '0', '-20', '40', '20']:pred [41.734497  3.458909 17.215206 44.323853 22.142435]
hybrid_0_40_0_40_40_240_80_400:gt ['0', '40', '0', '40', '40']:pred [ 2.205276 41.25747   0.       40.       42.463596]
hybrid_-40_20_-40_20_0_240_60_450:gt ['-40', '20', '-40', '20', '0']:pred [40.224644  19.415907  40.        20.         3.4836981]
hatchback_0_20_-20_20_40_80_40_450:gt ['0', '20', '-20', '20', '40']:pred [ 2.2721014 21.92096   21.709948  20.        40.       ]
suv_-40_0_0_0_0_160_20_400:gt ['-40', '0', '0', '0', '0']:pred [40.         2.3708706  0.         2.6097903  0.       ]
sedan2door_0_20_-40_20_40_160_60_400:gt ['0', '20', '-40', '20', '40']:pred [ 3.087083 16.95523  40.       20.       41.93347 ]
hatchback_0_40_-20_0_20_0_20_400:gt ['0', '40', '-20', '0', '20']:pred [ 1.643913 40.       18.022514  0.       20.      ]
hybrid_-40_20_-40_20_0_0_60_400:gt ['-40', '20', '-40', '20', '0']:pred [39.922806 19.484045 40.       20.        1.998311]
sedan2door_-40_0_-20_40_40_240_40_450:gt ['-40', '0', '-20', '40', '40']:pred [40.         3.0832567 20.        40.        44.986816 ]
suv_-40_0_-20_40_20_240_20_400:gt ['-40', '0', '-20', '40', '20']:pred [40.         4.5438027 20.        44.879753  18.360666 ]
hatchback_-20_40_0_20_0_80_40_450:gt ['-20', '40', '0', '20', '0']:pred [20.399788  43.564007   2.1922386 20.         0.       ]
hatchback_0_40_-20_0_0_0_80_400:gt ['0', '40', '-20', '0', '0']:pred [ 2.7035596 43.74812   19.560745   0.         3.08654  ]
hybrid_-40_20_-40_40_40_240_60_400:gt ['-40', '20', '-40', '40', '40']:pred [42.46062 17.53304 40.      40.      40.2979 ]
hybrid_-40_20_-20_40_20_160_60_450:gt ['-40', '20', '-20', '40', '20']:pred [42.212135 19.822737 20.       40.       18.97858 ]
suv_-40_0_-20_40_0_0_80_450:gt ['-40', '0', '-20', '40', '0']:pred [42.19866    4.831882  20.033173  46.39759    2.5797472]
hybrid_-20_0_-40_20_0_160_80_450:gt ['-20', '0', '-40', '20', '0']:pred [22.796986   3.1831598 40.        20.         1.4985766]
hybrid_0_0_0_40_0_240_60_450:gt ['0', '0', '0', '40', '0']:pred [ 0.         1.9593685  0.        40.         1.3991275]
sedan4door_0_0_-20_0_0_0_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 1.5637839  0.        18.78748    0.         0.       ]
hybrid_-20_20_-40_0_0_0_20_450:gt ['-20', '20', '-40', '0', '0']:pred [19.051298 20.       40.        0.        0.      ]
sedan4door_-40_20_-40_40_40_160_80_450:gt ['-40', '20', '-40', '40', '40']:pred [38.516304 18.322952 44.378822 43.85371  40.043533]
hatchback_-40_20_0_20_0_160_80_450:gt ['-40', '20', '0', '20', '0']:pred [41.69401  18.77598   7.255601 15.690973  3.334249]
sedan4door_-20_20_-20_40_20_0_20_400:gt ['-20', '20', '-20', '40', '20']:pred [18.28152  20.       20.935734 40.       20.      ]
sedan2door_-40_0_0_40_40_0_40_450:gt ['-40', '0', '0', '40', '40']:pred [41.127262  0.        0.       40.       40.424343]
hybrid_-40_0_-20_40_40_160_20_400:gt ['-40', '0', '-20', '40', '40']:pred [40.         2.2956753 20.        40.        40.       ]
sedan4door_-20_40_0_40_0_160_20_450:gt ['-20', '40', '0', '40', '0']:pred [20.       42.305664  0.       42.194424  0.      ]
sedan2door_-40_0_-20_0_0_320_40_450:gt ['-40', '0', '-20', '0', '0']:pred [44.34909    0.        20.         0.         1.6797967]
sedan4door_-40_20_-20_40_20_0_20_400:gt ['-40', '20', '-20', '40', '20']:pred [41.07071  20.       19.296795 40.       20.      ]
sedan2door_-20_40_0_40_40_320_20_450:gt ['-20', '40', '0', '40', '40']:pred [16.539885 40.        0.       40.       42.743256]
sedan2door_-20_40_0_20_40_320_60_400:gt ['-20', '40', '0', '20', '40']:pred [20.500647 40.28615   0.       20.       41.66573 ]
sedan4door_0_0_-20_20_20_80_60_400:gt ['0', '0', '-20', '20', '20']:pred [ 2.531609   2.1733408 14.734758  17.895311  20.0365   ]
hybrid_-40_40_0_20_40_320_60_400:gt ['-40', '40', '0', '20', '40']:pred [41.722473 40.417263  0.       20.       42.54951 ]
suv_0_0_-40_40_20_160_60_400:gt ['0', '0', '-40', '40', '20']:pred [ 3.0725005  3.1818478 40.        44.549316  21.590075 ]
sedan2door_-40_20_-40_0_0_240_40_400:gt ['-40', '20', '-40', '0', '0']:pred [40.        17.791063  40.         0.         2.4381914]
sedan4door_0_0_0_40_40_80_40_450:gt ['0', '0', '0', '40', '40']:pred [ 2.8578339  3.6128242  1.765546  40.        40.       ]
hybrid_-40_0_0_40_20_160_80_400:gt ['-40', '0', '0', '40', '20']:pred [44.30972    3.4439306  0.        40.        18.712833 ]
hybrid_-20_20_-40_40_40_320_40_400:gt ['-20', '20', '-40', '40', '40']:pred [16.99858  20.       40.       40.       41.064518]
hybrid_-40_20_-40_20_20_0_40_450:gt ['-40', '20', '-40', '20', '20']:pred [41.572365 20.       40.       20.       22.267693]
suv_-20_20_-20_20_20_160_80_400:gt ['-20', '20', '-20', '20', '20']:pred [18.914722 18.683004 21.281208 18.233316 22.184479]
sedan2door_0_0_0_20_40_80_80_400:gt ['0', '0', '0', '20', '40']:pred [ 1.7888741  1.8491172  0.        20.        40.       ]
sedan2door_-20_0_-40_40_0_80_20_450:gt ['-20', '0', '-40', '40', '0']:pred [18.071667  0.       40.       40.        0.      ]
sedan4door_-40_0_-20_20_0_0_80_400:gt ['-40', '0', '-20', '20', '0']:pred [40.885696   1.7438437 21.04427   16.85539    2.8262331]
hatchback_0_20_-20_20_20_240_20_450:gt ['0', '20', '-20', '20', '20']:pred [ 0.       16.341606 20.       19.076122 22.662754]
sedan4door_-40_20_-40_0_20_80_20_400:gt ['-40', '20', '-40', '0', '20']:pred [41.26596  20.       43.412796  0.       20.      ]
hatchback_-20_0_-40_0_20_320_40_400:gt ['-20', '0', '-40', '0', '20']:pred [19.569597  0.       43.368996  0.       21.3079  ]
sedan4door_-40_20_-20_20_20_160_40_450:gt ['-40', '20', '-20', '20', '20']:pred [40.       23.972382 20.       18.396015 18.491648]
sedan4door_0_0_-20_20_0_320_80_450:gt ['0', '0', '-20', '20', '0']:pred [ 2.6314313  2.7153735 18.385931  16.292284   2.5804353]
sedan2door_0_20_-20_20_20_160_20_450:gt ['0', '20', '-20', '20', '20']:pred [ 0.       20.372171 20.       20.       20.      ]
sedan2door_-40_20_-20_0_40_240_40_400:gt ['-40', '20', '-20', '0', '40']:pred [40.       17.881197 20.        0.       40.902546]
sedan2door_-20_20_-40_0_40_0_20_400:gt ['-20', '20', '-40', '0', '40']:pred [17.297329 20.       40.        0.       40.      ]
sedan2door_-20_0_-20_40_20_80_20_450:gt ['-20', '0', '-20', '40', '20']:pred [17.426916  0.       20.       40.       20.      ]
suv_-40_40_0_20_0_240_20_450:gt ['-40', '40', '0', '20', '0']:pred [40.        43.395554   0.        17.742617   1.9420366]
hatchback_-40_20_-40_0_40_320_20_450:gt ['-40', '20', '-40', '0', '40']:pred [40.090122 20.       42.37946   0.       42.870735]
sedan4door_-40_0_-20_40_40_80_80_400:gt ['-40', '0', '-20', '40', '40']:pred [42.227104  4.421746 19.419838 43.296303 40.      ]
sedan2door_-40_40_-20_40_40_80_60_450:gt ['-40', '40', '-20', '40', '40']:pred [43.91785  35.99665  20.       40.       43.555115]
