sedan4door_-30_15_-4_48_46_230_70_420:gt ['-30', '15', '-4', '48', '46']:pred [26.375069 15.676088 20.162632 40.890896  9.895099]
suv_-50_23_-22_48_15_50_30_420:gt ['-50', '23', '-22', '48', '15']:pred [42.412968 23.       20.368025 48.       15.      ]
hatchback_-50_45_-4_10_28_20_30_420:gt ['-50', '45', '-4', '10', '28']:pred [35.51897  45.       10.248321 10.       15.058165]
hatchback_-30_15_-22_10_28_20_70_420:gt ['-30', '15', '-22', '10', '28']:pred [18.622007  5.565009 33.29945  26.724737 27.048475]
hybrid_-50_15_-4_48_46_230_70_420:gt ['-50', '15', '-4', '48', '46']:pred [35.39122  15.229556  4.       48.       17.390724]
hatchback_-50_23_-36_35_46_140_70_420:gt ['-50', '23', '-36', '35', '46']:pred [32.708176 16.814024 36.       28.938648 41.745182]
hybrid_-17_45_-36_10_28_50_30_420:gt ['-17', '45', '-36', '10', '28']:pred [18.75124 45.      36.      10.      28.     ]
hybrid_-30_15_-22_48_28_140_70_420:gt ['-30', '15', '-22', '48', '28']:pred [19.83855   6.961536 22.       48.        9.602193]
hybrid_-17_45_-22_48_28_20_30_420:gt ['-17', '45', '-22', '48', '28']:pred [ 6.257116  45.        22.        48.        13.9296465]
sedan4door_-30_15_-36_10_46_20_70_420:gt ['-30', '15', '-36', '10', '46']:pred [27.69458   7.667239 25.868464 24.936462 12.888445]
hybrid_-30_23_-22_48_46_140_30_420:gt ['-30', '23', '-22', '48', '46']:pred [30.        8.869575 22.       48.       46.      ]
sedan2door_-30_23_-36_10_46_230_30_420:gt ['-30', '23', '-36', '10', '46']:pred [30.       15.092241 36.       10.       26.935465]
suv_-50_15_-4_48_15_20_30_420:gt ['-50', '15', '-4', '48', '15']:pred [27.0865   15.        7.689278 48.       12.51959 ]
hatchback_-17_15_-4_10_15_230_70_420:gt ['-17', '15', '-4', '10', '15']:pred [11.068189  11.325609  15.281316  14.606779   4.3242145]
hatchback_-50_15_-22_35_46_50_30_420:gt ['-50', '15', '-22', '35', '46']:pred [35.071247 15.       28.61575  35.       46.      ]
sedan2door_-50_15_-22_10_15_20_30_420:gt ['-50', '15', '-22', '10', '15']:pred [29.285149  15.        22.        10.         2.3427346]
sedan4door_-17_15_-22_48_46_230_30_420:gt ['-17', '15', '-22', '48', '46']:pred [17.       10.274299 22.       44.513336 37.002934]
hatchback_-30_15_-36_35_28_50_70_420:gt ['-30', '15', '-36', '35', '28']:pred [23.620325 16.976194 36.001404 32.317318 16.10434 ]
hybrid_-30_45_-36_35_15_50_30_420:gt ['-30', '45', '-36', '35', '15']:pred [45.523697 45.       36.       35.       15.      ]
sedan4door_-17_15_-22_10_15_50_30_420:gt ['-17', '15', '-22', '10', '15']:pred [13.070879 15.       33.928024 10.       15.      ]
sedan4door_-30_15_-4_48_28_50_30_420:gt ['-30', '15', '-4', '48', '28']:pred [39.171223 15.        5.676105 48.       28.      ]
sedan2door_-50_23_-36_10_46_230_70_420:gt ['-50', '23', '-36', '10', '46']:pred [24.496798 22.571922 36.       10.        7.832551]
sedan2door_-50_15_-36_10_46_230_70_420:gt ['-50', '15', '-36', '10', '46']:pred [20.6647   12.296826 36.       10.        8.194738]
sedan4door_-30_15_-36_10_46_50_70_420:gt ['-30', '15', '-36', '10', '46']:pred [25.33061   6.976661 27.614086 10.       18.046019]
suv_-17_23_-4_35_28_20_70_420:gt ['-17', '23', '-4', '35', '28']:pred [17.033155  9.902257  5.809987 35.       28.124989]
hybrid_-30_15_-4_35_28_50_30_420:gt ['-30', '15', '-4', '35', '28']:pred [43.528152 15.        4.       35.       28.      ]
hybrid_-17_23_-36_10_15_140_30_420:gt ['-17', '23', '-36', '10', '15']:pred [17.       10.091472 36.       10.       15.      ]
hatchback_-17_23_-36_10_15_50_30_420:gt ['-17', '23', '-36', '10', '15']:pred [18.920862 23.       42.81964  10.       15.      ]
sedan4door_-50_45_-22_48_46_140_70_420:gt ['-50', '45', '-22', '48', '46']:pred [37.094406 40.93197  17.864807 42.19451  20.937368]
hybrid_-50_45_-36_10_15_230_70_420:gt ['-50', '45', '-36', '10', '15']:pred [33.10924  38.455807 36.       10.        3.043638]
sedan4door_-50_45_-22_48_28_140_70_420:gt ['-50', '45', '-22', '48', '28']:pred [40.130188 38.517254 18.661598 38.891247 11.094567]
hybrid_-17_45_-4_35_46_20_70_420:gt ['-17', '45', '-4', '35', '46']:pred [11.301182 24.376644  4.       35.       36.460735]
hybrid_-50_15_-22_10_46_140_30_420:gt ['-50', '15', '-22', '10', '46']:pred [50.         5.2831116 22.        10.        46.       ]
hatchback_-17_45_-4_10_46_20_70_420:gt ['-17', '45', '-4', '10', '46']:pred [16.699343 22.11784  16.469912 27.175026 39.431934]
sedan4door_-50_15_-4_35_15_140_30_420:gt ['-50', '15', '-4', '35', '15']:pred [50.       12.728194  4.       35.4147   15.      ]
sedan4door_-17_23_-4_48_46_50_70_420:gt ['-17', '23', '-4', '48', '46']:pred [23.818636  28.950825   3.3785625 48.        12.496899 ]
sedan2door_-30_45_-4_35_46_230_30_420:gt ['-30', '45', '-4', '35', '46']:pred [30.       35.115047  4.       35.       26.421385]
hybrid_-50_45_-22_48_15_50_70_420:gt ['-50', '45', '-22', '48', '15']:pred [47.871326 33.23937   6.957038 48.       12.351211]
sedan4door_-50_45_-36_48_15_20_70_420:gt ['-50', '45', '-36', '48', '15']:pred [31.526875  37.580967  34.823193  42.799652   6.4248705]
suv_-30_15_-36_48_15_230_70_420:gt ['-30', '15', '-36', '48', '15']:pred [24.764997  12.125224  33.78733   30.1707     2.1406536]
sedan2door_-50_45_-4_10_28_20_30_420:gt ['-50', '45', '-4', '10', '28']:pred [33.111904 45.        4.       10.        8.502382]
suv_-17_15_-22_48_28_230_70_420:gt ['-17', '15', '-22', '48', '28']:pred [10.12841   11.499056  25.606112  30.505772   7.8164043]
sedan2door_-50_23_-4_10_15_230_30_420:gt ['-50', '23', '-4', '10', '15']:pred [50.        10.830473   4.        10.         7.3202505]
hatchback_-30_45_-4_48_28_20_70_420:gt ['-30', '45', '-4', '48', '28']:pred [31.964325 32.12861  18.159813 38.94367  22.839409]
hybrid_-17_15_-4_35_28_140_70_420:gt ['-17', '15', '-4', '35', '28']:pred [10.934818  4.890941  4.       35.        9.630754]
hatchback_-17_23_-36_10_46_140_70_420:gt ['-17', '23', '-36', '10', '46']:pred [14.718312 13.428912 36.       11.747128 34.951324]
suv_-30_15_-22_10_28_50_70_420:gt ['-30', '15', '-22', '10', '28']:pred [29.318216 11.06659  16.286102 10.       13.303189]
suv_-50_23_-4_10_46_140_70_420:gt ['-50', '23', '-4', '10', '46']:pred [30.441628 16.801529  4.       13.465031 29.034492]
sedan2door_-17_15_-4_35_28_20_30_420:gt ['-17', '15', '-4', '35', '28']:pred [19.973186 15.        4.       35.       11.742958]
hybrid_-50_23_-22_35_46_230_70_420:gt ['-50', '23', '-22', '35', '46']:pred [35.918865 20.360367 22.       35.       20.93785 ]
hybrid_-17_45_-4_10_46_20_70_420:gt ['-17', '45', '-4', '10', '46']:pred [11.777447 24.087208  4.       10.       37.55101 ]
suv_-30_23_-4_35_15_140_30_420:gt ['-30', '23', '-4', '35', '15']:pred [30.       10.290843  4.       43.717445 15.      ]
hybrid_-30_23_-4_48_28_50_70_420:gt ['-30', '23', '-4', '48', '28']:pred [34.35918  28.372648  4.       48.       20.926716]
sedan2door_-30_15_-4_35_15_50_70_420:gt ['-30', '15', '-4', '35', '15']:pred [38.19649   8.75495   4.       35.       19.590849]
hatchback_-17_45_-22_10_15_50_30_420:gt ['-17', '45', '-22', '10', '15']:pred [14.650757 45.       35.139896 10.       15.      ]
suv_-17_23_-4_48_15_20_70_420:gt ['-17', '23', '-4', '48', '15']:pred [16.697887  10.186406   6.6362963 36.582603  13.823818 ]
hybrid_-50_45_-4_48_28_140_70_420:gt ['-50', '45', '-4', '48', '28']:pred [40.454063 39.2856    4.       48.        8.68388 ]
suv_-17_15_-22_35_28_50_30_420:gt ['-17', '15', '-22', '35', '28']:pred [16.061104 15.       30.969444 35.       28.      ]
sedan2door_-30_45_-4_10_28_20_70_420:gt ['-30', '45', '-4', '10', '28']:pred [37.09388  33.396507  4.       10.        9.31125 ]
sedan2door_-50_45_-22_48_28_50_70_420:gt ['-50', '45', '-22', '48', '28']:pred [44.58602  43.265476 21.611097 48.       15.151683]
hatchback_-30_23_-36_48_28_50_30_420:gt ['-30', '23', '-36', '48', '28']:pred [30.294842 23.       43.105633 48.       28.      ]
sedan2door_-30_45_-36_10_15_140_30_420:gt ['-30', '45', '-36', '10', '15']:pred [30.       34.582043 36.       10.       15.      ]
suv_-17_23_-22_10_46_20_30_420:gt ['-17', '23', '-22', '10', '46']:pred [14.502736 23.       19.2561   10.       26.38877 ]
hatchback_-50_15_-36_10_46_230_70_420:gt ['-50', '15', '-36', '10', '46']:pred [39.61979  17.778862 39.071774 16.332277 22.575773]
sedan4door_-17_23_-4_35_28_20_30_420:gt ['-17', '23', '-4', '35', '28']:pred [14.836405  23.         1.3480558 35.        12.9832   ]
hybrid_-17_15_-22_48_15_50_70_420:gt ['-17', '15', '-22', '48', '15']:pred [21.11038    6.5010023 22.        48.         6.3034844]
sedan2door_-17_23_-22_10_28_230_70_420:gt ['-17', '23', '-22', '10', '28']:pred [ 5.39749   18.96319   22.        10.         5.6821165]
suv_-50_45_-22_48_15_50_70_420:gt ['-50', '45', '-22', '48', '15']:pred [39.546192 39.72218  23.690552 33.787796  8.369253]
sedan2door_-30_45_-22_35_15_50_30_420:gt ['-30', '45', '-22', '35', '15']:pred [43.16883 45.      22.      35.      15.     ]
hybrid_-30_15_-36_35_15_20_30_420:gt ['-30', '15', '-36', '35', '15']:pred [27.886547  15.        36.        35.         4.3874803]
sedan4door_-50_15_-22_35_28_20_70_420:gt ['-50', '15', '-22', '35', '28']:pred [31.832825  9.838601 23.054272 35.       10.154782]
hybrid_-50_45_-22_35_28_20_70_420:gt ['-50', '45', '-22', '35', '28']:pred [38.51713  24.793125 22.       35.       16.603977]
sedan4door_-17_23_-22_10_46_140_70_420:gt ['-17', '23', '-22', '10', '46']:pred [ 8.800601  15.0504055 22.        15.94025   23.297487 ]
sedan2door_-30_15_-4_10_46_50_70_420:gt ['-30', '15', '-4', '10', '46']:pred [33.46707   8.275579  4.       10.       23.888414]
hatchback_-17_15_-22_10_46_140_30_420:gt ['-17', '15', '-22', '10', '46']:pred [17.        4.382439 22.       13.910112 46.      ]
hybrid_-17_45_-4_35_46_50_70_420:gt ['-17', '45', '-4', '35', '46']:pred [19.896225 44.13113   4.       35.       33.110786]
hatchback_-17_23_-36_10_15_140_30_420:gt ['-17', '23', '-36', '10', '15']:pred [17.        7.844122 36.        6.988809 15.      ]
sedan2door_-30_23_-22_10_46_20_70_420:gt ['-30', '23', '-22', '10', '46']:pred [32.41439   9.68693  22.       10.       14.149318]
hybrid_-30_45_-22_35_28_50_30_420:gt ['-30', '45', '-22', '35', '28']:pred [43.05301 45.      22.      35.      28.     ]
sedan2door_-30_45_-4_10_28_140_30_420:gt ['-30', '45', '-4', '10', '28']:pred [30.      35.54253  4.      10.      28.     ]
suv_-17_23_-4_10_15_230_70_420:gt ['-17', '23', '-4', '10', '15']:pred [ 6.084475 14.738466 14.155042 10.5596    3.673837]
hybrid_-17_45_-4_48_46_50_30_420:gt ['-17', '45', '-4', '48', '46']:pred [16.074799 45.        4.       48.       46.      ]
hatchback_-30_23_-22_48_15_230_30_420:gt ['-30', '23', '-22', '48', '15']:pred [30.         7.455418  22.        40.0245     7.4311438]
hatchback_-30_15_-4_35_28_50_30_420:gt ['-30', '15', '-4', '35', '28']:pred [31.788773  15.         6.1789403 35.        28.       ]
suv_-30_45_-36_48_28_230_30_420:gt ['-30', '45', '-36', '48', '28']:pred [30.       35.665344 36.       46.89757  11.166896]
hybrid_-50_15_-22_10_28_50_30_420:gt ['-50', '15', '-22', '10', '28']:pred [47.136646 15.       22.       10.       28.      ]
hybrid_-50_45_-22_48_28_20_70_420:gt ['-50', '45', '-22', '48', '28']:pred [38.657494 24.98015  22.       48.       16.49853 ]
sedan2door_-17_45_-4_48_46_230_70_420:gt ['-17', '45', '-4', '48', '46']:pred [ 6.3315544 33.55009    4.        48.         8.166567 ]
suv_-30_45_-36_35_28_140_30_420:gt ['-30', '45', '-36', '35', '28']:pred [30.       26.400948 36.       44.085384 28.      ]
suv_-50_45_-22_48_46_230_30_420:gt ['-50', '45', '-22', '48', '46']:pred [50.       35.758263 22.       45.378307 39.876534]
hatchback_-17_23_-22_48_46_230_70_420:gt ['-17', '23', '-22', '48', '46']:pred [12.346204 26.3045   29.070599 44.982727 26.083563]
sedan2door_-30_15_-4_10_28_20_70_420:gt ['-30', '15', '-4', '10', '28']:pred [33.82285    4.4740715  4.        10.        10.068489 ]
suv_-17_23_-22_10_46_50_30_420:gt ['-17', '23', '-22', '10', '46']:pred [18.685152 23.       30.938913 10.       46.      ]
hatchback_-50_15_-36_10_28_230_30_420:gt ['-50', '15', '-36', '10', '28']:pred [50.         2.2163556 36.         4.105343  12.284699 ]
sedan2door_-50_45_-22_48_28_140_30_420:gt ['-50', '45', '-22', '48', '28']:pred [50.       35.685905 22.       48.       28.      ]
hatchback_-50_23_-4_10_15_50_70_420:gt ['-50', '23', '-4', '10', '15']:pred [37.853683 27.015823 16.31467  14.651241  6.129178]
hatchback_-17_23_-36_35_15_20_70_420:gt ['-17', '23', '-36', '35', '15']:pred [ 8.82489  12.916701 39.645412 17.711948 17.845448]
hatchback_-30_15_-4_10_46_20_30_420:gt ['-30', '15', '-4', '10', '46']:pred [25.517714 15.       15.832824 10.       16.078062]
hatchback_-17_15_-22_10_15_230_30_420:gt ['-17', '15', '-22', '10', '15']:pred [17.         2.1540306 22.         3.0179553  4.010714 ]
suv_-17_15_-22_48_46_140_70_420:gt ['-17', '15', '-22', '48', '46']:pred [12.850277  9.068484 22.       32.744713 22.303616]
sedan4door_-17_15_-4_35_15_50_30_420:gt ['-17', '15', '-4', '35', '15']:pred [14.33529  15.        9.198733 35.       15.      ]
sedan2door_-17_23_-22_48_46_230_70_420:gt ['-17', '23', '-22', '48', '46']:pred [ 5.1535163 17.026821  22.        48.        12.586129 ]
suv_-50_23_-36_10_15_50_70_420:gt ['-50', '23', '-36', '10', '15']:pred [34.384045 31.768166 35.741047 17.551638 12.091721]
hybrid_-30_15_-36_48_15_20_70_420:gt ['-30', '15', '-36', '48', '15']:pred [18.535126   3.883617  36.        48.         5.9306173]
suv_-17_15_-36_48_15_50_70_420:gt ['-17', '15', '-36', '48', '15']:pred [ 9.18509  15.482211 27.746786 48.        6.551556]
sedan4door_-17_15_-4_10_15_50_30_420:gt ['-17', '15', '-4', '10', '15']:pred [14.005348 15.       10.268225 10.       15.      ]
suv_-50_15_-36_10_46_140_70_420:gt ['-50', '15', '-36', '10', '46']:pred [30.777786  8.365199 36.       11.777309 30.410141]
sedan4door_-30_23_-4_48_15_230_70_420:gt ['-30', '23', '-4', '48', '15']:pred [26.71488   27.065674  20.699226  45.48503    2.9882355]
suv_-30_45_-4_35_28_20_30_420:gt ['-30', '45', '-4', '35', '28']:pred [36.036858  45.         3.5519252 35.        22.042513 ]
sedan4door_-50_23_-36_10_15_50_30_420:gt ['-50', '23', '-36', '10', '15']:pred [40.31717 23.      44.12874 10.      15.     ]
suv_-50_15_-36_48_46_50_70_420:gt ['-50', '15', '-36', '48', '46']:pred [33.06811  20.684168 35.69794  33.625237 33.647038]
hatchback_-50_45_-22_10_15_140_70_420:gt ['-50', '45', '-22', '10', '15']:pred [43.506905 36.80394  22.       15.459147  9.85032 ]
suv_-50_15_-36_35_28_230_30_420:gt ['-50', '15', '-36', '35', '28']:pred [50.         7.5054646 36.        36.801247   8.363184 ]
hatchback_-17_15_-22_48_46_20_30_420:gt ['-17', '15', '-22', '48', '46']:pred [13.779829 15.       27.373444 48.       20.936108]
hatchback_-50_15_-4_48_15_50_70_420:gt ['-50', '15', '-4', '48', '15']:pred [42.14409   16.241259  19.057299  28.870344   5.6439576]
sedan4door_-30_23_-22_48_15_50_30_420:gt ['-30', '23', '-22', '48', '15']:pred [34.521267 23.       34.130775 48.       15.      ]
sedan4door_-50_23_-22_35_15_20_30_420:gt ['-50', '23', '-22', '35', '15']:pred [35.861088 23.       36.826614 35.       13.256763]
suv_-17_45_-36_10_28_140_70_420:gt ['-17', '45', '-36', '10', '28']:pred [19.385866 37.409477 36.       10.592156 14.643538]
sedan4door_-30_23_-22_35_28_140_30_420:gt ['-30', '23', '-22', '35', '28']:pred [30.       12.786276 22.       35.0836   28.      ]
sedan4door_-30_45_-36_10_28_230_70_420:gt ['-30', '45', '-36', '10', '28']:pred [25.098625  38.806366  46.36271   11.759131   6.3005285]
hybrid_-50_23_-36_10_28_230_30_420:gt ['-50', '23', '-36', '10', '28']:pred [50.        5.026986 36.       10.       13.58418 ]
hatchback_-50_23_-22_48_28_230_70_420:gt ['-50', '23', '-22', '48', '28']:pred [38.72222  26.225864 28.63861  38.906345 10.660881]
hatchback_-17_15_-36_10_15_20_70_420:gt ['-17', '15', '-36', '10', '15']:pred [ 6.3912544  3.1831164 34.68056   10.        17.66404  ]
sedan2door_-17_15_-4_10_15_140_70_420:gt ['-17', '15', '-4', '10', '15']:pred [ 7.567234  6.388849  4.       10.        8.03988 ]
hybrid_-30_15_-4_35_46_140_70_420:gt ['-30', '15', '-4', '35', '46']:pred [17.561031  8.401996  4.       35.       26.933743]
sedan2door_-50_45_-4_35_15_230_30_420:gt ['-50', '45', '-4', '35', '15']:pred [50.       32.11147   4.       35.        7.644873]
sedan4door_-30_45_-22_10_28_50_30_420:gt ['-30', '45', '-22', '10', '28']:pred [36.426346 45.       35.679916 10.       28.      ]
suv_-50_15_-4_35_28_20_30_420:gt ['-50', '15', '-4', '35', '28']:pred [31.028452 15.        6.24407  35.       25.935936]
hatchback_-30_23_-22_35_28_20_30_420:gt ['-30', '23', '-22', '35', '28']:pred [19.847927 23.       25.685257 35.       13.3365  ]
hatchback_-30_15_-4_10_15_230_70_420:gt ['-30', '15', '-4', '10', '15']:pred [31.2582     8.16502   19.288736  13.824505   3.5244968]
sedan4door_-50_15_-4_35_28_20_70_420:gt ['-50', '15', '-4', '35', '28']:pred [36.435192  8.947273 13.974194 35.        7.223851]
sedan4door_-17_45_-36_48_28_20_70_420:gt ['-17', '45', '-36', '48', '28']:pred [13.711413 33.876312 31.67466  32.88195  11.971865]
hatchback_-17_23_-4_10_15_20_30_420:gt ['-17', '23', '-4', '10', '15']:pred [11.26476   23.         6.3677726 10.         3.0692677]
suv_-50_15_-36_35_15_140_70_420:gt ['-50', '15', '-36', '35', '15']:pred [41.56233   11.546442  16.983553  28.685972   7.0276985]
suv_-17_45_-36_48_15_20_30_420:gt ['-17', '45', '-36', '48', '15']:pred [16.07411  45.       42.533512 48.       10.66051 ]
hatchback_-30_45_-4_35_28_50_70_420:gt ['-30', '45', '-4', '35', '28']:pred [24.266176 48.54629  12.965712 24.77976  17.888235]
hatchback_-17_45_-36_10_28_20_30_420:gt ['-17', '45', '-36', '10', '28']:pred [11.992602 45.       36.52555  10.       14.447506]
hatchback_-50_23_-4_48_15_20_70_420:gt ['-50', '23', '-4', '48', '15']:pred [45.661255 12.276859 18.031746 31.605474 20.025751]
suv_-50_45_-36_10_28_230_70_420:gt ['-50', '45', '-36', '10', '28']:pred [40.56555  34.13948  30.224566 12.172909 10.546008]
sedan2door_-30_45_-22_48_15_230_30_420:gt ['-30', '45', '-22', '48', '15']:pred [30.        31.42981   22.        48.         7.6453514]
hatchback_-17_23_-36_48_15_20_30_420:gt ['-17', '23', '-36', '48', '15']:pred [12.481779 23.       36.501072 48.        4.742106]
sedan4door_-50_15_-36_10_46_20_70_420:gt ['-50', '15', '-36', '10', '46']:pred [35.14263    6.6954656 26.477688  10.        14.959366 ]
sedan4door_-17_23_-22_48_28_50_30_420:gt ['-17', '23', '-22', '48', '28']:pred [12.877857 23.       30.570456 48.       28.      ]
hybrid_-17_45_-36_10_46_140_30_420:gt ['-17', '45', '-36', '10', '46']:pred [17.      24.31357 36.      10.      46.     ]
hatchback_-30_15_-4_48_15_230_30_420:gt ['-30', '15', '-4', '48', '15']:pred [30.         4.0689936  4.        43.2486    10.001009 ]
hybrid_-17_15_-4_10_28_140_70_420:gt ['-17', '15', '-4', '10', '28']:pred [12.281236   5.1280584  4.        10.         8.994689 ]
suv_-50_23_-22_35_28_140_30_420:gt ['-50', '23', '-22', '35', '28']:pred [50.       10.944358 22.       40.884052 28.      ]
hatchback_-17_23_-36_48_28_20_70_420:gt ['-17', '23', '-36', '48', '28']:pred [ 8.714861 12.237627 34.28997  25.133495 27.066004]
hatchback_-30_45_-4_48_15_230_30_420:gt ['-30', '45', '-4', '48', '15']:pred [30.       29.69756   4.       44.394913  9.935269]
suv_-50_45_-4_48_28_140_30_420:gt ['-50', '45', '-4', '48', '28']:pred [50.       29.502275  4.       47.474903 28.      ]
