425ba801e904cb50f3aaed7e86215c7b_20_20_40_40_20_240_80_400:gt ['20', '20', '40', '40', '20']:pred [ 8.53187    8.6063595 40.        40.        31.950634 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [27.868952 50.7809   28.616852 40.       17.558662]
7c46bfff2f90f11044592db9be5db5c8_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [ 9.420347  36.763172  19.94766    5.4266815 38.732365 ]
fabcb04fc015f822ca8bf2993ca245b_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [31.915487 17.116331 12.720664 39.12115  54.103657]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_20_40_40_80_40_400:gt ['20', '20', '20', '40', '40']:pred [ 8.460939 43.278496 10.459023 40.       44.1984  ]
4458ed2a746e61a3b11647ffa4306609_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [ 9.404528  42.3       23.712255  20.589773   3.1800063]
12f2905dc029f59a2479fbc7da5ed22b_40_20_20_20_20_240_40_400:gt ['40', '20', '20', '20', '20']:pred [18.601707  8.285298 20.        4.012465 44.40262 ]
923007b377bb1cab473f10e6caaeca56_40_40_40_20_40_240_80_400:gt ['40', '40', '40', '20', '40']:pred [26.840557  4.472013 12.16914  13.7596   22.49914 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [ 3.8680682 16.481339  14.74888    7.1404247 49.923252 ]
9c827e532de4967285089a13cc567dbd_40_20_40_20_40_160_40_400:gt ['40', '20', '40', '20', '40']:pred [40.        35.986404  40.         1.0552669 50.67801  ]
a115d534edec6f89afe1d4530f4c6e24_40_40_20_40_40_160_40_400:gt ['40', '40', '20', '40', '40']:pred [40.28546  20.915531 20.       38.151775 41.510044]
3d693af6fbae47f9cfb661f69a0dfbbd_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [11.160722  11.825876   7.2441792 10.338561   9.60136  ]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [28.468636  30.639725   5.0500827 19.513899  28.15911  ]
923007b377bb1cab473f10e6caaeca56_40_20_20_40_20_160_80_400:gt ['40', '20', '20', '40', '20']:pred [22.771473   8.153873   3.8100443 22.977158  18.715603 ]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [10.196707   9.745634   5.1093273 15.901067  15.890209 ]
cde88b5900e8dfba725a7749daae1afa_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [40.       11.160331 40.       28.733524 34.626663]
923007b377bb1cab473f10e6caaeca56_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [16.960945   5.340332   6.3583508 16.37312   10.201968 ]
b9786e1b059a1712ca92a4cdad802b45_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [ 4.397351   7.5294867  9.510177  11.492321  22.469666 ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [40.         1.3864194 40.         1.2258286 21.876492 ]
a387407d49e209fdeea60824a43a0b_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [12.39673  35.98088  20.197998 32.65848  17.745132]
923007b377bb1cab473f10e6caaeca56_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [ 9.204662  3.501781 13.381802 13.424885 26.965305]
d2592adba4e8e62648368c1a2f71c5f3_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [19.300909 14.243802 15.587137 37.18643  35.774075]
3d693af6fbae47f9cfb661f69a0dfbbd_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [20.629366 16.694706 20.       35.969013 49.559895]
5e87b04efd58cc8922412d2a728de1d5_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [32.017735 35.34777  17.680477 32.65378  45.14221 ]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [44.80564  28.197813 40.        8.700649 52.215744]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [14.204731 16.917892 33.45748  52.65223  17.183117]
fabcb04fc015f822ca8bf2993ca245b_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [13.470746 31.771582 20.       10.935851 37.659557]
9d2b7938d426633b28044fe9244db50a_20_20_20_40_20_80_40_400:gt ['20', '20', '20', '40', '20']:pred [26.13326  20.       20.       40.        3.824641]
2f7cf2c2d170e3c936f37029483b3e41_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [40.         9.599335   5.1865225 40.955727  36.039227 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [27.48707  49.335213 18.8342   18.580322 33.7824  ]
c61ec8875746ab78227375499b768057_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [ 3.281856 22.05337  10.92515  21.29436  20.883863]
4458ed2a746e61a3b11647ffa4306609_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [39.964954  37.718334  30.39899   40.         1.1284399]
3d693af6fbae47f9cfb661f69a0dfbbd_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [17.019772   7.9503546 20.         8.644395  41.506927 ]
4ac021653126a29e98618a1ba17f086b_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [21.568201   9.593024   3.9881537 25.865608  44.18802  ]
70e27da90dec2de49604bf8c981ad1eb_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [ 8.647974   6.920865   2.3258123 36.30075   24.214218 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [ 3.607944  17.113045  35.02176    3.8419118 41.552464 ]
4458ed2a746e61a3b11647ffa4306609_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [21.168066  26.622856  13.750562  32.483215   6.5020914]
72ba2195087f80d8b7e8c57d131d2ca7_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [26.690895 28.13212  16.375175 21.926811 41.793777]
216d910f71942f205df3c6413d40ccb2_40_20_40_20_40_160_40_400:gt ['40', '20', '40', '20', '40']:pred [40.        23.908463  12.702504  28.162367   6.8322825]
a115d534edec6f89afe1d4530f4c6e24_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [18.65477   11.722168   5.7987823 22.87105   34.487583 ]
9d2b7938d426633b28044fe9244db50a_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [25.73457   20.        40.        20.         3.8279076]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [17.124504 33.418434 30.572998 30.334703 45.342438]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [19.679256 15.246588 10.572179 34.016674 32.248882]
216d910f71942f205df3c6413d40ccb2_40_20_20_20_20_80_80_400:gt ['40', '20', '20', '20', '20']:pred [ 6.5977845 15.127144   4.8339596 38.246956  31.522247 ]
70e27da90dec2de49604bf8c981ad1eb_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [ 7.853606  13.700709   2.3550153 42.15996   28.628258 ]
9d2b7938d426633b28044fe9244db50a_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [15.166655   2.3513832  4.5351343 20.         9.585157 ]
9d2b7938d426633b28044fe9244db50a_40_20_40_20_40_160_40_400:gt ['40', '20', '40', '20', '40']:pred [18.403927   3.5410733  5.2480235 20.         6.9763956]
825fb860d71c78a477c771b4b7eed82c_20_40_20_20_20_80_80_400:gt ['20', '40', '20', '20', '20']:pred [ 5.813661 21.076748 11.211828 11.336689 37.83093 ]
7c46bfff2f90f11044592db9be5db5c8_20_40_20_20_40_160_40_400:gt ['20', '40', '20', '20', '40']:pred [ 9.9634905  8.201404   2.6926441 13.52508   27.952393 ]
4ac021653126a29e98618a1ba17f086b_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [12.036459  12.049944   1.1063893 20.152315  25.123066 ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [ 7.663761   4.540144   1.3935636 30.696451  51.039948 ]
9d2b7938d426633b28044fe9244db50a_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [16.711294   2.1882708  4.5274296 20.        10.1973295]
425ba801e904cb50f3aaed7e86215c7b_20_20_20_40_40_80_40_400:gt ['20', '20', '20', '40', '40']:pred [11.119744 50.960903 10.616624 40.       40.      ]
70e27da90dec2de49604bf8c981ad1eb_20_20_40_20_20_80_80_400:gt ['20', '20', '40', '20', '20']:pred [ 4.69375  21.512756  3.306787 29.421614 31.60684 ]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [18.426928  7.525406 11.782108 12.732736 30.217537]
cde88b5900e8dfba725a7749daae1afa_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [ 8.111806 14.305786 23.07961   6.206232 50.957714]
9d2b7938d426633b28044fe9244db50a_20_40_40_40_20_240_80_400:gt ['20', '40', '40', '40', '20']:pred [16.392876   5.218972  40.        19.57815    2.1395593]
ffe0a5b165461eb66a2345809e2bb169_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [21.544493 13.774456 26.579191 25.940859 29.745516]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [ 5.4347706 21.485151  19.218681   7.6429715 36.845642 ]
d0cf2f187acda5736be7348aa770e4ca_40_20_20_40_40_240_80_400:gt ['40', '20', '20', '40', '40']:pred [15.35041  18.375242  9.431453 21.074905 23.975424]
12f2905dc029f59a2479fbc7da5ed22b_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [10.248862  10.272076   1.8378054  6.0942283 47.17019  ]
86c8a3137a716d70e742b0b5e87bec54_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [25.977331 16.146454 25.357946 17.649265 36.746765]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [18.174517 49.45939  11.470516 14.603344 38.16541 ]
12f2905dc029f59a2479fbc7da5ed22b_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [18.184074   7.9381113 40.         3.9841273 45.20904  ]
6265f0745d3f40546bcd32c43682e841_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [40.         7.9139147 12.195089  16.871983  22.142033 ]
c61ec8875746ab78227375499b768057_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [17.515665 29.213493 40.       40.       17.007847]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [12.1234255  8.970562  20.397854  20.        48.880005 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [10.958108 18.228966 20.        8.613434 50.731613]
ffe0a5b165461eb66a2345809e2bb169_40_40_40_20_40_80_80_400:gt ['40', '40', '40', '20', '40']:pred [16.287954  35.534714   7.3082647  8.004462  17.28748  ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [20.582336  11.477923   4.6782947 18.037426  23.293346 ]
86c8a3137a716d70e742b0b5e87bec54_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [ 9.183861  15.2168455  1.8789115 44.48775   41.938374 ]
5ec3322293a39816ad7e7cea4034d226_40_40_40_40_40_240_80_400:gt ['40', '40', '40', '40', '40']:pred [24.547571 11.383152 18.855259 40.       10.667602]
a387407d49e209fdeea60824a43a0b_40_20_20_40_40_80_80_400:gt ['40', '20', '20', '40', '40']:pred [15.949739 28.26484  25.259912 19.035982 46.85051 ]
2f7cf2c2d170e3c936f37029483b3e41_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [40.       10.443654  5.017063 40.978397 33.90789 ]
d72ffa185738bccd10b75223b5be6dbb_20_40_20_20_40_160_40_400:gt ['20', '40', '20', '20', '40']:pred [16.194353 23.060228 20.       26.895088  8.46266 ]
c4941d6a2266813c3a2b1a2e5e169910_20_40_40_20_40_80_80_400:gt ['20', '40', '40', '20', '40']:pred [ 7.5224786 15.17908    6.453777  21.407732  35.590256 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_20_20_20_160_80_400:gt ['40', '40', '20', '20', '20']:pred [21.256954 22.133783 20.       34.069614 40.69063 ]
ffe0a5b165461eb66a2345809e2bb169_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [15.250248  6.354304  5.900166  4.707006 22.228426]
4ac021653126a29e98618a1ba17f086b_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [26.412832  12.846156   3.7749808 30.211618  46.038593 ]
4ac021653126a29e98618a1ba17f086b_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [12.144147   6.128758   1.2278075 16.458113  39.71829  ]
d2592adba4e8e62648368c1a2f71c5f3_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [28.584476 30.848984  5.797143 39.887863 33.991653]
d0cf2f187acda5736be7348aa770e4ca_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [17.659372 19.763103 15.391465 25.892014 17.979994]
2f7cf2c2d170e3c936f37029483b3e41_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [20.        13.561847   2.6883097 35.26919   20.515406 ]
70e27da90dec2de49604bf8c981ad1eb_40_40_40_20_40_160_40_400:gt ['40', '40', '40', '20', '40']:pred [40.       17.271835  2.151096 15.618891 18.044224]
7dac31838b627748eb631ba05bd8dfe_20_40_20_40_20_160_80_400:gt ['20', '40', '20', '40', '20']:pred [12.66761   10.336109   7.6410017 13.458189  10.181814 ]
1a64bf1e658652ddb11647ffa4306609_40_20_20_40_40_240_80_400:gt ['40', '20', '20', '40', '40']:pred [17.259163 23.836834 28.493603 15.529976 29.318447]
fa1b3bcdbda309a439cc19d48e3f4f5_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [ 7.0135107 35.787918   3.9192746  5.1182117 21.087154 ]
7dac31838b627748eb631ba05bd8dfe_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.         3.6551235 40.         2.207525  10.330707 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [35.604954 53.645126 28.45357  24.416893 34.48587 ]
7c46bfff2f90f11044592db9be5db5c8_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [10.275661   3.8648174  0.592304  12.524089  34.299957 ]
9d2b7938d426633b28044fe9244db50a_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [15.777449   2.1585488  4.3620787 20.         8.3783   ]
7dac31838b627748eb631ba05bd8dfe_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [13.898872 10.597381 40.       14.305686 48.55919 ]
7c46bfff2f90f11044592db9be5db5c8_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [16.245087   3.1924732  1.6312889 19.622446  51.486515 ]
cde88b5900e8dfba725a7749daae1afa_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [ 8.181949 15.664675 28.141394  5.684763 52.2938  ]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [23.167728 34.582596 20.       20.180887 27.849112]
5ec3322293a39816ad7e7cea4034d226_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [20.         1.8122711 20.        20.481083  52.262253 ]
4ac021653126a29e98618a1ba17f086b_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [13.83422  36.939632 20.05675  11.405215 26.899208]
825fb860d71c78a477c771b4b7eed82c_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [ 5.6592207 20.102753  11.627908  10.863317  37.812885 ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_20_40_240_80_400:gt ['40', '40', '20', '20', '40']:pred [19.84102  13.136512 10.071553 31.910576 34.57033 ]
4ac021653126a29e98618a1ba17f086b_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [22.283169  11.708799   1.0567267 20.        37.520744 ]
a88d69e53a01aab9ff1370452e3a0154_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [14.184635   4.7483892  6.7184024 34.791172  42.489937 ]
a88d69e53a01aab9ff1370452e3a0154_40_20_20_20_20_80_80_400:gt ['40', '20', '20', '20', '20']:pred [14.041498   3.1356275  2.734365  33.587578  42.785652 ]
5ec3322293a39816ad7e7cea4034d226_40_20_20_20_20_80_80_400:gt ['40', '20', '20', '20', '20']:pred [20.619339  4.994136 19.38006  20.        9.635141]
ffe0a5b165461eb66a2345809e2bb169_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [12.131588 12.095774  5.385648  7.03046  18.7912  ]
a387407d49e209fdeea60824a43a0b_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [ 8.226363  21.017757   6.4283347 12.3887005  6.478483 ]
923007b377bb1cab473f10e6caaeca56_40_40_20_40_20_160_80_400:gt ['40', '40', '20', '40', '20']:pred [27.11748   14.66168    6.8251767 37.004272  27.705578 ]
5e87b04efd58cc8922412d2a728de1d5_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [40.       21.48754  40.       28.956543 25.336985]
216d910f71942f205df3c6413d40ccb2_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [16.924948 17.32116  16.525515 28.204578 29.145536]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_40_40_40_80_80_400:gt ['20', '40', '40', '40', '40']:pred [18.925823 41.63565  35.705418 36.95729  40.96728 ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [ 8.746284 12.977606 40.        8.584907 48.04039 ]
d0cf2f187acda5736be7348aa770e4ca_20_40_20_20_40_160_40_400:gt ['20', '40', '20', '20', '40']:pred [20.        8.270898 20.       19.618694  5.845538]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [23.160828 56.26727  27.818901 20.       53.858772]
4f17af1ca7ae689d409b2c4484d833cc_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [ 8.88392   17.430378   5.8099275 10.125597  32.83451  ]
1790131f5f74b1ed973aff268eb6b00c_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [20.877121  8.196881 11.988249 13.527478 28.06974 ]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_40_20_80_40_400:gt ['40', '20', '40', '40', '20']:pred [27.973776 33.93464  20.922579 26.243454 34.494473]
4458ed2a746e61a3b11647ffa4306609_20_20_20_40_20_160_80_400:gt ['20', '20', '20', '40', '20']:pred [15.023174  19.85989   12.939648  33.566257   6.0242424]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [18.783676 27.320114 40.       20.       25.668432]
fabcb04fc015f822ca8bf2993ca245b_40_20_40_40_20_80_40_400:gt ['40', '20', '40', '40', '20']:pred [39.18905  18.743067 17.775723 38.103874 30.722597]
