sedan2door_-30_23_-4_48_15_20_30_420:gt ['-30', '23', '-4', '48', '15']:pred [30.666483 23.        4.       48.        8.111878]
sedan2door_-30_15_-22_35_46_230_30_420:gt ['-30', '15', '-22', '35', '46']:pred [30.       10.457208 22.       35.       43.666225]
suv_-50_45_-36_35_46_140_30_420:gt ['-50', '45', '-36', '35', '46']:pred [50.       42.491104 36.       26.114574 22.242235]
hatchback_-17_23_-36_35_46_140_70_420:gt ['-17', '23', '-36', '35', '46']:pred [32.100613  9.853336 36.       27.347164 53.38681 ]
sedan4door_-30_23_-22_35_15_140_70_420:gt ['-30', '23', '-22', '35', '15']:pred [38.432964  13.3541565 22.        23.452265  27.98791  ]
hybrid_-30_45_-22_10_28_140_70_420:gt ['-30', '45', '-22', '10', '28']:pred [38.134804 27.467314 22.       10.       34.915703]
sedan4door_-30_23_-36_35_46_20_30_420:gt ['-30', '23', '-36', '35', '46']:pred [37.39075  23.       36.30783  35.       18.956968]
suv_-17_45_-36_35_28_20_70_420:gt ['-17', '45', '-36', '35', '28']:pred [27.662508 45.309082 28.037317 35.       15.361401]
hatchback_-30_15_-22_35_28_50_70_420:gt ['-30', '15', '-22', '35', '28']:pred [30.183702  12.148065  21.00215   34.206818  14.8786125]
sedan4door_-30_15_-4_10_46_20_30_420:gt ['-30', '15', '-4', '10', '46']:pred [38.865936 15.        8.166643 10.       16.9295  ]
suv_-30_23_-22_35_15_140_30_420:gt ['-30', '23', '-22', '35', '15']:pred [30.       19.995066 22.       21.226557 12.310345]
suv_-30_23_-22_48_15_230_70_420:gt ['-30', '23', '-22', '48', '15']:pred [40.899727 30.4403   35.206543 41.906593 20.649458]
suv_-30_45_-22_48_15_20_70_420:gt ['-30', '45', '-22', '48', '15']:pred [36.764874 42.08211  15.887099 48.        8.168539]
sedan2door_-17_15_-4_48_28_20_70_420:gt ['-17', '15', '-4', '48', '28']:pred [15.106407 15.215427  4.       48.       31.919006]
hybrid_-50_23_-4_48_15_140_30_420:gt ['-50', '23', '-4', '48', '15']:pred [50.       21.779055  4.       48.       15.      ]
sedan2door_-30_45_-22_35_28_50_30_420:gt ['-30', '45', '-22', '35', '28']:pred [46.34853 45.      22.      35.      28.     ]
hatchback_-17_15_-36_48_15_50_70_420:gt ['-17', '15', '-36', '48', '15']:pred [30.016369 13.854161 28.286848 36.81761  17.821127]
sedan2door_-17_45_-22_48_28_20_30_420:gt ['-17', '45', '-22', '48', '28']:pred [15.957272 45.       22.       48.       14.282492]
hatchback_-50_23_-22_48_28_50_70_420:gt ['-50', '23', '-22', '48', '28']:pred [36.40659  19.408478 24.714062 37.261932 14.677293]
sedan2door_-17_15_-22_48_15_20_70_420:gt ['-17', '15', '-22', '48', '15']:pred [16.806295 16.070496 22.       48.       19.443726]
hatchback_-30_15_-22_35_15_50_30_420:gt ['-30', '15', '-22', '35', '15']:pred [39.40274  15.       28.956125 35.       15.      ]
suv_-17_15_-36_48_15_50_70_420:gt ['-17', '15', '-36', '48', '15']:pred [43.757877 18.142162 35.156754 33.260883  9.495251]
hybrid_-17_23_-36_10_28_20_30_420:gt ['-17', '23', '-36', '10', '28']:pred [27.065346 23.       36.       10.       16.466644]
hatchback_-17_45_-36_10_46_20_70_420:gt ['-17', '45', '-36', '10', '46']:pred [18.96655  45.68311  26.463743 52.336765 44.280647]
sedan4door_-30_23_-36_48_28_50_70_420:gt ['-30', '23', '-36', '48', '28']:pred [39.49611   34.23025   38.62049   37.869923   6.3550906]
sedan4door_-17_15_-4_10_15_230_30_420:gt ['-17', '15', '-4', '10', '15']:pred [17.       11.68123   4.       13.311088 21.396338]
suv_-30_45_-22_35_46_230_30_420:gt ['-30', '45', '-22', '35', '46']:pred [30.       46.774895 22.       43.970573 52.98835 ]
hatchback_-17_15_-36_35_46_50_70_420:gt ['-17', '15', '-36', '35', '46']:pred [30.380299 14.278595 31.660742 35.89406  39.89299 ]
suv_-50_15_-4_48_15_20_30_420:gt ['-50', '15', '-4', '48', '15']:pred [43.578053 15.        9.286221 48.        9.82121 ]
sedan4door_-50_23_-4_35_46_20_30_420:gt ['-50', '23', '-4', '35', '46']:pred [44.625282  23.         5.6313543 35.        14.835296 ]
sedan4door_-17_15_-4_10_15_20_30_420:gt ['-17', '15', '-4', '10', '15']:pred [18.16648  15.        5.74051  10.       10.010136]
hatchback_-30_23_-36_35_15_230_70_420:gt ['-30', '23', '-36', '35', '15']:pred [41.8413   24.09197  32.190903 37.37385  13.645175]
hatchback_-17_23_-22_35_28_50_70_420:gt ['-17', '23', '-22', '35', '28']:pred [32.097847  11.3195715 23.571287  34.980633  15.158535 ]
sedan4door_-17_45_-36_48_46_230_70_420:gt ['-17', '45', '-36', '48', '46']:pred [19.954918 50.81142  35.707565 50.096325 50.596355]
suv_-17_45_-4_10_28_230_70_420:gt ['-17', '45', '-4', '10', '28']:pred [20.410606 46.367302 19.398367 24.894558 31.984104]
sedan4door_-17_45_-22_48_28_140_70_420:gt ['-17', '45', '-22', '48', '28']:pred [39.893238 37.083546 22.       36.027405 36.424587]
sedan2door_-50_23_-36_48_15_230_70_420:gt ['-50', '23', '-36', '48', '15']:pred [37.753838 19.106829 36.       48.       11.06445 ]
sedan2door_-17_23_-4_35_28_50_70_420:gt ['-17', '23', '-4', '35', '28']:pred [37.65291  12.928748  4.       35.       14.085373]
sedan4door_-30_15_-4_48_46_50_70_420:gt ['-30', '15', '-4', '48', '46']:pred [42.3551    22.999662  17.547297  35.073154   7.4991665]
hatchback_-50_23_-36_10_15_50_30_420:gt ['-50', '23', '-36', '10', '15']:pred [39.735645 23.       37.58486  10.       15.      ]
hatchback_-17_23_-36_10_28_140_70_420:gt ['-17', '23', '-36', '10', '28']:pred [27.534369  7.754812 36.       17.720318 49.01489 ]
hybrid_-30_23_-36_48_46_230_30_420:gt ['-30', '23', '-36', '48', '46']:pred [30.         8.7782345 36.        48.        41.80817  ]
sedan4door_-50_23_-4_35_28_140_30_420:gt ['-50', '23', '-4', '35', '28']:pred [50.       18.503677  4.       28.129416 10.460824]
sedan4door_-17_23_-4_10_28_140_30_420:gt ['-17', '23', '-4', '10', '28']:pred [17.       13.973783  4.       17.986813  8.6861  ]
hybrid_-30_23_-4_48_15_50_30_420:gt ['-30', '23', '-4', '48', '15']:pred [34.612457 23.        4.       48.       15.      ]
suv_-50_15_-36_35_46_230_70_420:gt ['-50', '15', '-36', '35', '46']:pred [41.14989  21.697035 35.67344  40.882763 41.85175 ]
hatchback_-17_23_-22_10_15_50_70_420:gt ['-17', '23', '-22', '10', '15']:pred [27.607042   7.1430264 17.36992   29.04599   14.125337 ]
sedan2door_-50_15_-4_48_28_20_30_420:gt ['-50', '15', '-4', '48', '28']:pred [43.65959   15.         4.        48.         8.8331585]
suv_-17_15_-22_10_15_20_30_420:gt ['-17', '15', '-22', '10', '15']:pred [27.061508 15.       24.528513 10.       11.630295]
hybrid_-30_45_-36_35_46_50_70_420:gt ['-30', '45', '-36', '35', '46']:pred [28.394756 32.604855 36.       35.       30.89677 ]
sedan4door_-50_15_-22_48_46_140_70_420:gt ['-50', '15', '-22', '48', '46']:pred [36.85892  15.046844 22.       28.762794 48.030617]
sedan4door_-50_45_-36_35_15_20_70_420:gt ['-50', '45', '-36', '35', '15']:pred [38.332035 48.12255  23.088516 43.16754   9.435157]
sedan4door_-30_45_-22_48_15_50_70_420:gt ['-30', '45', '-22', '48', '15']:pred [43.63807   32.75811   26.669634  35.802715   4.8085175]
sedan2door_-30_15_-22_48_15_140_30_420:gt ['-30', '15', '-22', '48', '15']:pred [30.       11.15837  22.       48.        8.063978]
suv_-50_15_-36_10_46_230_30_420:gt ['-50', '15', '-36', '10', '46']:pred [50.         6.2376657 36.        12.9897995 51.41456  ]
sedan4door_-17_15_-22_10_28_50_70_420:gt ['-17', '15', '-22', '10', '28']:pred [34.236126 12.473812 23.34366  19.309546  4.969386]
sedan4door_-30_23_-22_48_28_230_30_420:gt ['-30', '23', '-22', '48', '28']:pred [30.       19.098732 22.       46.49563  42.911915]
sedan2door_-50_15_-36_10_28_230_30_420:gt ['-50', '15', '-36', '10', '28']:pred [50.       10.437113 36.       10.       33.90476 ]
sedan2door_-17_45_-22_48_15_140_70_420:gt ['-17', '45', '-22', '48', '15']:pred [33.434338 29.165768 22.       48.       41.275375]
sedan2door_-17_45_-4_35_46_230_30_420:gt ['-17', '45', '-4', '35', '46']:pred [17.      52.19783  4.      35.      45.37234]
hybrid_-30_15_-4_35_28_20_70_420:gt ['-30', '15', '-4', '35', '28']:pred [21.287577 13.884792  4.       35.       29.779926]
hybrid_-17_45_-36_48_28_230_30_420:gt ['-17', '45', '-36', '48', '28']:pred [17.       42.22445  36.       21.637665 28.56523 ]
hatchback_-50_15_-22_35_46_230_70_420:gt ['-50', '15', '-22', '35', '46']:pred [45.707306 15.231923 30.21439  30.297235 51.22914 ]
sedan4door_-50_45_-4_35_46_230_30_420:gt ['-50', '45', '-4', '35', '46']:pred [50.       55.707176  4.       47.21338  52.87157 ]
hybrid_-17_23_-36_48_28_230_70_420:gt ['-17', '23', '-36', '48', '28']:pred [21.273178 10.399727 36.       48.       39.263863]
sedan2door_-30_45_-36_35_15_140_70_420:gt ['-30', '45', '-36', '35', '15']:pred [37.11551 33.76181 36.      35.      40.82957]
suv_-50_45_-4_10_46_140_30_420:gt ['-50', '45', '-4', '10', '46']:pred [50.       35.48418   4.       20.733265 24.644493]
suv_-50_45_-22_35_46_20_70_420:gt ['-50', '45', '-22', '35', '46']:pred [50.12531  38.177116 15.370653 40.850414 40.107155]
hybrid_-30_23_-4_10_28_140_30_420:gt ['-30', '23', '-4', '10', '28']:pred [30.       22.542181  4.       10.        9.097901]
sedan2door_-17_23_-36_35_28_140_30_420:gt ['-17', '23', '-36', '35', '28']:pred [17.        16.566107  36.        35.         7.7274003]
sedan4door_-30_15_-22_35_28_20_30_420:gt ['-30', '15', '-22', '35', '28']:pred [38.23061  15.       31.342875 35.       14.036122]
sedan4door_-17_23_-4_35_15_140_70_420:gt ['-17', '23', '-4', '35', '15']:pred [32.553257  8.735295  4.       20.736803 32.798164]
sedan2door_-30_15_-22_10_15_230_30_420:gt ['-30', '15', '-22', '10', '15']:pred [30.        9.92975  22.       10.       11.805514]
sedan2door_-17_23_-22_35_46_20_30_420:gt ['-17', '23', '-22', '35', '46']:pred [15.596675 23.       22.       35.       17.916046]
hatchback_-50_23_-22_10_15_230_70_420:gt ['-50', '23', '-22', '10', '15']:pred [43.79769   19.83272   27.935448  20.045181  11.8757105]
hatchback_-17_15_-22_10_46_20_70_420:gt ['-17', '15', '-22', '10', '46']:pred [19.788826 21.125816 18.64264  47.81553  41.222416]
suv_-30_45_-22_48_15_140_70_420:gt ['-30', '45', '-22', '48', '15']:pred [38.82216  46.06354  22.657764 46.229    24.173317]
hatchback_-17_45_-36_35_46_230_70_420:gt ['-17', '45', '-36', '35', '46']:pred [24.784594 47.662987 38.456554 28.997904 50.375244]
hybrid_-30_15_-4_10_28_230_30_420:gt ['-30', '15', '-4', '10', '28']:pred [30.         6.6078587  4.        10.        27.246372 ]
sedan4door_-50_23_-22_10_28_230_70_420:gt ['-50', '23', '-22', '10', '28']:pred [30.615162 17.945408 26.327639 19.340105 27.467236]
sedan4door_-50_45_-36_10_15_230_70_420:gt ['-50', '45', '-36', '10', '15']:pred [34.458164 45.560043 36.748665 18.918173 13.683935]
suv_-50_15_-4_10_15_230_30_420:gt ['-50', '15', '-4', '10', '15']:pred [50.        6.115191  4.        6.71232  11.558871]
sedan2door_-50_45_-22_35_28_50_30_420:gt ['-50', '45', '-22', '35', '28']:pred [40.45084 45.      22.      35.      28.     ]
sedan2door_-50_45_-36_10_15_20_30_420:gt ['-50', '45', '-36', '10', '15']:pred [40.763035  45.        36.        10.         6.5676417]
suv_-17_23_-22_48_15_20_70_420:gt ['-17', '23', '-22', '48', '15']:pred [23.1311   34.17367  20.18654  48.       11.561124]
hatchback_-50_23_-4_48_46_230_70_420:gt ['-50', '23', '-4', '48', '46']:pred [38.174267 31.950817 24.10349  38.633595 52.031853]
sedan4door_-17_23_-22_48_46_140_30_420:gt ['-17', '23', '-22', '48', '46']:pred [17.       19.707632 22.       33.11481  11.971354]
suv_-17_23_-4_35_46_140_70_420:gt ['-17', '23', '-4', '35', '46']:pred [28.60011    7.2693176  4.        26.054247  56.734055 ]
sedan2door_-30_23_-36_10_28_230_30_420:gt ['-30', '23', '-36', '10', '28']:pred [30.       19.265688 36.       10.       32.904015]
hatchback_-50_15_-4_10_15_20_70_420:gt ['-50', '15', '-4', '10', '15']:pred [34.273396 16.12794   9.604558 10.       15.610607]
hybrid_-50_45_-4_10_15_230_70_420:gt ['-50', '45', '-4', '10', '15']:pred [37.139317  40.710545   4.        10.         7.4456706]
sedan2door_-50_45_-36_48_46_140_70_420:gt ['-50', '45', '-36', '48', '46']:pred [29.168657 43.274353 36.       48.       46.02976 ]
hatchback_-30_23_-22_10_46_50_30_420:gt ['-30', '23', '-22', '10', '46']:pred [46.552147 23.       37.09196  10.       46.      ]
hatchback_-30_23_-36_10_46_50_30_420:gt ['-30', '23', '-36', '10', '46']:pred [47.001686 23.       42.252373 10.       46.      ]
suv_-17_23_-22_35_15_50_70_420:gt ['-17', '23', '-22', '35', '15']:pred [38.790718 14.167534 25.072979 35.33409   9.106266]
sedan4door_-30_23_-22_48_28_50_30_420:gt ['-30', '23', '-22', '48', '28']:pred [36.048046 23.       24.374283 48.       28.      ]
suv_-17_15_-22_35_46_20_30_420:gt ['-17', '15', '-22', '35', '46']:pred [29.138704 15.       28.129396 35.       27.670076]
sedan4door_-30_45_-36_10_15_230_30_420:gt ['-30', '45', '-36', '10', '15']:pred [30.       53.064293 36.       20.109537 17.660147]
sedan2door_-50_23_-4_10_15_50_70_420:gt ['-50', '23', '-4', '10', '15']:pred [32.217495 30.077574  4.       10.        9.056055]
suv_-17_15_-4_10_15_230_30_420:gt ['-17', '15', '-4', '10', '15']:pred [17.         5.9257836  4.         7.2019134 11.245195 ]
hatchback_-17_23_-4_35_46_50_30_420:gt ['-17', '23', '-4', '35', '46']:pred [44.623756 23.       16.318274 35.       46.      ]
sedan2door_-17_45_-36_48_28_50_30_420:gt ['-17', '45', '-36', '48', '28']:pred [43.565735 45.       36.       48.       28.      ]
sedan4door_-17_15_-22_10_15_230_30_420:gt ['-17', '15', '-22', '10', '15']:pred [17.       11.275605 22.       13.566887 21.127739]
hatchback_-17_15_-36_48_46_50_30_420:gt ['-17', '15', '-36', '48', '46']:pred [47.126762 15.       38.49557  48.       46.      ]
suv_-17_45_-22_10_46_50_70_420:gt ['-17', '45', '-22', '10', '46']:pred [44.268806 25.31743  23.316275 34.594193 27.597906]
sedan2door_-30_15_-4_10_15_50_30_420:gt ['-30', '15', '-4', '10', '15']:pred [44.040558 15.        4.       10.       15.      ]
sedan2door_-50_23_-4_10_28_20_30_420:gt ['-50', '23', '-4', '10', '28']:pred [43.902782 23.        4.       10.        9.040168]
suv_-17_23_-4_48_15_20_70_420:gt ['-17', '23', '-4', '48', '15']:pred [22.558416 32.504337  6.006529 48.        9.624549]
sedan4door_-50_23_-4_48_46_20_30_420:gt ['-50', '23', '-4', '48', '46']:pred [45.180935 23.        5.426163 48.       13.932886]
sedan4door_-50_45_-22_10_28_230_70_420:gt ['-50', '45', '-22', '10', '28']:pred [31.108744 47.018204 30.927683 20.202631 25.352556]
sedan2door_-17_23_-22_10_28_230_70_420:gt ['-17', '23', '-22', '10', '28']:pred [22.636574 17.83515  22.       10.       32.4841  ]
sedan4door_-17_45_-22_35_28_230_30_420:gt ['-17', '45', '-22', '35', '28']:pred [17.       54.384483 22.       39.86283  38.7246  ]
sedan4door_-30_15_-22_48_46_50_30_420:gt ['-30', '15', '-22', '48', '46']:pred [37.42472  15.       23.586088 48.       46.      ]
sedan4door_-17_23_-36_35_15_20_70_420:gt ['-17', '23', '-36', '35', '15']:pred [23.715519 37.51707  23.84776  41.969574 12.461796]
hybrid_-50_15_-36_35_46_140_30_420:gt ['-50', '15', '-36', '35', '46']:pred [50.       14.277371 36.       35.       13.951879]
sedan4door_-17_15_-4_35_28_230_70_420:gt ['-17', '15', '-4', '35', '28']:pred [20.113209 13.344999 14.280511 41.458313 37.197113]
hatchback_-50_45_-4_48_28_230_30_420:gt ['-50', '45', '-4', '48', '28']:pred [50.       38.212482  4.       43.255463 37.45515 ]
sedan4door_-30_23_-4_48_46_230_30_420:gt ['-30', '23', '-4', '48', '46']:pred [30.       22.331587  4.       51.245758 54.249573]
sedan4door_-30_45_-22_48_15_20_30_420:gt ['-30', '45', '-22', '48', '15']:pred [42.858948 45.       29.358    48.       15.155777]
sedan4door_-30_45_-4_35_15_20_30_420:gt ['-30', '45', '-4', '35', '15']:pred [43.7331    45.         7.6762495 35.        16.766933 ]
sedan4door_-50_15_-4_10_46_20_30_420:gt ['-50', '15', '-4', '10', '46']:pred [44.95383   15.         5.9516153 10.        13.189832 ]
sedan2door_-50_45_-36_35_15_20_70_420:gt ['-50', '45', '-36', '35', '15']:pred [42.79858  44.83246  36.       35.       15.111759]
hatchback_-17_15_-36_48_15_140_30_420:gt ['-17', '15', '-36', '48', '15']:pred [17.       18.856728 36.       32.028385 15.610735]
suv_-30_23_-22_35_28_50_30_420:gt ['-30', '23', '-22', '35', '28']:pred [32.624413 23.       35.768597 35.       28.      ]
sedan4door_-17_23_-22_10_28_50_30_420:gt ['-17', '23', '-22', '10', '28']:pred [38.69657  23.       27.087545 10.       28.      ]
hatchback_-30_15_-4_35_28_230_30_420:gt ['-30', '15', '-4', '35', '28']:pred [30.         6.9933386  4.        21.504961  37.88712  ]
suv_-17_23_-22_10_46_50_70_420:gt ['-17', '23', '-22', '10', '46']:pred [40.44522  13.294596 21.97307  34.475666 27.925928]
sedan4door_-50_45_-4_10_15_140_70_420:gt ['-50', '45', '-4', '10', '15']:pred [28.082676 42.163887  4.       19.201878 16.024769]
hybrid_-17_15_-22_35_28_50_30_420:gt ['-17', '15', '-22', '35', '28']:pred [30.16644 15.      22.      35.      28.     ]
sedan2door_-30_23_-22_10_46_140_30_420:gt ['-30', '23', '-22', '10', '46']:pred [30.       14.996521 22.       10.       11.706716]
hatchback_-30_15_-36_48_28_230_70_420:gt ['-30', '15', '-36', '48', '28']:pred [44.639824 13.265957 38.718224 41.85312  35.477184]
sedan2door_-30_23_-4_48_15_50_30_420:gt ['-30', '23', '-4', '48', '15']:pred [44.32436 23.       4.      48.      15.     ]
hatchback_-50_15_-22_48_46_230_30_420:gt ['-50', '15', '-22', '48', '46']:pred [50.        8.374666 22.       37.632915 45.147182]
hybrid_-50_15_-4_10_46_20_70_420:gt ['-50', '15', '-4', '10', '46']:pred [33.98535  14.570568  4.       10.       35.05989 ]
sedan4door_-30_23_-36_35_46_230_70_420:gt ['-30', '23', '-36', '35', '46']:pred [35.319687 30.433771 29.69546  40.705406 51.879295]
suv_-50_15_-4_10_28_50_70_420:gt ['-50', '15', '-4', '10', '28']:pred [34.02852  29.32606  27.844448 31.19805   9.151001]
hatchback_-50_15_-36_48_15_50_70_420:gt ['-50', '15', '-36', '48', '15']:pred [36.902695 29.566843 31.375044 33.997574 16.641094]
hatchback_-30_45_-22_48_28_140_30_420:gt ['-30', '45', '-22', '48', '28']:pred [30.       39.644665 22.       28.130302 16.972664]
hatchback_-17_23_-4_35_46_140_70_420:gt ['-17', '23', '-4', '35', '46']:pred [27.783804  9.318543  4.       27.087101 54.82062 ]
suv_-17_23_-36_48_46_230_70_420:gt ['-17', '23', '-36', '48', '46']:pred [24.089264 37.285572 38.656303 46.08804  42.720356]
sedan2door_-30_15_-36_35_46_230_70_420:gt ['-30', '15', '-36', '35', '46']:pred [37.296997  7.587761 36.       35.       50.986004]
suv_-30_15_-4_35_28_50_30_420:gt ['-30', '15', '-4', '35', '28']:pred [28.163866 15.       16.550493 35.       28.      ]
suv_-30_45_-36_35_46_20_30_420:gt ['-30', '45', '-36', '35', '46']:pred [43.714817 45.       40.64088  35.       28.70084 ]
sedan2door_-17_23_-4_35_15_230_30_420:gt ['-17', '23', '-4', '35', '15']:pred [17.       17.848795  4.       35.       12.258103]
hatchback_-30_45_-22_48_15_20_70_420:gt ['-30', '45', '-22', '48', '15']:pred [27.352936 39.85116  16.197138 48.       16.957285]
suv_-17_15_-4_10_28_140_70_420:gt ['-17', '15', '-4', '10', '28']:pred [32.3693    4.300962  4.       11.446059 48.431496]
suv_-30_45_-22_48_28_50_70_420:gt ['-30', '45', '-22', '48', '28']:pred [44.608284 32.937416 23.427727 43.722332 10.109357]
hatchback_-17_23_-36_10_46_50_70_420:gt ['-17', '23', '-36', '10', '46']:pred [27.700083 12.172012 29.141708 33.82157  42.924503]
