suv_-40_20_-20_20_40_240_80_400:gt ['-40', '20', '-20', '20', '40']:pred [21.484638 23.551023 21.614264 24.023294 22.71466 ]
hatchback_-40_40_-40_0_0_0_80_450:gt ['-40', '40', '-40', '0', '0']:pred [23.457127 21.60703  20.92775  25.806904 17.668896]
sedan4door_0_20_-20_20_40_160_20_400:gt ['0', '20', '-20', '20', '40']:pred [ 0.       17.919313 20.       21.935112 40.      ]
hybrid_-40_40_-20_0_0_160_80_400:gt ['-40', '40', '-20', '0', '0']:pred [20.090345 20.481678 20.       22.033699 18.435207]
sedan2door_-20_20_-40_20_40_80_80_450:gt ['-20', '20', '-40', '20', '40']:pred [20.298443 17.928267 40.       20.       40.      ]
sedan2door_-40_40_0_0_0_320_60_400:gt ['-40', '40', '0', '0', '0']:pred [27.04273  23.234936 16.588366  0.       20.72844 ]
sedan4door_-40_20_0_20_40_0_60_450:gt ['-40', '20', '0', '20', '40']:pred [24.567545 25.794535 20.089148 20.       19.612312]
hatchback_0_0_-20_40_20_80_40_450:gt ['0', '0', '-20', '40', '20']:pred [21.25406  23.586733 19.257977 40.       20.      ]
sedan2door_0_20_-40_0_20_240_80_450:gt ['0', '20', '-40', '0', '20']:pred [21.04118  18.455475 40.       19.081528 20.887445]
hybrid_0_20_-40_40_20_240_80_450:gt ['0', '20', '-40', '40', '20']:pred [17.37682  17.784847 40.       20.210796 17.425957]
sedan2door_-20_20_0_40_40_0_80_450:gt ['-20', '20', '0', '40', '40']:pred [20.919945 21.28711   0.       40.       21.803562]
hatchback_-20_20_-20_40_40_0_20_450:gt ['-20', '20', '-20', '40', '40']:pred [18.15807  20.       21.267262 40.       40.      ]
hatchback_0_20_-20_0_0_0_40_400:gt ['0', '20', '-20', '0', '0']:pred [14.010881 20.       16.884483  0.       16.685923]
hybrid_0_0_-20_20_40_80_60_450:gt ['0', '0', '-20', '20', '40']:pred [16.01551  16.617361 20.       20.       15.471178]
hybrid_-40_20_-40_40_40_240_80_400:gt ['-40', '20', '-40', '40', '40']:pred [19.182674 21.063322 40.       21.462397 23.253279]
sedan2door_0_0_-40_0_40_0_40_450:gt ['0', '0', '-40', '0', '40']:pred [16.899927  0.       40.        0.       21.358591]
hatchback_0_40_0_20_40_160_20_400:gt ['0', '40', '0', '20', '40']:pred [ 0.       20.459608  0.       19.700487 40.      ]
suv_0_40_-20_0_0_240_20_450:gt ['0', '40', '-20', '0', '0']:pred [ 0.       22.04559  20.       21.631334 22.31304 ]
sedan2door_-20_0_0_40_40_80_60_450:gt ['-20', '0', '0', '40', '40']:pred [19.466585 16.809889  0.       40.       20.602434]
sedan2door_-40_40_-20_20_0_160_60_400:gt ['-40', '40', '-20', '20', '0']:pred [20.303482 17.538025 20.       20.617517 20.970045]
hatchback_0_0_-20_0_40_160_20_400:gt ['0', '0', '-20', '0', '40']:pred [ 0.       17.624166 20.       19.097002 40.      ]
sedan4door_0_40_-40_0_40_240_80_400:gt ['0', '40', '-40', '0', '40']:pred [21.475906 23.294788 20.934835 21.829012 21.974474]
sedan2door_-20_0_-40_20_40_320_60_450:gt ['-20', '0', '-40', '20', '40']:pred [19.63671  19.257652 17.153868 20.       19.854807]
hybrid_0_20_0_40_0_160_60_400:gt ['0', '20', '0', '40', '0']:pred [17.9284   17.236666  0.       18.368801 15.439251]
sedan4door_0_40_-20_0_20_80_80_400:gt ['0', '40', '-20', '0', '20']:pred [22.767492 22.910263 23.56581  22.661383 22.78916 ]
hatchback_-20_0_-40_20_40_80_80_450:gt ['-20', '0', '-40', '20', '40']:pred [22.36436  19.71435  24.572199 21.800907 40.      ]
sedan4door_0_0_-20_0_40_240_60_450:gt ['0', '0', '-20', '0', '40']:pred [17.822536 16.286373 20.610394 19.57834  20.702778]
sedan2door_-40_40_0_40_0_240_20_400:gt ['-40', '40', '0', '40', '0']:pred [40.       23.94155   0.       40.       19.222073]
sedan4door_-40_0_-40_40_40_320_60_450:gt ['-40', '0', '-40', '40', '40']:pred [26.722149 24.88892  20.59087  26.130156 19.330648]
sedan2door_-20_20_0_20_40_320_40_400:gt ['-20', '20', '0', '20', '40']:pred [17.571672 20.       17.19816  20.       20.065617]
hybrid_0_20_-20_40_20_80_40_400:gt ['0', '20', '-20', '40', '20']:pred [16.567713 19.882011 20.       40.       20.      ]
suv_-40_40_-40_40_40_240_60_400:gt ['-40', '40', '-40', '40', '40']:pred [25.330797 27.766325 29.032446 26.341803 26.972534]
hybrid_-40_40_-40_40_40_240_40_450:gt ['-40', '40', '-40', '40', '40']:pred [40.       20.664099 40.       20.682152 17.546871]
suv_0_0_-20_0_20_240_20_400:gt ['0', '0', '-20', '0', '20']:pred [ 0.       19.360958 20.       20.559685 22.016884]
sedan4door_-40_0_-40_0_40_80_20_450:gt ['-40', '0', '-40', '0', '40']:pred [23.508205  0.       19.9906    0.       40.      ]
suv_0_0_-40_0_20_0_40_450:gt ['0', '0', '-40', '0', '20']:pred [19.552088  0.       21.823832  0.       21.50942 ]
sedan2door_-20_20_0_40_40_0_80_450:gt ['-20', '20', '0', '40', '40']:pred [20.919945 21.28711   0.       40.       21.803562]
sedan2door_0_0_0_40_0_0_20_400:gt ['0', '0', '0', '40', '0']:pred [14.717709  0.        0.       40.        0.      ]
hybrid_-20_20_-20_40_20_80_60_450:gt ['-20', '20', '-20', '40', '20']:pred [17.08239  17.370506 20.       40.       17.280628]
suv_-40_40_0_40_40_0_20_400:gt ['-40', '40', '0', '40', '40']:pred [25.53537  40.       19.309875 40.       40.      ]
hybrid_-20_40_-20_20_20_240_80_400:gt ['-20', '40', '-20', '20', '20']:pred [18.83629  20.303059 20.       19.970535 19.92703 ]
hatchback_-40_0_0_20_0_0_60_450:gt ['-40', '0', '0', '20', '0']:pred [21.613297 22.81262  20.151182 20.       18.531498]
sedan4door_-20_20_-20_40_20_160_60_400:gt ['-20', '20', '-20', '40', '20']:pred [18.981567 18.927788 20.       21.696716 19.94172 ]
hybrid_-40_40_-40_0_0_0_80_400:gt ['-40', '40', '-40', '0', '0']:pred [21.449203 20.433556 20.591059  0.       19.548742]
sedan2door_-40_40_-20_0_40_320_40_450:gt ['-40', '40', '-20', '0', '40']:pred [23.73752  40.       19.349241  0.       20.32606 ]
suv_-40_0_0_0_40_320_40_450:gt ['-40', '0', '0', '0', '40']:pred [26.90941   0.       19.00077   0.       20.751766]
suv_-20_40_-40_0_20_160_60_450:gt ['-20', '40', '-40', '0', '20']:pred [21.151476 20.394018 40.       22.011942 19.618507]
sedan4door_0_20_-40_40_20_240_20_450:gt ['0', '20', '-40', '40', '20']:pred [ 0.       19.559397 40.       23.753757 19.470243]
sedan4door_-20_20_-20_20_40_160_40_450:gt ['-20', '20', '-20', '20', '40']:pred [20.       20.401346 20.       21.82911  18.63515 ]
hatchback_-20_20_-20_40_20_160_60_400:gt ['-20', '20', '-20', '40', '20']:pred [21.909292 18.24733  20.       21.164143 16.680662]
hatchback_-40_40_-40_20_40_160_60_400:gt ['-40', '40', '-40', '20', '40']:pred [24.080235 21.191273 40.       20.932594 19.795786]
hybrid_0_0_0_40_0_240_40_400:gt ['0', '0', '0', '40', '0']:pred [ 0.       14.164345  0.       16.97722  16.333101]
hatchback_0_20_-20_20_20_80_20_400:gt ['0', '20', '-20', '20', '20']:pred [18.680685 20.       21.66082  20.       20.      ]
suv_0_20_-40_20_40_320_20_400:gt ['0', '20', '-40', '20', '40']:pred [21.732534 20.       19.082457 20.       20.559837]
hybrid_-20_0_-40_20_0_80_20_450:gt ['-20', '0', '-40', '20', '0']:pred [18.695105  0.       40.       20.        0.      ]
hatchback_0_20_-20_20_40_240_60_450:gt ['0', '20', '-20', '20', '40']:pred [22.290874 18.459564 22.984472 21.96612  20.181473]
hatchback_-20_40_0_40_40_320_60_400:gt ['-20', '40', '0', '40', '40']:pred [25.83302  28.209806 21.59701  29.705956 23.519648]
hybrid_0_0_-20_40_0_160_40_450:gt ['0', '0', '-20', '40', '0']:pred [ 0.       16.377382 20.       40.       16.476227]
hybrid_-20_0_0_40_0_80_60_400:gt ['-20', '0', '0', '40', '0']:pred [16.55376  16.429525  0.       40.       17.472227]
hybrid_0_40_0_20_40_160_20_450:gt ['0', '40', '0', '20', '40']:pred [ 0.       21.789106  0.       20.       40.      ]
sedan2door_-40_0_0_0_40_320_60_400:gt ['-40', '0', '0', '0', '40']:pred [22.655796 21.89042  16.167168  0.       23.72155 ]
sedan4door_-20_40_-20_0_0_160_80_400:gt ['-20', '40', '-20', '0', '0']:pred [17.483234 21.306595 23.533468 22.295673 21.552004]
hybrid_-40_0_-20_20_0_80_80_450:gt ['-40', '0', '-20', '20', '0']:pred [20.420954 18.038841 20.       20.        0.      ]
sedan4door_-20_40_-40_0_40_80_20_450:gt ['-20', '40', '-40', '0', '40']:pred [19.524117 40.       20.388512  0.       40.      ]
sedan2door_-40_0_-20_0_20_160_20_450:gt ['-40', '0', '-20', '0', '20']:pred [40.       17.681261 20.        0.       20.      ]
hybrid_0_0_-40_40_0_320_60_450:gt ['0', '0', '-40', '40', '0']:pred [14.54215  19.286438 40.       40.       16.03089 ]
hatchback_-40_20_-40_0_0_240_20_400:gt ['-40', '20', '-40', '0', '0']:pred [40.       17.780771 40.       18.730461 16.258497]
suv_-40_20_-20_20_20_80_60_450:gt ['-40', '20', '-20', '20', '20']:pred [20.397917 19.99526  18.153103 21.706274 22.510042]
sedan4door_0_20_-40_20_0_80_60_450:gt ['0', '20', '-40', '20', '0']:pred [17.40803  18.503819 19.550373 19.561407 18.03869 ]
suv_-40_0_-40_0_20_80_80_450:gt ['-40', '0', '-40', '0', '20']:pred [20.274263 19.342484 23.01582  22.38834  20.      ]
sedan4door_-40_0_-40_40_0_160_20_450:gt ['-40', '0', '-40', '40', '0']:pred [40.       18.213846 40.       21.144361  0.      ]
hatchback_0_40_-40_0_0_160_40_450:gt ['0', '40', '-40', '0', '0']:pred [ 0.       21.351175 40.       20.456371 19.176188]
hatchback_-40_0_0_20_0_80_80_450:gt ['-40', '0', '0', '20', '0']:pred [19.58551  20.56056  22.632576 20.213552  0.      ]
suv_0_20_-20_20_20_240_80_400:gt ['0', '20', '-20', '20', '20']:pred [18.422474 23.415596 20.516872 21.895395 21.703974]
sedan2door_0_40_-20_20_40_240_60_400:gt ['0', '40', '-20', '20', '40']:pred [15.573337 20.15379  20.       20.17175  21.128538]
suv_0_0_-20_20_20_80_20_450:gt ['0', '0', '-20', '20', '20']:pred [18.081873  0.       21.281303 20.       20.      ]
sedan2door_-40_20_-40_20_0_80_40_400:gt ['-40', '20', '-40', '20', '0']:pred [24.689093 23.99113  40.       20.        0.      ]
suv_-40_20_-20_20_20_160_20_450:gt ['-40', '20', '-20', '20', '20']:pred [40.       20.723333 20.       19.919823 20.      ]
hybrid_-20_0_-40_20_20_160_60_400:gt ['-20', '0', '-40', '20', '20']:pred [17.360458 15.383833 40.       18.853199 16.751213]
sedan4door_-20_0_-40_40_0_0_40_400:gt ['-20', '0', '-40', '40', '0']:pred [19.003286  0.       21.580862 40.       20.678885]
hatchback_0_0_0_0_40_320_80_450:gt ['0', '0', '0', '0', '40']:pred [15.367192 18.66798  19.19461  20.116934 20.058863]
sedan2door_-20_0_0_20_40_0_40_450:gt ['-20', '0', '0', '20', '40']:pred [20.91531   0.       21.006924 20.       23.093893]
suv_-20_40_0_20_40_320_20_450:gt ['-20', '40', '0', '20', '40']:pred [18.546364 40.       19.00307  20.       20.890717]
sedan4door_-20_0_0_0_40_160_80_450:gt ['-20', '0', '0', '0', '40']:pred [17.044577 16.762953 20.161816 17.756365 21.962006]
sedan2door_-20_20_-20_40_20_320_80_450:gt ['-20', '20', '-20', '40', '20']:pred [17.152443 17.162502 18.443861 40.       19.09929 ]
suv_0_40_-40_20_20_160_60_400:gt ['0', '40', '-40', '20', '20']:pred [21.094576 20.292934 40.       20.748045 23.06499 ]
sedan4door_-40_40_0_0_20_240_60_400:gt ['-40', '40', '0', '0', '20']:pred [18.024773 20.8637    0.       20.79156  20.109173]
sedan2door_-40_0_-20_0_40_320_80_450:gt ['-40', '0', '-20', '0', '40']:pred [18.951784 18.961576 18.733564  0.       20.097786]
sedan4door_-40_40_-40_40_0_240_80_400:gt ['-40', '40', '-40', '40', '0']:pred [24.496506 26.123304 25.733389 22.317684 23.489553]
hybrid_-40_20_-20_0_20_160_60_400:gt ['-40', '20', '-20', '0', '20']:pred [20.04417  18.779688 20.       18.761974 17.380428]
suv_0_0_-20_40_20_0_60_450:gt ['0', '0', '-20', '40', '20']:pred [14.099421 23.750435 17.383152 40.       18.395435]
suv_0_0_-20_0_40_80_80_400:gt ['0', '0', '-20', '0', '40']:pred [20.628521 20.367832 21.293064 22.517609 40.      ]
hatchback_-20_0_-20_0_40_160_40_450:gt ['-20', '0', '-20', '0', '40']:pred [20.       17.757153 20.       20.875402 18.83516 ]
suv_-40_40_-20_40_20_320_20_450:gt ['-40', '40', '-20', '40', '20']:pred [25.0862   40.       21.032225 40.       22.789705]
hatchback_-40_40_-20_0_0_0_60_450:gt ['-40', '40', '-20', '0', '0']:pred [22.76895  24.171984 20.626553  0.       18.75044 ]
hatchback_-20_40_-40_20_20_320_60_450:gt ['-20', '40', '-40', '20', '20']:pred [25.365337 25.341284 22.602121 27.763357 21.42998 ]
sedan4door_-20_20_0_40_0_320_60_400:gt ['-20', '20', '0', '40', '0']:pred [22.827051 24.55922  17.500774 25.480738 19.412754]
suv_0_40_0_40_0_240_20_400:gt ['0', '40', '0', '40', '0']:pred [ 0.      24.4651   0.      21.3825  24.47713]
hatchback_-20_40_0_40_40_320_40_400:gt ['-20', '40', '0', '40', '40']:pred [22.153408 40.       21.271324 40.       20.639212]
sedan4door_0_0_-20_40_40_80_60_400:gt ['0', '0', '-20', '40', '40']:pred [17.534767 17.714096 19.875126 23.392618 18.039019]
hybrid_-40_0_-20_0_20_0_80_400:gt ['-40', '0', '-20', '0', '20']:pred [20.905634 19.344297 20.        0.       21.398443]
hybrid_-40_0_-40_40_20_160_20_450:gt ['-40', '0', '-40', '40', '20']:pred [40.       17.898607 40.       40.       20.      ]
sedan2door_-20_0_-20_40_0_0_20_450:gt ['-20', '0', '-20', '40', '0']:pred [16.59138  0.      20.      40.       0.     ]
suv_-40_0_-40_40_40_240_80_400:gt ['-40', '0', '-40', '40', '40']:pred [21.693192 24.304905 21.996452 24.009293 22.606956]
hatchback_0_20_-20_40_40_160_80_450:gt ['0', '20', '-20', '40', '40']:pred [22.614569 19.921415 26.312044 21.014122 21.737143]
hatchback_0_0_-40_20_0_320_20_450:gt ['0', '0', '-40', '20', '0']:pred [18.611275  0.       25.579325 20.       18.703695]
hybrid_-20_0_0_20_40_160_40_450:gt ['-20', '0', '0', '20', '40']:pred [20.       17.414854  0.       20.       18.438766]
sedan2door_0_20_0_40_40_80_80_450:gt ['0', '20', '0', '40', '40']:pred [18.069765 16.145376  0.       40.       40.      ]
suv_-20_40_-20_40_20_80_80_450:gt ['-20', '40', '-20', '40', '20']:pred [19.490494 22.421007 21.895025 22.484509 20.      ]
hatchback_0_0_0_0_40_320_80_400:gt ['0', '0', '0', '0', '40']:pred [14.140872 20.815773 22.09947  19.760672 23.453276]
sedan2door_0_20_-20_40_0_160_80_450:gt ['0', '20', '-20', '40', '0']:pred [19.028706 18.642567 20.       20.044344 18.113787]
sedan4door_-20_40_-20_0_0_160_80_400:gt ['-20', '40', '-20', '0', '0']:pred [17.483234 21.306595 23.533468 22.295673 21.552004]
hatchback_0_40_-20_40_0_80_40_450:gt ['0', '40', '-20', '40', '0']:pred [21.30977 23.79972 19.82054 40.       0.     ]
sedan2door_-40_20_-20_40_40_80_80_400:gt ['-40', '20', '-20', '40', '40']:pred [26.288712 21.434183 20.830997 40.       40.      ]
suv_-40_0_-40_40_40_160_40_400:gt ['-40', '0', '-40', '40', '40']:pred [40.       20.670597 40.       22.6354   21.082666]
sedan4door_-40_40_0_40_40_160_80_400:gt ['-40', '40', '0', '40', '40']:pred [21.824642 25.712044 23.377901 23.584259 23.319887]
sedan4door_0_0_-20_0_0_160_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 0.       17.025864 20.       19.244364  0.      ]
sedan2door_-40_20_-20_20_40_240_40_450:gt ['-40', '20', '-20', '20', '40']:pred [40.       17.654078 20.       18.776001 18.45324 ]
suv_0_20_-20_40_40_320_60_450:gt ['0', '20', '-20', '40', '40']:pred [18.361025 24.567177 19.843891 29.320723 20.352022]
sedan4door_0_40_-40_0_0_240_40_400:gt ['0', '40', '-40', '0', '0']:pred [ 0.       21.004555 40.       19.855314 23.83232 ]
hybrid_-20_0_0_20_40_320_20_450:gt ['-20', '0', '0', '20', '40']:pred [15.325109  0.       22.67759  20.       19.045547]
hatchback_-20_0_0_0_20_320_40_400:gt ['-20', '0', '0', '0', '20']:pred [18.639563  0.       20.445295  0.       18.136946]
hatchback_0_0_-20_20_40_320_20_450:gt ['0', '0', '-20', '20', '40']:pred [16.379211  0.       22.874756 20.       18.996902]
hatchback_0_0_-20_0_20_160_60_450:gt ['0', '0', '-20', '0', '20']:pred [17.24055  15.503758 20.       19.773676 15.909351]
suv_0_20_0_40_0_240_60_450:gt ['0', '20', '0', '40', '0']:pred [21.356989 18.676067  0.       22.106407 19.817465]
hybrid_-40_0_-20_0_0_240_40_400:gt ['-40', '0', '-20', '0', '0']:pred [40.       15.331038 20.       19.078747 17.196115]
hatchback_0_0_0_40_40_320_80_450:gt ['0', '0', '0', '40', '40']:pred [16.116385 19.204998 19.540115 20.933567 19.780893]
sedan2door_0_40_-40_0_40_320_60_400:gt ['0', '40', '-40', '0', '40']:pred [15.846108 20.25115  15.058508  0.       20.743633]
hatchback_-20_20_0_0_20_240_20_450:gt ['-20', '20', '0', '0', '20']:pred [20.       19.109495  0.       19.906614 19.422163]
sedan4door_0_40_0_20_0_80_80_400:gt ['0', '40', '0', '20', '0']:pred [21.067863 20.972143 21.832794 21.112684  0.      ]
sedan4door_-20_20_-20_0_0_320_40_450:gt ['-20', '20', '-20', '0', '0']:pred [19.566282 20.       18.873354  0.       18.718689]
suv_-20_0_-20_0_40_0_40_450:gt ['-20', '0', '-20', '0', '40']:pred [21.797731  0.       20.195402  0.       21.301838]
sedan2door_0_0_-20_0_20_80_60_450:gt ['0', '0', '-20', '0', '20']:pred [15.642494 14.929977 20.        0.       17.56548 ]
sedan4door_-20_0_-40_20_20_160_60_450:gt ['-20', '0', '-40', '20', '20']:pred [18.587997 16.203854 40.       21.599705 18.486816]
hatchback_-20_0_-20_20_20_160_20_400:gt ['-20', '0', '-20', '20', '20']:pred [20.       17.90843  20.       19.615158 20.      ]
hybrid_0_20_0_20_20_320_60_400:gt ['0', '20', '0', '20', '20']:pred [16.903107 21.744385 17.956526 20.       18.708965]
suv_0_0_0_0_20_0_20_400:gt ['0', '0', '0', '0', '20']:pred [15.505491  0.       18.007227  0.       20.      ]
sedan4door_0_20_-20_20_40_320_60_400:gt ['0', '20', '-20', '20', '40']:pred [17.662638 23.268063 17.48914  27.39368  21.867771]
sedan2door_-40_40_0_0_40_240_60_450:gt ['-40', '40', '0', '0', '40']:pred [20.79913  20.688154  0.       22.313364 18.476448]
hybrid_0_40_-40_40_0_0_40_450:gt ['0', '40', '-40', '40', '0']:pred [15.84289  40.       40.       40.       17.574274]
sedan2door_-40_0_0_0_40_320_80_450:gt ['-40', '0', '0', '0', '40']:pred [18.181166 18.242107  0.        0.       19.786396]
hybrid_0_0_-20_40_40_0_60_450:gt ['0', '0', '-20', '40', '40']:pred [14.343479 22.72805  19.332865 40.       19.691174]
suv_0_20_0_20_40_160_60_400:gt ['0', '20', '0', '20', '40']:pred [21.05695  18.327291  0.       22.108778 23.79675 ]
hybrid_-20_20_-20_40_20_160_80_400:gt ['-20', '20', '-20', '40', '20']:pred [19.360458 18.727398 20.       24.474857 20.327795]
sedan2door_-40_40_0_20_0_240_80_400:gt ['-40', '40', '0', '20', '0']:pred [23.529053 23.493895  0.       21.31597  21.34786 ]
hatchback_0_40_-20_0_20_0_60_400:gt ['0', '40', '-20', '0', '20']:pred [16.138416 24.848047 19.928448  0.       19.137007]
